# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.468549551823e-10       6.313617199382e-15       4.428098346330e-13       0.000000000000e+00       8.553904968393e-09       4.789973663109e-10      -2.329235827673e-12 
    3       1.385610913753e-10       9.920379645463e-15       5.403150439494e-13       0.000000000000e+00       5.347820557213e-09       3.416739856497e-10      -1.972928995058e-12 
    4       1.304848691582e-10       1.068055147438e-14       5.430930347905e-13       0.000000000000e+00       3.730436418967e-09       2.595941244108e-10      -1.501785720123e-12 
    5       1.241968846081e-10       9.023697192809e-15       4.947806310733e-13       0.000000000000e+00       2.787537310274e-09       2.055795247346e-10      -1.046426059058e-12 
    6       1.196620027336e-10       6.306815412384e-15       4.237470510478e-13       0.000000000000e+00       2.177738948238e-09       1.676038164941e-10      -6.516174387222e-13 
    7       1.165931416770e-10       3.798147929443e-15       3.485497121048e-13       0.000000000000e+00       1.755696033567e-09       1.396695649778e-10      -3.375759037491e-13 
    8       1.145990837904e-10       2.132761640614e-15       2.798758136640e-13       0.000000000000e+00       1.450056598155e-09       1.183776960895e-10      -1.096821542122e-13 
    9       1.134602457337e-10       1.321136905462e-15       2.234010741592e-13       0.000000000000e+00       1.221118854757e-09       1.016792314898e-10       3.657436569145e-14 
   10       1.129716972386e-10       1.042865564144e-15       1.815093415919e-13       0.000000000000e+00       1.044507299930e-09       8.835502432329e-11       1.126411775043e-13 
   11       1.129756723849e-10       9.572767553274e-16       1.542833171356e-13       0.000000000000e+00       8.789447106548e-10       7.784359561406e-11       1.337580755318e-13 
   12       1.134164277151e-10       8.726132817636e-16       1.399823629273e-13       0.000000000000e+00       7.680801628043e-10       6.893001700951e-11       1.181348302122e-13 
   13       1.141281752759e-10       7.552086497680e-16       1.358456950860e-13       0.000000000000e+00       6.770655486186e-10       6.153865142590e-11       8.159420107979e-14 
   14       1.150388051660e-10       6.502186909024e-16       1.388560838798e-13       0.000000000000e+00       6.013287282227e-10       5.514941843706e-11       3.766681034491e-14 
   15       1.161579520727e-10       6.000564840985e-16       1.461447403110e-13       0.000000000000e+00       5.375743361372e-10       4.979470210596e-11      -3.012050300035e-15 
   16       1.174856485028e-10       6.083870882927e-16       1.553117982515e-13       0.000000000000e+00       4.833642947651e-10       4.527310506703e-11      -3.400389409578e-14 
