# Matter power spectrum P(k) at redshift z=0
# for k=1.02876e-05 to 0.619529 h/Mpc,
# number of wavenumbers equal to 561
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.028758204539e-05       5.341063162963e+01 
       2.298454823883e-05       1.159716205396e+02 
       3.572486797073e-05       1.774509834589e+02 
       4.854184561046e-05       2.384981820233e+02 
       6.146932060052e-05       2.994820190487e+02 
       7.454196066708e-05       3.606783409264e+02 
       8.779556414781e-05       4.223226036154e+02 
       1.012673753529e-04       4.846313580134e+02 
       1.149964169060e-04       5.478132159289e+02 
       1.290238430431e-04       6.120754711102e+02 
       1.433933178602e-04       6.776286486842e+02 
       1.581514224541e-04       7.446900404987e+02 
       1.733480947620e-04       8.134866876655e+02 
       1.890371056002e-04       8.842580897780e+02 
       2.052765738641e-04       9.572588019655e+02 
       2.221295229550e-04       1.032760968902e+03 
       2.396644791204e-04       1.111056888501e+03 
       2.579561103333e-04       1.192461570389e+03 
       2.770859013803e-04       1.277315323475e+03 
       2.971428566881e-04       1.365986301036e+03 
       3.182242167760e-04       1.458872956359e+03 
       3.404361667340e-04       1.556406286638e+03 
       3.638945054352e-04       1.659051730865e+03 
       3.887252320526e-04       1.767310497780e+03 
       4.150649917920e-04       1.881720083956e+03 
       4.430613058740e-04       2.002853626993e+03 
       4.728724926548e-04       2.131317706089e+03 
       5.046671691942e-04       2.267748135770e+03 
       5.386232086963e-04       2.412803236601e+03 
       5.749260236392e-04       2.567154146399e+03 
       6.137660531132e-04       2.731471683018e+03 
       6.553353628181e-04       2.906409628276e+03 
       6.998233237349e-04       3.092584351631e+03 
       7.474114242336e-04       3.290551389299e+03 
       7.982673879090e-04       3.500779813711e+03 
       8.525389043363e-04       3.723626029575e+03 
       9.103474103670e-04       3.959308922242e+03 
       9.717824552781e-04       4.207888922370e+03 
       1.036897212013e-03       4.469253153817e+03 
       1.105705635633e-03       4.743108871947e+03 
       1.178181615200e-03       5.028986285840e+03 
       1.254260238535e-03       5.326250970530e+03 
       1.333841034619e-03       5.634120854669e+03 
       1.416792829650e-03       5.951669349030e+03 
       1.502959695838e-03       6.277950446646e+03 
       1.592167411514e-03       6.611931488279e+03 
       1.684229884698e-03       6.952556927122e+03 
       1.778955096351e-03       7.298775405496e+03 
       1.876150259816e-03       7.649561865984e+03 
       1.975626036880e-03       8.003935454411e+03 
       2.077199774452e-03       8.360971773337e+03 
       2.180697817063e-03       8.719811436751e+03 
       2.285957007140e-03       9.079664512937e+03 
       2.392825511787e-03       9.439811844618e+03 
       2.501163119301e-03       9.799603365022e+03 
       2.610841138563e-03       1.015845555123e+04 
       2.721742016707e-03       1.051584891757e+04 
       2.833758769748e-03       1.087132151608e+04 
       2.946794300537e-03       1.122446526055e+04 
       3.060760660106e-03       1.157492348321e+04 
       3.175578293106e-03       1.192238118121e+04 
       3.291175295624e-03       1.226656437423e+04 
       3.407486704057e-03       1.260723509290e+04 
       3.524453826492e-03       1.294419055168e+04 
       3.642023622784e-03       1.327725258361e+04 
       3.760148135793e-03       1.360627023826e+04 
       3.878783973705e-03       1.393111622622e+04 
       3.997891841688e-03       1.425168518518e+04 
       4.117436120134e-03       1.456788477815e+04 
       4.237384486145e-03       1.487964492986e+04 
       4.357707574689e-03       1.518690379970e+04 
       4.478378675829e-03       1.548961631654e+04 
       4.599373464495e-03       1.578774687169e+04 
       4.720669759496e-03       1.608126848374e+04 
       4.842247308674e-03       1.637016301884e+04 
       4.964087597384e-03       1.665442419885e+04 
       5.086173677721e-03       1.693404830684e+04 
       5.208490016191e-03       1.720902757275e+04 
       5.331022357746e-03       1.747938457529e+04 
       5.453757604344e-03       1.774512451203e+04 
       5.576683706381e-03       1.800626339250e+04 
       5.699789565553e-03       1.826281845758e+04 
       5.823064947841e-03       1.851483231672e+04 
       5.946500405498e-03       1.876230732709e+04 
       6.070087207013e-03       1.900528794994e+04 
       6.193817274178e-03       1.924379687018e+04 
       6.317683125461e-03       1.947786936837e+04 
       6.441677825000e-03       1.970754358093e+04 
       6.565794936605e-03       1.993284446894e+04 
       6.690028482216e-03       2.015382019065e+04 
       6.814372904359e-03       2.037050486029e+04 
       6.938823032157e-03       2.058292901816e+04 
       7.063374050531e-03       2.079114608681e+04 
       7.188021472262e-03       2.099518233548e+04 
       7.312761112611e-03       2.119508321804e+04 
       7.437589066240e-03       2.139089120172e+04 
       7.562501686203e-03       2.158264940462e+04 
       7.687495564801e-03       2.177039460422e+04 
       7.812567516108e-03       2.195416797754e+04 
       7.937714560015e-03       2.213400643106e+04 
       8.062933907642e-03       2.230995964396e+04 
       8.188222947986e-03       2.248207023334e+04 
       8.313579235684e-03       2.265036969594e+04 
       8.439000479795e-03       2.281487994926e+04 
       8.564484533499e-03       2.297571560612e+04 
       8.690029384638e-03       2.313284141943e+04 
       8.815633147008e-03       2.328632828287e+04 
       8.941294052352e-03       2.343620553790e+04 
       9.067010442977e-03       2.358253173736e+04 
       9.192780764952e-03       2.372532808073e+04 
       9.318603561828e-03       2.386464700422e+04 
       9.444477468839e-03       2.400050700750e+04 
       9.570401207548e-03       2.413297550900e+04 
       9.696373580883e-03       2.426207248933e+04 
       9.822393468559e-03       2.438777713942e+04 
       9.948459822827e-03       2.451031441475e+04 
       1.007457166454e-02       2.462955032637e+04 
       1.020072807950e-02       2.474556426316e+04 
       1.032692821509e-02       2.485839418321e+04 
       1.045317127711e-02       2.496808106576e+04 
       1.057945652686e-02       2.507467672072e+04 
       1.070578327848e-02       2.517818763519e+04 
       1.083215089634e-02       2.527867775696e+04 
       1.095855879279e-02       2.537617066214e+04 
       1.108500642595e-02       2.547068426421e+04 
       1.121149329764e-02       2.556228312420e+04 
       1.133801895158e-02       2.565098668408e+04 
       1.146458297157e-02       2.573683532883e+04 
       1.159118497990e-02       2.581985210276e+04 
       1.171782463581e-02       2.590007555846e+04 
       1.184450163407e-02       2.597754593836e+04 
       1.197121570371e-02       2.605229412941e+04 
       1.209796660675e-02       2.612434403171e+04 
       1.222475413709e-02       2.619373483215e+04 
       1.235157811945e-02       2.626049360686e+04 
       1.247843840838e-02       2.632466076511e+04 
       1.260533488737e-02       2.638625872813e+04 
       1.273226746799e-02       2.644531645859e+04 
       1.285923608911e-02       2.650187382071e+04 
       1.298624071617e-02       2.655594992338e+04 
       1.311328134053e-02       2.660759145362e+04 
       1.324035797883e-02       2.665754241860e+04 
       1.336747067244e-02       2.670366022919e+04 
       1.349461948691e-02       2.674814837649e+04 
       1.362180451154e-02       2.679031402967e+04 
       1.374902585887e-02       2.683018162237e+04 
       1.387628366435e-02       2.686778220887e+04 
       1.400357808594e-02       2.690314664485e+04 
       1.413090930377e-02       2.693641022669e+04 
       1.425827751990e-02       2.696726447163e+04 
       1.438568295799e-02       2.699607338700e+04 
       1.451312586312e-02       2.702276508743e+04 
       1.464060650155e-02       2.704735522276e+04 
       1.476812516060e-02       2.706986387925e+04 
       1.489568214842e-02       2.709034105023e+04 
       1.502327779395e-02       2.710878813012e+04 
       1.515091244675e-02       2.712522788473e+04 
       1.527858647699e-02       2.713973392107e+04 
       1.540630027536e-02       2.715228466045e+04 
       1.553405425303e-02       2.716291008505e+04 
       1.566184884169e-02       2.717166831259e+04 
       1.578968449351e-02       2.717854863165e+04 
       1.591756168123e-02       2.718358287130e+04 
       1.604548089814e-02       2.718682896157e+04 
       1.617344265822e-02       2.718829344366e+04 
       1.630144749621e-02       2.718793646047e+04 
       1.642949596770e-02       2.718586629065e+04 
       1.655758864926e-02       2.718210580473e+04 
       1.668572613861e-02       2.717664032761e+04 
       1.681390905479e-02       2.716947940798e+04 
       1.694213803828e-02       2.716072572663e+04 
       1.707041375127e-02       2.715032022670e+04 
       1.719873687781e-02       2.713833254633e+04 
       1.732710812409e-02       2.712475710944e+04 
       1.745552821868e-02       2.710963994508e+04 
       1.758399791275e-02       2.709299043140e+04 
       1.771251798041e-02       2.707483670662e+04 
       1.784108921898e-02       2.705517072325e+04 
       1.796971244927e-02       2.703407698676e+04 
       1.809838851599e-02       2.701157147273e+04 
       1.822711828803e-02       2.698757242274e+04 
       1.835590265883e-02       2.696222183457e+04 
       1.848474254680e-02       2.693551927794e+04 
       1.861363889567e-02       2.690743077957e+04 
       1.874259267495e-02       2.687801978079e+04 
       1.887160488031e-02       2.684730114091e+04 
       1.900067653408e-02       2.681528571958e+04 
       1.912980868568e-02       2.678201645266e+04 
       1.925900241213e-02       2.674751305737e+04 
       1.938825881853e-02       2.671175578498e+04 
       1.951757903861e-02       2.667480004943e+04 
       1.964696423523e-02       2.663665317479e+04 
       1.977641560100e-02       2.659734683413e+04 
       1.990593435878e-02       2.655689728678e+04 
       2.003552176237e-02       2.651529605912e+04 
       2.016517909705e-02       2.647263461677e+04 
       2.029490768027e-02       2.642885685553e+04 
       2.042470886228e-02       2.638399206911e+04 
       2.055458402685e-02       2.633816472036e+04 
       2.068453459196e-02       2.629001204778e+04 
       2.081456201050e-02       2.624323489090e+04 
       2.094466777107e-02       2.619427747969e+04 
       2.107485339874e-02       2.614437073198e+04 
       2.120512045584e-02       2.609347913999e+04 
       2.133547054279e-02       2.604169582170e+04 
       2.146590529896e-02       2.598893587915e+04 
       2.159642640358e-02       2.593529534026e+04 
       2.172703557657e-02       2.588074355930e+04 
       2.185773457956e-02       2.582537644734e+04 
       2.198852521681e-02       2.576915592224e+04 
       2.211940933622e-02       2.571202022078e+04 
       2.225038883034e-02       2.565414781172e+04 
       2.238146563747e-02       2.559542996385e+04 
       2.251264174272e-02       2.553596819589e+04 
       2.264391917912e-02       2.547571350008e+04 
       2.277530002884e-02       2.541468544977e+04 
       2.290678642435e-02       2.535299847078e+04 
       2.303838054965e-02       2.529047741453e+04 
       2.317008464158e-02       2.522730294965e+04 
       2.330190099110e-02       2.516350544438e+04 
       2.343383194468e-02       2.509893537906e+04 
       2.356587990566e-02       2.503376344763e+04 
       2.369804733577e-02       2.496791821044e+04 
       2.383033675653e-02       2.490150298624e+04 
       2.396275075085e-02       2.483443443849e+04 
       2.409529196463e-02       2.476674770820e+04 
       2.422796310835e-02       2.469850124194e+04 
       2.436076695881e-02       2.462967842357e+04 
       2.449370636085e-02       2.456035026434e+04 
       2.462678422920e-02       2.449039417676e+04 
       2.476000355029e-02       2.442001521891e+04 
       2.489336738424e-02       2.434903703379e+04 
       2.502687886681e-02       2.427758459046e+04 
       2.516054121147e-02       2.420562715310e+04 
       2.529435771158e-02       2.413322301900e+04 
       2.542833174249e-02       2.406034944265e+04 
       2.556246676394e-02       2.398698343203e+04 
       2.569676632231e-02       2.391330262120e+04 
       2.583123405312e-02       2.383912067308e+04 
       2.596587368356e-02       2.376452911381e+04 
       2.610068903503e-02       2.368958601991e+04 
       2.623568402591e-02       2.361418763864e+04 
       2.637086267436e-02       2.353849018940e+04 
       2.650622910114e-02       2.346241538812e+04 
       2.664178753269e-02       2.338595022597e+04 
       2.677754230423e-02       2.330916098348e+04 
       2.691349786292e-02       2.323209358979e+04 
       2.704965877127e-02       2.315461885612e+04 
       2.718602971057e-02       2.307697189042e+04 
       2.732261548448e-02       2.299896695554e+04 
       2.745942102275e-02       2.292063007541e+04 
       2.759645138510e-02       2.284210935870e+04 
       2.773371176524e-02       2.276326422133e+04 
       2.787120749499e-02       2.268415615801e+04 
       2.800894404865e-02       2.260483493649e+04 
       2.814692704746e-02       2.252529083451e+04 
       2.828516226428e-02       2.244553024705e+04 
       2.842365562846e-02       2.236551680383e+04 
       2.856241323084e-02       2.228533500688e+04 
       2.870144132901e-02       2.220501739716e+04 
       2.884074635279e-02       2.212440258270e+04 
       2.898033490986e-02       2.204367476726e+04 
       2.912021379172e-02       2.196272974993e+04 
       2.926038997980e-02       2.188170119635e+04 
       2.940087065189e-02       2.180050504409e+04 
       2.954166318879e-02       2.171910944151e+04 
       2.968277518131e-02       2.163764184020e+04 
       2.982421443750e-02       2.155603117509e+04 
       2.996598899022e-02       2.147426777045e+04 
       3.010810710502e-02       2.139244592069e+04 
       3.025057728842e-02       2.131054416171e+04 
       3.039340829648e-02       2.122842238582e+04 
       3.053660914382e-02       2.114635937974e+04 
       3.068018911296e-02       2.106411164516e+04 
       3.082415776422e-02       2.098182321600e+04 
       3.096852494590e-02       2.089951211947e+04 
       3.111330080508e-02       2.081705232802e+04 
       3.125849579884e-02       2.073464022665e+04 
       3.140412070604e-02       2.065216736766e+04 
       3.155018663966e-02       2.056964378872e+04 
       3.169670505969e-02       2.048694431451e+04 
       3.184368778670e-02       2.040434649767e+04 
       3.199114701605e-02       2.032165866322e+04 
       3.213909533282e-02       2.023899151334e+04 
       3.228754572741e-02       2.015626526718e+04 
       3.243651161204e-02       2.007358443194e+04 
       3.258600683799e-02       1.999084823435e+04 
       3.273604571380e-02       1.990812795919e+04 
       3.288664302434e-02       1.982543313989e+04 
       3.303781405097e-02       1.974280047591e+04 
       3.318957459267e-02       1.966003760656e+04 
       3.334194098839e-02       1.957738793609e+04 
       3.349493014055e-02       1.949469484459e+04 
       3.364855953985e-02       1.941202239176e+04 
       3.380284729145e-02       1.932947334868e+04 
       3.395781214260e-02       1.924686535327e+04 
       3.411347351186e-02       1.916426965366e+04 
       3.426985151999e-02       1.908177801091e+04 
       3.442696702256e-02       1.899927165883e+04 
       3.458484164455e-02       1.891687219149e+04 
       3.474349781697e-02       1.883443273502e+04 
       3.490295881566e-02       1.875208535125e+04 
       3.506324880242e-02       1.866977234251e+04 
       3.522439286871e-02       1.858748375465e+04 
       3.538641708204e-02       1.850527579076e+04 
       3.554934853525e-02       1.842307149552e+04 
       3.571321539894e-02       1.834071272821e+04 
       3.587804697729e-02       1.825890255645e+04 
       3.604387376747e-02       1.817689148559e+04 
       3.621072752302e-02       1.809492168716e+04 
       3.637864132145e-02       1.801356224648e+04 
       3.654764963640e-02       1.793116009735e+04 
       3.671778841477e-02       1.784932386714e+04 
       3.688909515918e-02       1.776753622741e+04 
       3.706160901635e-02       1.768588408279e+04 
       3.723537087159e-02       1.760420302327e+04 
       3.741042345038e-02       1.752261850766e+04 
       3.758681142721e-02       1.744102853260e+04 
       3.776458154262e-02       1.735949154558e+04 
       3.794378272912e-02       1.727803756983e+04 
       3.812446624666e-02       1.719659529576e+04 
       3.830668582874e-02       1.711520664062e+04 
       3.849049784005e-02       1.703383923588e+04 
       3.867596144668e-02       1.695249707211e+04 
       3.886313880029e-02       1.687118105336e+04 
       3.905209523748e-02       1.678987907864e+04 
       3.924289949588e-02       1.670861522877e+04 
       3.943562394874e-02       1.662740982738e+04 
       3.963034485989e-02       1.654613170470e+04 
       3.982714266119e-02       1.646489337815e+04 
       4.002610225485e-02       1.638362485857e+04 
       4.022731334339e-02       1.630241527353e+04 
       4.043087079025e-02       1.622112001503e+04 
       4.063687501445e-02       1.613981086332e+04 
       4.084543242327e-02       1.605852341215e+04 
       4.105665588731e-02       1.597714654280e+04 
       4.127066526294e-02       1.589573577204e+04 
       4.148758796795e-02       1.581427713767e+04 
       4.170755961683e-02       1.573272386144e+04 
       4.193072472315e-02       1.565111068492e+04 
       4.215723747772e-02       1.556939684114e+04 
       4.238726261231e-02       1.548756594408e+04 
       4.262097636023e-02       1.540550500240e+04 
       4.285856752710e-02       1.532356052047e+04 
       4.310023868682e-02       1.524129273246e+04 
       4.334620752067e-02       1.515893440814e+04 
       4.359670831997e-02       1.507639120125e+04 
       4.385199367658e-02       1.499362321576e+04 
       4.411233638962e-02       1.491064564353e+04 
       4.437803162154e-02       1.482739956117e+04 
       4.464939934312e-02       1.474392230329e+04 
       4.492678711389e-02       1.466009650042e+04 
       4.521057325363e-02       1.457598516084e+04 
       4.550117047091e-02       1.449147835213e+04 
       4.579903002830e-02       1.440662706116e+04 
       4.610464653934e-02       1.432133599641e+04 
       4.641856351286e-02       1.423560489284e+04 
       4.674137978406e-02       1.414935939807e+04 
       4.707375700271e-02       1.406253414324e+04 
       4.741642838648e-02       1.397511467895e+04 
       4.777020899500e-02       1.388704990734e+04 
       4.813600783989e-02       1.379828492496e+04 
       4.851484222150e-02       1.370865687557e+04 
       4.890785477819e-02       1.361821222322e+04 
       4.931633385565e-02       1.352672453311e+04 
       4.974173795743e-02       1.343421317422e+04 
       5.018572523508e-02       1.334056267324e+04 
       5.065018922652e-02       1.324550426109e+04 
       5.113730236999e-02       1.314895739117e+04 
       5.164956922348e-02       1.305078063710e+04 
       5.218989182194e-02       1.295063261228e+04 
       5.276165021992e-02       1.284838868640e+04 
       5.336880199166e-02       1.274361355114e+04 
       5.401600525742e-02       1.263590367096e+04 
       5.470877055428e-02       1.252494615988e+04 
       5.545364728561e-02       1.240990044412e+04 
       5.625844994492e-02       1.229006707333e+04 
       5.713252655047e-02       1.216435539566e+04 
       5.808706429976e-02       1.203146803885e+04 
       5.913541089698e-02       1.188958459409e+04 
       6.029335685150e-02       1.173629493734e+04 
       6.157926362012e-02       1.156837778274e+04 
       6.301382476284e-02       1.503958477047e+04 
       6.461911893549e-02       1.117018596733e+04 
       6.641651811300e-02       1.092739407236e+04 
       6.842313272121e-02       1.064534619294e+04 
       7.064709544538e-02       1.031640969566e+04 
       7.308319073675e-02       9.935526103288e+03 
       7.571135627592e-02       9.502740300161e+03 
       7.849984054285e-02       9.025260621841e+03 
       8.141196923410e-02       8.517392143469e+03 
       8.441309630650e-02       7.998262788769e+03 
       8.747487246675e-02       7.488454571733e+03 
       9.057635787577e-02       5.448816677089e+03 
       9.370313800097e-02       6.567662115347e+03 
       9.684574351281e-02       6.180767046405e+03 
       9.999813826193e-02       5.850094298302e+03 
       1.031565468346e-01       5.574890970704e+03 
       1.063186354098e-01       5.350442886367e+03 
       1.094829716119e-01       5.169026958250e+03 
       1.126486800893e-01       5.020998004411e+03 
       1.158152272175e-01       4.895749586453e+03 
       1.189822881094e-01       4.782670026094e+03 
       1.221496650520e-01       4.672058274265e+03 
       1.253172376980e-01       4.555965641989e+03 
       1.284849327279e-01       4.428832680399e+03 
       1.316527053995e-01       4.287785387868e+03 
       1.348205283372e-01       4.132728783875e+03 
       1.379883847234e-01       3.965945929305e+03 
       1.411562641638e-01       3.791542673258e+03 
       1.443241601771e-01       3.614691725074e+03 
       1.474920686704e-01       3.440882247541e+03 
       1.506599870125e-01       3.275214062387e+03 
       1.538279134708e-01       3.121922597524e+03 
       1.569958468684e-01       2.984003779171e+03 
       1.601637863751e-01       2.863081371862e+03 
       1.633317313798e-01       2.759405980041e+03 
       1.664996814121e-01       2.672008905056e+03 
       1.696676360946e-01       2.598902752931e+03 
       1.728355951123e-01       2.537366512033e+03 
       1.760035581944e-01       2.484243864559e+03 
       1.791715251025e-01       2.436245888115e+03 
       1.823394956226e-01       2.390759453759e+03 
