# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.447187823882e-10       2.944421177407e-15       3.223371986698e-13       0.000000000000e+00       8.755974081981e-09       4.730928996941e-10      -1.525423160585e-12 
    3       1.374340292554e-10       3.223718456811e-15       3.485184871681e-13       0.000000000000e+00       5.343527395128e-09       3.334703864549e-10      -1.012414716448e-12 
    4       1.307134829033e-10       2.586064859154e-15       3.268624056993e-13       0.000000000000e+00       3.696866582383e-09       2.515064883257e-10      -5.828560293338e-13 
    5       1.258200005951e-10       1.828184280358e-15       2.932294767316e-13       0.000000000000e+00       2.749716706692e-09       1.981878811816e-10      -2.946763507562e-13 
    6       1.225518530576e-10       1.306607914652e-15       2.643112272419e-13       0.000000000000e+00       2.141537947936e-09       1.610812568405e-10      -1.285508533345e-13 
    7       1.204971235577e-10       1.049502932823e-15       2.475212099524e-13       0.000000000000e+00       1.723116002808e-09       1.339808525775e-10      -4.757494645461e-14 
    8       1.193357859269e-10       9.778187252217e-16       2.438137627790e-13       0.000000000000e+00       1.420635831536e-09       1.134558381156e-10      -1.698510385355e-14 
    9       1.188324649597e-10       1.026731937003e-15       2.511869305097e-13       0.000000000000e+00       1.193588652151e-09       9.748135274778e-11      -1.143130831457e-14 
   10       1.187982029159e-10       1.167413787201e-15       2.667812181117e-13       0.000000000000e+00       1.018186535025e-09       8.476866215399e-11      -1.547220045185e-14 
   11       1.191455260432e-10       1.394412622631e-15       2.879055437019e-13       0.000000000000e+00       8.718173308242e-10       7.526781852609e-11      -2.075230383917e-14 
   12       1.197755461446e-10       1.712522647069e-15       3.123735421642e-13       0.000000000000e+00       7.614961374310e-10       6.649004313432e-11      -2.631494630030e-14 
   13       1.206200868684e-10       2.129709552442e-15       3.385958051590e-13       0.000000000000e+00       6.709482005410e-10       5.936234639875e-11      -2.946046900121e-14 
   14       1.216243092910e-10       2.654445557197e-15       3.654933098085e-13       0.000000000000e+00       5.956273696678e-10       5.314096209484e-11      -3.248745534620e-14 
   15       1.227841707179e-10       3.294983260043e-15       3.923520303807e-13       0.000000000000e+00       5.322386877227e-10       4.792205524231e-11      -3.452816047617e-14 
   16       1.240553975931e-10       4.059074006039e-15       4.185660380299e-13       0.000000000000e+00       4.783541178528e-10       4.346340711965e-11      -3.606196793263e-14 
   17       1.254234198803e-10       4.954148836535e-15       4.435588439751e-13       0.000000000000e+00       4.321396372365e-10       3.960061902590e-11      -3.734861672517e-14 
   18       1.268492763752e-10       5.986970202894e-15       4.670268741738e-13       0.000000000000e+00       3.920411273396e-10       3.622490350297e-11      -3.849049462169e-14 
