# Matter power spectrum P(k) at redshift z=0
# for k=1.04564e-05 to 0.629212 h/Mpc,
# number of wavenumbers equal to 565
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045636895265e-05       5.098359804382e+01 
       2.310210007096e-05       1.095153289735e+02 
       3.579120394798e-05       1.670483914222e+02 
       4.855658483123e-05       2.241815238243e+02 
       6.143167598927e-05       2.812566115134e+02 
       7.445072707871e-05       3.385298316597e+02 
       8.764910043714e-05       3.962199925798e+02 
       1.010635801089e-04       4.545283482105e+02 
       1.147326974406e-04       5.136487641280e+02 
       1.286970771155e-04       5.737738288677e+02 
       1.429998075066e-04       6.350990915236e+02 
       1.576868391875e-04       6.978263145435e+02 
       1.728074153054e-04       7.621662490234e+02 
       1.884145372331e-04       8.283411376224e+02 
       2.045654683978e-04       8.965871182432e+02 
       2.213222783347e-04       9.671565672610e+02 
       2.387524276899e-04       1.040320470847e+03 
       2.569293929356e-04       1.116370804626e+03 
       2.759333267312e-04       1.195622921831e+03 
       2.958517459178e-04       1.278417931617e+03 
       3.167802337441e-04       1.365124987450e+03 
       3.388231357674e-04       1.456143399586e+03 
       3.620942196182e-04       1.551904440245e+03 
       3.867172571999e-04       1.652872659235e+03 
       4.128264738400e-04       1.759546453223e+03 
       4.405667926862e-04       1.872457620358e+03 
       4.700937850852e-04       1.992169527614e+03 
       5.015732205106e-04       2.119273459950e+03 
       5.351800957099e-04       2.254382700605e+03 
       5.710970164023e-04       2.398123947050e+03 
       6.095118117946e-04       2.551125578175e+03 
       6.506142889992e-04       2.714002638683e+03 
       6.945920874307e-04       2.887338463222e+03 
       7.416256762364e-04       3.071663360610e+03 
       7.918826491859e-04       3.267431192618e+03 
       8.455116012488e-04       3.474995163668e+03 
       9.026359993650e-04       3.694584639055e+03 
       9.633485582231e-04       3.926285146271e+03 
       1.027706669102e-03       4.170023754818e+03 
       1.095729382000e-03       4.425561693815e+03 
       1.167396302028e-03       4.692495510959e+03 
       1.242648548240e-03       4.970267041393e+03 
       1.321391676853e-03       5.258181476359e+03 
       1.403500242562e-03       5.555403053733e+03 
       1.488823507614e-03       5.861053176414e+03 
       1.577191735525e-03       6.174197077224e+03 
       1.668422526298e-03       6.493861064338e+03 
       1.762326742389e-03       6.819069982490e+03 
       1.858713707408e-03       7.148868278885e+03 
       1.957395500268e-03       7.482337054450e+03 
       2.058190291652e-03       7.818606680171e+03 
       2.160924763723e-03       8.156864673722e+03 
       2.265435714589e-03       8.496361037582e+03 
       2.371570979640e-03       8.836409740212e+03 
       2.479189809537e-03       9.176388209261e+03 
       2.588162836962e-03       9.515735026648e+03 
       2.698371747996e-03       9.853947608818e+03 
       2.809708754221e-03       1.019057737371e+04 
       2.922075941680e-03       1.052522562474e+04 
       3.035384554624e-03       1.085754105163e+04 
       3.149554256503e-03       1.118721263088e+04 
       3.264512398016e-03       1.151396937271e+04 
       3.380193312178e-03       1.183757198544e+04 
       3.496537648924e-03       1.215781341758e+04 
       3.613491756255e-03       1.247451246840e+04 
       3.731007111031e-03       1.278751585430e+04 
       3.849039799835e-03       1.309668648535e+04 
       3.967550048514e-03       1.340191259679e+04 
       4.086501797918e-03       1.370309385701e+04 
       4.205862322692e-03       1.400015157802e+04 
       4.325601889678e-03       1.429301467413e+04 
       4.445693452424e-03       1.458162969630e+04 
       4.566112378336e-03       1.486594978835e+04 
       4.686836205195e-03       1.514593887000e+04 
       4.807844423989e-03       1.542151477966e+04 
       4.929118285218e-03       1.569277642194e+04 
       5.050640626138e-03       1.595963638170e+04 
       5.172395716588e-03       1.622208963873e+04 
       5.294369121369e-03       1.648008173664e+04 
       5.416547577270e-03       1.673381141860e+04 
       5.538918883132e-03       1.698314532926e+04 
       5.661471801448e-03       1.722808072493e+04 
       5.784195970222e-03       1.746786869366e+04 
       5.907081823930e-03       1.770410824862e+04 
       6.030120522556e-03       1.793597567789e+04 
       6.153303887826e-03       1.816356404203e+04 
       6.276624345823e-03       1.838683811518e+04 
       6.400074875300e-03       1.860605922708e+04 
       6.523648961061e-03       1.882099953046e+04 
       6.647340551869e-03       1.903189901487e+04 
       6.771144022388e-03       1.923828227889e+04 
       6.895054138743e-03       1.944065285779e+04 
       7.019066027308e-03       1.963895035002e+04 
       7.143175146388e-03       1.983317133225e+04 
       7.267377260507e-03       2.002326542752e+04 
       7.391668417012e-03       2.020949780701e+04 
       7.516044924790e-03       2.039220689436e+04 
       7.640503334865e-03       2.057053763172e+04 
       7.765040422692e-03       2.074496242245e+04 
       7.889653171992e-03       2.091557505394e+04 
       8.014338759972e-03       2.108236180563e+04 
       8.139094543792e-03       2.124539842593e+04 
       8.263918048171e-03       2.140477224971e+04 
       8.388806954026e-03       2.156039571497e+04 
       8.513759088029e-03       2.171233673918e+04 
       8.638772413032e-03       2.186071194666e+04 
       8.763845019239e-03       2.200545850823e+04 
       8.888975116104e-03       2.214677438001e+04 
       9.014161024847e-03       2.228446275561e+04 
       9.139401171565e-03       2.241883375095e+04 
       9.264694080874e-03       2.254884399783e+04 
       9.390038370037e-03       2.267715380882e+04 
       9.515432743532e-03       2.280054001719e+04 
       9.640875988041e-03       2.292221599471e+04 
       9.766366967799e-03       2.303889572042e+04 
       9.891904620297e-03       2.315422704109e+04 
       1.001748795230e-02       2.326533396409e+04 
       1.014311603613e-02       2.337345794629e+04 
       1.026878800629e-02       2.347738680899e+04 
       1.039450305622e-02       2.358021398272e+04 
       1.052026043539e-02       2.367891603059e+04 
       1.064605944653e-02       2.377478851464e+04 
       1.077189944310e-02       2.386669636996e+04 
       1.089777982689e-02       2.395754626801e+04 
       1.102370004585e-02       2.404452373656e+04 
       1.114965959202e-02       2.412873396644e+04 
       1.127565799962e-02       2.420996945553e+04 
       1.140169484330e-02       2.428860971525e+04 
       1.152776973644e-02       2.436443038628e+04 
       1.165388232966e-02       2.443750050320e+04 
       1.178003230936e-02       2.450717754524e+04 
       1.190621939642e-02       2.457460918647e+04 
       1.203244334492e-02       2.463988265025e+04 
       1.215870394102e-02       2.470247116169e+04 
       1.228500100187e-02       2.476252095973e+04 
       1.241133437466e-02       2.481989125828e+04 
       1.253770393561e-02       2.487596405640e+04 
       1.266410958921e-02       2.492873795873e+04 
       1.279055126736e-02       2.497792284331e+04 
       1.291702892867e-02       2.502681813894e+04 
       1.304354255775e-02       2.507133522168e+04 
       1.317009216463e-02       2.511449777580e+04 
       1.329667778411e-02       2.515642924801e+04 
       1.342329947530e-02       2.519446244217e+04 
       1.354995732109e-02       2.523019342225e+04 
       1.367665142772e-02       2.526512186277e+04 
       1.380338192434e-02       2.529660440287e+04 
       1.393014896270e-02       2.532800674878e+04 
       1.405695271676e-02       2.535455409087e+04 
       1.418379338242e-02       2.538091386790e+04 
       1.431067117723e-02       2.540461278711e+04 
       1.443758634017e-02       2.542617509807e+04 
       1.456453913144e-02       2.544624753051e+04 
       1.469152983225e-02       2.546442507723e+04 
       1.481855874471e-02       2.548005935358e+04 
       1.494562619168e-02       2.549456265812e+04 
       1.507273251664e-02       2.550774289401e+04 
       1.519987808368e-02       2.551768037590e+04 
       1.532706327735e-02       2.552632808340e+04 
       1.545428850272e-02       2.553291933474e+04 
       1.558155418530e-02       2.553811831031e+04 
       1.570886077108e-02       2.554133428616e+04 
       1.583620872653e-02       2.554332473582e+04 
       1.596359853870e-02       2.554383188322e+04 
       1.609103071523e-02       2.554185631148e+04 
       1.621850578447e-02       2.553871767474e+04 
       1.634602429559e-02       2.553470509659e+04 
       1.647358681867e-02       2.552856329167e+04 
       1.660119394486e-02       2.552067204101e+04 
       1.672884628657e-02       2.551073678229e+04 
       1.685654447757e-02       2.549990235924e+04 
       1.698428917326e-02       2.548856993117e+04 
       1.711208105083e-02       2.547405976658e+04 
       1.723992080952e-02       2.545908244464e+04 
       1.736780917082e-02       2.544270010517e+04 
       1.749574687879e-02       2.542492904367e+04 
       1.762373470028e-02       2.540592544201e+04 
       1.775177342524e-02       2.538548852043e+04 
       1.787986386705e-02       2.536376610878e+04 
       1.800800686282e-02       2.534061247436e+04 
       1.813620327374e-02       2.531724255997e+04 
       1.826445398545e-02       2.529126654458e+04 
       1.839275990839e-02       2.526460704442e+04 
       1.852112197823e-02       2.523720333442e+04 
       1.864954115623e-02       2.520805063514e+04 
       1.877801842973e-02       2.517796075841e+04 
       1.890655481254e-02       2.514676466527e+04 
       1.903515134541e-02       2.511456667891e+04 
       1.916380909655e-02       2.508137613570e+04 
       1.929252916208e-02       2.504692212153e+04 
       1.942131266657e-02       2.501161025615e+04 
       1.955016076358e-02       2.497522727642e+04 
       1.967907463618e-02       2.493794860694e+04 
       1.980805549758e-02       2.489963559136e+04 
       1.993710459169e-02       2.486022565453e+04 
       2.006622319371e-02       2.482027078907e+04 
       2.019541261083e-02       2.477904009241e+04 
       2.032467418283e-02       2.473722641721e+04 
       2.045400928277e-02       2.469426621085e+04 
       2.058341931772e-02       2.465095733638e+04 
       2.071290572944e-02       2.460636749274e+04 
       2.084246999515e-02       2.456087839458e+04 
       2.097211362830e-02       2.451482969716e+04 
       2.110183817936e-02       2.446813674004e+04 
       2.123164523666e-02       2.442091680027e+04 
       2.136153642718e-02       2.437194136177e+04 
       2.149151341750e-02       2.432285556424e+04 
       2.162157791463e-02       2.427302632220e+04 
       2.175173166699e-02       2.422332385548e+04 
       2.188197646534e-02       2.417138172241e+04 
       2.201231414379e-02       2.411958469830e+04 
       2.214274658078e-02       2.406708336849e+04 
       2.227327570018e-02       2.401399886588e+04 
       2.240390347233e-02       2.396016296298e+04 
       2.253463191519e-02       2.390594523510e+04 
       2.266546309548e-02       2.385108844101e+04 
       2.279639912987e-02       2.379561864295e+04 
       2.292744218621e-02       2.373957608546e+04 
       2.305859448477e-02       2.368301695547e+04 
       2.318985829960e-02       2.362651634671e+04 
       2.332123595983e-02       2.356837662244e+04 
       2.345272985106e-02       2.351028746184e+04 
       2.358434241683e-02       2.345172215155e+04 
       2.371607616008e-02       2.339265282556e+04 
       2.384793364466e-02       2.333378658412e+04 
       2.397991749692e-02       2.327323169617e+04 
       2.411203040737e-02       2.321286438325e+04 
       2.424427513232e-02       2.315265643408e+04 
       2.437665449561e-02       2.309085543049e+04 
       2.450917139044e-02       2.302975382639e+04 
       2.464182878122e-02       2.296723662989e+04 
