# Matter power spectrum P(k) at redshift z=0
# for k=1.04564e-05 to 0.629237 h/Mpc,
# number of wavenumbers equal to 563
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045636895265e-05       5.098359650975e+01 
       2.321083545878e-05       1.100124475495e+02 
       3.600956625023e-05       1.680312106324e+02 
       4.888632371302e-05       2.256495068507e+02 
       6.187542031120e-05       2.832154851588e+02 
       7.501201858507e-05       3.409904131525e+02 
       8.833244059495e-05       3.991978052939e+02 
       1.018744908507e-04       4.580435670709e+02 
       1.156777967987e-04       5.177263395860e+02 
       1.297841709709e-04       5.784437264664e+02 
       1.442379989093e-04       6.403966302753e+02 
       1.590866569298e-04       7.037926060626e+02 
       1.743809636376e-04       7.688487155504e+02 
       1.901756687794e-04       8.357941342437e+02 
       2.065299824414e-04       9.048726345696e+02 
       2.235081466488e-04       9.763450469722e+02 
       2.411800499526e-04       1.050491719199e+03 
       2.596218834004e-04       1.127615005207e+03 
       2.789168331437e-04       1.208041755666e+03 
       2.991558005400e-04       1.292125781780e+03 
       3.204381346227e-04       1.380250231787e+03 
       3.428723538685e-04       1.472829741390e+03 
       3.665768239456e-04       1.570312245027e+03 
       3.916803453011e-04       1.673180243938e+03 
       4.183225890226e-04       1.781951229663e+03 
       4.466543017475e-04       1.897176969642e+03 
       4.768371815595e-04       2.019441270166e+03 
       5.090433088723e-04       2.149355712011e+03 
       5.434540026643e-04       2.287552956775e+03 
       5.802579680765e-04       2.434677070325e+03 
       6.196486127785e-04       2.591370562326e+03 
       6.618204438838e-04       2.758257852176e+03 
       7.069645210130e-04       2.935925356797e+03 
       7.552630374274e-04       3.124898568078e+03 
       8.068832263289e-04       3.325617310208e+03 
       8.619709300109e-04       3.538410567237e+03 
       9.206443012125e-04       3.763472992514e+03 
       9.829881963530e-04       4.000845466060e+03 
       1.049049836531e-03       4.250401850315e+03 
       1.118836232555e-03       4.511843896517e+03 
       1.192313695114e-03       4.784705350350e+03 
       1.269409507799e-03       5.068365078325e+03 
       1.350015577806e-03       5.362066569458e+03 
       1.433993652875e-03       5.664909604417e+03 
       1.521181548009e-03       5.975992909923e+03 
       1.611399782325e-03       6.294331608291e+03 
       1.704458077741e-03       6.618923015956e+03 
       1.800161289214e-03       6.948771640478e+03 
       1.898314484776e-03       7.282909474581e+03 
       1.998727039814e-03       7.620412207816e+03 
       2.101215731575e-03       7.960409870572e+03 
       2.205606906479e-03       8.302094528465e+03 
       2.311737844203e-03       8.644723837121e+03 
       2.419457464329e-03       8.987621735406e+03 
       2.528626521861e-03       9.330176970212e+03 
       2.639117425086e-03       9.671840186532e+03 
       2.750813789750e-03       1.001212145431e+04 
       2.863609821932e-03       1.035058453393e+04 
       2.977409601369e-03       1.068684400389e+04 
       3.092126318725e-03       1.102055908978e+04 
       3.207681505192e-03       1.135143216282e+04 
       3.324004280724e-03       1.167920127865e+04 
       3.441030637967e-03       1.200363856709e+04 
       3.558702772031e-03       1.232454600936e+04 
       3.676968461296e-03       1.264175255095e+04 
       3.795780500939e-03       1.295511028045e+04 
       3.915096188548e-03       1.326449656044e+04 
       4.034876859653e-03       1.356979956455e+04 
       4.155087470114e-03       1.387093135662e+04 
       4.275696221833e-03       1.416781796947e+04 
       4.396674228069e-03       1.446039477042e+04 
       4.517995214653e-03       1.474861142790e+04 
       4.639635253534e-03       1.503243460034e+04 
       4.761572525310e-03       1.531180336608e+04 
       4.883787107639e-03       1.558671429521e+04 
       5.006260786709e-03       1.585719664917e+04 
       5.128976889198e-03       1.612318779990e+04 
       5.251920132428e-03       1.638464572095e+04 
       5.375076490655e-03       1.664172029228e+04 
       5.498433075668e-03       1.689435264551e+04 
       5.621978030068e-03       1.714250244128e+04 
       5.745700431782e-03       1.738544356631e+04 
       5.869590208558e-03       1.762473339459e+04 
       5.993638061291e-03       1.785959504757e+04 
       6.117835395209e-03       1.809001542873e+04 
       6.242174258032e-03       1.831623863832e+04 
       6.366647284332e-03       1.853802760026e+04 
       6.491247645417e-03       1.875555955963e+04 
       6.615969004129e-03       1.896896410643e+04 
       6.740805474032e-03       1.917808136062e+04 
       6.865751582514e-03       1.938298345069e+04 
       6.990802237387e-03       1.958374003397e+04 
       7.115952696628e-03       1.978038526833e+04 
       7.241198540911e-03       1.997290706101e+04 
       7.366535648674e-03       2.016124352605e+04 
       7.491960173426e-03       2.034565093643e+04 
       7.617468523103e-03       2.052667202097e+04 
       7.743057341244e-03       2.070319283363e+04 
       7.868723489814e-03       2.087580564105e+04 
       7.994464033521e-03       2.104456345297e+04 
       8.120276225465e-03       2.120952572670e+04 
       8.246157494015e-03       2.137077851140e+04 
       8.372105430773e-03       2.152823828947e+04 
       8.498117779544e-03       2.168192064731e+04 
       8.624192426203e-03       2.183209381464e+04 
       8.750327389391e-03       2.197857061695e+04 
       8.876520811953e-03       2.212153709359e+04 
       9.002770953055e-03       2.226085559558e+04 
       9.129076180930e-03       2.239683573527e+04 
       9.255434966178e-03       2.252920805101e+04 
       9.381845875590e-03       2.265836478032e+04 
       9.508307566444e-03       2.278301079004e+04 
       9.634818781231e-03       2.290639168410e+04 
       9.761378342781e-03       2.302535070980e+04 
       9.887985149744e-03       2.314045374720e+04 
       1.001463817242e-02       2.325375484244e+04 
       1.014133644887e-02       2.336325851559e+04 
       1.026807908136e-02       2.346943309034e+04 
       1.039486523297e-02       2.357157103842e+04 
       1.052169412457e-02       2.367189293851e+04 
       1.064856503191e-02       2.376902723370e+04 
       1.077547728295e-02       2.386309564000e+04 
       1.090243025540e-02       2.395431436216e+04 
       1.102942337442e-02       2.404292708660e+04 
       1.115645611044e-02       2.412889969823e+04 
       1.128352797722e-02       2.421148391380e+04 
       1.141063852997e-02       2.429119160156e+04 
       1.153778736360e-02       2.436830220014e+04 
       1.166497411118e-02       2.444258234899e+04 
       1.179219844238e-02       2.451324778998e+04 
       1.191946006213e-02       2.458219774221e+04 
       1.204675870929e-02       2.464855182398e+04 
       1.217409415548e-02       2.471320570132e+04 
       1.230146620396e-02       2.477439343868e+04 
       1.242887468857e-02       2.483169955438e+04 
       1.255631947279e-02       2.488823436929e+04 
       1.268380044883e-02       2.494303437414e+04 
       1.281131753680e-02       2.499298229084e+04 
       1.293887068396e-02       2.504330521899e+04 
       1.306645986401e-02       2.508987753595e+04 
       1.319408507639e-02       2.513338918023e+04 
       1.332174634573e-02       2.517626696647e+04 
       1.344944372128e-02       2.521464529959e+04 
       1.357717727635e-02       2.525242853484e+04 
       1.370494710791e-02       2.528795553837e+04 
       1.383275333613e-02       2.532144665730e+04 
       1.396059610395e-02       2.535188253384e+04 
       1.408847557682e-02       2.538221648673e+04 
       1.421639194228e-02       2.540818597332e+04 
       1.434434540976e-02       2.543401273419e+04 
       1.447233621026e-02       2.545557914265e+04 
       1.460036459616e-02       2.547680733573e+04 
       1.472843084103e-02       2.549545991035e+04 
       1.485653523944e-02       2.551292846383e+04 
       1.498467810682e-02       2.552886821772e+04 
       1.511285977938e-02       2.554228487353e+04 
       1.524108061398e-02       2.555286212289e+04 
       1.536934098805e-02       2.556315395328e+04 
       1.549764129961e-02       2.557020744220e+04 
       1.562598196718e-02       2.557654602592e+04 
       1.575436342982e-02       2.558191323443e+04 
       1.588278614712e-02       2.558463577656e+04 
       1.601125059925e-02       2.558509457720e+04 
       1.613975728706e-02       2.558492500823e+04 
       1.626830673206e-02       2.558205055193e+04 
       1.639689947662e-02       2.557847341686e+04 
       1.652553608404e-02       2.557373816849e+04 
       1.665421713865e-02       2.556673048795e+04 
       1.678294324603e-02       2.555760887338e+04 
       1.691171503313e-02       2.554796986002e+04 
       1.704053314847e-02       2.553652014321e+04 
       1.716939826234e-02       2.552450143852e+04 
       1.729831106701e-02       2.551008129044e+04 
       1.742727227700e-02       2.549438637328e+04 
       1.755628262928e-02       2.547705716469e+04 
       1.768534288359e-02       2.545878301378e+04 
       1.781445382271e-02       2.543916318107e+04 
       1.794361625272e-02       2.541883228212e+04 
       1.807283100339e-02       2.539602964704e+04 
       1.820209892848e-02       2.537256779843e+04 
       1.833142090607e-02       2.534799951960e+04 
       1.846079783897e-02       2.532200755013e+04 
       1.859023065508e-02       2.529501652128e+04 
       1.871972030782e-02       2.526677103650e+04 
       1.884926777650e-02       2.523750187982e+04 
       1.897887406681e-02       2.520703881465e+04 
       1.910854021126e-02       2.517548623491e+04 
       1.923826726963e-02       2.514266132028e+04 
       1.936805632949e-02       2.510887355235e+04 
       1.949790850668e-02       2.507428493581e+04 
       1.962782494588e-02       2.503839607050e+04 
       1.975780682111e-02       2.500158442453e+04 
       1.988785533634e-02       2.496379980070e+04 
       2.001797172604e-02       2.492513189086e+04 
       2.014815725581e-02       2.488547655972e+04 
       2.027841322299e-02       2.484490133030e+04 
       2.040874095732e-02       2.480346796062e+04 
       2.053914182161e-02       2.476108437604e+04 
       2.066961721243e-02       2.471834221910e+04 
       2.080016856081e-02       2.467382494937e+04 
       2.093079733300e-02       2.462861342571e+04 
       2.106150503122e-02       2.458287009850e+04 
       2.119229319442e-02       2.453715153143e+04 
       2.132316339916e-02       2.448895696573e+04 
       2.145411726037e-02       2.444085844418e+04 
       2.158515643225e-02       2.439203583716e+04 
       2.171628260915e-02       2.434246332354e+04 
       2.184749752651e-02       2.429239051454e+04 
       2.197880296176e-02       2.424114130830e+04 
       2.211020073534e-02       2.418945565282e+04 
       2.224169271170e-02       2.413705949538e+04 
       2.237328080031e-02       2.408407942092e+04 
