# Matter power spectrum P(k) at redshift z=0
# for k=1.04564e-05 to 0.627748 h/Mpc,
# number of wavenumbers equal to 666
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045636895265e-05       5.098359345356e+01 
       1.928837002194e-05       9.202427987411e+01 
       2.813913352194e-05       1.324617655472e+02 
       3.701984724142e-05       1.725756182835e+02 
       4.594180367704e-05       2.125279747443e+02 
       5.491644746715e-05       2.524351502547e+02 
       6.395542366797e-05       2.923911329604e+02 
       7.307062718469e-05       3.324774674323e+02 
       8.227425367217e-05       3.727685175924e+02 
       9.157885222387e-05       4.133343874387e+02 
       1.009973801708e-04       4.542427882629e+02 
       1.105432603168e-04       4.955603432645e+02 
       1.202304409385e-04       5.373534946032e+02 
       1.300734588810e-04       5.796892592616e+02 
       1.400875060785e-04       6.226358252693e+02 
       1.502884998246e-04       6.662630701339e+02 
       1.606931571061e-04       7.106430368324e+02 
       1.713190732983e-04       7.558503698139e+02 
       1.821848054879e-04       8.019627481964e+02 
       1.933099606553e-04       8.490612774135e+02 
       2.047152888839e-04       8.972309188189e+02 
       2.164227816899e-04       9.465608862020e+02 
       2.284557754603e-04       9.971450595848e+02 
       2.408390598474e-04       1.049082400331e+03 
       2.535989907915e-04       1.102477375915e+03 
       2.667636076176e-04       1.157440365911e+03 
       2.803627533643e-04       1.214088088632e+03 
       2.944281971539e-04       1.272544002391e+03 
       3.089937569792e-04       1.332938698841e+03 
       3.240954207581e-04       1.395410267540e+03 
       3.397714628914e-04       1.460104624398e+03 
       3.560625528234e-04       1.527175787230e+03 
       3.730118512741e-04       1.596786072438e+03 
       3.906650888607e-04       1.669106211071e+03 
       4.090706207954e-04       1.744315324742e+03 
       4.282794502444e-04       1.822600764856e+03 
       4.483452118225e-04       1.904157759254e+03 
       4.693241056418e-04       1.989188848243e+03 
       4.912747714388e-04       2.077903035820e+03 
       5.142580917080e-04       2.170514659729e+03 
       5.383369126326e-04       2.267241902746e+03 
       5.635756721341e-04       2.368304947647e+03 
       5.900399257652e-04       2.473923693037e+03 
       6.177957636635e-04       2.584315093185e+03 
       6.469091155439e-04       2.699690074200e+03 
       6.774449458269e-04       2.820249981708e+03 
       7.094663474558e-04       2.946182843201e+03 
       7.430335505247e-04       3.077659236091e+03 
       7.782028701055e-04       3.214828077531e+03 
       8.150256259404e-04       3.357812412068e+03 
       8.535470740942e-04       3.506705399883e+03 
       8.938053962353e-04       3.661566608446e+03 
       9.358307949259e-04       3.822418949456e+03 
       9.796447423519e-04       3.989246300348e+03 
       1.025259424840e-03       4.161992064280e+03 
       1.072677416361e-03       4.340558757342e+03 
       1.121891601645e-03       4.524808619873e+03 
       1.172885354662e-03       4.714565425976e+03 
       1.225632962720e-03       4.909617139357e+03 
       1.280100271777e-03       5.109719662660e+03 
       1.336245516554e-03       5.314601014989e+03 
       1.394020290514e-03       5.523942412179e+03 
       1.453370606581e-03       5.737448029489e+03 
       1.514237999405e-03       5.954796857823e+03 
       1.576560623602e-03       6.175654750494e+03 
       1.640274308787e-03       6.399684050258e+03 
       1.705313540322e-03       6.626547630568e+03 
       1.771612343464e-03       6.855912711519e+03 
       1.839105057151e-03       7.087453596105e+03 
       1.907726991306e-03       7.320854459970e+03 
       1.977414967942e-03       7.555811150844e+03 
       2.048107751225e-03       7.792032935351e+03 
       2.119746375135e-03       8.029243232088e+03 
       2.192274379519e-03       8.267180642921e+03 
       2.265637966357e-03       8.505599018288e+03 
       2.339786088285e-03       8.744267533716e+03 
       2.414670480960e-03       8.982970638496e+03 
       2.490245650023e-03       9.221507405879e+03 
       2.566468822312e-03       9.459691523141e+03 
       2.643299869750e-03       9.697348883335e+03 
       2.720701213157e-03       9.934320732913e+03 
       2.798637712005e-03       1.017045905545e+04 
       2.877076545110e-03       1.040562788794e+04 
       2.955987086259e-03       1.063970232504e+04 
       3.035340777956e-03       1.087256646778e+04 
       3.115111005734e-03       1.110411583910e+04 
       3.195272974901e-03       1.133425429800e+04 
       3.275803591092e-03       1.156289377993e+04 
       3.356681345566e-03       1.178995145349e+04 
       3.437886205922e-03       1.201535586968e+04 
       3.519399512594e-03       1.223904002810e+04 
       3.601203881327e-03       1.246094110414e+04 
       3.683283111673e-03       1.268100602115e+04 
