# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.445872536496e-10       3.595207063125e-15       3.447057508773e-13       0.000000000000e+00       8.573325243959e-09       4.672792638341e-10      -1.740059138917e-12 
    3       1.372008002263e-10       4.036682359467e-15       3.707405335953e-13       0.000000000000e+00       5.299975094250e-09       3.313245107248e-10      -1.205411583947e-12 
    4       1.303103850460e-10       3.074783977955e-15       3.377792805790e-13       0.000000000000e+00       3.689049904464e-09       2.502520527254e-10      -6.936457480749e-13 
    5       1.252916958114e-10       1.871241024016e-15       2.862418217863e-13       0.000000000000e+00       2.751697736055e-09       1.971664598184e-10      -3.082798016044e-13 
    6       1.219666121704e-10       1.075768329827e-15       2.368876551435e-13       0.000000000000e+00       2.147404392571e-09       1.601224282737e-10      -6.423840861881e-14 
    7       1.199165959051e-10       7.232750149954e-16       2.002344853064e-13       0.000000000000e+00       1.730403174508e-09       1.330655354496e-10       5.687214900183e-14 
    8       1.188164610098e-10       6.020118243880e-16       1.791892283200e-13       0.000000000000e+00       1.428076904299e-09       1.126271808380e-10       8.881582185332e-14 
    9       1.183981697823e-10       5.560929155839e-16       1.725319051496e-13       0.000000000000e+00       1.200922690516e-09       9.679072204488e-11       6.851465656126e-14 
   10       1.185100064307e-10       5.458960478316e-16       1.771282418408e-13       0.000000000000e+00       1.025740003604e-09       8.424521940062e-11       2.798902507856e-14 
   11       1.190013322739e-10       5.830323159787e-16       1.894133568256e-13       0.000000000000e+00       8.653774537495e-10       7.437347391787e-11      -9.554567665665e-15 
   12       1.197558163043e-10       6.752637269691e-16       2.062628545663e-13       0.000000000000e+00       7.556091564237e-10       6.587616048943e-11      -3.397120568923e-14 
   13       1.207412736273e-10       8.196854159138e-16       2.254220852167e-13       0.000000000000e+00       6.655340428412e-10       5.856736123804e-11      -4.277563799969e-14 
   14       1.219310537858e-10       1.015135249414e-15       2.454749879037e-13       0.000000000000e+00       5.906243123571e-10       5.254440374097e-11      -3.901883223506e-14 
   15       1.232823009949e-10       1.266464026394e-15       2.655811563528e-13       0.000000000000e+00       5.276075427554e-10       4.741816126244e-11      -2.956322021665e-14 
   16       1.247194516631e-10       1.579630446426e-15       2.855544886681e-13       0.000000000000e+00       4.740502143857e-10       4.291120926281e-11      -2.068427299502e-14 
   17       1.262749565628e-10       1.957836573953e-15       3.054989990285e-13       0.000000000000e+00       4.281253732066e-10       3.902679141141e-11      -1.554364911445e-14 
   18       1.279146916632e-10       2.402976718535e-15       3.252798245906e-13       0.000000000000e+00       3.882827722834e-10       3.564489279868e-11      -1.515295823508e-14 
   19       1.296443134883e-10       2.918168155726e-15       3.447209856201e-13       0.000000000000e+00       3.538850659005e-10       3.271290780659e-11      -1.835944953514e-14 
   20       1.314322984198e-10       3.506387484163e-15       3.635656984839e-13       0.000000000000e+00       3.236032991529e-10       3.013576619189e-11      -2.288936154231e-14 
   21       1.332789102243e-10       4.171069120327e-15       3.813206334668e-13       0.000000000000e+00       2.969585384547e-10       2.785435183927e-11      -2.696486759459e-14 
   22       1.351640567717e-10       4.915619823660e-15       3.973905730911e-13       0.000000000000e+00       2.733097899757e-10       2.578733626735e-11      -2.899553136723e-14 
   23       1.371023877094e-10       5.744040267980e-15       4.114799399258e-13       0.000000000000e+00       2.523296022996e-10       2.392540550147e-11      -2.892534364827e-14 
   24       1.390949432105e-10       6.660524013994e-15       4.233977987985e-13       0.000000000000e+00       2.335308065301e-10       2.225962810535e-11      -2.737694960243e-14 
   25       1.411345886703e-10       7.669694170480e-15       4.329856859501e-13       0.000000000000e+00       2.166904649099e-10       2.077550381589e-11      -2.520667889031e-14 
   26       1.431968267670e-10       8.776159980962e-15       4.401388410629e-13       0.000000000000e+00       2.015020031920e-10       1.943994092356e-11      -2.340903184671e-14 
   27       1.452847993699e-10       9.983734782135e-15       4.449054687051e-13       0.000000000000e+00       1.877822994882e-10       1.822486361649e-11      -2.251681130916e-14 
   28       1.473995080844e-10       1.129581699555e-14       4.473719967047e-13       0.000000000000e+00       1.752940293167e-10       1.709761523333e-11      -2.281328661772e-14 
   29       1.495483047292e-10       1.271564989414e-14       4.474134929751e-13       0.000000000000e+00       1.639725526818e-10       1.605944435754e-11      -2.392580628409e-14 
   30       1.517268480777e-10       1.424622036473e-14       4.448262180517e-13       0.000000000000e+00       1.536952330505e-10       1.511482378572e-11      -2.513597821006e-14 
   31       1.539199948241e-10       1.589025509195e-14       4.394013113464e-13       0.000000000000e+00       1.442512051618e-10       1.425951940495e-11      -2.571033089363e-14 
   32       1.561340902010e-10       1.765038110621e-14       4.309933326672e-13       0.000000000000e+00       1.355912097429e-10       1.348478685968e-11      -2.563047953211e-14 
   33       1.583740114471e-10       1.952899343703e-14       4.194758819666e-13       0.000000000000e+00       1.276537011802e-10       1.277293165514e-11      -2.513823259947e-14 
   34       1.606373234781e-10       2.152816555482e-14       4.047422535022e-13       0.000000000000e+00       1.203271728929e-10       1.210238777626e-11      -2.450917109142e-14 
   35       1.629278427045e-10       2.364954428473e-14       3.867706085374e-13       0.000000000000e+00       1.135736225666e-10       1.147273761161e-11      -2.390014494860e-14 
   36       1.652449600965e-10       2.589438470883e-14       3.655832590384e-13       0.000000000000e+00       1.073382425655e-10       1.088760768583e-11      -2.345311968333e-14 
   37       1.675829445436e-10       2.826362447573e-14       3.412107906575e-13       0.000000000000e+00       1.015391937415e-10       1.034783220207e-11      -2.329695478389e-14 
   38       1.699442099523e-10       3.075811352055e-14       3.136229089855e-13       0.000000000000e+00       9.616123126020e-11       9.851671597944e-12      -2.340996618994e-14 
   39       1.723291204132e-10       3.337843221972e-14       2.827752817183e-13       0.000000000000e+00       9.118713318416e-11       9.394146090830e-12      -2.371101248783e-14 
   40       1.747315972080e-10       3.612481132050e-14       2.486276964939e-13       0.000000000000e+00       8.656923839256e-11       8.966588075087e-12      -2.409407006758e-14 
   41       1.771431687328e-10       3.899716855830e-14       2.111430035240e-13       0.000000000000e+00       8.224599635254e-11       8.559449190134e-12      -2.445241340550e-14 
   42       1.795682860268e-10       4.199526779969e-14       1.702842051160e-13       0.000000000000e+00       7.820447477752e-11       8.172550560722e-12      -2.476478309698e-14 
   43       1.820128865926e-10       4.511858723119e-14       1.260159456541e-13       0.000000000000e+00       7.443373405273e-11       7.807658215731e-12      -2.503435557303e-14 
   44       1.844797898385e-10       4.836626184940e-14       7.830487782872e-14       0.000000000000e+00       7.090607116647e-11       7.465572150760e-12      -2.526530305602e-14 
   45       1.869696456765e-10       5.173705181815e-14       2.712630018984e-14       0.000000000000e+00       6.758686494475e-11       7.146229805201e-12      -2.546287643535e-14 
   46       1.894849062274e-10       5.522926236829e-14      -2.751277843781e-14       0.000000000000e+00       6.447076313959e-11       6.849265073431e-12      -2.563355650264e-14 
   47       1.920264728794e-10       5.884078110399e-14      -8.559037498051e-14       0.000000000000e+00       6.155404616655e-11       6.573463608046e-12      -2.578503955953e-14 
   48       1.945922628579e-10       6.256908454128e-14      -1.470758379599e-13       0.000000000000e+00       5.882371651475e-11       6.316507362971e-12      -2.592626643016e-14 
   49       1.971769488303e-10       6.641122584402e-14      -2.119297793371e-13       0.000000000000e+00       5.625680940108e-11       6.074895894263e-12      -2.606747799864e-14 
   50       1.997745850808e-10       7.036399899756e-14      -2.801076444935e-13       0.000000000000e+00       5.382728636069e-11       5.844909983578e-12      -2.621718071435e-14 
   51       2.023879305311e-10       7.442451231760e-14      -3.515717226868e-13       0.000000000000e+00       5.153052124960e-11       5.625993450204e-12      -2.637194322214e-14 
   52       2.050212062385e-10       7.858974941478e-14      -4.262822788857e-13       0.000000000000e+00       4.936426911429e-11       5.418153257292e-12      -2.652392614277e-14 
   53       2.076773084017e-10       8.285640249579e-14      -5.041943011760e-13       0.000000000000e+00       4.732133954637e-11       5.220968473768e-12      -2.666364229736e-14 
   54       2.103576838043e-10       8.722086840242e-14      -5.852576038102e-13       0.000000000000e+00       4.538926418085e-11       5.033560625616e-12      -2.677986683172e-14 
   55       2.130628553599e-10       9.167917780855e-14      -6.694151539014e-13       0.000000000000e+00       4.355408342431e-11       4.854908795547e-12      -2.686153462432e-14 
   56       2.157944369854e-10       9.622677128863e-14      -7.565973286420e-13       0.000000000000e+00       4.181356996416e-11       4.684954509894e-12      -2.690419038102e-14 
   57       2.185534010942e-10       1.008586606817e-13      -8.467264119558e-13       0.000000000000e+00       4.016670786008e-11       4.523719397288e-12      -2.690498345785e-14 
   58       2.213393752788e-10       1.055694846371e-13      -9.397182789690e-13       0.000000000000e+00       3.860969285776e-11       4.370968624326e-12      -2.686080878646e-14 
   59       2.241505430830e-10       1.103535020489e-13      -1.035482429852e-12       0.000000000000e+00       3.713576037668e-11       4.226194678613e-12      -2.676829442502e-14 
   60       2.269835447732e-10       1.152045854910e-13      -1.133922023660e-12       0.000000000000e+00       3.573501349787e-11       4.088601151793e-12      -2.662378910902e-14 
   61       2.298349290635e-10       1.201164889290e-13      -1.234937389036e-12       0.000000000000e+00       3.439716155659e-11       3.957330467654e-12      -2.642518043827e-14 
   62       2.327061135553e-10       1.250837359286e-13      -1.338437400594e-12       0.000000000000e+00       3.312084338237e-11       3.832243485923e-12      -2.617785450292e-14 
   63       2.355993667061e-10       1.301009200725e-13      -1.444330727758e-12       0.000000000000e+00       3.190610104533e-11       3.713286908001e-12      -2.589005795606e-14 
   64       2.385163061001e-10       1.351624503702e-13      -1.552522724541e-12       0.000000000000e+00       3.075157583207e-11       3.600256464519e-12      -2.557123015074e-14 
   65       2.414578484308e-10       1.402625533957e-13      -1.662915573706e-12       0.000000000000e+00       2.965442858465e-11       3.492788438573e-12      -2.523204877545e-14 
   66       2.444241594825e-10       1.453952754245e-13      -1.775408430922e-12       0.000000000000e+00       2.861026003971e-11       3.390351188951e-12      -2.488447548977e-14 
   67       2.474146041132e-10       1.505544845714e-13      -1.889897568929e-12       0.000000000000e+00       2.761303116748e-11       3.292236673365e-12      -2.454180155984e-14 
   68       2.504283506020e-10       1.557338902445e-13      -2.006275474191e-12       0.000000000000e+00       2.665667035099e-11       3.197747376229e-12      -2.421585286836e-14 
   69       2.534664376950e-10       1.609271013090e-13      -2.124427602075e-12       0.000000000000e+00       2.574045114923e-11       3.106820023078e-12      -2.390784529066e-14 
   70       2.565300384679e-10       1.661275836027e-13      -2.244235220141e-12       0.000000000000e+00       2.486456611067e-11       3.019513599748e-12      -2.361574984520e-14 
   71       2.596198103338e-10       1.713286461961e-13      -2.365576512736e-12       0.000000000000e+00       2.402850048263e-11       2.935821713125e-12      -2.333694284142e-14 
   72       2.627358617612e-10       1.765234439717e-13      -2.488326698367e-12       0.000000000000e+00       2.323099569204e-11       2.855669111934e-12      -2.306817886498e-14 
   73       2.658777189920e-10       1.817049802052e-13      -2.612358147067e-12       0.000000000000e+00       2.247001282617e-11       2.778908207530e-12      -2.280556376312e-14 
   74       2.690442927595e-10       1.868661091450e-13      -2.737540497767e-12       0.000000000000e+00       2.174269611333e-11       2.705315594683e-12      -2.254452762987e-14 
   75       2.722338450063e-10       1.919995385929e-13      -2.863740775664e-12       0.000000000000e+00       2.104533640369e-11       2.634588572371e-12      -2.227979779141e-14 
   76       2.754446352753e-10       1.970980084895e-13      -2.990825232698e-12       0.000000000000e+00       2.037428872896e-11       2.566424515837e-12      -2.200696845888e-14 
