# Matter power spectrum P(k) at redshift z=0
# for k=1.06246e-05 to 0.640484 h/Mpc,
# number of wavenumbers equal to 560
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.062460845648e-05       4.920757679171e+01 
       2.374023033948e-05       1.068570325543e+02 
       3.690362466473e-05       1.635221705372e+02 
       5.015151393102e-05       2.198108180761e+02 
       6.352124976507e-05       2.760722563389e+02 
       7.705115817247e-05       3.325704707060e+02 
       9.078089621002e-05       3.895327630537e+02 
       1.047518249836e-04       4.471697433562e+02 
       1.190074039118e-04       5.056856241282e+02 
       1.335936112309e-04       5.652845189853e+02 
       1.485593957136e-04       6.261748604442e+02 
       1.639571644894e-04       6.885728848456e+02 
       1.798433116180e-04       7.527056355385e+02 
       1.962787915913e-04       8.188137385186e+02 
       2.133297410993e-04       8.871540737743e+02 
       2.310681510319e-04       9.580024271972e+02 
       2.495725885824e-04       1.031656159712e+03 
       2.689289662016e-04       1.108436883527e+03 
       2.892313496769e-04       1.188693132128e+03 
       3.105827913772e-04       1.272802959897e+03 
       3.330961662404e-04       1.361176366845e+03 
       3.568949769156e-04       1.454257409156e+03 
       3.821140801865e-04       1.552525785824e+03 
       4.089002691808e-04       1.656497637938e+03 
       4.374126251164e-04       1.766725198872e+03 
       4.678225294007e-04       1.883794897288e+03 
       5.003132038902e-04       2.008323396403e+03 
       5.350786277612e-04       2.140951035633e+03 
       5.723216695104e-04       2.282332140734e+03 
       6.122512799084e-04       2.433121714861e+03 
       6.550786255632e-04       2.593958228402e+03 
       7.010121120580e-04       2.765442562682e+03 
       7.502513558604e-04       2.948113532377e+03 
       8.029803128922e-04       3.142421137356e+03 
       8.593599440074e-04       3.348699161150e+03 
       9.195209642902e-04       3.567139465737e+03 
       9.835573429199e-04       3.797770549780e+03 
       1.051521250103e-03       4.040442982247e+03 
       1.123420057098e-03       4.294823948838e+03 
       1.199215782889e-03       4.560401904898e+03 
       1.278827080755e-03       4.836501561968e+03 
       1.362133533023e-03       5.122307508845e+03 
       1.448981745471e-03       5.416879039658e+03 
       1.539192561426e-03       5.719209375138e+03 
       1.632568673807e-03       6.028268945673e+03 
       1.728901988976e-03       6.342997789172e+03 
       1.827980250644e-03       6.662348809884e+03 
       1.929592618196e-03       6.985308862529e+03 
       2.033534070512e-03       7.310914797090e+03 
       2.139608647739e-03       7.638264604712e+03 
       2.247631639453e-03       7.966524002980e+03 
       2.357430880083e-03       8.294929565999e+03 
       2.468847330303e-03       8.622788707555e+03 
       2.581735117109e-03       8.949478406097e+03 
       2.695961185570e-03       9.274440606558e+03 
       2.811404689431e-03       9.597179461039e+03 
       2.927956221134e-03       9.917255945233e+03 
       3.045516957361e-03       1.023428289789e+04 
       3.163997775318e-03       1.054792220440e+04 
       3.283318378182e-03       1.085787565096e+04 
       3.403406454990e-03       1.116388679224e+04 
       3.524196890504e-03       1.146573020902e+04 
       3.645631033449e-03       1.176321439309e+04 
       3.767656026567e-03       1.205617171958e+04 
       3.890224198516e-03       1.234446155909e+04 
       4.013292515499e-03       1.262796447177e+04 
       4.136822089151e-03       1.290657870431e+04 
       4.260777736509e-03       1.318022391038e+04 
       4.385127587603e-03       1.344883032053e+04 
       4.509842736141e-03       1.371234710476e+04 
       4.634896928946e-03       1.397073195198e+04 
       4.760266290048e-03       1.422395847462e+04 
       4.885929075628e-03       1.447197559555e+04 
       5.011865456372e-03       1.471483658996e+04 
       5.138057324102e-03       1.495250098696e+04 
       5.264488119898e-03       1.518497429881e+04 
       5.391142681209e-03       1.541233753633e+04 
       5.518007105752e-03       1.563452979226e+04 
       5.645068630232e-03       1.585160211655e+04 
       5.772315522163e-03       1.606358753974e+04 
       5.899736983271e-03       1.627050535953e+04 
       6.027323063124e-03       1.647239451893e+04 
       6.155064581837e-03       1.666929476594e+04 
       6.282953060788e-03       1.686126331796e+04 
       6.410980660455e-03       1.704834074369e+04 
       6.539140124560e-03       1.723057719498e+04 
       6.667424729825e-03       1.740778410054e+04 
       6.795828240708e-03       1.758055066669e+04 
       6.924344868583e-03       1.774859670581e+04 
       7.052969234873e-03       1.791203596808e+04 
       7.181696337718e-03       1.807090284240e+04 
       7.310521521795e-03       1.822527950048e+04 
       7.439440450968e-03       1.837520432461e+04 
       7.568449083452e-03       1.852072694216e+04 
       7.697543649266e-03       1.866195561708e+04 
       7.826720629705e-03       1.879892717254e+04 
       7.955976738650e-03       1.893169014361e+04 
       8.085308905532e-03       1.906030525988e+04 
