# Matter power spectrum P(k) at redshift z=0
# for k=1.04383e-05 to 0.628015 h/Mpc,
# number of wavenumbers equal to 561
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.043826635766e-05       5.124847661437e+01 
       2.328180449165e-05       1.110955941220e+02 
       3.617029757386e-05       1.699149707415e+02 
       4.913822172267e-05       2.283301339791e+02 
       6.222062044838e-05       2.866970294847e+02 
       7.545341532077e-05       3.452830569459e+02 
       8.887372652116e-05       4.043172352618e+02 
       1.025202075192e-04       4.640108056850e+02 
       1.164333981474e-04       5.245677735149e+02 
       1.306561003805e-04       5.861913151068e+02 
       1.452337811313e-04       6.490882036533e+02 
       1.602150063225e-04       7.134722771356e+02 
       1.756519103194e-04       7.795673914844e+02 
       1.916007044542e-04       8.476101170724e+02 
       2.081222277393e-04       9.178523243549e+02 
       2.252825418269e-04       9.905637423899e+02 
       2.431535706667e-04       1.066034528082e+03 
       2.618137829261e-04       1.144577848885e+03 
       2.813489118110e-04       1.226532479244e+03 
       3.018527021337e-04       1.312265368192e+03 
       3.234276679573e-04       1.402174067890e+03 
       3.461858355072e-04       1.496688958352e+03 
       3.702494349111e-04       1.596275064337e+03 
       3.957514904487e-04       1.701433258740e+03 
       4.228362423708e-04       1.812700548456e+03 
       4.516593144568e-04       1.930649135028e+03 
       4.823875215922e-04       2.055883748206e+03 
       5.151981931558e-04       2.189036839393e+03 
       5.502778748091e-04       2.330761087167e+03 
       5.878202689754e-04       2.481718741352e+03 
       6.280232899859e-04       2.642567408928e+03 
       6.710851513101e-04       2.813942180379e+03 
       7.171994759335e-04       2.996434150933e+03 
       7.665495290123e-04       3.190566090014e+03 
       8.193018086978e-04       3.396766401134e+03 
       8.755993797798e-04       3.615343075028e+03 
       9.355554673570e-04       3.846459966491e+03 
       9.992479085277e-04       4.090117833263e+03 
       1.066715055606e-03       4.346142407816e+03 
       1.137953615857e-03       4.614181329386e+03 
       1.212918707162e-03       4.893710815950e+03 
       1.291526141892e-03       5.184051676507e+03 
       1.373656678407e-03       5.484378572070e+03 
       1.459161759477e-03       5.793763517774e+03 
       1.547870131662e-03       6.111247681303e+03 
       1.639594723134e-03       6.435806633080e+03 
       1.734139234754e-03       6.766405004856e+03 
       1.831304036838e-03       7.102020963791e+03 
       1.930891123170e-03       7.441665947342e+03 
       2.032708022157e-03       7.784400102823e+03 
       2.136570682597e-03       8.129342226346e+03 
       2.242305430963e-03       8.475676477464e+03 
       2.349750140525e-03       8.822655227831e+03 
       2.458754767387e-03       9.169599214633e+03 
       2.569181403455e-03       9.515896115343e+03 
       2.680903979789e-03       9.860995975352e+03 
       2.793807731961e-03       1.020441012711e+04 
       2.907788516331e-03       1.054570387434e+04 
       3.022752045194e-03       1.088449446480e+04 
       3.138613090605e-03       1.122044378068e+04 
       3.255294692004e-03       1.155325784176e+04 
       3.372727391161e-03       1.188267710861e+04 
       3.490848509230e-03       1.220847771046e+04 
       3.609601474263e-03       1.253046330556e+04 
       3.728935202980e-03       1.284846877041e+04 
       3.848803537436e-03       1.316234682674e+04 
       3.969164735135e-03       1.347197630642e+04 
       4.089981009874e-03       1.377725059018e+04 
       4.211218119840e-03       1.407808514307e+04 
       4.332844999126e-03       1.437440460883e+04 
       4.454833428757e-03       1.466615313440e+04 
       4.577157743401e-03       1.495328247928e+04 
       4.699794570108e-03       1.523575467058e+04 
       4.822722595690e-03       1.551350847535e+04 
       4.945922359623e-03       1.578660605300e+04 
       5.069376069644e-03       1.605497638284e+04 
       5.193067437478e-03       1.631863066593e+04 
       5.316981532428e-03       1.657763893675e+04 
       5.441104650783e-03       1.683193932260e+04 
       5.565424199235e-03       1.708156121609e+04 
       5.689928590705e-03       1.732651320937e+04 
       5.814607151170e-03       1.756681516360e+04 
       5.939450036221e-03       1.780249072161e+04 
       6.064448156271e-03       1.803357095038e+04 
       6.189593109424e-03       1.825969271214e+04 
       6.314877121154e-03       1.848166462484e+04 
       6.440292990035e-03       1.869914528272e+04 
       6.565834038865e-03       1.891224108648e+04 
       6.691494070574e-03       1.912089649702e+04 
       6.817267328422e-03       1.932516391522e+04 
       6.943148460005e-03       1.952512628491e+04 
       7.069132484682e-03       1.972078360919e+04 
       7.195214764054e-03       1.991219095667e+04 
       7.321390975172e-03       2.009939186986e+04 
       7.447657086207e-03       2.028237177792e+04 
       7.574009334320e-03       2.046133535214e+04 
       7.700444205510e-03       2.063614338122e+04 
       7.826958416245e-03       2.080692274233e+04 
       7.953548896707e-03       2.097388275520e+04 
       8.080212775479e-03       2.113701088947e+04 
       8.206947365539e-03       2.129616033824e+04 
       8.333750151451e-03       2.145145180197e+04 
       8.460618777614e-03       2.160295784208e+04 
       8.587551037494e-03       2.175029340271e+04 
       8.714544863729e-03       2.189438806950e+04 
       8.841598319043e-03       2.203510617593e+04 
       8.968709587884e-03       2.217152274780e+04 
       9.095876968730e-03       2.230479327214e+04 
       9.223098866996e-03       2.243462065492e+04 
       9.350373788493e-03       2.256126981300e+04 
       9.477700333396e-03       2.268406939197e+04 
       9.605077190670e-03       2.280371030870e+04 
       9.732503132916e-03       2.291974894964e+04 
       9.859977011607e-03       2.303269312667e+04 
       9.987497752682e-03       2.314259351389e+04 
       1.011506435246e-02       2.324893717562e+04 
       1.024267587384e-02       2.335242021427e+04 
       1.037033144283e-02       2.345281544255e+04 
       1.049803024525e-02       2.355007407889e+04 
       1.062577152374e-02       2.364428638964e+04 
       1.075355457494e-02       2.373553761950e+04 
       1.088137874688e-02       2.382398312948e+04 
       1.100924343657e-02       2.390962182758e+04 
       1.113714808777e-02       2.399201665038e+04 
       1.126509218882e-02       2.407182714690e+04 
       1.139307527080e-02       2.414887243709e+04 
       1.152109690562e-02       2.422323781852e+04 
       1.164915670442e-02       2.429508429150e+04 
       1.177725431592e-02       2.436390156900e+04 
       1.190538942505e-02       2.443028302811e+04 
       1.203356175152e-02       2.449407537765e+04 
       1.216177104861e-02       2.455553867365e+04 
       1.229001710195e-02       2.461417611439e+04 
       1.241829972849e-02       2.467055493730e+04 
       1.254661877543e-02       2.472443188452e+04 
       1.267497411933e-02       2.477583697275e+04 
       1.280336566520e-02       2.482509623548e+04 
       1.293179334571e-02       2.487190596039e+04 
       1.306025712046e-02       2.491675218230e+04 
       1.318875697524e-02       2.495883103880e+04 
       1.331729292144e-02       2.499881213365e+04 
       1.344586499545e-02       2.503670391363e+04 
       1.357447325810e-02       2.507252134232e+04 
       1.370311779419e-02       2.510615821872e+04 
       1.383179871202e-02       2.513752929976e+04 
       1.396051614298e-02       2.516697025786e+04 
       1.408927024115e-02       2.519440125128e+04 
       1.421806118303e-02       2.521997286437e+04 
       1.434688916715e-02       2.524333695699e+04 
       1.447575441385e-02       2.526484084983e+04 
       1.460465716501e-02       2.528460083805e+04 
       1.473359768387e-02       2.530223461422e+04 
       1.486257625481e-02       2.531814279143e+04 
       1.499159318320e-02       2.533215617939e+04 
       1.512064879530e-02       2.534449181935e+04 
       1.524974343812e-02       2.535534209189e+04 
       1.537887747935e-02       2.536376798034e+04 
       1.550805130730e-02       2.537091271305e+04 
       1.563726533087e-02       2.537658936551e+04 
       1.576651997953e-02       2.538004005053e+04 
       1.589581570333e-02       2.538206890958e+04 
       1.602515297293e-02       2.538262795775e+04 
       1.615453227965e-02       2.538159517473e+04 
       1.628395413551e-02       2.537899145494e+04 
       1.641341907336e-02       2.537492215370e+04 
       1.654292764696e-02       2.536930094510e+04 
       1.667248043109e-02       2.536213126992e+04 
       1.680207802173e-02       2.535348142149e+04 
       1.693172103619e-02       2.534352486680e+04 
       1.706141011327e-02       2.533214389361e+04 
       1.719114591351e-02       2.531953065916e+04 
       1.732092911934e-02       2.530542368687e+04 
       1.745076043534e-02       2.528974083887e+04 
       1.758064058847e-02       2.527310553169e+04 
       1.771057032836e-02       2.525500594749e+04 
       1.784055042754e-02       2.523552342323e+04 
       1.797058168177e-02       2.521506363779e+04 
       1.810066491033e-02       2.519306405582e+04 
       1.823080095636e-02       2.516997217308e+04 
       1.836099068720e-02       2.514582787602e+04 
       1.849123499476e-02       2.512064021773e+04 
       1.862153479587e-02       2.509397797030e+04 
       1.875189103270e-02       2.506630911837e+04 
       1.888230467316e-02       2.503773351046e+04 
       1.901277671132e-02       2.500786977942e+04 
       1.914330816790e-02       2.497693773747e+04 
       1.927390009067e-02       2.494492838192e+04 
       1.940455355498e-02       2.491187951011e+04 
       1.953526966423e-02       2.487782189940e+04 
       1.966604955041e-02       2.484282759926e+04 
       1.979689437463e-02       2.480684849874e+04 
       1.992780532768e-02       2.477015947820e+04 
       2.005878363059e-02       2.473218878980e+04 
       2.018983053525e-02       2.469346029805e+04 
       2.032094732502e-02       2.465383395083e+04 
       2.045213531534e-02       2.461339453268e+04 
       2.058339585443e-02       2.457204809047e+04 
       2.071473032396e-02       2.452967009404e+04 
       2.084614013971e-02       2.448664955113e+04 
       2.097762675236e-02       2.444286679565e+04 
       2.110919164821e-02       2.439816980123e+04 
       2.124083634993e-02       2.435272515108e+04 
       2.137256241740e-02       2.430639741177e+04 
       2.150437144849e-02       2.425936153126e+04 
       2.163626507996e-02       2.421166132426e+04 
       2.176824498828e-02       2.416338865934e+04 
       2.190031289058e-02       2.411412776908e+04 
       2.203247054555e-02       2.406425602463e+04 
       2.216471975442e-02       2.401379636967e+04 
       2.229706236194e-02       2.396277584101e+04 
       2.242950025740e-02       2.391080597669e+04 
       2.256203537572e-02       2.385832908405e+04 
       2.269466969845e-02       2.380539025444e+04 
       2.282740525500e-02       2.375177276592e+04 
       2.296024412372e-02       2.369752841060e+04 
       2.309318843312e-02       2.364255296997e+04 
       2.322624036308e-02       2.358716691721e+04 
       2.335940214617e-02       2.353121655696e+04 
       2.349267606888e-02       2.347472826823e+04 
       2.362606447303e-02       2.341770410028e+04 
       2.375956975717e-02       2.336025574977e+04 
       2.389319437794e-02       2.330227481678e+04 
       2.402694085165e-02       2.324365741292e+04 
       2.416081175574e-02       2.318478476836e+04 
       2.429480973041e-02       2.312527963886e+04 
       2.442893748020e-02       2.306546070160e+04 
       2.456319777571e-02       2.300500057896e+04 
       2.469759345534e-02       2.294420901251e+04 
       2.483212742706e-02       2.288300421480e+04 
       2.496680267029e-02       2.282144223002e+04 
       2.510162223782e-02       2.275944791770e+04 
       2.523658925773e-02       2.269716395208e+04 
       2.537170693554e-02       2.263428979468e+04 
       2.550697855622e-02       2.257116067342e+04 
       2.564240748646e-02       2.250771926030e+04 
       2.577799717687e-02       2.244388636020e+04 
       2.591375116434e-02       2.237969639776e+04 
       2.604967307447e-02       2.231525523225e+04 
       2.618576662407e-02       2.225048570429e+04 
       2.632203562372e-02       2.218535255638e+04 
       2.645848398048e-02       2.211995840833e+04 
       2.659511570063e-02       2.205431398304e+04 
       2.673193489261e-02       2.198830604512e+04 
       2.686894576989e-02       2.192216526946e+04 
       2.700615265416e-02       2.185559516292e+04 
       2.714355997844e-02       2.178891560694e+04 
       2.728117229042e-02       2.172187526015e+04 
       2.741899425590e-02       2.165469488057e+04 
       2.755703066234e-02       2.158727342109e+04 
       2.769528642253e-02       2.151948678813e+04 
       2.783376657844e-02       2.145163970615e+04 
       2.797247630516e-02       2.138359669506e+04 
       2.811142091507e-02       2.131521437680e+04 
       2.825060586209e-02       2.124680582874e+04 
       2.839003674610e-02       2.117819645174e+04 
       2.852971931761e-02       2.110930809440e+04 
       2.866965948251e-02       2.104029803064e+04 
       2.880986330709e-02       2.097124670385e+04 
       2.895033702321e-02       2.090191977745e+04 
       2.909108703370e-02       2.083240475132e+04 
       2.923211991796e-02       2.076284410965e+04 
       2.937344243779e-02       2.069313855201e+04 
       2.951506154352e-02       2.062327044189e+04 
       2.965698438027e-02       2.055326016770e+04 
       2.979921829459e-02       2.048315594405e+04 
       2.994177084132e-02       2.041303496050e+04 
       3.008464979078e-02       2.034264871257e+04 
       3.022786313616e-02       2.027229279135e+04 
