# Matter power spectrum P(k) at redshift z=0
# for k=1.04383e-05 to 0.627048 h/Mpc,
# number of wavenumbers equal to 560
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.043826635766e-05       5.124843907963e+01 
       2.332069116468e-05       1.112745908488e+02 
       3.624839551996e-05       1.702688419823e+02 
       4.925617039473e-05       2.288587347465e+02 
       6.237938203227e-05       2.874025030235e+02 
       7.565428737067e-05       3.461694236987e+02 
       8.911835954946e-05       4.053902470729e+02 
       1.028106278307e-04       4.652779269127e+02 
       1.167720362978e-04       5.260382406992e+02 
       1.310458257295e-04       5.878762154437e+02 
       1.456779430516e-04       6.510006149526e+02 
       1.607174827106e-04       7.156274321330e+02 
       1.762171641339e-04       7.819828721411e+02 
       1.922338490700e-04       8.503060854358e+02 
       2.088291019433e-04       9.208518006334e+02 
       2.260697952795e-04       9.938929025566e+02 
       2.440287605857e-04       1.069723047603e+03 
       2.627854825932e-04       1.148659288619e+03 
       2.824268312114e-04       1.231044703474e+03 
       3.030478205647e-04       1.317250984994e+03 
       3.247523777249e-04       1.407680912656e+03 
       3.476540947864e-04       1.502770575216e+03 
       3.718769263963e-04       1.602991184265e+03 
       3.975557804911e-04       1.708850240531e+03 
       4.248369328167e-04       1.820891749624e+03 
       4.538781763734e-04       1.939695152440e+03 
       4.848485965729e-04       2.065872475748e+03 
       5.179278442004e-04       2.200063252173e+03 
       5.533047653429e-04       2.342926675859e+03 
       5.911752461804e-04       2.495130472533e+03 
       6.317391483273e-04       2.657336177296e+03 
       6.751962552135e-04       2.830180603617e+03 
       7.217412282539e-04       3.014253756802e+03 
       7.715576849865e-04       3.210073850960e+03 
       8.248116532512e-04       3.418060783609e+03 
       8.816448075411e-04       3.638509762094e+03 
       9.421680259574e-04       3.871567594730e+03 
       1.006455881830e-03       4.117214030146e+03 
       1.074542669447e-03       4.375250544431e+03 
       1.146420441377e-03       4.645298316674e+03 
       1.222039315730e-03       4.926806145629e+03 
       1.301310034795e-03       5.219067776102e+03 
       1.384108480393e-03       5.521227357897e+03 
       1.470281635323e-03       5.832344090185e+03 
       1.559654364814e-03       6.151435200424e+03 
       1.652036387658e-03       6.477461109617e+03 
       1.747228895377e-03       6.809375486221e+03 
       1.845030423479e-03       7.146149441412e+03 
       1.945241741921e-03       7.486791461314e+03 
       2.047669680484e-03       7.830362095994e+03 
       2.152129920100e-03       8.175983807077e+03 
       2.258448857187e-03       8.522846885053e+03 
       2.366464687889e-03       8.870212180855e+03 
       2.476027870805e-03       9.217410687430e+03 
       2.587001119419e-03       9.563841381629e+03 
       2.699259057333e-03       9.908968102930e+03 
       2.812687646684e-03       1.025231510311e+04 
       2.927183477046e-03       1.059346212106e+04 
       3.042652981002e-03       1.093204139695e+04 
       3.159011624616e-03       1.126772921204e+04 
       3.276183106473e-03       1.160024608368e+04 
       3.394098587631e-03       1.192934933729e+04 
       3.512695966311e-03       1.225482722428e+04 
       3.631919204914e-03       1.257649995903e+04 
       3.751717712588e-03       1.289421464599e+04 
       3.872045783535e-03       1.320783865801e+04 
       3.992862089302e-03       1.351726374559e+04 
       4.114129222090e-03       1.382239705694e+04 
       4.235813285441e-03       1.412316507694e+04 
       4.357883528358e-03       1.441950491975e+04 
       4.480312018874e-03       1.471136971761e+04 
       4.603073353182e-03       1.499872303143e+04 
       4.726144396657e-03       1.528152985306e+04 
       4.849504053357e-03       1.555976193483e+04 
       4.973133060880e-03       1.583344736641e+04 
       5.097013807754e-03       1.610254684627e+04 
       5.221130170801e-03       1.636712379508e+04 
       5.345467370209e-03       1.662716177734e+04 
       5.470011840291e-03       1.688265311505e+04 
       5.594751114118e-03       1.713363142800e+04 
       5.719673720445e-03       1.738009010813e+04 
       5.844769091524e-03       1.762206810957e+04 
       5.970027480566e-03       1.785959091673e+04 
       6.095439887742e-03       1.809269424631e+04 
       6.220997993784e-03       1.832140810652e+04 
       6.346694100316e-03       1.854576038652e+04 
       6.472521076173e-03       1.876549562820e+04 
       6.598472309049e-03       1.898129636998e+04 
       6.724541661894e-03       1.919281308588e+04 
       6.850723433532e-03       1.940013068784e+04 
       6.977012323065e-03       1.960323590690e+04 
       7.103403397648e-03       1.980227446840e+04 
       7.229892063286e-03       1.999722677286e+04 
       7.356474038332e-03       2.018812871629e+04 
       7.483145329418e-03       2.037503398152e+04 
       7.609902209555e-03       2.055798949537e+04 
       7.736741198207e-03       2.073696612305e+04 
       7.863659043108e-03       2.091207449407e+04 
       7.990652703689e-03       2.108347952490e+04 
       8.117719335919e-03       2.125097925194e+04 
       8.244856278460e-03       2.141479756003e+04 
       8.372061039977e-03       2.157492245597e+04 
       8.499331287518e-03       2.173138515465e+04 
       8.626664835854e-03       2.188423926137e+04 
       8.754059637689e-03       2.203353447721e+04 
       8.881513774666e-03       2.217932611862e+04 
       9.009025449093e-03       2.232158928758e+04 
       9.136592976321e-03       2.246038767440e+04 
       9.264214777732e-03       2.259563807538e+04 
       9.391889374259e-03       2.272771895945e+04 
       9.519615380416e-03       2.285644834139e+04 
       9.647391498781e-03       2.298188765333e+04 
       9.775216514894e-03       2.310388579064e+04 
       9.903089292540e-03       2.322288839240e+04 
       1.003100876939e-02       2.333912867332e+04 
       1.015897395294e-02       2.345184978740e+04 
       1.028698391679e-02       2.356101127256e+04 
       1.041503779715e-02       2.366752564496e+04 
       1.054313478963e-02       2.377107211003e+04 
       1.067127414623e-02       2.387172781474e+04 
       1.079945517259e-02       2.396946159384e+04 
       1.092767722539e-02       2.406422929071e+04 
       1.105593970995e-02       2.415614429321e+04 
       1.118424207803e-02       2.424508832200e+04 
       1.131258382571e-02       2.433161578148e+04 
       1.144096449151e-02       2.441488452182e+04 
       1.156938365458e-02       2.449586464504e+04 
       1.169784093302e-02       2.457390891807e+04 
       1.182633598235e-02       2.464957305122e+04 
       1.195486849404e-02       2.472239837261e+04 
       1.208343819421e-02       2.479250543425e+04 
       1.221204484236e-02       2.486025153376e+04 
       1.234068823017e-02       2.492558390835e+04 
       1.246936818051e-02       2.498821165277e+04 
       1.259808454637e-02       2.504839107484e+04 
       1.272683720995e-02       2.510623605829e+04 
       1.285562608180e-02       2.516181008340e+04 
       1.298445110004e-02       2.521481409561e+04 
       1.311331222958e-02       2.526558237750e+04 
       1.324220946149e-02       2.531414758722e+04 
       1.337114281232e-02       2.536020454227e+04 
       1.350011232354e-02       2.540427024287e+04 
       1.362911806103e-02       2.544585784435e+04 
       1.375816011455e-02       2.548548464904e+04 
       1.388723859731e-02       2.552287638953e+04 
       1.401635364559e-02       2.555816237546e+04 
       1.414550541831e-02       2.559135369372e+04 
       1.427469409675e-02       2.562268560990e+04 
       1.440391988422e-02       2.565179101178e+04 
       1.453318300580e-02       2.567872445246e+04 
       1.466248370812e-02       2.570377692668e+04 
       1.479182225910e-02       2.572693248121e+04 
       1.492119894786e-02       2.574830706177e+04 
       1.505061408446e-02       2.576748978792e+04 
       1.518006799986e-02       2.578490181719e+04 
       1.530956104578e-02       2.580059987887e+04 
       1.543909359462e-02       2.581429513669e+04 
       1.556866603944e-02       2.582619290091e+04 
       1.569827879388e-02       2.583632189738e+04 
       1.582793229217e-02       2.584481437597e+04 
       1.595762698916e-02       2.585150551891e+04 
       1.608736336033e-02       2.585649432276e+04 
       1.621714190185e-02       2.585982597499e+04 
       1.634696313065e-02       2.586145913438e+04 
       1.647682758449e-02       2.586159296012e+04 
       1.660673582211e-02       2.585989549091e+04 
       1.673668842332e-02       2.585676036278e+04 
       1.686668598916e-02       2.585204238781e+04 
       1.699672914206e-02       2.584581198308e+04 
       1.712681852601e-02       2.583801749232e+04 
