# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       4.806418253831e-11       9.401517397617e-15      -2.327784952001e-13       0.000000000000e+00       8.583376873482e-09       5.977891888111e-10      -2.568215852613e-12 
    3       3.324914493506e-11       2.072395835844e-14      -2.261266391551e-13       0.000000000000e+00       5.329120124284e-09       3.934213443648e-10      -2.328610587830e-12 
    4       2.487356332813e-11       3.563568711023e-14      -2.274783818073e-13       0.000000000000e+00       3.705641202613e-09       2.847943770667e-10      -2.003241502343e-12 
    5       1.957360697292e-11       5.518339850526e-14      -2.449532685469e-13       0.000000000000e+00       2.762231702379e-09       2.184958570931e-10      -1.730718573253e-12 
    6       1.595380872533e-11       8.044020178468e-14      -2.765599629815e-13       0.000000000000e+00       2.153490287514e-09       1.741657435434e-10      -1.541108357665e-12 
    7       1.334960990467e-11       1.121008575509e-13      -3.192113425623e-13       0.000000000000e+00       1.733804031391e-09       1.427134374165e-10      -1.433577049800e-12 
    8       1.140289753589e-11       1.503283800527e-13      -3.697865942710e-13       0.000000000000e+00       1.430733868917e-09       1.194220736274e-10      -1.391224080631e-12 
    9       9.903953367326e-12       1.947748023072e-13      -4.253611266173e-13       0.000000000000e+00       1.203621669215e-09       1.015948618658e-10      -1.391100217645e-12 
   10       8.722168549536e-12       2.446042968611e-13      -4.832620206106e-13       0.000000000000e+00       1.028042077004e-09       8.758667771810e-11      -1.410410174543e-12 
   11       7.772141446636e-12       2.985265681637e-13      -5.411332235165e-13       0.000000000000e+00       8.643303377880e-10       7.565951300723e-11      -1.449271842696e-12 
   12       6.995715705245e-12       3.548883330735e-13      -5.969934442246e-13       0.000000000000e+00       7.544341939296e-10       6.653449926610e-11      -1.458871528140e-12 
   13       6.352044349192e-12       4.118346473134e-13      -6.492614364108e-13       0.000000000000e+00       6.642955674948e-10       5.897654532733e-11      -1.458103938459e-12 
   14       5.811692696612e-12       4.675037959695e-13      -6.967506035532e-13       0.000000000000e+00       5.893562177099e-10       5.262261852688e-11      -1.431503939251e-12 
   15       5.352871261053e-12       5.202032281750e-13      -7.386225437924e-13       0.000000000000e+00       5.263347467141e-10       4.722601304758e-11      -1.384204566012e-12 
   16       4.959084364835e-12       5.685303863649e-13      -7.743199178740e-13       0.000000000000e+00       4.727965304787e-10       4.260695145094e-11      -1.327727970163e-12 
   17       4.617744788735e-12       6.114299500364e-13      -8.035088864833e-13       0.000000000000e+00       4.269029781372e-10       3.862012746512e-11      -1.265001366652e-12 
   18       4.318036992807e-12       6.482074716200e-13      -8.260403443701e-13       0.000000000000e+00       3.870986778132e-10       3.513967271143e-11      -1.197274883713e-12 
   19       4.055691026913e-12       6.784619513621e-13      -8.419018917691e-13       0.000000000000e+00       3.527468211250e-10       3.211566114282e-11      -1.127420610038e-12 
   20       3.821047944069e-12       7.021303124284e-13      -8.512267335969e-13       0.000000000000e+00       3.225137966999e-10       2.944057640428e-11      -1.058056979826e-12 
   21       3.610848575546e-12       7.193046078132e-13      -8.542439759463e-13       0.000000000000e+00       2.959191587616e-10       2.707582502447e-11      -9.902500138212e-13 
   22       3.420313312287e-12       7.303272644409e-13      -8.512950256066e-13       0.000000000000e+00       2.723217401472e-10       2.496703024057e-11      -9.238576754507e-13 
   23       3.247256240725e-12       7.355900553422e-13      -8.427924527411e-13       0.000000000000e+00       2.513930572496e-10       2.308736783403e-11      -8.588968163527e-13 
   24       3.088146630855e-12       7.356426632219e-13      -8.292281840758e-13       0.000000000000e+00       2.326449651591e-10       2.139613392046e-11      -7.951576621003e-13 
   25       2.941561285148e-12       7.310130404130e-13      -8.111199856124e-13       0.000000000000e+00       2.158539743811e-10       1.987573436882e-11      -7.338017303233e-13 
