# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.513564118783e-10       9.488048038736e-15       6.324211636787e-13       0.000000000000e+00       8.586151771213e-09       4.783884566318e-10      -2.572304851959e-12 
    3       1.451502712809e-10       2.092917219264e-14       9.751900547668e-13       0.000000000000e+00       5.289804069548e-09       3.409634165976e-10      -2.333980925802e-12 
    4       1.385441334538e-10       3.602372151713e-14       1.263126819727e-12       0.000000000000e+00       3.671861566252e-09       2.597603799502e-10      -2.008772006494e-12 
    5       1.329849979289e-10       5.583600776480e-14       1.504856295703e-12       0.000000000000e+00       2.735680035139e-09       2.067035020129e-10      -1.737292440654e-12 
    6       1.284016449711e-10       8.144600528078e-14       1.701390226629e-12       0.000000000000e+00       2.133870835060e-09       1.696674226010e-10      -1.549675785982e-12 
    7       1.245057763423e-10       1.135411436575e-13       1.851702149393e-12       0.000000000000e+00       1.719416707690e-09       1.425985530565e-10      -1.444510980858e-12 
    8       1.210661278503e-10       1.522675056612e-13       1.953834808215e-12       0.000000000000e+00       1.419426007307e-09       1.221231364457e-10      -1.404295730086e-12 
    9       1.179196022016e-10       1.972510888331e-13       2.007151780288e-12       0.000000000000e+00       1.194088982982e-09       1.062136876393e-10      -1.405608176491e-12 
   10       1.149600839659e-10       2.476207320385e-13       2.013405303308e-12       0.000000000000e+00       1.019757832076e-09       9.356282441350e-11      -1.425401711514e-12 
   11       1.121287094818e-10       3.020449612465e-13       1.976689011964e-12       0.000000000000e+00       8.589983637152e-10       8.309214568649e-11      -1.461208369483e-12 
   12       1.093858783952e-10       3.588302363415e-13       1.903059270211e-12       0.000000000000e+00       7.498761205123e-10       7.441403206045e-11      -1.476902635219e-12 
   13       1.067004265131e-10       4.160893277085e-13       1.800211886231e-12       0.000000000000e+00       6.603598001677e-10       6.730982984326e-11      -1.464279184773e-12 
   14       1.040582634828e-10       4.719409119644e-13       1.676644696975e-12       0.000000000000e+00       5.859339234813e-10       6.108507983935e-11      -1.441488758310e-12 
   15       1.014607257932e-10       5.246862012781e-13       1.540439834472e-12       0.000000000000e+00       5.233297636365e-10       5.582103275360e-11      -1.396268468789e-12 
   16       9.889647056150e-11       5.729274554311e-13       1.398761274135e-12       0.000000000000e+00       4.701380472602e-10       5.128746306273e-11      -1.336314502156e-12 
