# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       7.156181053734e-15       9.401517397617e-15       4.398387810598e-16       0.000000000000e+00       8.583376873482e-09      -8.506103824671e-13      -2.568215852613e-12 
    3       1.244264377154e-14       2.072395835844e-14       1.487749474236e-15       0.000000000000e+00       5.329120124284e-09      -8.383860198971e-13      -2.328610587830e-12 
    4       1.777700721597e-14       3.563568711023e-14       2.312809021991e-15       0.000000000000e+00       3.705641202613e-09      -7.845626858971e-13      -2.003241502343e-12 
    5       2.256966553836e-14       5.518339850526e-14       3.140086956880e-15       0.000000000000e+00       2.762231702379e-09      -7.255266949516e-13      -1.730718573253e-12 
    6       2.665665585492e-14       8.044020178468e-14       4.610858731388e-15       0.000000000000e+00       2.153490287514e-09      -6.721936343201e-13      -1.541108357665e-12 
    7       3.014810887922e-14       1.121008575509e-13       7.436660855898e-15       0.000000000000e+00       1.733804031391e-09      -6.287791749055e-13      -1.433577049800e-12 
    8       3.326170893632e-14       1.503283800527e-13       1.215700503598e-14       0.000000000000e+00       1.430733868917e-09      -5.954451894778e-13      -1.391224080631e-12 
    9       3.621486430064e-14       1.947748023072e-13       1.905286685919e-14       0.000000000000e+00       1.203621669215e-09      -5.703926127059e-13      -1.391100217645e-12 
   10       3.916955746952e-14       2.446042968611e-13       2.813763307753e-14       0.000000000000e+00       1.028042077004e-09      -5.511519084040e-13      -1.410410174543e-12 
   11       4.221153962547e-14       2.985265681637e-13       3.918483430318e-14       0.000000000000e+00       8.643303377880e-10      -5.163085680312e-13      -1.449271842696e-12 
   12       4.535239233042e-14       3.548883330735e-13       5.177826824198e-14       0.000000000000e+00       7.544341939296e-10      -5.038805382617e-13      -1.458871528140e-12 
   13       4.854448750949e-14       4.118346473134e-13       6.537970400313e-14       0.000000000000e+00       6.642955674948e-10      -4.935833076961e-13      -1.458103938459e-12 
   14       5.170461810731e-14       4.675037959695e-13       7.940489481976e-14       0.000000000000e+00       5.893562177099e-10      -4.786908863671e-13      -1.431503939251e-12 
   15       5.473628952942e-14       5.202032281750e-13       9.329197905611e-14       0.000000000000e+00       5.263347467141e-10      -4.595916580135e-13      -1.384204566012e-12 
   16       5.754893822854e-14       5.685303863649e-13       1.065504509342e-13       0.000000000000e+00       4.727965304787e-10      -4.392981734445e-13      -1.327727970163e-12 
   17       6.006783897750e-14       6.114299500364e-13       1.187882917734e-13       0.000000000000e+00       4.269029781372e-10      -4.177428208307e-13      -1.265001366652e-12 
   18       6.223826304626e-14       6.482074716200e-13       1.297209424658e-13       0.000000000000e+00       3.870986778132e-10      -3.945054003252e-13      -1.197274883713e-12 
   19       6.403156983591e-14       6.784619513621e-13       1.391566942117e-13       0.000000000000e+00       3.527468211250e-10      -3.704315743232e-13      -1.127420610038e-12 
   20       6.542740210965e-14       7.021303124284e-13       1.470015907439e-13       0.000000000000e+00       3.225137966999e-10      -3.464545400908e-13      -1.058056979826e-12 
   21       6.642538722862e-14       7.193046078132e-13       1.532149539917e-13       0.000000000000e+00       2.959191587616e-10      -3.230933989703e-13      -9.902500138212e-13 
   22       6.703580790628e-14       7.303272644409e-13       1.578348217080e-13       0.000000000000e+00       2.723217401472e-10      -3.004950181347e-13      -9.238576754507e-13 
   23       6.727703113789e-14       7.355900553422e-13       1.609179755823e-13       0.000000000000e+00       2.513930572496e-10      -2.786909387175e-13      -8.588968163527e-13 
   24       6.717372760207e-14       7.356426632219e-13       1.625742352343e-13       0.000000000000e+00       2.326449651591e-10      -2.575679428536e-13      -7.951576621003e-13 
   25       6.675453197456e-14       7.310130404130e-13       1.629119749256e-13       0.000000000000e+00       2.158539743811e-10      -2.374659001908e-13      -7.338017303233e-13 
   26       6.605183479730e-14       7.223129117294e-13       1.620727557342e-13       0.000000000000e+00       2.007134350913e-10      -2.186987247002e-13      -6.759886067360e-13 
   27       6.509914011504e-14       7.101110775057e-13       1.601916586002e-13       0.000000000000e+00       1.870403613188e-10      -2.011422185199e-13      -6.217119699025e-13 
   28       6.393126281474e-14       6.950021477051e-13       1.574199136261e-13       0.000000000000e+00       1.745977565938e-10      -1.844699272724e-13      -5.703765639141e-13 
