# Matter power spectrum P(k) at redshift z=0
# for k=1.0471e-05 to 0.629437 h/Mpc,
# number of wavenumbers equal to 560
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.047101047385e-05       5.082826699796e+01 
       2.339490958396e-05       1.103670164080e+02 
       3.636452404804e-05       1.688835683147e+02 
       4.941498324954e-05       2.270013461914e+02 
       6.258200113269e-05       2.850766940207e+02 
       7.590219677246e-05       3.433777308723e+02 
       8.941342525609e-05       4.021344331137e+02 
       1.031551233040e-04       4.615592097486e+02 
       1.171686740916e-04       5.218574404487e+02 
       1.314977957683e-04       5.832338939357e+02 
       1.461889581731e-04       6.458971817214e+02 
       1.612918321836e-04       7.100632587205e+02 
       1.768597759486e-04       7.759584114595e+02 
       1.929503618619e-04       8.438219993878e+02 
       2.096259474525e-04       9.139090871878e+02 
       2.269542922356e-04       9.864930574238e+02 
       2.450092208306e-04       1.061868226060e+03 
       2.638713300699e-04       1.140352485344e+03 
       2.836287341135e-04       1.222289950671e+03 
       3.043778364038e-04       1.308053563916e+03 
       3.262241102559e-04       1.398047560175e+03 
       3.492828605542e-04       1.492709696269e+03 
       3.736799270378e-04       1.592513040388e+03 
       3.995522747542e-04       1.697967077446e+03 
       4.270483994875e-04       1.809617887146e+03 
       4.563284559275e-04       1.928046912559e+03 
       4.875639955066e-04       2.053867973708e+03 
       5.209371819437e-04       2.187721931165e+03 
       5.566393399770e-04       2.330268543445e+03 
       5.948686927401e-04       2.482174958201e+03 
       6.358271634767e-04       2.644100517032e+03 
       6.797161659514e-04       2.816677764592e+03 
       7.267313913603e-04       3.000489780346e+03 
       7.770567189419e-04       3.196044790840e+03 
       8.308575248841e-04       3.403749247941e+03 
       8.882738194901e-04       3.623881284592e+03 
       9.494137739994e-04       3.856567135209e+03 
       1.014348267736e-03       4.101762766615e+03 
       1.083107059865e-03       4.359243396037e+03 
       1.155677052987e-03       4.628602278938e+03 
       1.232002882010e-03       4.909259699619e+03 
       1.311989774748e-03       5.200481293045e+03 
       1.395508352176e-03       5.501382828820e+03 
       1.482400825855e-03       5.811002578056e+03 
       1.572487946081e-03       6.128333415976e+03 
       1.665576063741e-03       6.452316527725e+03 
       1.761463769776e-03       6.781889072867e+03 
       1.859947730115e-03       7.116008602314e+03 
       1.960827500705e-03       7.453672498535e+03 
       2.063909255626e-03       7.793932541890e+03 
       2.169008473804e-03       8.135904142601e+03 
       2.275951701931e-03       8.478772558566e+03 
       2.384577547183e-03       8.821794794127e+03 
       2.494737061657e-03       9.164299361251e+03 
       2.606293670705e-03       9.505683532287e+03 
       2.719122777643e-03       9.845411005659e+03 
       2.833111153721e-03       1.018300575885e+04 
       2.948156198773e-03       1.051804819572e+04 
       3.064165136844e-03       1.085017201226e+04 
       3.181054193233e-03       1.117905597022e+04 
       3.298747785103e-03       1.150442256534e+04 
       3.417177746731e-03       1.182603301424e+04 
       3.536282602186e-03       1.214368040389e+04 
       3.656006892261e-03       1.245718871723e+04 
       3.776300558231e-03       1.276641249311e+04 
       3.897118382208e-03       1.307122464916e+04 
       4.018419481989e-03       1.337152502762e+04 
       4.140166857180e-03       1.366722777623e+04 
       4.262326982808e-03       1.395827002081e+04 
       4.384869446341e-03       1.424459443855e+04 
       4.507766624067e-03       1.452616714023e+04 
       4.630993392892e-03       1.480295906461e+04 
       4.754526873859e-03       1.507493841896e+04 
       4.878346203966e-03       1.534211017259e+04 
       5.002432333153e-03       1.560447595625e+04 
       5.126767843638e-03       1.586203628609e+04 
       5.251336789054e-03       1.611487239639e+04 
       5.376124551136e-03       1.636292440277e+04 
       5.501117711927e-03       1.660623962690e+04 
       5.626303939728e-03       1.684483142263e+04 
       5.751671887212e-03       1.707872809930e+04 
       5.877211100303e-03       1.730797274796e+04 
       6.002911936597e-03       1.753259407863e+04 
       6.128765492236e-03       1.775264204072e+04 
       6.254763536282e-03       1.796814639661e+04 
       6.380898451750e-03       1.817915797744e+04 
       6.507163182562e-03       1.838572829941e+04 
       6.633551185762e-03       1.858789296293e+04 
       6.760056388423e-03       1.878570261798e+04 
       6.886673148736e-03       1.897919880971e+04 
       7.013396220820e-03       1.916846614015e+04 
       7.140220722885e-03       1.935348383508e+04 
       7.267142108363e-03       1.953437584971e+04 
       7.394156139717e-03       1.971115620578e+04 
       7.521258864649e-03       1.988388178743e+04 
       7.648446594461e-03       2.005256982039e+04 
       7.775715884344e-03       2.021736437372e+04 
       7.903063515422e-03       2.037820124368e+04 
       8.030486478350e-03       2.053520181920e+04 
       8.157981958345e-03       2.068838010662e+04 
       8.285547321482e-03       2.083780115676e+04 
       8.413180102161e-03       2.098351394708e+04 
       8.540877991609e-03       2.112555237493e+04 
       8.668638827342e-03       2.126398820415e+04 
       8.796460583488e-03       2.139884566662e+04 
       8.924341361886e-03       2.153025426139e+04 
       9.052279383908e-03       2.165814196474e+04 
       9.180272982922e-03       2.178253710689e+04 
       9.308320597354e-03       2.190370947473e+04 
       9.436420764282e-03       2.202139185637e+04 
       9.564572113528e-03       2.213588169084e+04 
       9.692773362204e-03       2.224714022861e+04 
       9.821023309664e-03       2.235520196164e+04 
       9.949320832839e-03       2.246012824282e+04 
