# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.466042843773e-10       6.353939014436e-15       4.459710839530e-13       0.000000000000e+00       8.723485401896e-09       4.775544254826e-10      -2.331871332545e-12 
    3       1.383671606073e-10       1.004173993623e-14       5.455230857388e-13       0.000000000000e+00       5.357037131674e-09       3.401502243697e-10      -1.980874951526e-12 
    4       1.303109705961e-10       1.091264935484e-14       5.511988985461e-13       0.000000000000e+00       3.725080855477e-09       2.586579390176e-10      -1.513053688045e-12 
    5       1.240139680226e-10       9.350903611520e-15       5.055669524496e-13       0.000000000000e+00       2.781549141785e-09       2.050001086997e-10      -1.060267838059e-12 
    6       1.194542664421e-10       6.681915651082e-15       4.368213782865e-13       0.000000000000e+00       2.173579893457e-09       1.672101454931e-10      -6.674983145755e-13 
    7       1.163245196277e-10       4.161490539825e-15       3.634313784001e-13       0.000000000000e+00       1.754211153452e-09       1.393660951851e-10      -3.547210962670e-13 
    8       1.142880301696e-10       2.434949822516e-15       2.959847911617e-13       0.000000000000e+00       1.450175556726e-09       1.181398619113e-10      -1.272783310180e-13 
    9       1.131021031485e-10       1.537164936533e-15       2.401418520729e-13       0.000000000000e+00       1.221193201687e-09       1.015105064142e-10       1.929363726955e-14 
   10       1.125536760743e-10       1.174151762100e-15       1.983263563019e-13       0.000000000000e+00       1.043626906511e-09       8.823541332728e-11       9.635244865455e-14 
   11       1.125124341386e-10       1.023942317178e-15       1.706364804088e-13       0.000000000000e+00       8.800922122672e-10       7.779676022618e-11       1.189500584236e-13 
   12       1.128841174548e-10       9.016936423737e-16       1.554565839756e-13       0.000000000000e+00       7.690973728615e-10       6.883627348725e-11       1.051930337535e-13 
   13       1.135459805974e-10       7.706439275611e-16       1.501633751152e-13       0.000000000000e+00       6.779732937185e-10       6.149813165320e-11       7.093138328699e-14 
   14       1.144118799971e-10       6.679941562109e-16       1.518663690925e-13       0.000000000000e+00       6.021469001470e-10       5.512320742424e-11       2.917732430706e-14 
   15       1.154879432390e-10       6.282776379597e-16       1.578526461766e-13       0.000000000000e+00       5.383153774667e-10       4.978304631962e-11      -9.415782856291e-15 
   16       1.167576810448e-10       6.502347481850e-16       1.657411827664e-13       0.000000000000e+00       4.840387850573e-10       4.525246055911e-11      -3.856839543712e-14 
   17       1.181165820712e-10       7.066317936252e-16       1.739234952922e-13       0.000000000000e+00       4.374741196740e-10       4.133257793435e-11      -5.551028252841e-14 
   18       1.195872072990e-10       7.686674466784e-16       1.815453951486e-13       0.000000000000e+00       3.970543887616e-10       3.782783321909e-11      -6.054173345646e-14 
   19       1.211795948763e-10       8.323373562926e-16       1.883297403016e-13       0.000000000000e+00       3.621393893048e-10       3.471998540003e-11      -5.574141462616e-14 
   20       1.228297148148e-10       9.031925683911e-16       1.941863872970e-13       0.000000000000e+00       3.313851376836e-10       3.197788273488e-11      -4.471866957822e-14 
   21       1.245510767018e-10       9.941783498873e-16       1.994918246447e-13       0.000000000000e+00       3.043095385463e-10       2.956386699958e-11      -3.081320881842e-14 
   22       1.263478184797e-10       1.119856450743e-15       2.048209448345e-13       0.000000000000e+00       2.802656096241e-10       2.739736139488e-11      -1.767324258588e-14 
   23       1.282069392367e-10       1.280166384361e-15       2.105389173708e-13       0.000000000000e+00       2.589234104342e-10       2.544209049855e-11      -7.461358043480e-15 
   24       1.300930663403e-10       1.469198614790e-15       2.168999214290e-13       0.000000000000e+00       2.397902537888e-10       2.365775003642e-11      -1.705354433962e-15 
   25       1.320276787637e-10       1.683233038974e-15       2.238729081517e-13       0.000000000000e+00       2.226416939513e-10       2.205379795578e-11      -4.087818183263e-16 
