# Matter power spectrum P(k) at redshift z=0
# for k=1.04578e-05 to 0.628483 h/Mpc,
# number of wavenumbers equal to 560
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045775606499e-05       5.096895385556e+01 
       2.336509970312e-05       1.106715947734e+02 
       3.631798390675e-05       1.693486347006e+02 
       4.935140270774e-05       2.276247962976e+02 
       6.250093097222e-05       2.858569926753e+02 
       7.580304290783e-05       3.443136189257e+02 
       8.929544079107e-05       4.032248198469e+02 
       1.030173983034e-04       4.628030814918e+02 
       1.170101228988e-04       5.232537987566e+02 
       1.313171416577e-04       5.847816941389e+02 
       1.459847150905e-04       6.475952859450e+02 
       1.610622832885e-04       7.119103780735e+02 
       1.766029486368e-04       7.779530440701e+02 
       1.926639989256e-04       8.459623623814e+02 
       2.093074740141e-04       9.161930438603e+02 
       2.266007780993e-04       9.889180322785e+02 
       2.446173379261e-04       1.064431110739e+03 
       2.634373047392e-04       1.143049534207e+03 
       2.831482941231e-04       1.225116668704e+03 
       3.038461527864e-04       1.311004580715e+03 
       3.256357344123e-04       1.401116500739e+03 
       3.486316575219e-04       1.495889057685e+03 
       3.729590064930e-04       1.595794044877e+03 
       3.987539221868e-04       1.701339597531e+03 
       4.261640111088e-04       1.813070336797e+03 
       4.553484822280e-04       1.931566252017e+03 
       4.864778999351e-04       2.057439750180e+03 
       5.197334228058e-04       2.191330478616e+03 
       5.553053851192e-04       2.333897304502e+03 
       5.933910775508e-04       2.485807048586e+03 
       6.341916026969e-04       2.647719544254e+03 
       6.779077281883e-04       2.820268916513e+03 
       7.247347414988e-04       3.004041340701e+03 
       7.748564275501e-04       3.199549936614e+03 
       8.284384354173e-04       3.407208221961e+03 
       8.856214545119e-04       3.627303920611e+03 
       9.465147524631e-04       3.859975514879e+03 
       1.011190698822e-03       4.105194109544e+03 
       1.079680877111e-03       4.362752834784e+03 
       1.151974256773e-03       4.632265590867e+03 
       1.228017668643e-03       4.913175772215e+03 
       1.307718544524e-03       5.204774203785e+03 
       1.390949603797e-03       5.506203026925e+03 
       1.477554957220e-03       5.816528878053e+03 
       1.567356989464e-03       6.134773477419e+03 
       1.660163385815e-03       6.459906712705e+03 
       1.755773764574e-03       6.790894043358e+03 
       1.853985527351e-03       7.126720492800e+03 
       1.954598704852e-03       7.466409561387e+03 
       2.057419724217e-03       7.809037853593e+03 
       2.162264137682e-03       8.153743715958e+03 
       2.268958426010e-03       8.499733697680e+03 
       2.377341027670e-03       8.846284205575e+03 
       2.487262754371e-03       9.192740537792e+03 
       2.598586744821e-03       9.538515359849e+03 
       2.711188089417e-03       9.883084659543e+03 
       2.824953235404e-03       1.022598435672e+04 
       2.939779258656e-03       1.056680438556e+04 
       3.055573067137e-03       1.090518398002e+04 
       3.172250583206e-03       1.124080902355e+04 
       3.289735937511e-03       1.157340450465e+04 
       3.407960696051e-03       1.190273396825e+04 
       3.526863133613e-03       1.222858848459e+04 
       3.646387560693e-03       1.255079208787e+04 
       3.766483706761e-03       1.286919264656e+04 
       3.887106159775e-03       1.318366176147e+04 
       4.008213859994e-03       1.349408906511e+04 
       4.129769644970e-03       1.380038304686e+04 
       4.251739841987e-03       1.410246687738e+04 
       4.374093903922e-03       1.440027956446e+04 
       4.496804084496e-03       1.469377019582e+04 
       4.619845149012e-03       1.498290555150e+04 
       4.743194116873e-03       1.526764045083e+04 
       4.866830032479e-03       1.554795302042e+04 
       4.990733761364e-03       1.582386927294e+04 
       5.114887808759e-03       1.609534447188e+04 
       5.239276158020e-03       1.636240953190e+04 
       5.363884126675e-03       1.662511401871e+04 
       5.488698238051e-03       1.688336855193e+04 
       5.613706106703e-03       1.713665908224e+04 
       5.738896336054e-03       1.738618420411e+04 
       5.864258426853e-03       1.763131614423e+04 
       5.989782695208e-03       1.787209957962e+04 
       6.115460199119e-03       1.810856942807e+04 
       6.241282672543e-03       1.834070887369e+04 
       6.367242466146e-03       1.856865999457e+04 
       6.493332494008e-03       1.879217183059e+04 
       6.619546185610e-03       1.901168799246e+04 
       6.745877442539e-03       1.922710016969e+04 
       6.872320599389e-03       1.943862444177e+04 
       6.998870388413e-03       1.964585972218e+04 
       7.125521907528e-03       1.984919732203e+04 
       7.252270591313e-03       2.004846297896e+04 
       7.379112184699e-03       2.024370952224e+04 
       7.506042719063e-03       2.043533096433e+04 
       7.633058490485e-03       2.062269491974e+04 
       7.760156039954e-03       2.080631807320e+04 
       7.887332135321e-03       2.098607963347e+04 
       8.014583754827e-03       2.116203246158e+04 
       8.141908072063e-03       2.133425155391e+04 
       8.269302442204e-03       2.150360022050e+04 
       8.396764389419e-03       2.166745219001e+04 
       8.524291595321e-03       2.182986825793e+04 
       8.651881888385e-03       2.198763880561e+04 
       8.779533234217e-03       2.214182973961e+04 
       8.907243726627e-03       2.229255283880e+04 
       9.035011579407e-03       2.243911764005e+04 
       9.162835118759e-03       2.258253268631e+04 
       9.290712776332e-03       2.272401495287e+04 
       9.418643082781e-03       2.286015002546e+04 
