# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.474680451476e-10       7.589855026408e-15       5.198455253730e-13       0.000000000000e+00       8.698782917702e-09       4.770995269814e-10      -2.447817744490e-12 
    3       1.388554619639e-10       1.398915871039e-14       7.044872257238e-13       0.000000000000e+00       5.343217472014e-09       3.404514912571e-10      -2.163366053730e-12 
    4       1.300733847502e-10       1.903465156023e-14       8.008458661859e-13       0.000000000000e+00       3.719353267151e-09       2.593305167425e-10      -1.777509486592e-12 
    5       1.227511178529e-10       2.234978801654e-14       8.399851821788e-13       0.000000000000e+00       2.778202117882e-09       2.060740446947e-10      -1.421395582566e-12 
    6       1.169142009783e-10       2.419603121037e-14       8.433130899669e-13       0.000000000000e+00       2.171119369740e-09       1.687085563102e-10      -1.127128651596e-12 
    7       1.122857619445e-10       2.501551300721e-14       8.260056621368e-13       0.000000000000e+00       1.751969543562e-09       1.412166077574e-10      -8.991793561331e-13 
    8       1.086387561771e-10       2.517553556789e-14       7.973253926440e-13       0.000000000000e+00       1.447693972031e-09       1.202617217901e-10      -7.288464141658e-13 
    9       1.057593927249e-10       2.492665911833e-14       7.631571355246e-13       0.000000000000e+00       1.218389262439e-09       1.038637460044e-10      -6.024623836129e-13 
   10       1.034807570417e-10       2.442526234662e-14       7.273278558308e-13       0.000000000000e+00       1.040846479721e-09       9.074929117199e-11      -5.062082152616e-13 
   11       1.017263989219e-10       2.376667140289e-14       6.919364253877e-13       0.000000000000e+00       8.782464292045e-10       8.018982688137e-11      -4.326980277030e-13 
   12       1.003707837804e-10       2.301161230450e-14       6.580331904922e-13       0.000000000000e+00       7.674268800478e-10       7.110659230236e-11      -3.691038282576e-13 
   13       9.935659291010e-11       2.220390136854e-14       6.262228394026e-13       0.000000000000e+00       6.764506643436e-10       6.366845845023e-11      -3.108436852394e-13 
   14       9.862212182082e-11       2.137971539775e-14       5.967359751191e-13       0.000000000000e+00       6.007550032763e-10       5.716424965180e-11      -2.617909165461e-13 
   15       9.815104786976e-11       2.057008020586e-14       5.694152263776e-13       0.000000000000e+00       5.370364316387e-10       5.169064955868e-11      -2.183483268792e-13 
   16       9.788789497879e-11       1.980039952705e-14       5.439205074136e-13       0.000000000000e+00       4.828587668666e-10       4.699109233782e-11      -1.816894915597e-13 
   17       9.781496740598e-11       1.908986405732e-14       5.201584530623e-13       0.000000000000e+00       4.363817549938e-10       4.290282678142e-11      -1.520088636703e-13 
   18       9.788591219452e-11       1.844975039808e-14       4.980823131979e-13       0.000000000000e+00       3.960409655622e-10       3.931036546669e-11      -1.285928880079e-13 
   19       9.810910409777e-11       1.789386836244e-14       4.777504619876e-13       0.000000000000e+00       3.611961091552e-10       3.617006222127e-11      -1.103551237013e-13 
   20       9.845554102527e-11       1.741959971724e-14       4.587357370893e-13       0.000000000000e+00       3.305054522603e-10       3.338316686743e-11      -9.533221619840e-14 
   21       9.892505797385e-11       1.703067729042e-14       4.410630953451e-13       0.000000000000e+00       3.034873885532e-10       3.090325368757e-11      -8.252335327502e-14 
   22       9.949369155984e-11       1.672206177727e-14       4.245961890541e-13       0.000000000000e+00       2.794957505391e-10       2.866261897280e-11      -7.104430045977e-14 
   23       1.001583933888e-10       1.649290715655e-14       4.091973908996e-13       0.000000000000e+00       2.582011152693e-10       2.664196896878e-11      -6.083163800737e-14 
   24       1.009019416615e-10       1.633625060485e-14       3.945442000507e-13       0.000000000000e+00       2.391117349149e-10       2.481504191068e-11      -5.198539018456e-14 
   25       1.017284020987e-10       1.624941803605e-14       3.805944298523e-13       0.000000000000e+00       2.220033429050e-10       2.317427633530e-11      -4.455437356916e-14 
   26       1.026309359973e-10       1.622586644662e-14       3.672474747883e-13       0.000000000000e+00       2.065664883208e-10       2.169983099721e-11      -3.847028495752e-14 
   27       1.035967370892e-10       1.626191613140e-14       3.543645219477e-13       0.000000000000e+00       1.926161361127e-10       2.036611440092e-11      -3.355057153851e-14 
   28       1.046030051956e-10       1.635170373042e-14       3.417189341583e-13       0.000000000000e+00       1.799119260996e-10       1.913795209893e-11      -2.951648431211e-14 
   29       1.056568338029e-10       1.649445417465e-14       3.292824803055e-13       0.000000000000e+00       1.683891155302e-10       1.801183793493e-11      -2.619787373134e-14 
   30       1.067640982202e-10       1.668719529181e-14       3.169933846185e-13       0.000000000000e+00       1.579241208726e-10       1.698458708342e-11      -2.338471958211e-14 
   31       1.079204290333e-10       1.692386840191e-14       3.047047046987e-13       0.000000000000e+00       1.483036422162e-10       1.604369645863e-11      -2.083323369348e-14 
   32       1.091270719186e-10       1.720351686074e-14       2.923591507977e-13       0.000000000000e+00       1.394780713203e-10       1.518091006666e-11      -1.851515703250e-14 
   33       1.103784436005e-10       1.752451864463e-14       2.798612530961e-13       0.000000000000e+00       1.313850461569e-10       1.438183001412e-11      -1.645649450594e-14 
   34       1.116625863397e-10       1.788341183887e-14       2.670689408317e-13       0.000000000000e+00       1.239113715355e-10       1.362815853044e-11      -1.466968766714e-14 
   35       1.129817732572e-10       1.827929035614e-14       2.539548588715e-13       0.000000000000e+00       1.170188513568e-10       1.292123033908e-11      -1.314668545218e-14 
   36       1.143375502154e-10       1.871056264946e-14       2.404911020759e-13       0.000000000000e+00       1.106522531784e-10       1.226584190651e-11      -1.186081351390e-14 
   37       1.157270993459e-10       1.917461824368e-14       2.266210233413e-13       0.000000000000e+00       1.047287898532e-10       1.166358484506e-11      -1.077239595054e-14 
   38       1.171520120952e-10       1.967131835544e-14       2.123251771282e-13       0.000000000000e+00       9.923319928312e-11       1.111240677424e-11      -9.847247636275e-15 
   39       1.186113592776e-10       2.020042783717e-14       1.975706430635e-13       0.000000000000e+00       9.414808290340e-11       1.060631620583e-11      -9.042108088515e-15 
   40       1.200986442806e-10       2.076054535529e-14       1.822891881829e-13       0.000000000000e+00       8.942498260777e-11       1.013505181370e-11      -8.298250276937e-15 
   41       1.216053245983e-10       2.134970312864e-14       1.663970694137e-13       0.000000000000e+00       8.500127184077e-11       9.687252948697e-12      -7.559310634731e-15 
   42       1.231340664743e-10       2.196765515781e-14       1.498700533593e-13       0.000000000000e+00       8.086395562805e-11       9.262053709325e-12      -6.834452155073e-15 
   43       1.246888869552e-10       2.261415590375e-14       1.326873151156e-13       0.000000000000e+00       7.700207897342e-11       8.860674137389e-12      -6.153877931021e-15 
   44       1.262711982390e-10       2.328826289096e-14       1.148088216315e-13       0.000000000000e+00       7.338758149257e-11       8.483119575752e-12      -5.551835312684e-15 
   45       1.278806645195e-10       2.398872927272e-14       9.618783317552e-14       0.000000000000e+00       6.998532640024e-11       8.128512340837e-12      -5.058076608521e-15 
   46       1.295187054477e-10       2.471545641801e-14       7.681683076045e-14       0.000000000000e+00       6.678997212634e-11       7.796459164676e-12      -4.668767348488e-15 
   47       1.311855871399e-10       2.546837818502e-14       5.669245622757e-14       0.000000000000e+00       6.379780725900e-11       7.485909083747e-12      -4.367190794990e-15 
   48       1.328791936455e-10       2.624701825189e-14       3.580167603163e-14       0.000000000000e+00       6.099562912579e-11       7.194668986247e-12      -4.131402751505e-15 
   49       1.345948253629e-10       2.705045876023e-14       1.412091506577e-14       0.000000000000e+00       5.836003793134e-11       6.919321061742e-12      -3.933911553135e-15 
   50       1.363272844548e-10       2.787762432242e-14      -8.377320483071e-15       0.000000000000e+00       5.586448637516e-11       6.656224715871e-12      -3.748416111828e-15 
   51       1.380782661008e-10       2.872829767284e-14      -3.170044572848e-14       0.000000000000e+00       5.350432198323e-11       6.405034443986e-12      -3.572918648436e-15 
   52       1.398506250663e-10       2.960232550211e-14      -5.585477790240e-14       0.000000000000e+00       5.127732210793e-11       6.165994151204e-12      -3.412332494552e-15 
   53       1.416461723209e-10       3.049931106451e-14      -8.085295763439e-14       0.000000000000e+00       4.917619973969e-11       5.938905376172e-12      -3.271984209315e-15 
   54       1.434655810782e-10       3.141859766213e-14      -1.067144627017e-13       0.000000000000e+00       4.718826260844e-11       5.723095774365e-12      -3.157625713706e-15 
   55       1.453088700468e-10       3.235940935077e-14      -1.334593179886e-13       0.000000000000e+00       4.529928675735e-11       5.517697487229e-12      -3.073127063638e-15 
   56       1.471772090231e-10       3.332135182633e-14      -1.610862185800e-13       0.000000000000e+00       4.350704508959e-11       5.322635431627e-12      -3.012855777354e-15 
   57       1.490713972670e-10       3.430400704057e-14      -1.895898718482e-13       0.000000000000e+00       4.181054249248e-11       5.137829318731e-12      -2.967425623528e-15 
   58       1.509912556725e-10       3.530677671711e-14      -2.189675683437e-13       0.000000000000e+00       4.020592296391e-11       4.962886258428e-12      -2.925773589465e-15 
   59       1.529355552962e-10       3.632887196112e-14      -2.492194304632e-13       0.000000000000e+00       3.868629291404e-11       4.797081316098e-12      -2.875081650679e-15 
   60       1.549019458845e-10       3.736930286902e-14      -2.803486611161e-13       0.000000000000e+00       3.724154446697e-11       4.639338069381e-12      -2.800698540467e-15 
   61       1.568879805049e-10       3.842704850714e-14      -3.123583525164e-13       0.000000000000e+00       3.586116286453e-11       4.488527459126e-12      -2.689869897702e-15 
   62       1.588946198835e-10       3.950163493843e-14      -3.452405129592e-13       0.000000000000e+00       3.454378478957e-11       4.344486715676e-12      -2.544084089948e-15 
   63       1.609233914046e-10       4.059266909268e-14      -3.789850070413e-13       0.000000000000e+00       3.328948172065e-11       4.207195680019e-12      -2.369371333043e-15 
   64       1.629753264523e-10       4.169966527155e-14      -4.135829149518e-13       0.000000000000e+00       3.209688475951e-11       4.076469532416e-12      -2.172781607280e-15 
   65       1.650509237165e-10       4.282204048122e-14      -4.490266719947e-13       0.000000000000e+00       3.096310261612e-11       3.951949448406e-12      -1.962427263943e-15 
   66       1.671501124999e-10       4.395910976504e-14      -4.853102081112e-13       0.000000000000e+00       2.988363959363e-11       3.833093254811e-12      -1.747525631841e-15 
   67       1.692722160242e-10       4.511008153615e-14      -5.224290874029e-13       0.000000000000e+00       2.885231357336e-11       3.719166085746e-12      -1.538441623845e-15 
   68       1.714164442362e-10       4.627410494524e-14      -5.603780608251e-13       0.000000000000e+00       2.786290736735e-11       3.609437795074e-12      -1.344623218321e-15 
   69       1.735835701988e-10       4.745043356172e-14      -5.991428365576e-13       0.000000000000e+00       2.691469465710e-11       3.503842530344e-12      -1.167826896223e-15 
   70       1.757745290241e-10       4.863828662645e-14      -6.387068850772e-13       0.000000000000e+00       2.600789156481e-11       3.402436634006e-12      -1.007589732382e-15 
   71       1.779898956929e-10       4.983679667446e-14      -6.790539504918e-13       0.000000000000e+00       2.514198534865e-11       3.305199728600e-12      -8.632039824693e-16 
   72       1.802298619031e-10       5.104500619848e-14      -7.201681239033e-13       0.000000000000e+00       2.431569671943e-11       3.212030660656e-12      -7.337057988680e-16 
   73       1.824942129191e-10       5.226186431237e-14      -7.620339167712e-13       0.000000000000e+00       2.352694215722e-11       3.122743444588e-12      -6.178639465373e-16 
   74       1.847823044203e-10       5.348622341465e-14      -8.046363342760e-13       0.000000000000e+00       2.277279622796e-11       3.037063206589e-12      -5.141685188812e-16 
   75       1.870930393496e-10       5.471683585193e-14      -8.479609486824e-13       0.000000000000e+00       2.204945390016e-11       2.954622128527e-12      -4.208196536156e-16 
   76       1.894253421275e-10       5.595245382295e-14      -8.919922979011e-13       0.000000000000e+00       2.135317520568e-11       2.875056095870e-12      -3.361885881954e-16 
   77       1.917797323037e-10       5.719215749869e-14      -9.367085818571e-13       0.000000000000e+00       2.068340139830e-11       2.798323954510e-12      -2.603228342684e-16 
   78       1.941569971405e-10       5.843508095272e-14      -9.820861277713e-13       0.000000000000e+00       2.004014121873e-11       2.724439373321e-12      -1.936962532691e-16 
   79       1.965577069628e-10       5.968031302905e-14      -1.028101017552e-12       0.000000000000e+00       1.942302170595e-11       2.653373345999e-12      -1.367594941226e-16 
   80       1.989822022053e-10       6.092689612260e-14      -1.074729126817e-12       0.000000000000e+00       1.883127065759e-11       2.585052199983e-12      -8.993839481747e-17 
   81       2.014305804606e-10       6.217382495976e-14      -1.121946163911e-12       0.000000000000e+00       1.826369909035e-11       2.519355605363e-12      -5.363238397878e-17 
   82       2.039026835267e-10       6.342004537883e-14      -1.169727708926e-12       0.000000000000e+00       1.771868370042e-11       2.456114583794e-12      -2.821288244031e-17 
   83       2.063980844546e-10       6.466445311060e-14      -1.218049252724e-12       0.000000000000e+00       1.719414932382e-11       2.395109517411e-12      -1.402170481742e-17 
   84       2.089163191532e-10       6.590592085174e-14      -1.266885110971e-12       0.000000000000e+00       1.668807334745e-11       2.336124296914e-12      -1.097378145809e-17 
   85       2.114576536914e-10       6.714338731330e-14      -1.316204873922e-12       0.000000000000e+00       1.620013344039e-11       2.279123441171e-12      -1.729315360376e-17 
   86       2.140224210421e-10       6.837578076735e-14      -1.365976436893e-12       0.000000000000e+00       1.573030209360e-11       2.224100826259e-12      -3.056352808466e-17 
   87       2.166107791236e-10       6.960199133356e-14      -1.416167092727e-12       0.000000000000e+00       1.527834031816e-11       2.171025124834e-12      -4.809719905360e-17 
   88       2.192227019564e-10       7.082087023521e-14      -1.466743551915e-12       0.000000000000e+00       1.484378887799e-11       2.119838758562e-12      -6.692679948095e-17 
