# Matter power spectrum P(k) at redshift z=0
# for k=1.04564e-05 to 0.628059 h/Mpc,
# number of wavenumbers equal to 560
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045636895265e-05       5.098369599478e+01 
       2.335633999404e-05       1.106777390618e+02 
       3.630178599742e-05       1.693464711154e+02 
       4.932764089950e-05       2.276141355065e+02 
       6.246941792588e-05       2.858374069553e+02 
       7.576352718470e-05       3.442844639928e+02 
       8.924760344136e-05       4.031852271555e+02 
       1.029608484458e-04       4.627519562992e+02 
       1.169443922170e-04       5.231898111307e+02 
       1.312416777232e-04       5.847032657321e+02 
       1.458988734024e-04       6.475005625683e+02 
       1.609653179050e-04       7.117972034800e+02 
       1.764940012590e-04       7.778189319612e+02 
       1.925420862798e-04       8.458044594963e+02 
       2.091714733745e-04       9.160080857143e+02 
       2.264494107920e-04       9.887023027529e+02 
       2.444491506708e-04       1.064180383750e+03 
       2.632506487136e-04       1.142759018393e+03 
       2.829413016969e-04       1.224780945195e+03 
       3.036167119619e-04       1.310617532850e+03 
       3.253814611532e-04       1.400671252161e+03 
       3.483498663580e-04       1.495377883997e+03 
       3.726466800730e-04       1.595208324534e+03 
       3.984076808338e-04       1.700669730283e+03 
       4.257800839190e-04       1.812305703832e+03 
       4.549226818477e-04       1.930695172283e+03 
       4.860056038316e-04       2.056449487846e+03 
       5.192095645624e-04       2.190207258497e+03 
       5.547244599392e-04       2.332626418447e+03 
       5.927471665902e-04       2.484372970403e+03 
       6.334784208553e-04       2.646106157323e+03 
       6.771186993209e-04       2.818459785353e+03 
       7.238631034314e-04       3.002020059063e+03 
       7.738953666514e-04       3.197300522881e+03 
       8.273812468791e-04       3.404715545866e+03 
       8.844617202957e-04       3.624554092718e+03 
       9.452465248232e-04       3.856956236669e+03 
       1.009808674367e-03       4.101894899823e+03 
       1.078180545484e-03       4.359165056635e+03 
       1.150352009794e-03       4.628382375857e+03 
       1.226270860110e-03       4.908991655367e+03 
       1.305845496990e-03       5.200284662115e+03 
       1.388949565230e-03       5.501404580009e+03 
       1.475428016048e-03       5.811416439749e+03 
       1.565103960122e-03       6.129342004203e+03 
       1.657785678116e-03       6.454149997533e+03 
       1.753273249275e-03       6.784804656861e+03 
       1.851364407893e-03       7.120289627473e+03 
       1.951859402168e-03       7.459627201167e+03 
       2.054564778492e-03       7.801892772754e+03 
       2.159296128400e-03       8.146223876839e+03 
       2.265879909760e-03       8.491826023039e+03 
       2.374154491996e-03       8.837974310911e+03 
       2.483970585381e-03       9.184013785422e+03 
       2.595191206053e-03       9.529355964913e+03 
       2.707691309615e-03       9.873475822918e+03 
       2.821357203063e-03       1.021590756828e+04 
       2.936085821563e-03       1.055623916214e+04 
       3.051783935447e-03       1.089410948256e+04 
       3.168367334904e-03       1.122920141442e+04 
       3.285760025376e-03       1.156123854950e+04 
       3.403893455480e-03       1.188998165335e+04 
       3.522705790805e-03       1.221522548531e+04 
       3.642141240883e-03       1.253678719222e+04 
       3.762149442249e-03       1.285452003262e+04 
       3.882684897610e-03       1.316828896709e+04 
       4.003706469228e-03       1.347798864098e+04 
       4.125176923422e-03       1.378352812857e+04 
       4.247062522503e-03       1.408482826116e+04 
       4.369332660132e-03       1.438183476408e+04 
       4.491959536088e-03       1.467449088119e+04 
       4.614917866536e-03       1.496276435131e+04 
       4.738184626117e-03       1.524661958770e+04 
       4.861738818438e-03       1.552603301647e+04 
       4.985561271841e-03       1.580096837728e+04 
       5.109634457624e-03       1.607145406216e+04 
       5.233942328161e-03       1.633746516431e+04 
       5.358470172669e-03       1.659913665268e+04 
       5.483204488581e-03       1.685633884429e+04 
       5.608132866744e-03       1.710915144311e+04 
       5.733243888853e-03       1.735755025142e+04 
       5.858527035722e-03       1.760158052237e+04 
       5.983972605152e-03       1.784121961760e+04 
       6.109571638308e-03       1.807659130501e+04 
       6.235315853650e-03       1.830764069036e+04 
       6.361197587563e-03       1.853434552686e+04 
       6.487209740949e-03       1.875700536933e+04 
       6.613345731121e-03       1.897546154288e+04 
       6.739599448407e-03       1.918969036756e+04 
       6.865965216980e-03       1.939993661367e+04 
       6.992437759434e-03       1.960601834530e+04 
       7.119012164721e-03       1.980810035667e+04 
       7.245683859092e-03       2.000605737071e+04 
       7.372448579730e-03       2.020009331931e+04 
       7.499302350797e-03       2.039019932563e+04 
       7.626241461648e-03       2.057643444656e+04 
       7.753262446995e-03       2.075862589425e+04 
       7.880362068822e-03       2.093732648032e+04 
       8.007537299884e-03       2.111198458126e+04 
       8.134785308630e-03       2.128314002391e+04 
       8.262103445419e-03       2.145043861301e+04 
       8.389489229894e-03       2.161426599358e+04 
       8.516940339420e-03       2.177434829814e+04 
       8.644454598470e-03       2.193085135884e+04 
       8.772029968887e-03       2.208374242417e+04 
       8.899664540927e-03       2.223321724837e+04 
       9.027356525028e-03       2.237895775975e+04 
       9.155104244227e-03       2.252183851179e+04 
       9.282906127171e-03       2.266088689391e+04 
       9.410760701679e-03       2.279677198170e+04 
       9.538666588791e-03       2.292933410359e+04 
       9.666622497281e-03       2.305883791980e+04 
       9.794627218577e-03       2.318463647117e+04 
       9.922679622070e-03       2.330768678798e+04 
       1.005077865076e-02       2.342751811017e+04 
       1.017892331725e-02       2.354414133418e+04 
       1.030711269999e-02       2.365776284604e+04 
       1.043534593984e-02       2.376828685100e+04 
       1.056362223686e-02       2.387555553449e+04 
       1.069194084732e-02       2.398016841789e+04 
       1.082030108094e-02       2.408183112301e+04 
       1.094870229834e-02       2.418048871336e+04 
       1.107714390863e-02       2.427629175832e+04 
       1.120562536720e-02       2.436930027919e+04 
       1.133414617365e-02       2.445925768140e+04 
       1.146270586990e-02       2.454670278821e+04 
       1.159130403837e-02       2.463149723404e+04 
       1.171994030035e-02       2.471333496863e+04 
       1.184861431443e-02       2.479270765369e+04 
       1.197732577507e-02       2.486926565983e+04 
       1.210607441131e-02       2.494328242254e+04 
       1.223485998546e-02       2.501485961896e+04 
       1.236368229199e-02       2.508375023446e+04 
       1.249254115642e-02       2.514998981795e+04 
       1.262143643440e-02       2.521403608784e+04 
       1.275036801068e-02       2.527550657666e+04 
       1.287933579836e-02       2.533444655662e+04 
