# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.452758735072e-10       4.087896447343e-15       3.670310019389e-13       0.000000000000e+00       8.717184127439e-09       4.760030633505e-10      -1.841117174911e-12 
    3       1.374322880231e-10       5.279654322308e-15       4.163244251398e-13       0.000000000000e+00       5.373005055686e-09       3.369238207712e-10      -1.377133192541e-12 
    4       1.300120395685e-10       4.835970269585e-15       3.989009156660e-13       0.000000000000e+00       3.725060993126e-09       2.547561838393e-10      -9.136875870258e-13 
    5       1.243998730290e-10       3.644347960698e-15       3.530083667130e-13       0.000000000000e+00       2.772410839688e-09       2.011165384282e-10      -5.485407931391e-13 
    6       1.204714896054e-10       2.455918617603e-15       3.000555156655e-13       0.000000000000e+00       2.160985123170e-09       1.636616746703e-10      -2.933849117120e-13 
    7       1.178312385068e-10       1.595235833098e-15       2.522125334427e-13       0.000000000000e+00       1.740170381721e-09       1.362263553242e-10      -1.337524164665e-13 
    8       1.161892995044e-10       1.072079929824e-15       2.145279576370e-13       0.000000000000e+00       1.435535349106e-09       1.154176428039e-10      -4.579315880578e-14 
    9       1.152899120612e-10       7.824183271585e-16       1.880156524849e-13       0.000000000000e+00       1.206825239951e-09       9.922508955661e-11      -5.467896762240e-15 
   10       1.149264726179e-10       6.271934661449e-16       1.716020075633e-13       0.000000000000e+00       1.030199462473e-09       8.634624636985e-11       7.125180967004e-15 
   11       1.150243700219e-10       5.461404087378e-16       1.632774510670e-13       0.000000000000e+00       8.803075760725e-10       7.663109070944e-11       6.229625454638e-15 
   12       1.154491206891e-10       5.104636343029e-16       1.608274377570e-13       0.000000000000e+00       7.692938080420e-10       6.775229830471e-11       3.096412750493e-16 
   13       1.161475547794e-10       5.079372470140e-16       1.623579878105e-13       0.000000000000e+00       6.781515134102e-10       6.052585767560e-11      -5.466477325561e-15 
   14       1.170485357120e-10       5.330699715173e-16       1.664488398588e-13       0.000000000000e+00       6.023121355943e-10       5.421637757028e-11      -1.030778525440e-14 
   15       1.181534396005e-10       5.828048987283e-16       1.721480996159e-13       0.000000000000e+00       5.384681140599e-10       4.893229605300e-11      -1.323424769169e-14 
   16       1.194016964657e-10       6.550195990526e-16       1.788494437080e-13       0.000000000000e+00       4.841800832920e-10       4.440727784871e-11      -1.469006498040e-14 
   17       1.207877382028e-10       7.481986220952e-16       1.861415942434e-13       0.000000000000e+00       4.376052607261e-10       4.047670476247e-11      -1.517376041370e-14 
   18       1.222595897831e-10       8.612343843055e-16       1.938586982826e-13       0.000000000000e+00       3.971807102384e-10       3.702973684074e-11      -1.513010682411e-14 
   19       1.238302596892e-10       9.938024686578e-16       2.018697599294e-13       0.000000000000e+00       3.622542271976e-10       3.402262446213e-11      -1.477754126239e-14 
   20       1.254831346589e-10       1.145267930614e-15       2.099499045984e-13       0.000000000000e+00       3.314918557691e-10       3.135899524958e-11      -1.428671295051e-14 
   21       1.272236236753e-10       1.315896241743e-15       2.179808205539e-13       0.000000000000e+00       3.044113411780e-10       2.899093894718e-11      -1.374788323678e-14 
   22       1.290310325673e-10       1.506053982075e-15       2.258334593502e-13       0.000000000000e+00       2.803621625160e-10       2.685021925444e-11      -1.323067586002e-14 
   23       1.309042487722e-10       1.716273461875e-15       2.333753011641e-13       0.000000000000e+00       2.590144581726e-10       2.492063251976e-11      -1.279355245420e-14 
   24       1.328276611354e-10       1.947103789183e-15       2.404552506653e-13       0.000000000000e+00       2.398766510325e-10       2.318107299894e-11      -1.247331740264e-14 
   25       1.348095594403e-10       2.199523138207e-15       2.470049336524e-13       0.000000000000e+00       2.227241420918e-10       2.162419149580e-11      -1.221347845282e-14 
   26       1.368472883554e-10       2.474589253772e-15       2.529642451523e-13       0.000000000000e+00       2.072465995679e-10       2.022912568145e-11      -1.192532665541e-14 
   27       1.389282990840e-10       2.773142664425e-15       2.582401626826e-13       0.000000000000e+00       1.932586663921e-10       1.896826520718e-11      -1.159261974773e-14 
   28       1.410287757287e-10       3.095952251035e-15       2.627262520370e-13       0.000000000000e+00       1.805195950652e-10       1.780495908481e-11      -1.122424634577e-14 
