# Matter power spectrum P(k) at redshift z=0
# for k=1.04564e-05 to 0.628084 h/Mpc,
# number of wavenumbers equal to 560
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045636895265e-05       5.098363524307e+01 
       2.335677266242e-05       1.106795644897e+02 
       3.630265496451e-05       1.693501070851e+02 
       4.932895331925e-05       2.276195826801e+02 
       6.247118456451e-05       2.858446622428e+02 
       7.576576256288e-05       3.442935289745e+02 
       8.925032603220e-05       4.031961273353e+02 
       1.029640809318e-04       4.627647213144e+02 
       1.169481618106e-04       5.232044843555e+02 
       1.312460165557e-04       5.847198921174e+02 
       1.459038189883e-04       6.475192027266e+02 
       1.609709136881e-04       7.118179239474e+02 
       1.765002972497e-04       7.778418118772e+02 
       1.925491397914e-04       8.458295841986e+02 
       2.091793498687e-04       9.160355556998e+02 
       2.264581848421e-04       9.887322256952e+02 
       2.444589070512e-04       1.064212881219e+03 
       2.632614836233e-04       1.142794224573e+03 
       2.829533241191e-04       1.224819010568e+03 
       3.036300451576e-04       1.310658620417e+03 
       3.253962442793e-04       1.400715547287e+03 
       3.483662561870e-04       1.495425589859e+03 
       3.726648527746e-04       1.595259675804e+03 
       3.984278337578e-04       1.700724993028e+03 
       4.258024372900e-04       1.812365189583e+03 
       4.549474802467e-04       1.930759258740e+03 
       4.860331173007e-04       2.056518625934e+03 
       5.192400891269e-04       2.190282024111e+03 
       5.547583173024e-04       2.332707547796e+03 
       5.927847027313e-04       2.484461420384e+03 
       6.335200032596e-04       2.646203196011e+03 
       6.771647126097e-04       2.818567110925e+03 
       7.239139432500e-04       3.002139925093e+03 
       7.739514318284e-04       3.197435929939e+03 
       8.274429300770e-04       3.404870430940e+03 
       8.845293976205e-04       3.624733581412e+03 
       9.453205450956e-04       3.857166895985e+03 
       1.009889348932e-03       4.102144946382e+03 
       1.078268139489e-03       4.359464666055e+03 
       1.150446735765e-03       4.628743872114e+03 
       1.226372874403e-03       4.909429657823e+03 
       1.305954899341e-03       5.200816259112e+03 
       1.389066401230e-03       5.502049317424e+03 
       1.475552282067e-03       5.812196460936e+03 
       1.565235609962e-03       6.130281702336e+03 
       1.657924630627e-03       6.455276053792e+03 
       1.753419396201e-03       6.786145901076e+03 
       1.851517621368e-03       7.121875646266e+03 
       1.952019541460e-03       7.461489767093e+03 
       2.054731695756e-03       7.804064437348e+03 
       2.159469673370e-03       8.148737894218e+03 
       2.266059933400e-03       8.494716310966e+03 
       2.374340849213e-03       8.841275676989e+03 
       2.484163136936e-03       9.187760826590e+03 
       2.595389819811e-03       9.533583315302e+03 
       2.707895861267e-03       9.878218746489e+03 
       2.821567576459e-03       1.022120108928e+04 
       2.936301908748e-03       1.056211855549e+04 
       3.052005636486e-03       1.090060970288e+04 
       3.168594557566e-03       1.123635715015e+04 
       3.285992684738e-03       1.156908512864e+04 
       3.404131473467e-03       1.189855473304e+04 
       3.522949095719e-03       1.222455598621e+04 
       3.642389766920e-03       1.254691158838e+04 
       3.762403129034e-03       1.286546935767e+04 
       3.882943689751e-03       1.318009769981e+04 
       4.003970315887e-03       1.349068867287e+04 
       4.125445777927e-03       1.379714894451e+04 
       4.247336341979e-03       1.409940447887e+04 
       4.369611405165e-03       1.439739231549e+04 
       4.492243170419e-03       1.469106369525e+04 
       4.615206356778e-03       1.498037938906e+04 
       4.738477941502e-03       1.526530209082e+04 
       4.862036930582e-03       1.554579405264e+04 
       4.985864154538e-03       1.582191275744e+04 
       5.109942086649e-03       1.609355867048e+04 
       5.234254681105e-03       1.636081249725e+04 
       5.358787228777e-03       1.662372140367e+04 
       5.483526228614e-03       1.688220116979e+04 
       5.608459272849e-03       1.713549038731e+04 
       5.733574944449e-03       1.738519000593e+04 
       5.858862725395e-03       1.763054718703e+04 
       5.984312914559e-03       1.787153860823e+04 
       6.109916554090e-03       1.810820644959e+04 
       6.235665363355e-03       1.834067571695e+04 
       6.361551679577e-03       1.856900585641e+04 
       6.487568404427e-03       1.879310560505e+04 
       6.613708955931e-03       1.901303115551e+04 
       6.739967225075e-03       1.922872082158e+04 
       6.866337536644e-03       1.944021206428e+04 
       6.992814613796e-03       1.964763507579e+04 
       7.119393546008e-03       1.985104153143e+04 
       7.246069760018e-03       2.005048889036e+04 
       7.372838993463e-03       2.024593322272e+04 
       7.499697270928e-03       2.043792743918e+04 
       7.626640882161e-03       2.062557972367e+04 
       7.753666362241e-03       2.080938237649e+04 
       7.880770473497e-03       2.098938842430e+04 
       8.007950189003e-03       2.116545134998e+04 
       8.135202677511e-03       2.133793554752e+04 
       8.262525289660e-03       2.150685286469e+04 
       8.389915545361e-03       2.167193212590e+04 
       8.517371122225e-03       2.183347190075e+04 
       8.644889844960e-03       2.199144505074e+04 
       8.772469675630e-03       2.214564276914e+04 
       8.900108704699e-03       2.229661551309e+04 
       9.027805142801e-03       2.244388957775e+04 
       9.155557313158e-03       2.258808164878e+04 
       9.283363644594e-03       2.272861035536e+04 
       9.411222665092e-03       2.286600854905e+04 
       9.539132995852e-03       2.300003211598e+04 
       9.667093345797e-03       2.313070846723e+04 
       9.795102506498e-03       2.325828603898e+04 
       9.923159347480e-03       2.338247417994e+04 
       1.005126281188e-02       2.350356885504e+04 
       1.017941191240e-02       2.362151423478e+04 
       1.030760572764e-02       2.373648906444e+04 
       1.043584339855e-02       2.384829226870e+04 
       1.056412412531e-02       2.395711454192e+04 
       1.069244716428e-02       2.406214603000e+04 
       1.082081182530e-02       2.416568318841e+04 
       1.094921746906e-02       2.426567154437e+04 
       1.107766350478e-02       2.436270374400e+04 
       1.120614938792e-02       2.445664830371e+04 
       1.133467461819e-02       2.454829177129e+04 
       1.146323873758e-02       2.463685053760e+04 
       1.159184132859e-02       2.472277749317e+04 
       1.172048201258e-02       2.480529488995e+04 
       1.184916044821e-02       2.488628330957e+04 
       1.197787633005e-02       2.496362718118e+04 
       1.210662938717e-02       2.503821042892e+04 
       1.223541938196e-02       2.511167728099e+04 
       1.236424610896e-02       2.518156661667e+04 
       1.249310939377e-02       2.524908854570e+04 
       1.262200909207e-02       2.531399387688e+04 
       1.275094508870e-02       2.537643064428e+04 
       1.287991729680e-02       2.543623982810e+04 
       1.300892565702e-02       2.549399278062e+04 
       1.313797013676e-02       2.554916317794e+04 
       1.326705072952e-02       2.560103649110e+04 
       1.339616745427e-02       2.565220812276e+04 
       1.352532035487e-02       2.570058745215e+04 
       1.365450949952e-02       2.574577277693e+04 
       1.378373498031e-02       2.578942821571e+04 
       1.391299691275e-02       2.583163931042e+04 
       1.404229543538e-02       2.587047014774e+04 
       1.417163070937e-02       2.590802368174e+04 
       1.430100291825e-02       2.594216056181e+04 
       1.443041226755e-02       2.597549779916e+04 
       1.455985898457e-02       2.600557005042e+04 
       1.468934331813e-02       2.603521542496e+04 
       1.481886553837e-02       2.606109027444e+04 
       1.494842593658e-02       2.608653377534e+04 
       1.507802482503e-02       2.610924914658e+04 
       1.520766253687e-02       2.612984145556e+04 
       1.533733942602e-02       2.614868630379e+04 
       1.546705586708e-02       2.616459614510e+04 
       1.559681225531e-02       2.617978093170e+04 
       1.572660900657e-02       2.619372592856e+04 
       1.585644655731e-02       2.620405364704e+04 
