# Matter power spectrum P(k) at redshift z=0
# for k=1.04564e-05 to 0.628085 h/Mpc,
# number of wavenumbers equal to 560
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045636895265e-05       5.098359698901e+01 
       2.335679560827e-05       1.106795839467e+02 
       3.630270104875e-05       1.693501881256e+02 
       4.932902292129e-05       2.276197145011e+02 
       6.247127825534e-05       2.858448515147e+02 
       7.576588111260e-05       3.442937771890e+02 
       8.925047042053e-05       4.031964344209e+02 
       1.029642523618e-04       4.627650898185e+02 
       1.169483617253e-04       5.232049133980e+02 
       1.312462466594e-04       5.847203867216e+02 
       1.459040812704e-04       6.475197642785e+02 
       1.609712104528e-04       7.118185585200e+02 
       1.765006311493e-04       7.778425210425e+02 
       1.925495138656e-04       8.458303783156e+02 
       2.091797675893e-04       9.160364404941e+02 
       2.264586501640e-04       9.887332081765e+02 
       2.444594244707e-04       1.064213973518e+03 
       2.632620582423e-04       1.142795440379e+03 
       2.829539617176e-04       1.224820363802e+03 
       3.036307522730e-04       1.310660133299e+03 
       3.253970282921e-04       1.400717241172e+03 
       3.483671254117e-04       1.495427502323e+03 
       3.726658165545e-04       1.595261844601e+03 
       3.984289025598e-04       1.700727473446e+03 
       4.258036227939e-04       1.812368046763e+03 
       4.549487954243e-04       1.930762580318e+03 
       4.860345764741e-04       2.056522530185e+03 
       5.192417079961e-04       2.190286661112e+03 
       5.547601129293e-04       2.332713106738e+03 
       5.927866934653e-04       2.484468150824e+03 
       6.335222085904e-04       2.646211423749e+03 
       6.771671529358e-04       2.818577247625e+03 
       7.239166395545e-04       3.002152477979e+03 
       7.739544052627e-04       3.197451537246e+03 
       8.274462014653e-04       3.404889859595e+03 
       8.845329869088e-04       3.624757739829e+03 
       9.453244707822e-04       3.857196820802e+03 
       1.009893627528e-03       4.102181803662e+03 
       1.078272785053e-03       4.359509718037e+03 
       1.150451759568e-03       4.628798426634e+03 
       1.226378284735e-03       4.909495048716e+03 
       1.305960701488e-03       5.200893822384e+03 
       1.389072597609e-03       5.502140307429e+03 
       1.475558872485e-03       5.812302126525e+03 
       1.565242591966e-03       6.130403294807e+03 
       1.657931999912e-03       6.455414835720e+03 
       1.753427147025e-03       6.786303211545e+03 
       1.851525746949e-03       7.122053160403e+03 
       1.952028034334e-03       7.461689302144e+03 
       2.054740548082e-03       7.804288133586e+03 
       2.159478877179e-03       8.148988250219e+03 
       2.266069480787e-03       8.494996214042e+03 
       2.374350732484e-03       8.841588280578e+03 
       2.484173348708e-03       9.188109549577e+03 
       2.595400353075e-03       9.533971817619e+03 
