# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.455606870444e-10       3.449930959939e-15       3.357585873661e-13       0.000000000000e+00       8.662903715936e-09       4.749093464904e-10      -1.704554142459e-12 
    3       1.378910401208e-10       3.854892831905e-15       3.593062240793e-13       0.000000000000e+00       5.335540457812e-09       3.366784566080e-10      -1.179144669428e-12 
    4       1.307526376235e-10       2.907771949927e-15       3.234243726116e-13       0.000000000000e+00       3.717455520947e-09       2.545344857126e-10      -6.771228006609e-13 
    5       1.254982620708e-10       1.730280817458e-15       2.680342368098e-13       0.000000000000e+00       2.777488040792e-09       2.006970997517e-10      -2.998258641345e-13 
    6       1.219492835315e-10       9.436164633555e-16       2.136462741098e-13       0.000000000000e+00       2.170859637583e-09       1.631360621396e-10      -6.165003442726e-14 
    7       1.197315477180e-10       5.784543001522e-16       1.707038980223e-13       0.000000000000e+00       1.751631220773e-09       1.357708091544e-10       5.609186484073e-14 
    8       1.184523177103e-10       4.312641551339e-16       1.421712201481e-13       0.000000000000e+00       1.446848170622e-09       1.150961740475e-10       8.696640758503e-14 
    9       1.178713094811e-10       3.518207493733e-16       1.269337524653e-13       0.000000000000e+00       1.217143303729e-09       9.897153099313e-11       6.739850002063e-14 
   10       1.178006291097e-10       2.985481874749e-16       1.220558976879e-13       0.000000000000e+00       1.039612141810e-09       8.612259918158e-11       2.871728743173e-14 
   11       1.181196226439e-10       2.768256590089e-16       1.243057951436e-13       0.000000000000e+00       8.780949804849e-10       7.606756762502e-11      -6.810448705366e-15 
   12       1.187893238241e-10       2.883768441312e-16       1.307934811912e-13       0.000000000000e+00       7.673303783128e-10       6.738887315377e-11      -2.938968996314e-14 
   13       1.196801418509e-10       3.256957036557e-16       1.393272271255e-13       0.000000000000e+00       6.763976902426e-10       6.016608106092e-11      -3.646236889946e-14 
   14       1.207180175881e-10       3.834534501452e-16       1.487000470395e-13       0.000000000000e+00       6.007296964050e-10       5.385397057073e-11      -3.236181578531e-14 
   15       1.219342500201e-10       4.619546017577e-16       1.583984669084e-13       0.000000000000e+00       5.370331090630e-10       4.854478646316e-11      -2.297736555426e-14 
   16       1.233481409075e-10       5.626949838127e-16       1.682486433646e-13       0.000000000000e+00       4.828724474452e-10       4.406309599257e-11      -1.402668939272e-14 
   17       1.248085847153e-10       6.851270818812e-16       1.783944880142e-13       0.000000000000e+00       4.364080573657e-10       4.021346139565e-11      -8.895828227882e-15 
   18       1.263759662155e-10       8.276131900954e-16       1.889399444618e-13       0.000000000000e+00       3.960761442237e-10       3.676239713403e-11      -8.456925874221e-15 
   19       1.280701094090e-10       9.899285635804e-16       1.997862631895e-13       0.000000000000e+00       3.612363688564e-10       3.370086581931e-11      -1.138510650643e-14 
   20       1.298147637588e-10       1.172018415497e-15       2.106925539287e-13       0.000000000000e+00       3.305492913940e-10       3.102497657229e-11      -1.529701736299e-14 
   21       1.316243994245e-10       1.373956892485e-15       2.213626549757e-13       0.000000000000e+00       3.035337784040e-10       2.869307866886e-11      -1.853300596721e-14 
   22       1.335072688745e-10       1.595900996575e-15       2.314355475510e-13       0.000000000000e+00       2.795436013742e-10       2.660918867383e-11      -1.972821355106e-14 
   23       1.354528295526e-10       1.838984003721e-15       2.406389596436e-13       0.000000000000e+00       2.582493455945e-10       2.472760751509e-11      -1.899413690079e-14 
   24       1.374261391560e-10       2.104739993588e-15       2.487571938476e-13       0.000000000000e+00       2.391593806918e-10       2.300056522008e-11      -1.709716399734e-14 
   25       1.394469598630e-10       2.394629532372e-15       2.558392541227e-13       0.000000000000e+00       2.220497873538e-10       2.143303443715e-11      -1.491490118436e-14 
   26       1.415324597872e-10       2.710100491658e-15       2.620291160767e-13       0.000000000000e+00       2.066115450905e-10       2.002979526618e-11      -1.335894528030e-14 
   27       1.436704183018e-10       3.052320445712e-15       2.673671868229e-13       0.000000000000e+00       1.926597450109e-10       1.877324242193e-11      -1.262581199259e-14 
   28       1.458307590040e-10       3.422336928236e-15       2.718537981504e-13       0.000000000000e+00       1.799540469982e-10       1.762995578147e-11      -1.263250770245e-14 
   29       1.480207911223e-10       3.821049443217e-15       2.754173330477e-13       0.000000000000e+00       1.684296685041e-10       1.658895107028e-11      -1.312728399575e-14 
   30       1.502477478638e-10       4.249266629170e-15       2.779509043415e-13       0.000000000000e+00       1.579629477223e-10       1.563511796194e-11      -1.372483575704e-14 
   31       1.525076661945e-10       4.707766500346e-15       2.793389140673e-13       0.000000000000e+00       1.483405129414e-10       1.474586138156e-11      -1.401876384271e-14 
   32       1.548034595541e-10       5.197430843661e-15       2.794993462131e-13       0.000000000000e+00       1.395128206478e-10       1.391995201508e-11      -1.393694937267e-14 
   33       1.571307386603e-10       5.719158060882e-15       2.783554908590e-13       0.000000000000e+00       1.314176296838e-10       1.315797512717e-11      -1.351813804157e-14 
   34       1.594786003853e-10       6.273782292838e-15       2.758418803959e-13       0.000000000000e+00       1.239418631403e-10       1.245587564326e-11      -1.283876888991e-14 
   35       1.618540461856e-10       6.861916353337e-15       2.719655384624e-13       0.000000000000e+00       1.170473482675e-10       1.181082326367e-11      -1.207141037590e-14 
   36       1.642643620127e-10       7.484046672446e-15       2.667670611415e-13       0.000000000000e+00       1.106788401909e-10       1.121645912990e-11      -1.145185477910e-14 
   37       1.667112137083e-10       8.140632153547e-15       2.602855870960e-13       0.000000000000e+00       1.047535334212e-10       1.066368409138e-11      -1.119675787821e-14 
   38       1.691953552351e-10       8.832319761817e-15       2.524906132896e-13       0.000000000000e+00       9.925616471737e-11       1.015040917334e-11      -1.126212419941e-14 
