# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.458280130734e-10       4.145989875868e-15       3.705958051670e-13       0.000000000000e+00       8.624149542310e-09       4.768372081102e-10      -1.855731727046e-12 
    3       1.379241685510e-10       5.368872815051e-15       4.265181150460e-13       0.000000000000e+00       5.349387573760e-09       3.381827083587e-10      -1.375997857578e-12 
    4       1.304201721939e-10       4.979519221530e-15       4.164996805470e-13       0.000000000000e+00       3.724919436437e-09       2.559574676524e-10      -8.959287340982e-13 
    5       1.247158220952e-10       3.922331145748e-15       3.790465153636e-13       0.000000000000e+00       2.779784464402e-09       2.020898220983e-10      -5.214789231181e-13 
    6       1.206754873545e-10       2.913696968484e-15       3.346468443764e-13       0.000000000000e+00       2.169864453338e-09       1.644678154640e-10      -2.705134180030e-13 
    7       1.179582392283e-10       2.198710451594e-15       2.945878887397e-13       0.000000000000e+00       1.750162440562e-09       1.370431034859e-10      -1.291600725509e-13 
    8       1.161916454882e-10       1.746440944866e-15       2.632491053347e-13       0.000000000000e+00       1.446896323041e-09       1.163111102923e-10      -6.889090317929e-14 
    9       1.151435782711e-10       1.476129865402e-15       2.412396410011e-13       0.000000000000e+00       1.218867808819e-09       1.001211578090e-10      -5.790405284562e-14 
   10       1.146325422023e-10       1.336788969015e-15       2.273522406990e-13       0.000000000000e+00       1.042166793160e-09       8.719344802033e-11      -6.842837807453e-14 
   11       1.145393609518e-10       1.295455235055e-15       2.197196507887e-13       0.000000000000e+00       8.779815891916e-10       7.701125907304e-11      -8.122747490985e-14 
   12       1.148206492150e-10       1.319689891353e-15       2.163896165974e-13       0.000000000000e+00       7.672322439171e-10       6.824870649092e-11      -8.570386701630e-14 
   13       1.153467091904e-10       1.380891201642e-15       2.157482478689e-13       0.000000000000e+00       6.763121015704e-10       6.094988463649e-11      -7.940711199569e-14 
   14       1.160444296215e-10       1.462548637296e-15       2.167921522603e-13       0.000000000000e+00       6.006547133802e-10       5.457460267011e-11      -6.605280138491e-14 
   15       1.169408682006e-10       1.559295595877e-15       2.189721574184e-13       0.000000000000e+00       5.369670543492e-10       4.921215413479e-11      -4.998156758882e-14 
   16       1.180506982061e-10       1.670141553099e-15       2.219237567297e-13       0.000000000000e+00       4.828138929345e-10       4.468459261347e-11      -3.597513867096e-14 
   17       1.192275300830e-10       1.794358757670e-15       2.255499845184e-13       0.000000000000e+00       4.363559582149e-10       4.079473608221e-11      -2.673335090307e-14 
   18       1.205262190920e-10       1.931427686859e-15       2.298377974494e-13       0.000000000000e+00       3.960288910038e-10       3.730888550715e-11      -2.279939354193e-14 
   19       1.219644893571e-10       2.082253457243e-15       2.347454392585e-13       0.000000000000e+00       3.611948661471e-10       3.421625510584e-11      -2.275445490269e-14 
   20       1.234662564642e-10       2.247758419997e-15       2.400551145133e-13       0.000000000000e+00       3.305123362368e-10       3.150974963031e-11      -2.409927331988e-14 
   21       1.250441696053e-10       2.429084466610e-15       2.455167435453e-13       0.000000000000e+00       3.035002814019e-10       2.914839606553e-11      -2.519936494893e-14 
   22       1.267043050351e-10       2.627243939138e-15       2.507912353936e-13       0.000000000000e+00       2.795133606602e-10       2.703783940839e-11      -2.472088805777e-14 
   23       1.284357516412e-10       2.843538405266e-15       2.557150985812e-13       0.000000000000e+00       2.582221766370e-10       2.513278055453e-11      -2.272986015195e-14 
   24       1.302037297984e-10       3.079237807807e-15       2.601508564707e-13       0.000000000000e+00       2.391348833397e-10       2.338502013680e-11      -1.988468482450e-14 
   25       1.320260166020e-10       3.335758278412e-15       2.640493600057e-13       0.000000000000e+00       2.220275975828e-10       2.179857564057e-11      -1.694402977313e-14 
   26       1.339175486603e-10       3.614413044415e-15       2.673823139310e-13       0.000000000000e+00       2.065914323894e-10       2.037700781862e-11      -1.468552326619e-14 
   27       1.358661326343e-10       3.916316684073e-15       2.701798234205e-13       0.000000000000e+00       1.926415077790e-10       1.910278795089e-11      -1.325829824484e-14 
   28       1.378425262576e-10       4.242388825386e-15       2.724656436526e-13       0.000000000000e+00       1.799374939171e-10       1.794290099510e-11      -1.256392095674e-14 
   29       1.398534436566e-10       4.593552346833e-15       2.741741329567e-13       0.000000000000e+00       1.684146156536e-10       1.688668454935e-11      -1.238965308302e-14 
   30       1.419052736756e-10       4.970554772880e-15       2.751805518001e-13       0.000000000000e+00       1.579492332689e-10       1.591924423712e-11      -1.241383931520e-14 
   31       1.439934363812e-10       5.373992246165e-15       2.753375809137e-13       0.000000000000e+00       1.483280092528e-10       1.501800117526e-11      -1.228852420485e-14 
   32       1.461203490799e-10       5.804688790405e-15       2.745651545751e-13       0.000000000000e+00       1.395014090255e-10       1.418126388350e-11      -1.193249836085e-14 
   33       1.482813982189e-10       6.263424927414e-15       2.727897688213e-13       0.000000000000e+00       1.314072008011e-10       1.340881172657e-11      -1.134547266714e-14 
   34       1.504656243540e-10       6.750860138537e-15       2.699395722885e-13       0.000000000000e+00       1.239323237723e-10       1.269576854447e-11      -1.055736083624e-14 
   35       1.526795133716e-10       7.267664906796e-15       2.660149644558e-13       0.000000000000e+00       1.170386124627e-10       1.203944647201e-11      -9.713134289076e-15 
   36       1.549298434699e-10       7.814410330488e-15       2.610418416133e-13       0.000000000000e+00       1.106708318564e-10       1.143394935117e-11      -9.021600368181e-15 
   37       1.572179559488e-10       8.391593182628e-15       2.550380355291e-13       0.000000000000e+00       1.047461897056e-10       1.087061392518e-11      -8.673190865888e-15 
   38       1.595443948882e-10       8.999887297785e-15       2.479619177212e-13       0.000000000000e+00       9.924942584107e-11       1.034744365090e-11      -8.624479641196e-15 
   39       1.619045485658e-10       9.639959439432e-15       2.397454199299e-13       0.000000000000e+00       9.416314362372e-11       9.862195613950e-12      -8.741520015758e-15 
   40       1.642865160315e-10       1.031239286578e-14       2.303061795264e-13       0.000000000000e+00       8.943888394076e-11       9.409509825728e-12      -8.854450556563e-15 
   41       1.666767357771e-10       1.101770568579e-14       2.195613772229e-13       0.000000000000e+00       8.501401867058e-11       8.982767480316e-12      -8.805209098695e-15 
   42       1.690807485632e-10       1.175643029886e-14       2.074776961119e-13       0.000000000000e+00       8.087555945836e-11       8.581041114232e-12      -8.615117479450e-15 
   43       1.715080221375e-10       1.252904778303e-14       1.940355057116e-13       0.000000000000e+00       7.701255972669e-11       8.203953352604e-12      -8.367817017637e-15 
   44       1.739659535174e-10       1.333595932514e-14       1.792149504918e-13       0.000000000000e+00       7.339696678695e-11       7.849623456489e-12      -8.164895269733e-15 
   45       1.764594046414e-10       1.417749853462e-14       1.629929045150e-13       0.000000000000e+00       6.999365019169e-11       7.515471251505e-12      -8.100233247130e-15 
   46       1.789897607624e-10       1.505398552686e-14       1.453332735567e-13       0.000000000000e+00       6.679727147267e-11       7.201205847491e-12      -8.171432006348e-15 
   47       1.815551451839e-10       1.596567980362e-14       1.261934155377e-13       0.000000000000e+00       6.380412021798e-11       6.906520855072e-12      -8.343688847075e-15 
   48       1.841503309630e-10       1.691275965489e-14       1.055263369586e-13       0.000000000000e+00       6.100099299768e-11       6.630176828019e-12      -8.573722267130e-15 
   49       1.867664674258e-10       1.789531776831e-14       8.328030800483e-14       0.000000000000e+00       5.836448736382e-11       6.369931454708e-12      -8.809282268864e-15 
   50       1.893945560965e-10       1.891341786798e-14       5.940776033117e-14       0.000000000000e+00       5.586805272098e-11       6.123219251068e-12      -9.000588992867e-15 
   51       1.920376252642e-10       1.996729294173e-14       3.389572066485e-14       0.000000000000e+00       5.350703713669e-11       5.889570096952e-12      -9.139445071052e-15 
   52       1.947013873298e-10       2.105719323098e-14       6.742972744294e-15       0.000000000000e+00       5.127921884021e-11       5.668726515788e-12      -9.229893414281e-15 
   53       1.973906834830e-10       2.218332842143e-14      -2.204845265213e-14       0.000000000000e+00       4.917731067926e-11       5.459917831794e-12      -9.277286724046e-15 
   54       2.001093866601e-10       2.334586612448e-14      -5.247322576972e-14       0.000000000000e+00       4.718861914918e-11       5.261825632098e-12      -9.288359131914e-15 
