# Matter power spectrum P(k) at redshift z=0
# for k=1.04317e-05 to 0.626625 h/Mpc,
# number of wavenumbers equal to 560
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.043167250743e-05       5.133208156115e+01 
       2.330677127374e-05       1.114598389281e+02 
       3.622707073562e-05       1.705536587553e+02 
       4.922730230297e-05       2.292419578823e+02 
       6.234277101011e-05       2.878834189232e+02 
       7.560967003597e-05       3.467475460411e+02 
       8.906540526820e-05       4.060652840826e+02 
       1.027489342246e-04       4.660497182398e+02 
       1.167011236783e-04       5.269067250736e+02 
       1.309651303662e-04       5.888414107920e+02 
       1.455868091676e-04       6.520625910802e+02 
       1.606151530797e-04       7.167862876442e+02 
       1.761027691397e-04       7.832387140942e+02 
       1.921063940767e-04       8.516590095702e+02 
       2.086874528208e-04       9.223018524940e+02 
       2.259126619255e-04       9.954400574167e+02 
       2.438546783023e-04       1.071367176189e+03 
       2.625927912086e-04       1.150400116786e+03 
       2.822136518912e-04       1.232881772803e+03 
       3.028120303546e-04       1.319183608529e+03 
       3.244915820042e-04       1.409708135951e+03 
       3.473655980187e-04       1.504891116639e+03 
       3.715577018446e-04       1.605203397382e+03 
       3.972024399406e-04       1.711152071412e+03 
       4.244456978318e-04       1.823280721641e+03 
       4.534448531999e-04       1.942168344429e+03 
       4.843685574714e-04       2.068426551402e+03 
       5.173960187038e-04       2.202694532170e+03 
       5.527156455840e-04       2.345631249652e+03 
       5.905229108738e-04       2.497904415189e+03 
       6.310173100133e-04       2.660175834573e+03 
       6.743983347374e-04       2.833082989774e+03 
       7.208604589141e-04       3.017217070661e+03 
       7.705872462136e-04       3.213098102921e+03 
       8.237448301316e-04       3.421148484569e+03 
       8.804751683420e-04       3.641666757804e+03 
       9.408896057534e-04       3.874803835839e+03 
       1.005063357332e-03       4.120544345300e+03 
       1.073031509133e-03       4.378695348711e+03 
       1.144787016646e-03       4.648884180458e+03 
       1.220280963027e-03       4.930566217593e+03 
       1.299425064678e-03       5.223042118329e+03 
       1.382096136112e-03       5.525463417260e+03 
       1.468142009152e-03       5.836895830114e+03 
       1.557388284121e-03       6.156364036843e+03 
       1.649645284042e-03       6.482835669534e+03 
       1.744714669364e-03       6.815271424443e+03 
       1.842395314948e-03       7.152649645116e+03 
       1.942488213364e-03       7.493985784289e+03 
       2.044800317166e-03       7.838347485517e+03 
       2.149147348603e-03       8.184863928556e+03 
       2.255355681891e-03       8.532732207961e+03 
       2.363263443734e-03       8.881218961644e+03 
       2.472720990047e-03       9.229661218565e+03 
       2.583590909876e-03       9.577462481625e+03 
       2.695747689732e-03       9.924091152804e+03 
       2.809077148954e-03       1.026907417756e+04 
       2.923475733732e-03       1.061199286957e+04 
       3.038849736315e-03       1.095248138530e+04 
       3.155114487942e-03       1.129021626155e+04 
       3.272193559439e-03       1.162491724052e+04 
       3.390017992057e-03       1.195634063560e+04 
       3.508525572552e-03       1.228427486085e+04 
       3.627660160250e-03       1.260853688698e+04 
       3.747371069417e-03       1.292897320203e+04 
       3.867612507220e-03       1.324544953256e+04 
       3.988343065576e-03       1.355785610960e+04 
       4.109525263966e-03       1.386609828078e+04 
       4.231125139608e-03       1.417010099218e+04 
       4.353111881063e-03       1.446980047423e+04 
       4.475457501311e-03       1.476514617454e+04 
       4.598136546402e-03       1.505610083214e+04 
       4.721125836038e-03       1.534262708923e+04 
       4.844404232661e-03       1.562469020723e+04 
       4.967952435930e-03       1.590230730293e+04 
       5.091752799767e-03       1.617535384176e+04 
       5.215789169399e-03       1.644397684750e+04 
       5.340046736150e-03       1.670809877860e+04 
