# Matter power spectrum P(k) at redshift z=0
# for k=1.04564e-05 to 0.628084 h/Mpc,
# number of wavenumbers equal to 560
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045636895265e-05       5.098365580673e+01 
       2.335676858248e-05       1.106795850011e+02 
       3.630264677039e-05       1.693501321740e+02 
       4.932894094349e-05       2.276196136989e+02 
       6.247116790559e-05       2.858447024500e+02 
       7.576574148387e-05       3.442935837641e+02 
       8.925030035888e-05       4.031962015988e+02 
       1.029640504503e-04       4.627648217530e+02 
       1.169481262643e-04       5.232046161899e+02 
       1.312459756416e-04       5.847200646581e+02 
       1.459037723526e-04       6.475194252439e+02 
       1.609708609211e-04       7.118182096243e+02 
       1.765002378799e-04       7.778421715942e+02 
       1.925490732783e-04       8.458300329526e+02 
       2.091792755950e-04       9.160361118275e+02 
       2.264581021044e-04       9.887329086397e+02 
       2.444588150502e-04       1.064213711363e+03 
       2.632613814519e-04       1.142795227930e+03 
       2.829532107494e-04       1.224820214483e+03 
       3.036299194273e-04       1.310660057517e+03 
       3.253961048762e-04       1.400717246011e+03 
       3.483661016327e-04       1.495427587813e+03 
       3.726646814076e-04       1.595262011063e+03 
       3.984276437172e-04       1.700727699431e+03 
       4.258022264990e-04       1.812368303147e+03 
       4.549472463988e-04       1.930762801783e+03 
       4.860328578494e-04       2.056522616954e+03 
       5.192398012805e-04       2.190286460636e+03 
       5.547579980273e-04       2.332712385892e+03 
       5.927843487648e-04       2.484466590094e+03 
       6.335196111363e-04       2.646208542385e+03 
       6.771642787026e-04       2.818572397479e+03 
       7.239134638282e-04       3.002144799939e+03 
       7.739509031310e-04       3.197439878232e+03 
       8.274423484012e-04       3.404872752882e+03 
       8.845287594199e-04       3.624733341649e+03 
       9.453198470811e-04       3.857162878561e+03 
       1.009888588168e-03       4.102135632672e+03 
       1.078267313475e-03       4.359448207302e+03 
       1.150445842498e-03       4.628718047962e+03 
       1.226371912408e-03       4.909391907751e+03 
       1.305953867678e-03       5.200763686219e+03 
       1.389065299470e-03       5.501978675521e+03 
       1.475551110244e-03       5.812104200375e+03 
       1.565234368512e-03       6.130164019744e+03 
       1.657923320316e-03       6.455128997831e+03 
       1.753418018049e-03       6.785964771502e+03 
       1.851516176582e-03       7.121656782083e+03 
       1.952018031366e-03       7.461228454630e+03 
       2.054730121749e-03       7.803756158099e+03 
       2.159468036867e-03       8.148377021099e+03 
       2.266058235805e-03       8.494300445665e+03 
       2.374339091896e-03       8.840799121451e+03 
       2.484161321209e-03       9.187219024550e+03 
       2.595387946920e-03       9.532971835056e+03 
       2.707893932384e-03       9.877533067792e+03 
       2.821565592680e-03       1.022043698098e+04 
       2.936299871091e-03       1.056127168777e+04 
       3.052003545892e-03       1.089967595550e+04 
       3.168592414906e-03       1.123533251653e+04 
       3.285990490812e-03       1.156796569032e+04 
       3.404129229011e-03       1.189733699405e+04 
       3.522946801409e-03       1.222323620065e+04 
       3.642387423377e-03       1.254548643443e+04 
       3.762400736827e-03       1.286393570909e+04 
       3.882941249402e-03       1.317845242507e+04 
       4.003967827877e-03       1.348892885849e+04 
       4.125443242694e-03       1.379527185521e+04 
       4.247333759928e-03       1.409740756157e+04 
       4.369608776668e-03       1.439527306268e+04 
       4.492240495818e-03       1.468882008294e+04 
       4.615203636388e-03       1.497800928597e+04 
       4.738475175612e-03       1.526280393832e+04 
       4.862034119460e-03       1.554317696639e+04 
       4.985861298431e-03       1.581913657677e+04 
       5.109939185787e-03       1.609055682339e+04 
       5.234251735697e-03       1.635759885662e+04 
       5.358784239020e-03       1.662017843148e+04 
       5.483523194689e-03       1.687832380091e+04 
       5.608456194924e-03       1.713205770962e+04 
       5.733571822682e-03       1.738161490925e+04 
       5.858859559930e-03       1.762680375784e+04 
       5.984309705530e-03       1.786760844118e+04 
       6.109913301625e-03       1.810417030868e+04 
       6.235662067571e-03       1.833640486171e+04 
       6.361548340583e-03       1.856432727876e+04 
       6.487565022326e-03       1.878775307622e+04 
       6.613705530817e-03       1.900809646098e+04 
       6.739963757039e-03       1.922367523684e+04 
       6.866334025769e-03       1.943562022329e+04 
       6.992811060161e-03       1.964240541766e+04 
       7.119389949685e-03       1.984592655149e+04 
       7.246066121076e-03       2.004502281417e+04 
       7.372835311966e-03       2.024042373799e+04 
       7.499693546937e-03       2.043167711728e+04 
       7.626637115733e-03       2.061928780763e+04 
       7.753662553429e-03       2.080302725284e+04 
       7.880766622351e-03       2.098297736526e+04 
       8.007946295570e-03       2.115943181874e+04 
       8.135198741835e-03       2.133125144488e+04 
       8.262521311783e-03       2.149995010784e+04 
       8.389911525322e-03       2.166554575906e+04 
       8.517367060060e-03       2.182705116893e+04 
       8.644885740704e-03       2.198483887174e+04 
       8.772465529315e-03       2.213903404904e+04 
       8.900104516355e-03       2.228983430493e+04 
       9.027800912457e-03       2.243674018950e+04 
       9.155553040841e-03       2.258059151914e+04 
       9.283359330329e-03       2.272118805119e+04 
       9.411218308903e-03       2.285875551220e+04 
       9.539128597761e-03       2.299222929938e+04 
       9.667088905824e-03       2.312339615509e+04 
       9.795098024663e-03       2.325020475444e+04 
       9.923154823800e-03       2.337436444019e+04 
       1.005125824637e-02       2.349527812552e+04 
       1.017940730508e-02       2.361381488527e+04 
       1.030760107852e-02       2.372807148275e+04 
       1.043583870765e-02       2.384015232473e+04 
       1.056411939264e-02       2.394848148040e+04 
