# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.455206300216e-10       3.422123998311e-15       3.329728462352e-13       0.000000000000e+00       8.627302465309e-09       4.756005304506e-10      -1.701914347923e-12 
    3       1.378585302820e-10       3.800593870720e-15       3.550274429717e-13       0.000000000000e+00       5.350957416019e-09       3.368500887661e-10      -1.173503078047e-12 
    4       1.307411620053e-10       2.828671967204e-15       3.167519948014e-13       0.000000000000e+00       3.726001963937e-09       2.545724920876e-10      -6.706937505776e-13 
    5       1.255118259114e-10       1.637852538676e-15       2.588404641126e-13       0.000000000000e+00       2.780598239219e-09       2.006923045518e-10      -2.930407986402e-13 
    6       1.219920685423e-10       8.503761553547e-16       2.019420464331e-13       0.000000000000e+00       2.170563427008e-09       1.630999229994e-10      -5.467226298615e-14 
    7       1.198113388492e-10       4.924972735403e-16       1.565696594875e-13       0.000000000000e+00       1.750801696136e-09       1.357396827227e-10       6.313152315528e-14 
    8       1.185758151520e-10       3.553964969651e-16       1.257425946418e-13       0.000000000000e+00       1.447461845911e-09       1.150915030918e-10       9.404405953172e-14 
    9       1.180444664235e-10       2.839384003246e-16       1.083985494959e-13       0.000000000000e+00       1.219356187393e-09       9.899040059407e-11       7.453996394225e-14 
   10       1.180293181454e-10       2.328069265784e-16       1.016628206939e-13       0.000000000000e+00       1.042599004418e-09       8.615051939928e-11       3.595037655395e-14 
   11       1.184090335004e-10       2.051027258692e-16       1.022986973072e-13       0.000000000000e+00       8.783882460098e-10       7.609767687150e-11       6.011415837446e-16 
   12       1.191454674368e-10       2.017557529679e-16       1.074487435392e-13       0.000000000000e+00       7.676000101645e-10       6.740744110846e-11      -2.183246223845e-14 
   13       1.201073536808e-10       2.155826678308e-16       1.149526515257e-13       0.000000000000e+00       6.766467342539e-10       6.017190103199e-11      -2.883064162458e-14 
   14       1.212203725547e-10       2.422651716103e-16       1.235422612174e-13       0.000000000000e+00       6.009607509680e-10       5.384700877865e-11      -2.466858803468e-14 
   15       1.225153657390e-10       2.832672935440e-16       1.327565603027e-13       0.000000000000e+00       5.372480992898e-10       4.853041642579e-11      -1.534560243282e-14 
   16       1.240140806987e-10       3.409309497352e-16       1.424363646309e-13       0.000000000000e+00       4.830729823852e-10       4.404737537593e-11      -6.560914894250e-15 
   17       1.255612363051e-10       4.155156303443e-16       1.526071284174e-13       0.000000000000e+00       4.365955863951e-10       4.019969089237e-11      -1.672150103068e-15 
   18       1.272186577312e-10       5.061978728239e-16       1.634168660244e-13       0.000000000000e+00       3.962511264911e-10       3.675046821594e-11      -1.479835743741e-15 
   19       1.290060175174e-10       6.130262972661e-16       1.747956233176e-13       0.000000000000e+00       3.614016200172e-10       3.368966518471e-11      -4.632302111490e-15 
   20       1.308457480142e-10       7.360571889504e-16       1.865004509144e-13       0.000000000000e+00       3.307050907920e-10       3.101331578327e-11      -8.743531935728e-15 
   21       1.327523991485e-10       8.756211316663e-16       1.981728580281e-13       0.000000000000e+00       3.036803941178e-10       2.868039395266e-11      -1.214767218432e-14 
   22       1.347347358423e-10       1.032123970226e-15       2.093848388980e-13       0.000000000000e+00       2.796819690427e-10       2.659576771759e-11      -1.347906250338e-14 
   23       1.367816647391e-10       1.206646336697e-15       2.199209977899e-13       0.000000000000e+00       2.583803237748e-10       2.471367275642e-11      -1.286305944764e-14 
   24       1.388574981201e-10       1.400568528683e-15       2.296478527383e-13       0.000000000000e+00       2.392834393954e-10       2.298602690032e-11      -1.108932949444e-14 
   25       1.409823065175e-10       1.615484088780e-15       2.385357776871e-13       0.000000000000e+00       2.221673735111e-10       2.141799983484e-11      -9.052355203287e-15 
   26       1.431737991778e-10       1.853044500873e-15       2.466110092268e-13       0.000000000000e+00       2.067231345537e-10       2.001467070943e-11      -7.677877549253e-15 
   27       1.454191355590e-10       2.114511067058e-15       2.539270561891e-13       0.000000000000e+00       1.927657777561e-10       1.875822747101e-11      -7.157213582600e-15 
   28       1.476873335566e-10       2.400991140177e-15       2.605384778820e-13       0.000000000000e+00       1.800548747011e-10       1.761493276913e-11      -7.393587826924e-15 
   29       1.499855766941e-10       2.713527711782e-15       2.663783576909e-13       0.000000000000e+00       1.685256359473e-10       1.657394277778e-11      -8.114498365387e-15 
   30       1.523212982763e-10       3.053095158181e-15       2.713314147208e-13       0.000000000000e+00       1.580543770763e-10       1.562048345172e-11      -8.908488946037e-15 
   31       1.546907734429e-10       3.420647469974e-15       2.752694199578e-13       0.000000000000e+00       1.484276700119e-10       1.473221970965e-11      -9.347311688743e-15 
   32       1.570968298725e-10       3.817302691220e-15       2.780709175802e-13       0.000000000000e+00       1.395959669592e-10       1.390752367166e-11      -9.373434559973e-15 
   33       1.595348993784e-10       4.244222841709e-15       2.796068099513e-13       0.000000000000e+00       1.314970136422e-10       1.314627351388e-11      -9.057473654998e-15 
   34       1.619939478651e-10       4.702516648764e-15       2.797639979963e-13       0.000000000000e+00       1.240176991275e-10       1.244376991930e-11      -8.508475385660e-15 
   35       1.644810585836e-10       5.193072579956e-15       2.785489103402e-13       0.000000000000e+00       1.171198436086e-10       1.179741118404e-11      -7.901013901114e-15 
   36       1.670037109576e-10       5.716658846435e-15       2.760221089170e-13       0.000000000000e+00       1.107481865856e-10       1.120142183811e-11      -7.462832487042e-15 
   37       1.695637418544e-10       6.274013855859e-15       2.722431970581e-13       0.000000000000e+00       1.048198949134e-10       1.064728423650e-11      -7.401431328293e-15 
