# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.471132254168e-10       7.284096628989e-15       4.776072568518e-13       0.000000000000e+00       8.706785223125e-09       4.791474283651e-10      -2.488333780372e-12 
    3       1.387350907731e-10       1.234463184045e-14       6.015597827340e-13       0.000000000000e+00       5.363806101886e-09       3.416813495322e-10      -2.190063688199e-12 
    4       1.304456163240e-10       1.442061578401e-14       6.225991468995e-13       0.000000000000e+00       3.728456992764e-09       2.601646992910e-10      -1.748033857217e-12 
    5       1.238744428479e-10       1.334094496323e-14       5.832044554038e-13       0.000000000000e+00       2.782772910665e-09       2.065389826188e-10      -1.298173061884e-12 
    6       1.190411196411e-10       1.029635708140e-14       5.131757062844e-13       0.000000000000e+00       2.174058826649e-09       1.687348224300e-10      -8.875467732185e-13 
    7       1.156310507467e-10       6.823717787363e-15       4.327957111927e-13       0.000000000000e+00       1.754362778080e-09       1.407811426306e-10      -5.402691841511e-13 
    8       1.133644634262e-10       4.029522105053e-15       3.542715234374e-13       0.000000000000e+00       1.450433341950e-09       1.194014541042e-10      -2.671362091379e-13 
    9       1.119957461626e-10       2.325237491485e-15       2.848881200663e-13       0.000000000000e+00       1.221787919922e-09       1.026426035865e-10      -6.986096120783e-14 
   10       1.113010132638e-10       1.560597310837e-15       2.287672329998e-13       0.000000000000e+00       1.044541202336e-09       8.925245490932e-11       5.676549677034e-14 
   11       1.111623662316e-10       1.334723520238e-15       1.875840569512e-13       0.000000000000e+00       8.804495344276e-10       7.866093138961e-11       1.222441196708e-13 
   12       1.114315615981e-10       1.277497532709e-15       1.610981090368e-13       0.000000000000e+00       7.694256118157e-10       6.948600203469e-11       1.409613184054e-13 
   13       1.120286117056e-10       1.190611857738e-15       1.475842555942e-13       0.000000000000e+00       6.782741781706e-10       6.204502612083e-11       1.267676147163e-13 
   14       1.128588951571e-10       1.045521532002e-15       1.444148309946e-13       0.000000000000e+00       6.024266785934e-10       5.559678046545e-11       9.211699150671e-14 
   15       1.139176005790e-10       9.017462707597e-16       1.486304882312e-13       0.000000000000e+00       5.385751331978e-10       5.022064570447e-11       4.924624879453e-14 
   16       1.151348107918e-10       8.203875896539e-16       1.572308616280e-13       0.000000000000e+00       4.842803469834e-10       4.563281383303e-11       7.186933027881e-15 
   17       1.164884649166e-10       8.188072553850e-16       1.676118926483e-13       0.000000000000e+00       4.376993473233e-10       4.165260208786e-11      -2.775434177759e-14 
   18       1.179378710464e-10       8.696305353870e-16       1.779816684600e-13       0.000000000000e+00       3.972650714679e-10       3.815664237880e-11      -5.201308975197e-14 
   19       1.194922196185e-10       9.400886666052e-16       1.873737544805e-13       0.000000000000e+00       3.623376661727e-10       3.509700412021e-11      -6.471101681509e-14 
   20       1.211248112447e-10       9.965854329875e-16       1.950152034475e-13       0.000000000000e+00       3.315719385692e-10       3.237353044820e-11      -6.668308254709e-14 
   21       1.228394571218e-10       1.042164898040e-15       2.009775193294e-13       0.000000000000e+00       3.044856635660e-10       2.993980289864e-11      -6.005846976245e-14 
   22       1.246176938057e-10       1.095141330002e-15       2.057210449560e-13       0.000000000000e+00       2.804319361043e-10       2.773086989032e-11      -4.816327850440e-14 
   23       1.264568900031e-10       1.174892580235e-15       2.097341003542e-13       0.000000000000e+00       2.590808582002e-10       2.573359252066e-11      -3.390787657311e-14 
   24       1.283396028347e-10       1.299952200963e-15       2.135827126873e-13       0.000000000000e+00       2.399396492725e-10       2.392986820952e-11      -2.035221487503e-14 
   25       1.302732062898e-10       1.470808478403e-15       2.177417776019e-13       0.000000000000e+00       2.227837118504e-10       2.231531890390e-11      -9.341601572706e-15 
   26       1.322552530402e-10       1.680563637671e-15       2.226200403875e-13       0.000000000000e+00       2.073030469931e-10       2.087147955604e-11      -2.231673611218e-15 
   27       1.342737294034e-10       1.922792141634e-15       2.282507560952e-13       0.000000000000e+00       1.933122891629e-10       1.957073512916e-11       7.676879113583e-16 
   28       1.363058932015e-10       2.191024206557e-15       2.344768541984e-13       0.000000000000e+00       1.805705642547e-10       1.837515805455e-11       2.937813384823e-17 
   29       1.383614942461e-10       2.484689935759e-15       2.409982372552e-13       0.000000000000e+00       1.690130590075e-10       1.728138275692e-11      -3.637844209957e-15 
   30       1.404501594811e-10       2.804922377951e-15       2.473746049034e-13       0.000000000000e+00       1.585159489579e-10       1.628765732674e-11      -8.996992901837e-15 
   31       1.425712522096e-10       3.152227233613e-15       2.530832841479e-13       0.000000000000e+00       1.488654437342e-10       1.538263734507e-11      -1.460238795339e-14 
   32       1.447280569813e-10       3.524425603888e-15       2.577323645422e-13       0.000000000000e+00       1.400118683787e-10       1.455571194681e-11      -1.960185766383e-14 
   33       1.469162371157e-10       3.917839153699e-15       2.609160507189e-13       0.000000000000e+00       1.318927446128e-10       1.378860097096e-11      -2.320871071896e-14 
   34       1.491249777991e-10       4.329297220430e-15       2.622455238371e-13       0.000000000000e+00       1.243946114462e-10       1.305954386909e-11      -2.470100461286e-14 
   35       1.513588204030e-10       4.761516779814e-15       2.616653123891e-13       0.000000000000e+00       1.174792049897e-10       1.237084499871e-11      -2.417290946283e-14 
   36       1.536217863958e-10       5.219675025188e-15       2.592503082732e-13       0.000000000000e+00       1.110911659451e-10       1.173016201590e-11      -2.205669035378e-14 
   37       1.559131022303e-10       5.709122392219e-15       2.551176135772e-13       0.000000000000e+00       1.051474953871e-10       1.114210543879e-11      -1.888866448895e-14 
   38       1.582350998153e-10       6.232122746027e-15       2.493967581290e-13       0.000000000000e+00       9.963291386576e-11       1.060524053469e-11      -1.514559932955e-14 
   39       1.605867443685e-10       6.790081667826e-15       2.422553138771e-13       0.000000000000e+00       9.452999390038e-11       1.011355164340e-11      -1.136921043184e-14 
   40       1.629607164370e-10       7.384417603651e-15       2.339108103332e-13       0.000000000000e+00       8.979015093316e-11       9.656802996290e-12      -8.219415856605e-15 
   41       1.653474734571e-10       8.016311587516e-15       2.245676473782e-13       0.000000000000e+00       8.535058592914e-11       9.223700633556e-12      -6.307800034911e-15 
   42       1.677505328321e-10       8.685861842186e-15       2.141957830638e-13       0.000000000000e+00       8.119828110638e-11       8.813445257988e-12      -5.615196235203e-15 
   43       1.701751079937e-10       9.392651578742e-15       2.026851481379e-13       0.000000000000e+00       7.732226162904e-11       8.427359672464e-12      -5.896835791999e-15 
   44       1.726235493489e-10       1.013595590559e-14       1.899041107134e-13       0.000000000000e+00       7.369439097721e-11       8.065604598771e-12      -6.835301034516e-15 
   45       1.750962489666e-10       1.091501221847e-14       1.757104095148e-13       0.000000000000e+00       7.027943196562e-11       7.727402106505e-12      -8.086293296580e-15 
   46       1.775953971012e-10       1.172997143443e-14       1.599913837323e-13       0.000000000000e+00       6.707203671113e-11       7.412030184335e-12      -9.443209893133e-15 
   47       1.801218290349e-10       1.258119961734e-14       1.426332204894e-13       0.000000000000e+00       6.406849078382e-11       7.117948919982e-12      -1.071386032328e-14 
   48       1.826736826846e-10       1.346901190295e-14       1.235088040926e-13       0.000000000000e+00       6.125555580464e-11       6.842416314481e-12      -1.167261983194e-14 
   49       1.852461627873e-10       1.439367060711e-14       1.024769330391e-13       0.000000000000e+00       5.860976109365e-11       6.581403317397e-12      -1.205868357955e-14 
   50       1.878339227396e-10       1.535538782646e-14       7.942002306297e-14       0.000000000000e+00       5.610447687430e-11       6.330750502015e-12      -1.165999590495e-14 
   51       1.904395193932e-10       1.635433846146e-14       5.437109779323e-14       0.000000000000e+00       5.373504068736e-11       6.090205345297e-12      -1.059594580457e-14 
   52       1.930668455977e-10       1.739064745826e-14       2.741991482325e-14       0.000000000000e+00       5.149922682869e-11       5.860333955086e-12      -9.108388170775e-15 
   53       1.957186031695e-10       1.846438398473e-14      -1.321503885908e-15       0.000000000000e+00       4.938972684742e-11       5.641349305155e-12      -7.484907056421e-15 
   54       1.983961902602e-10       1.957555975010e-14      -3.171784389057e-14       0.000000000000e+00       4.739380738510e-11       5.433084700529e-12      -6.061101613678e-15 
   55       2.011002265386e-10       2.072415014473e-14      -6.364266266080e-14       0.000000000000e+00       4.549719760044e-11       5.235155465930e-12      -5.141809937495e-15 
   56       2.038325395414e-10       2.191016765873e-14      -9.708659500236e-14       0.000000000000e+00       4.369766618995e-11       5.047551836245e-12      -4.736627018019e-15 
   57       2.065944744925e-10       2.313360375880e-14      -1.320742273606e-13       0.000000000000e+00       4.199421786911e-11       4.870146875220e-12      -4.762687770955e-15 
   58       2.093862138536e-10       2.439440689202e-14      -1.686335197490e-13       0.000000000000e+00       4.038298578183e-11       4.702502373330e-12      -5.119119296275e-15 
   59       2.122066895431e-10       2.569248169461e-14      -2.067960708495e-13       0.000000000000e+00       3.885705412872e-11       4.543849646480e-12      -5.686168553545e-15 
   60       2.150534951548e-10       2.702768820063e-14      -2.465973831115e-13       0.000000000000e+00       3.740628079525e-11       4.393070334700e-12      -6.324330037268e-15 
   61       2.179240942602e-10       2.839978888076e-14      -2.880702680739e-13       0.000000000000e+00       3.602011498875e-11       4.248995118362e-12      -6.903161475288e-15 
   62       2.208199608310e-10       2.980827765718e-14      -3.312227328421e-13       0.000000000000e+00       3.469719046911e-11       4.111421657631e-12      -7.397262595796e-15 
   63       2.237432166392e-10       3.125251093048e-14      -3.760555778283e-13       0.000000000000e+00       3.343758067192e-11       3.980292107238e-12      -7.810389913055e-15 
   64       2.266953714497e-10       3.273175396480e-14      -4.225688650355e-13       0.000000000000e+00       3.223991299988e-11       3.855386427631e-12      -8.147738014873e-15 
   65       2.296772763627e-10       3.424517844125e-14      -4.707619655017e-13       0.000000000000e+00       3.110128648035e-11       3.736313270953e-12      -8.416009216458e-15 
   66       2.326890771568e-10       3.579186001134e-14      -5.206336067444e-13       0.000000000000e+00       3.001718942296e-11       3.622500867026e-12      -8.623483214275e-15 
   67       2.357301676311e-10       3.737077585042e-14      -5.721819202048e-13       0.000000000000e+00       2.898141707717e-11       3.513187909327e-12      -8.780086739904e-15 
   68       2.387997833469e-10       3.898090909773e-14      -6.254021662313e-13       0.000000000000e+00       2.798772938736e-11       3.407631467432e-12      -8.896391735770e-15 
   69       2.418990268483e-10       4.062159221968e-14      -6.802792676819e-13       0.000000000000e+00       2.703539837760e-11       3.305800017430e-12      -8.980218462112e-15 
   70       2.450291708727e-10       4.229222914559e-14      -7.367938417133e-13       0.000000000000e+00       2.612464205419e-11       3.207805110101e-12      -9.039466056762e-15 
   71       2.481910245249e-10       4.399219481881e-14      -7.949243766416e-13       0.000000000000e+00       2.525494660299e-11       3.113693269724e-12      -9.083164605649e-15 
   72       2.513849029981e-10       4.572083548383e-14      -8.546472199890e-13       0.000000000000e+00       2.442502855079e-11       3.023442430596e-12      -9.121517393120e-15 
   73       2.546105972950e-10       4.747746897339e-14      -9.159365665299e-13       0.000000000000e+00       2.363279692666e-11       2.936958373573e-12      -9.165943152268e-15 
   74       2.578673439488e-10       4.926138499557e-14      -9.787644463373e-13       0.000000000000e+00       2.287531542330e-11       2.854071162589e-12      -9.229118315256e-15 
   75       2.611537947448e-10       5.107184542087e-14      -1.043100712829e-12       0.000000000000e+00       2.214876455840e-11       2.774531581190e-12      -9.325019263639e-15 
   76       2.644686216948e-10       5.290794444347e-14      -1.108911041591e-12       0.000000000000e+00       2.144939008384e-11       2.698078705635e-12      -9.464846293327e-15 
   77       2.678125262570e-10       5.476815899070e-14      -1.176150531968e-12       0.000000000000e+00       2.077663152158e-11       2.624664727255e-12      -9.643844001364e-15 
   78       2.711865431994e-10       5.665071646924e-14      -1.244768911555e-12       0.000000000000e+00       2.013049803677e-11       2.554264843902e-12      -9.852143127373e-15 
   79       2.745914208756e-10       5.855372507332e-14      -1.314712370019e-12       0.000000000000e+00       1.951061547167e-11       2.486807689713e-12      -1.007862411104e-14 
   80       2.780276039730e-10       6.047517119836e-14      -1.385923506353e-12       0.000000000000e+00       1.891620873081e-11       2.422173230355e-12      -1.031087489368e-14 
   81       2.814952162602e-10       6.241291685474e-14      -1.458341276132e-12       0.000000000000e+00       1.834608416617e-11       2.360190658264e-12      -1.053514871976e-14 
   82       2.849940433343e-10       6.436469708142e-14      -1.531900938772e-12       0.000000000000e+00       1.779861196233e-11       2.300636287889e-12      -1.073632193845e-14 
   83       2.885235153685e-10       6.632811735972e-14      -1.606534004780e-12       0.000000000000e+00       1.727170852164e-11       2.243231450931e-12      -1.089785180519e-14 
   84       2.920830393268e-10       6.830088215057e-14      -1.682175594603e-12       0.000000000000e+00       1.676334299746e-11       2.187709125643e-12      -1.100527321823e-14 
   85       2.956730966781e-10       7.028152970266e-14      -1.758788032363e-12       0.000000000000e+00       1.627319196119e-11       2.134031126421e-12      -1.105744740810e-14 
   86       2.992942968742e-10       7.226881488447e-14      -1.836341084948e-12       0.000000000000e+00       1.580122802345e-11       2.082203228085e-12      -1.105710934416e-14 
   87       3.029470328512e-10       7.426149017042e-14      -1.914804968942e-12       0.000000000000e+00       1.534721139938e-11       2.032208697550e-12      -1.100751162583e-14 
   88       3.066314696508e-10       7.625830693903e-14      -1.994150422448e-12       0.000000000000e+00       1.491068110299e-11       1.984007344261e-12      -1.091244176210e-14 
   89       3.103475330407e-10       7.825801677106e-14      -2.074348776910e-12       0.000000000000e+00       1.449094614155e-11       1.937534570632e-12      -1.077623945091e-14 
   90       3.140948981358e-10       8.025937274759e-14      -2.155372028931e-12       0.000000000000e+00       1.408707670998e-11       1.892700422480e-12      -1.060381385865e-14 
   91       3.178729780193e-10       8.226113074819e-14      -2.237192912091e-12       0.000000000000e+00       1.369789538522e-11       1.849388639463e-12      -1.040066089956e-14 
   92       3.216809123629e-10       8.426205074904e-14      -2.319784968774e-12       0.000000000000e+00       1.332196832059e-11       1.807455705514e-12      -1.017288051521e-14 
   93       3.255178553386e-10       8.626079824243e-14      -2.403115439901e-12       0.000000000000e+00       1.295794552281e-11       1.766765912693e-12      -9.926466818027e-15 
   94       3.293839135994e-10       8.825562871553e-14      -2.487122554887e-12       0.000000000000e+00       1.260565935149e-11       1.727304647712e-12      -9.665018864382e-15 
   95       3.332793289884e-10       9.024465789651e-14      -2.571734942990e-12       0.000000000000e+00       1.226517572208e-11       1.689080467341e-12      -9.391715927525e-15 
   96       3.372041846452e-10       9.222595733299e-14      -2.656878484648e-12       0.000000000000e+00       1.193645578412e-11       1.652090154030e-12      -9.110021156082e-15 
   97       3.411583977348e-10       9.419755431912e-14      -2.742476284707e-12       0.000000000000e+00       1.161935190742e-11       1.616318260696e-12      -8.823688872216e-15 
   98       3.451417121775e-10       9.615743182272e-14      -2.828448645659e-12       0.000000000000e+00       1.131360366827e-11       1.581736655505e-12      -8.536771869805e-15 
   99       3.491536913774e-10       9.810352841241e-14      -2.914713040872e-12       0.000000000000e+00       1.101883383557e-11       1.548304066661e-12      -8.253628712609e-15 
  100       3.531937109518e-10       1.000337381847e-13      -3.001184087824e-12       0.000000000000e+00       1.073454435704e-11       1.515965627195e-12      -7.978931032444e-15 
  101       3.572609514608e-10       1.019459106910e-13      -3.087773521335e-12       0.000000000000e+00       1.046011234536e-11       1.484652419747e-12      -7.717670827352e-15 
  102       3.613543911361e-10       1.038378508649e-13      -3.174390166801e-12       0.000000000000e+00       1.019478606442e-11       1.454281021354e-12      -7.475167759774e-15 
  103       3.654727986101e-10       1.057073189493e-13      -3.260939913426e-12       0.000000000000e+00       9.937680915404e-12       1.424753048238e-12      -7.257076454720e-15 
  104       3.696149959124e-10       1.075521345779e-13      -3.347331731276e-12       0.000000000000e+00       9.687980004670e-12       1.395978124686e-12      -7.068079844965e-15 
  105       3.737807035781e-10       1.093705051895e-13      -3.433496705784e-12       0.000000000000e+00       9.445575348886e-12       1.367947303831e-12      -6.907752463680e-15 
  106       3.779697966774e-10       1.111607420484e-13      -3.519371536600e-12       0.000000000000e+00       9.210506207660e-12       1.340668762472e-12      -6.774149347393e-15 
  107       3.821820404951e-10       1.129211611105e-13      -3.604892762551e-12       0.000000000000e+00       8.982760492349e-12       1.314145067229e-12      -6.665063033390e-15 
  108       3.864170862289e-10       1.146500840943e-13      -3.689996801285e-12       0.000000000000e+00       8.762273000385e-12       1.288372976738e-12      -6.578016418844e-15 
  109       3.906744666896e-10       1.163458395534e-13      -3.774619988930e-12       0.000000000000e+00       8.548923649603e-12       1.263343243843e-12      -6.510255619944e-15 
  110       3.949535919992e-10       1.180067639475e-13      -3.858698619731e-12       0.000000000000e+00       8.342535712568e-12       1.239040417792e-12      -6.458742831019e-15 
  111       3.992537452910e-10       1.196312027145e-13      -3.942168985707e-12       0.000000000000e+00       8.142874050902e-12       1.215442646429e-12      -6.420149183672e-15 
  112       4.035740784081e-10       1.212175113418e-13      -4.024967416296e-12       0.000000000000e+00       7.949643349609e-12       1.192521478389e-12      -6.390847605900e-15 
  113       4.079136076030e-10       1.227640564383e-13      -4.107030318002e-12       0.000000000000e+00       7.762486351405e-12       1.170241665293e-12      -6.366905681228e-15 
  114       4.122712092365e-10       1.242692168059e-13      -4.188294214048e-12       0.000000000000e+00       7.580982091041e-12       1.148560963942e-12      -6.344078507835e-15 
  115       4.166456154771e-10       1.257313845112e-13      -4.268695784019e-12       0.000000000000e+00       7.404644129633e-12       1.127429938508e-12      -6.317801557679e-15 
  116       4.210355921984e-10       1.271489943509e-13      -4.348170557292e-12       0.000000000000e+00       7.233027219556e-12       1.106803017090e-12      -6.284116820398e-15 
  117       4.254405064041e-10       1.285206140213e-13      -4.426648728330e-12       0.000000000000e+00       7.066065786426e-12       1.086673609308e-12      -6.242594245661e-15 
