# Matter power spectrum P(k) at redshift z=0
# for k=1.04564e-05 to 0.628087 h/Mpc,
# number of wavenumbers equal to 560
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045636895265e-05       5.098370954649e+01 
       2.335681618982e-05       1.106799301187e+02 
       3.630274238454e-05       1.693507458209e+02 
       4.932908535165e-05       2.276205007587e+02 
       6.247136229241e-05       2.858458547842e+02 
       7.576598744715e-05       3.442950020614e+02 
       8.925059993133e-05       4.031978794534e+02 
       1.029644061278e-04       4.627667565427e+02 
       1.169485410412e-04       5.232068053950e+02 
       1.312464530535e-04       5.847225072015e+02 
       1.459043165275e-04       6.475221139141e+02 
       1.609714766394e-04       7.118211397161e+02 
       1.765009306446e-04       7.778453338947e+02 
       1.925498493960e-04       8.458334214625e+02 
       2.091801422688e-04       9.160397076025e+02 
       2.264590675403e-04       9.887366949745e+02 
       2.444598885765e-04       1.064217664647e+03 
       2.632625736541e-04       1.142799317176e+03 
       2.829545336198e-04       1.224824394832e+03 
       3.036313865294e-04       1.310664273838e+03 
       3.253977315225e-04       1.400721425878e+03 
       3.483679050741e-04       1.495431640570e+03 
       3.726666810298e-04       1.595265814215e+03 
       3.984298612361e-04       1.700731097822e+03 
       4.258046861479e-04       1.812371100386e+03 
       4.549499750910e-04       1.930764745302e+03 
       4.860358853000e-04       2.056523385257e+03 
       5.192431600636e-04       2.190285651319e+03 
       5.547617235424e-04       2.332709501367e+03 
       5.927884790827e-04       2.484461000721e+03 
       6.335241866938e-04       2.646199496114e+03 
       6.771693418219e-04       2.818558984955e+03 
       7.239190580442e-04       3.002125951813e+03 
       7.739570723282e-04       3.197414378135e+03 
       8.274491357851e-04       3.404839249561e+03 
       8.845362063735e-04       3.624690424248e+03 
       9.453279919841e-04       3.857109166402e+03 
       1.009897465276e-03       4.102069918267e+03 
       1.078276951960e-03       4.359369661550e+03 
       1.150456265740e-03       4.628626413030e+03 
       1.226383137608e-03       4.909287807409e+03 
       1.305965905806e-03       5.200648816193e+03 
       1.389078155538e-03       5.501856086313e+03 
       1.475564783850e-03       5.811978226205e+03 
       1.565248854569e-03       6.130040909528e+03 
       1.657938609891e-03       6.455015905107e+03 
