# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.471232943305e-10       7.361646058540e-15       4.806906099715e-13       0.000000000000e+00       8.691413441504e-09       4.793157926979e-10      -2.499366008047e-12 
    3       1.387264204141e-10       1.255644297495e-14       6.079856949905e-13       0.000000000000e+00       5.364720201608e-09       3.418587517181e-10      -2.204811365408e-12 
    4       1.304045311133e-10       1.478775952047e-14       6.321457853749e-13       0.000000000000e+00       3.730142245537e-09       2.603068808664e-10      -1.765420086294e-12 
    5       1.237889442198e-10       1.383559042005e-14       5.954632384400e-13       0.000000000000e+00       2.783269110968e-09       2.066619060372e-10      -1.317324612038e-12 
    6       1.189020183317e-10       1.085337500390e-14       5.276329732776e-13       0.000000000000e+00       2.174220050164e-09       1.688559549924e-10      -9.075687239262e-13 
    7       1.154328264349e-10       7.366522864989e-15       4.489062814162e-13       0.000000000000e+00       1.754424622234e-09       1.409000944026e-10      -5.603513368156e-13 
    8       1.131038142541e-10       4.495014328967e-15       3.714579766818e-13       0.000000000000e+00       1.450371167411e-09       1.195160307845e-10      -2.865432690604e-13 
    9       1.116717379489e-10       2.678783487179e-15       3.025570259764e-13       0.000000000000e+00       1.221798023924e-09       1.027634485600e-10      -8.796619462988e-14 
   10       1.109146753484e-10       1.798248826235e-15       2.463731897828e-13       0.000000000000e+00       1.044703756610e-09       8.938212542797e-11       4.044299750864e-14 
   11       1.107149203195e-10       1.475421459376e-15       2.046449393907e-13       0.000000000000e+00       8.803945338694e-10       7.876833486674e-11       1.079019012518e-13 
   12       1.109249225412e-10       1.350958743924e-15       1.771935885828e-13       0.000000000000e+00       7.693758959299e-10       6.958634332676e-11       1.287958403014e-13 
   13       1.114649796328e-10       1.226378041209e-15       1.624236901660e-13       0.000000000000e+00       6.782290711250e-10       6.213663421028e-11       1.168419679021e-13 
   14       1.122414870125e-10       1.066400751610e-15       1.578438709033e-13       0.000000000000e+00       6.023855027650e-10       5.568026446639e-11       8.424404001232e-14 
   15       1.132481431259e-10       9.221969726039e-16       1.605886338058e-13       0.000000000000e+00       5.385375153429e-10       5.029707956495e-11       4.323906321875e-14 
   16       1.144151296905e-10       8.482300852759e-16       1.677735931582e-13       0.000000000000e+00       4.842457395190e-10       4.570337654062e-11       2.764460609502e-15 
   17       1.157205002483e-10       8.580499498446e-16       1.768625263457e-13       0.000000000000e+00       4.376674328682e-10       4.171834912503e-11      -3.092497725103e-14 
   18       1.171237332131e-10       9.228914383451e-16       1.860578608520e-13       0.000000000000e+00       3.972355246065e-10       3.821827195810e-11      -5.427351238599e-14 
   19       1.186334817443e-10       1.009569912159e-15       1.944351775405e-13       0.000000000000e+00       3.623103664140e-10       3.515518739446e-11      -6.637762235626e-14 
   20       1.202222438860e-10       1.083999631953e-15       2.012559573430e-13       0.000000000000e+00       3.315465996196e-10       3.242888960247e-11      -6.800176428159e-14 
   21       1.218939765331e-10       1.148269485933e-15       2.065421945590e-13       0.000000000000e+00       3.044620345619e-10       2.999298516995e-11      -6.121757865568e-14 
   22       1.236306546100e-10       1.219485476863e-15       2.106643977016e-13       0.000000000000e+00       2.804098909900e-10       2.778241247778e-11      -4.927980271218e-14 
   23       1.254294792815e-10       1.316184124482e-15       2.140929845661e-13       0.000000000000e+00       2.590602710697e-10       2.578343226850e-11      -3.504462495880e-14 
   24       1.272726854583e-10       1.456258372079e-15       2.173900409022e-13       0.000000000000e+00       2.399203736242e-10       2.397722885383e-11      -2.151624727656e-14 
   25       1.291677000617e-10       1.640146485452e-15       2.210092128287e-13       0.000000000000e+00       2.227656168524e-10       2.235963156318e-11      -1.050739640189e-14 
   26       1.311122334909e-10       1.861198601943e-15       2.253306142688e-13       0.000000000000e+00       2.072860381995e-10       2.091274157809e-11      -3.349208080598e-15 
   27       1.330941432621e-10       2.113297387873e-15       2.303835412599e-13       0.000000000000e+00       1.932962773376e-10       1.960949552531e-11      -2.492143779502e-16 
   28       1.350904847411e-10       2.390335886914e-15       2.360155866696e-13       0.000000000000e+00       1.805554633764e-10       1.841241899734e-11      -8.418461689030e-16 
   29       1.371109180573e-10       2.691835963162e-15       2.419408266389e-13       0.000000000000e+00       1.689987883314e-10       1.731789999042e-11      -4.331784865668e-15 
   30       1.391650377050e-10       3.018978104750e-15       2.477375239637e-13       0.000000000000e+00       1.585024428032e-10       1.632360041438e-11      -9.501060393754e-15 
   31       1.412521823517e-10       3.372364489852e-15       2.529019924668e-13       0.000000000000e+00       1.488526572001e-10       1.541758125662e-11      -1.492519022619e-14 
   32       1.433755196052e-10       3.749953488286e-15       2.570551871234e-13       0.000000000000e+00       1.399997558881e-10       1.458928669076e-11      -1.976374973432e-14 
   33       1.455305728864e-10       4.148257612211e-15       2.598019770044e-13       0.000000000000e+00       1.318812566018e-10       1.382073118563e-11      -2.323982171173e-14 
   34       1.477064082484e-10       4.564292410845e-15       2.607617504470e-13       0.000000000000e+00       1.243836985627e-10       1.309043396309e-11      -2.463983337602e-14 
   35       1.499075192476e-10       5.000731513958e-15       2.598785427950e-13       0.000000000000e+00       1.174688222816e-10       1.240065211673e-11      -2.405632990524e-14 
   36       1.521379252922e-10       5.462624749485e-15       2.572216395947e-13       0.000000000000e+00       1.110812778749e-10       1.175886981037e-11      -2.191529666580e-14 
   37       1.543968724073e-10       5.955189810644e-15       2.528998457751e-13       0.000000000000e+00       1.051380776872e-10       1.116953593077e-11      -1.874490302469e-14 
   38       1.566866807123e-10       6.480625969273e-15       2.470354745005e-13       0.000000000000e+00       9.962394289296e-11       1.063126974467e-11      -1.501440286809e-14 
   39       1.590063141398e-10       7.040291736290e-15       2.397869976937e-13       0.000000000000e+00       9.452144482984e-11       1.013818844025e-11      -1.125667939533e-14 
   40       1.613484808629e-10       7.635556085568e-15       2.313596631407e-13       0.000000000000e+00       8.978199951517e-11       9.680215378531e-12      -8.120648255053e-15 
   41       1.637036719573e-10       8.267559776175e-15       2.219459943277e-13       0.000000000000e+00       8.534280963305e-11       9.246193641804e-12      -6.207476180765e-15 
   42       1.660753588933e-10       8.936409726915e-15       2.115171832796e-13       0.000000000000e+00       8.119085778162e-11       8.835271152883e-12      -5.497844586727e-15 
   43       1.684686928708e-10       9.641719685040e-15       1.999685581799e-13       0.000000000000e+00       7.731517012481e-11       8.448643828306e-12      -5.750332346824e-15 
