# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.679744481308e-10       1.952454166218e-14       8.733760236560e-13       0.000000000000e+00       8.032909720368e-09       5.011985682544e-10      -3.606801851092e-12 
    3       1.669082282736e-10       5.696684210560e-14       1.436793453177e-12       0.000000000000e+00       4.846897498361e-09       3.629397330072e-10      -3.916937164114e-12 
    4       1.644613184527e-10       1.159513075236e-13       1.858356273780e-12       0.000000000000e+00       3.317888608827e-09       2.819526764361e-10      -3.953834259183e-12 
    5       1.623635201546e-10       1.960567097766e-13       2.116548073541e-12       0.000000000000e+00       2.445059052102e-09       2.292273780514e-10      -3.889605515150e-12 
    6       1.607982359473e-10       2.951673753119e-13       2.210606190442e-12       0.000000000000e+00       1.888586194006e-09       1.923430397506e-10      -3.770874318619e-12 
    7       1.597034588047e-10       4.101971045974e-13       2.151153043927e-12       0.000000000000e+00       1.508061857923e-09       1.652084753001e-10      -3.622844617405e-12 
    8       1.590151009548e-10       5.375319233908e-13       1.953847770131e-12       0.000000000000e+00       1.234523924560e-09       1.444782584245e-10      -3.459147668502e-12 
    9       1.586894331040e-10       6.733865356310e-13       1.637094457201e-12       0.000000000000e+00       1.030355243213e-09       1.281625554806e-10      -3.287702892419e-12 
   10       1.586987335208e-10       8.140497376373e-13       1.220545496196e-12       0.000000000000e+00       8.734261774351e-10       1.150178786629e-10      -3.113437257530e-12 
   11       1.590246454699e-10       9.560498693920e-13       7.239420258423e-13       0.000000000000e+00       7.446216121582e-10       1.040384636516e-10      -2.969873019476e-12 
   12       1.596477580996e-10       1.096258658449e-12       1.663888327496e-13       0.000000000000e+00       6.467010989791e-10       9.487320852729e-11      -2.813822199862e-12 
   13       1.605449759078e-10       1.231948708991e-12      -4.339980634249e-13       0.000000000000e+00       5.666769532094e-10       8.720039925556e-11      -2.651491422508e-12 
   14       1.616928337509e-10       1.360818972634e-12      -1.060411497170e-12       0.000000000000e+00       5.004047679751e-10       8.066801619906e-11      -2.488202135277e-12 
   15       1.630660199055e-10       1.480996181686e-12      -1.697625506926e-12       0.000000000000e+00       4.448718331675e-10       7.490568824253e-11      -2.339598392872e-12 
   16       1.646356777573e-10       1.591018864373e-12      -2.332081836492e-12       0.000000000000e+00       3.978601348451e-10       6.990605574771e-11      -2.191043312051e-12 
   17       1.663705151986e-10       1.689811178578e-12      -2.951869007524e-12       0.000000000000e+00       3.577052519982e-10       6.551109870948e-11      -2.045782229624e-12 
   18       1.682273779049e-10       1.776668295353e-12      -3.546921791063e-12       0.000000000000e+00       3.230042213136e-10       6.159062925050e-11      -1.905441224457e-12 
   19       1.702072447417e-10       1.851121313396e-12      -4.107855968353e-12       0.000000000000e+00       2.931534112637e-10       5.810645782160e-11      -1.771255865300e-12 
   20       1.722424857668e-10       1.913103634252e-12      -4.628338393551e-12       0.000000000000e+00       2.669721293278e-10       5.494591232330e-11      -1.643058247893e-12 
   21       1.743202530457e-10       1.962673887881e-12      -5.102106229593e-12       0.000000000000e+00       2.440216253056e-10       5.208057964054e-11      -1.521343367425e-12 
