# Matter power spectrum P(k) at redshift z=0
# for k=1.04383e-05 to 0.627318 h/Mpc,
# number of wavenumbers equal to 560
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.043826635766e-05       5.124848135169e+01 
       2.332539659098e-05       1.112961911845e+02 
       3.625784574880e-05       1.703115333735e+02 
       4.927044303056e-05       2.289224363585e+02 
       6.239859386710e-05       2.874874307165e+02 
       7.567859592279e-05       3.462759746307e+02 
       8.914796520586e-05       4.055190134385e+02 
       1.028457766286e-04       4.654296891519e+02 
       1.168130233915e-04       5.262139657124e+02 
       1.310929996005e-04       5.880770679090e+02 
       1.457317105302e-04       6.512279684799e+02 
       1.607783148880e-04       7.158828791258e+02 
       1.762856032533e-04       7.822682507615e+02 
       1.923105164929e-04       8.506234960987e+02 
       2.089147072929e-04       9.212036259109e+02 
       2.261651468594e-04       9.942818468510e+02 
       2.441347771681e-04       1.070152151571e+03 
       2.629032066481e-04       1.149131975514e+03 
       2.825574436133e-04       1.231564808208e+03 
       3.031926567560e-04       1.317822786827e+03 
       3.249129452247e-04       1.408309177449e+03 
       3.478320918047e-04       1.503460591628e+03 
       3.720742611385e-04       1.603748787580e+03 
       3.977745904934e-04       1.709681847706e+03 
       4.250796033542e-04       1.821804370459e+03 
       4.541473566052e-04       1.940696389025e+03 
       4.851472116641e-04       2.066970509898e+03 
       5.182591012055e-04       2.201266802175e+03 
       5.536721502222e-04       2.344244914929e+03 
       5.915825090348e-04       2.496572938988e+03 
       6.321902739163e-04       2.658912626806e+03 
       6.756954162197e-04       2.831900849739e+03 
       7.222927197233e-04       3.016127484722e+03 
       7.721658400030e-04       3.212110441595e+03 
       8.254807421489e-04       3.420269147324e+03 
       8.823789255954e-04       3.640898310256e+03 
       9.429709770700e-04       3.874144251245e+03 
       1.007331067634e-03       4.119986451953e+03 
       1.075492993902e-03       4.378226538468e+03 
       1.147448239900e-03       4.648486476339e+03 
       1.223146315259e-03       4.930216735724e+03 
       1.302497347351e-03       5.222713791083e+03 
       1.385376628562e-03       5.525125013976e+03 
       1.471630604468e-03       5.836516002945e+03 
       1.561083674481e-03       6.155909585070e+03 
       1.653545173769e-03       6.482273404946e+03 
       1.748815995326e-03       6.814569109248e+03 
       1.846694457725e-03       7.151776387330e+03 
       1.946981187571e-03       7.492912593740e+03 
       2.049482934299e-03       7.837047284698e+03 
       2.154015349974e-03       8.183311597435e+03 
       2.260404842352e-03       8.530904631759e+03 
       2.368489648894e-03       8.879095469567e+03 
       2.478120290682e-03       9.227222432750e+03 
       2.589159557612e-03       9.574691372282e+03 
       2.701482157884e-03       9.920972899135e+03 
       2.814974142035e-03       1.026559615396e+04 
       2.929532188598e-03       1.060814463884e+04 
       3.045062817363e-03       1.094825849571e+04 
       3.161481578288e-03       1.128561342391e+04 
       3.278712249535e-03       1.161993295309e+04 
       3.396686066856e-03       1.195097683279e+04 
       3.515340998013e-03       1.227853423977e+04 
       3.634621069758e-03       1.260242552255e+04 
       3.754475750511e-03       1.292249780166e+04 
       3.874859388868e-03       1.323861768234e+04 
       3.995730706171e-03       1.355067590724e+04 
       4.117052340111e-03       1.385857768722e+04 
       4.238790435739e-03       1.416224646303e+04 
       4.360914279896e-03       1.446162155904e+04 
       4.483395975098e-03       1.475664907437e+04 
       4.606210148950e-03       1.504729233784e+04 
       4.729333695451e-03       1.533351199589e+04 
       4.852745544748e-03       1.561527311912e+04 
       4.976426458229e-03       1.589262149573e+04 
       5.100358846129e-03       1.616549748770e+04 
       5.224526605090e-03       1.643392681216e+04 
       5.348914973418e-03       1.669795594135e+04 
       5.473510401995e-03       1.695757394541e+04 
       5.598300439062e-03       1.721272680679e+04 
       5.723273627281e-03       1.746291144097e+04 
       5.848419411662e-03       1.770924143873e+04 
       5.973728057134e-03       1.795102352498e+04 
       6.099190574643e-03       1.818868131894e+04 
       6.224798654842e-03       1.842217290770e+04 
       6.350544608494e-03       1.865123990718e+04 
       6.476421312871e-03       1.887583694301e+04 
       6.602422163458e-03       1.909636558665e+04 
       6.728541030409e-03       1.931285383107e+04 
       6.854772219220e-03       1.952520151165e+04 
       6.981110435178e-03       1.973375796524e+04 
       7.107550751175e-03       1.993788058580e+04 
       7.234088578549e-03       2.013807732270e+04 
       7.360719640612e-03       2.033433131437e+04 
       7.487439948614e-03       2.052662957442e+04 
       7.614245779873e-03       2.071509401894e+04 
       7.741133657869e-03       2.089934475273e+04 
       7.868100334094e-03       2.107990202707e+04 
       7.995142771489e-03       2.125647046941e+04 
       8.122258129315e-03       2.142957400564e+04 
       8.249443749318e-03       2.159902056996e+04 
       8.376697143058e-03       2.176539854275e+04 
       8.504015980303e-03       2.192744513317e+04 
       8.631398078385e-03       2.208587887968e+04 
       8.758841392419e-03       2.224071519717e+04 
       8.886344006321e-03       2.239201053900e+04 
       9.013904124543e-03       2.253918516351e+04 
       9.141520064467e-03       2.268430163263e+04 
       9.269190249391e-03       2.282435909274e+04 
       9.396913202067e-03       2.296207256739e+04 
       9.524687538732e-03       2.309719019423e+04 
       9.652511963601e-03       2.322815770959e+04 
       9.780385263769e-03       2.335598246199e+04 
       9.908306304502e-03       2.348042861772e+04 
       1.003627402488e-02       2.360063896995e+04 
       1.016428743374e-02       2.372008842169e+04 
       1.029234560598e-02       2.383507234649e+04 
       1.042044767903e-02       2.394712040276e+04 
       1.054859284967e-02       2.405589495529e+04 
       1.067678037104e-02       2.416191296343e+04 
       1.080500954985e-02       2.426397781615e+04 
       1.093327974383e-02       2.436410715473e+04 
       1.106159035930e-02       2.446208189343e+04 
       1.118994084897e-02       2.455548256873e+04 
       1.131833070986e-02       2.464689747352e+04 
       1.144675948140e-02       2.473601020143e+04 
       1.157522674359e-02       2.482123856535e+04 
       1.170373211538e-02       2.490545615024e+04 
       1.183227525309e-02       2.498572404995e+04 
       1.196085584901e-02       2.506227518802e+04 
       1.208947363001e-02       2.513847273760e+04 
       1.221812835633e-02       2.521098428205e+04 
       1.234681982041e-02       2.528034413244e+04 
       1.247554784581e-02       2.534822905235e+04 
       1.260431228622e-02       2.541300710036e+04 
       1.273311302452e-02       2.547518181904e+04 
       1.286194997194e-02       2.553518207924e+04 
       1.299082306724e-02       2.559263715807e+04 
       1.311973227599e-02       2.564758423086e+04 
       1.324867758987e-02       2.569929162408e+04 
       1.337765902607e-02       2.575034594011e+04 
       1.350667662667e-02       2.579812863662e+04 
       1.363573045816e-02       2.584423909479e+04 
       1.376482061089e-02       2.588765667581e+04 
       1.389394719869e-02       2.592852865403e+04 
       1.402311035839e-02       2.596795212604e+04 
       1.415231024952e-02       2.600392107436e+04 
       1.428154705393e-02       2.603825985023e+04 
       1.441082097550e-02       2.607109147627e+04 
       1.454013223990e-02       2.610149954620e+04 
       1.466948109431e-02       2.612937737566e+04 
       1.479886780724e-02       2.615625427306e+04 
       1.492829266836e-02       2.618113074898e+04 
       1.505775598831e-02       2.620283668225e+04 
       1.518725809862e-02       2.622386436322e+04 
       1.531679935157e-02       2.624230170814e+04 
       1.544638012014e-02       2.625911890547e+04 
       1.557600079795e-02       2.627368776553e+04 
       1.570566179921e-02       2.628526815244e+04 
       1.583536355874e-02       2.629714912029e+04 
       1.596510653197e-02       2.630627866785e+04 
       1.609489119496e-02       2.631364432631e+04 
       1.622471804445e-02       2.631928811859e+04 
       1.635458759798e-02       2.632305125987e+04 
       1.648450039391e-02       2.632395068815e+04 
       1.661445699156e-02       2.632422201235e+04 
       1.674445797136e-02       2.632344961342e+04 
       1.687450393497e-02       2.632004251560e+04 
       1.700459550543e-02       2.631546722360e+04 
       1.713473332736e-02       2.631026391456e+04 
       1.726491806718e-02       2.630148132648e+04 
       1.739515041325e-02       2.629295662599e+04 
       1.752543107619e-02       2.628126648894e+04 
       1.765576078907e-02       2.626969294828e+04 
       1.778614030768e-02       2.625494491910e+04 
       1.791657041085e-02       2.623959782041e+04 
       1.804705190068e-02       2.622278227577e+04 
       1.817758560294e-02       2.620426556113e+04 
       1.830817236730e-02       2.618480407117e+04 
