# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.470859126149e-10       6.372585605834e-15       4.460027857555e-13       0.000000000000e+00       8.652086532539e-09       4.800187750783e-10      -2.333541046391e-12 
    3       1.387306829763e-10       1.005588275832e-14       5.453432618308e-13       0.000000000000e+00       5.335316490245e-09       3.422499004414e-10      -1.981854524578e-12 
    4       1.305875032675e-10       1.091147264279e-14       5.509155913307e-13       0.000000000000e+00       3.718202388040e-09       2.601548384479e-10      -1.512478168032e-12 
    5       1.242311722519e-10       9.335173129655e-15       5.051809815570e-13       0.000000000000e+00       2.778328495471e-09       2.060787201512e-10      -1.058585781804e-12 
    6       1.196284845813e-10       6.658797613977e-15       4.363280030844e-13       0.000000000000e+00       2.171521829895e-09       1.680462855777e-10      -6.651637722154e-13 
    7       1.164855262272e-10       4.140414759071e-15       3.628675113207e-13       0.000000000000e+00       1.751690107433e-09       1.400641126546e-10      -3.522178809062e-13 
    8       1.144265143568e-10       2.421115392922e-15       2.954188387695e-13       0.000000000000e+00       1.446549964332e-09       1.187261321214e-10      -1.250294875261e-13 
    9       1.132223750532e-10       1.530450608705e-15       2.396360499338e-13       0.000000000000e+00       1.216999834834e-09       1.019784689144e-10       2.100505893561e-14 
   10       1.126651337778e-10       1.171367800204e-15       1.979023322169e-13       0.000000000000e+00       1.039808959877e-09       8.860571492877e-11       9.740622170289e-14 
   11       1.126087430111e-10       1.021912726593e-15       1.703261133576e-13       0.000000000000e+00       8.782918180924e-10       7.809038838820e-11       1.193341076565e-13 
   12       1.129865581170e-10       8.990572541548e-16       1.552556143594e-13       0.000000000000e+00       7.675142314733e-10       6.914473607705e-11       1.050827355688e-13 
   13       1.136430078068e-10       7.677817398148e-16       1.500508161224e-13       0.000000000000e+00       6.765700390959e-10       6.175341954155e-11       7.038002054464e-14 
   14       1.145000896994e-10       6.658030346499e-16       1.518260260355e-13       0.000000000000e+00       6.008915772801e-10       5.534373610908e-11       2.845601048216e-14 
   15       1.155659788008e-10       6.271758518232e-16       1.578171917176e-13       0.000000000000e+00       5.371855332046e-10       4.996864299109e-11      -1.012592012937e-14 
   16       1.168446116491e-10       6.499235694276e-16       1.657014635447e-13       0.000000000000e+00       4.830161862753e-10       4.542745059406e-11      -3.911406334498e-14 
   17       1.181900436699e-10       7.063442185234e-16       1.739219568547e-13       0.000000000000e+00       4.365439166872e-10       4.151051173023e-11      -5.579092668522e-14 
   18       1.196595663039e-10       7.679699801479e-16       1.815112159009e-13       0.000000000000e+00       3.962046195689e-10       3.798186905419e-11      -6.056205585485e-14 
   19       1.212646562635e-10       8.312747668795e-16       1.882161006102e-13       0.000000000000e+00       3.613580157915e-10       3.483437180532e-11      -5.554706744619e-14 
   20       1.229222094918e-10       9.022676696614e-16       1.940340716485e-13       0.000000000000e+00       3.306645797478e-10       3.206674678085e-11      -4.437622063182e-14 
   21       1.246465504771e-10       9.937978585562e-16       1.993537642726e-13       0.000000000000e+00       3.036431754537e-10       2.964429591502e-11      -3.041875560058e-14 
   22       1.264487041072e-10       1.120106463240e-15       2.047287866033e-13       0.000000000000e+00       2.796475126518e-10       2.747912288740e-11      -1.734185320027e-14 
   23       1.283136436262e-10       1.280920363895e-15       2.104808421865e-13       0.000000000000e+00       2.583481607019e-10       2.552905016579e-11      -7.255977608855e-15 
   24       1.302011268398e-10       1.470198449502e-15       2.168232028902e-13       0.000000000000e+00       2.392534313894e-10       2.374715870550e-11      -1.615046447549e-15 
   25       1.321315769293e-10       1.684434083593e-15       2.237686700801e-13       0.000000000000e+00       2.221393892187e-10       2.213639873157e-11      -4.229936804242e-16 
   26       1.341253470711e-10       1.920798444537e-15       2.311809547863e-13       0.000000000000e+00       2.066969720541e-10       2.069767902422e-11      -2.884523154310e-15 
   27       1.361695888057e-10       2.179855236863e-15       2.387135308337e-13       0.000000000000e+00       1.927412539768e-10       1.941039933483e-11      -7.594802544780e-15 
