# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.465213889337e-10       6.310582174601e-15       4.426124149195e-13       0.000000000000e+00       8.575510361744e-09       4.778018451180e-10      -2.328576131480e-12 
    3       1.383027775346e-10       9.927440003298e-15       5.402398818872e-13       0.000000000000e+00       5.354573697656e-09       3.408027361373e-10      -1.973359848102e-12 
    4       1.302859887834e-10       1.070556387692e-14       5.434507878042e-13       0.000000000000e+00       3.734176985130e-09       2.589868253002e-10      -1.503185253248e-12 
    5       1.240379084480e-10       9.065387287044e-15       4.957169763175e-13       0.000000000000e+00       2.789971710778e-09       2.051370019418e-10      -1.048540530814e-12 
    6       1.195286338692e-10       6.357337017375e-15       4.253037117502e-13       0.000000000000e+00       2.179217103913e-09       1.672554600130e-10      -6.541426888501e-13 
    7       1.164703358947e-10       3.848368270957e-15       3.507008058527e-13       0.000000000000e+00       1.756759211281e-09       1.393853721719e-10      -3.402114783182e-13 
    8       1.144876914903e-10       2.176314739926e-15       2.825300280132e-13       0.000000000000e+00       1.451128298149e-09       1.181516220470e-10      -1.121770881311e-13 
    9       1.133541800210e-10       1.355745592881e-15       2.264372931607e-13       0.000000000000e+00       1.222248327909e-09       1.015020170993e-10       3.439322001728e-14 
   10       1.128630955236e-10       1.069280139306e-15       1.848122300382e-13       0.000000000000e+00       1.045526196056e-09       8.820862243730e-11       1.108592695866e-13 
   11       1.128670048343e-10       9.774362523714e-16       1.577437612812e-13       0.000000000000e+00       8.798141895765e-10       7.772368819420e-11       1.323723520503e-13 
   12       1.133010692212e-10       8.883741962335e-16       1.435058947331e-13       0.000000000000e+00       7.688416058478e-10       6.881627315892e-11       1.170654667223e-13 
   13       1.140093125431e-10       7.680849228801e-16       1.393662259377e-13       0.000000000000e+00       6.777382232822e-10       6.145358668932e-11       8.078042516252e-14 
   14       1.149140940696e-10       6.617490239665e-16       1.423382342006e-13       0.000000000000e+00       6.019283906338e-10       5.507232199593e-11       3.695357606816e-14 
   15       1.160258273086e-10       6.121376669929e-16       1.495773807147e-13       0.000000000000e+00       5.381122498683e-10       4.972419655582e-11      -3.722999865472e-15 
   16       1.173473096417e-10       6.232056606577e-16       1.586894388458e-13       0.000000000000e+00       4.838496755821e-10       4.520793816727e-11      -3.478730264453e-14 
   17       1.187328004427e-10       6.692114151631e-16       1.680395582581e-13       0.000000000000e+00       4.372976106215e-10       4.131262514941e-11      -5.333091107127e-14 
   18       1.202405600921e-10       7.208478525309e-16       1.766068944250e-13       0.000000000000e+00       3.968882116802e-10       3.780106696794e-11      -5.960254779548e-14 
   19       1.218819479092e-10       7.737254467144e-16       1.841405553610e-13       0.000000000000e+00       3.619835467406e-10       3.466745646092e-11      -5.564571057359e-14 
   20       1.235735790436e-10       8.332589428479e-16       1.906702908522e-13       0.000000000000e+00       3.312383421354e-10       3.191309050076e-11      -4.507429072649e-14 
   21       1.253303374104e-10       9.133170664509e-16       1.965666272476e-13       0.000000000000e+00       3.041706527549e-10       2.950360718945e-11      -3.128642952098e-14 
