# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.474310027501e-10       7.263610931785e-15       4.881118043547e-13       0.000000000000e+00       8.575995464157e-09       4.808950643667e-10      -2.451809378874e-12 
    3       1.388289089124e-10       1.252412823448e-14       6.319428676181e-13       0.000000000000e+00       5.325571065124e-09       3.434959302623e-10      -2.145598873661e-12 
    4       1.302398855096e-10       1.534218699711e-14       6.819319626450e-13       0.000000000000e+00       3.714086076245e-09       2.613665620411e-10      -1.711707510721e-12 
    5       1.232753519524e-10       1.558444392853e-14       6.760039498912e-13       0.000000000000e+00       2.775984938353e-09       2.073186069146e-10      -1.287718604723e-12 
    6       1.179428176075e-10       1.412863972696e-14       6.401548706263e-13       0.000000000000e+00       2.170120632518e-09       1.693361510764e-10      -9.174669112020e-13 
    7       1.139833079805e-10       1.203238415883e-14       5.917276013264e-13       0.000000000000e+00       1.750788958149e-09       1.413960270879e-10      -6.196589762180e-13 
    8       1.110661504781e-10       1.002054677926e-14       5.408163014310e-13       0.000000000000e+00       1.446195028030e-09       1.200928953004e-10      -3.982367910165e-13 
    9       1.089813238435e-10       8.401062477544e-15       4.930915017210e-13       0.000000000000e+00       1.217417916402e-09       1.033768173900e-10      -2.478329811357e-13 
   10       1.075429276396e-10       7.202369527044e-15       4.514978065522e-13       0.000000000000e+00       1.040817877191e-09       9.001549636491e-11      -1.570443097727e-13 
   11       1.066244886857e-10       6.346796470983e-15       4.171632342871e-13       0.000000000000e+00       8.773313521292e-10       7.938413590046e-11      -1.135185339207e-13 
   12       1.061560167613e-10       5.755694055027e-15       3.897978631912e-13       0.000000000000e+00       7.666422381469e-10       7.039023339705e-11      -9.821958043244e-14 
   13       1.059973115132e-10       5.375533840497e-15       3.685336339084e-13       0.000000000000e+00       6.757738497104e-10       6.293164813350e-11      -9.856872858538e-14 
   14       1.060689118501e-10       5.164394738171e-15       3.524081237527e-13       0.000000000000e+00       6.001615433521e-10       5.645203801662e-11      -1.051570763053e-13 
   15       1.063788068284e-10       5.078568821105e-15       3.401959416162e-13       0.000000000000e+00       5.365132721976e-10       5.100065877446e-11      -1.093779572554e-13 
   16       1.069203027186e-10       5.074143693099e-15       3.306724191866e-13       0.000000000000e+00       4.823950172345e-10       4.637934127345e-11      -1.078161338204e-13 
   17       1.075606288465e-10       5.116990362783e-15       3.230332599975e-13       0.000000000000e+00       4.359681193979e-10       4.238584598350e-11      -9.974591656631e-14 
   18       1.083441414765e-10       5.188333559791e-15       3.165830237369e-13       0.000000000000e+00       3.956689370168e-10       3.879264833100e-11      -8.677409612341e-14 
   19       1.092816395499e-10       5.287185102071e-15       3.110951548981e-13       0.000000000000e+00       3.608594082167e-10       3.559251423383e-11      -7.098563127281e-14 
   20       1.102956136709e-10       5.413521394881e-15       3.062116835582e-13       0.000000000000e+00       3.301992255678e-10       3.277957555806e-11      -5.488286847954e-14 
   21       1.113968611297e-10       5.568398746158e-15       3.019319875161e-13       0.000000000000e+00       3.032075260872e-10       3.031926142474e-11      -4.050983743063e-14 
   22       1.125902610441e-10       5.750811735973e-15       2.982274140308e-13       0.000000000000e+00       2.792390862349e-10       2.812433536276e-11      -2.969585756546e-14 
   23       1.138626177084e-10       5.958587895943e-15       2.950819755706e-13       0.000000000000e+00       2.579646668139e-10       2.615117199387e-11      -2.299948605967e-14 
   24       1.151771369379e-10       6.188032530069e-15       2.923741871338e-13       0.000000000000e+00       2.388927797376e-10       2.434970058666e-11      -2.024913225658e-14 
   25       1.165492403689e-10       6.439352068936e-15       2.900025708912e-13       0.000000000000e+00       2.217996294498e-10       2.271912386692e-11      -2.049812577775e-14 
   26       1.179924760079e-10       6.713105366809e-15       2.877813805550e-13       0.000000000000e+00       2.063764646648e-10       2.125663851187e-11      -2.229102674392e-14 
   27       1.194955431551e-10       7.009366233712e-15       2.855136927025e-13       0.000000000000e+00       1.924385133690e-10       1.994281347350e-11      -2.431930495831e-14 
   28       1.210312041202e-10       7.327650573527e-15       2.829526256346e-13       0.000000000000e+00       1.797456176369e-10       1.874388627801e-11      -2.533133358846e-14 
   29       1.226055327523e-10       7.668831689852e-15       2.799758278085e-13       0.000000000000e+00       1.682330210581e-10       1.764925976719e-11      -2.507020843469e-14 
   30       1.242240411758e-10       8.033680490237e-15       2.764430530899e-13       0.000000000000e+00       1.577771444445e-10       1.664414359349e-11      -2.362079085351e-14 
   31       1.258818211454e-10       8.422597961615e-15       2.721843228758e-13       0.000000000000e+00       1.481647856730e-10       1.570599370105e-11      -2.116880336703e-14 
   32       1.275806064369e-10       8.836910675493e-15       2.671759354587e-13       0.000000000000e+00       1.393464359729e-10       1.483387596029e-11      -1.809964156248e-14 
   33       1.293154877661e-10       9.277962458526e-15       2.614238317552e-13       0.000000000000e+00       1.312599107919e-10       1.402852815781e-11      -1.495267708914e-14 
   34       1.310754655232e-10       9.746695725897e-15       2.549237914834e-13       0.000000000000e+00       1.237922402031e-10       1.328585697179e-11      -1.229523176611e-14 
   35       1.328656279912e-10       1.024353031244e-14       2.476903085453e-13       0.000000000000e+00       1.169052772970e-10       1.260321929331e-11      -1.033827392413e-14 
   36       1.346911536695e-10       1.076835617836e-14       2.397344378721e-13       0.000000000000e+00       1.105438178117e-10       1.197435429104e-11      -9.189417017361e-15 
   37       1.365522615346e-10       1.132083065423e-14       2.310476575257e-13       0.000000000000e+00       1.046251253625e-10       1.139005939560e-11      -8.896111958912e-15 
   38       1.384495503864e-10       1.190146490219e-14       2.215786536251e-13       0.000000000000e+00       9.913394484445e-11       1.084800970805e-11      -9.249625028849e-15 
   39       1.403792767646e-10       1.251083952640e-14       2.112452413345e-13       0.000000000000e+00       9.405289024640e-11       1.034555383889e-11      -9.909429319652e-15 
   40       1.423311209300e-10       1.314928282132e-14       1.999375971456e-13       0.000000000000e+00       8.933354230027e-11       9.876719461410e-12      -1.044836194834e-14 
   41       1.442931204232e-10       1.381692666435e-14       1.875432128805e-13       0.000000000000e+00       8.491332617809e-11       9.434230786286e-12      -1.046158046951e-14 
   42       1.462699127564e-10       1.451395418846e-14       1.740371208409e-13       0.000000000000e+00       8.077926053217e-11       9.017037164683e-12      -9.949765102779e-15 
   43       1.482693737638e-10       1.524039204748e-14       1.594171237707e-13       0.000000000000e+00       7.692040417684e-11       8.624754769488e-12      -9.051087094832e-15 
   44       1.502973267968e-10       1.599601897952e-14       1.436786061545e-13       0.000000000000e+00       7.330872620852e-11       8.255450302012e-12      -7.939483581204e-15 
   45       1.523573467998e-10       1.678049782391e-14       1.268156251836e-13       0.000000000000e+00       6.990912517642e-11       7.906497264929e-12      -6.796527995279e-15 
   46       1.544506835850e-10       1.759386267910e-14       1.088256324113e-13       0.000000000000e+00       6.671626484356e-11       7.577749631504e-12      -5.711818752952e-15 
   47       1.565758963026e-10       1.843614559401e-14       8.970539865440e-14       0.000000000000e+00       6.372643636315e-11       7.269100724069e-12      -4.756560121748e-15 
   48       1.587285635959e-10       1.930722875477e-14       6.944924418928e-14       0.000000000000e+00       6.092644755999e-11       6.979513515565e-12      -4.011756006574e-15 
   49       1.609010400072e-10       2.020683447454e-14       4.804867773929e-14       0.000000000000e+00       5.829291766481e-11       6.706950134076e-12      -3.568667184493e-15 
   50       1.630854881423e-10       2.113463754199e-14       2.549268683128e-14       0.000000000000e+00       5.579932105184e-11       6.448988239815e-12      -3.496606360623e-15 
   51       1.652845105908e-10       2.209066144254e-14       1.769539329126e-15       0.000000000000e+00       5.344100866374e-11       6.205030946187e-12      -3.734956968993e-15 
   52       1.675029828538e-10       2.307497238350e-14      -2.313515312648e-14       0.000000000000e+00       5.121575927475e-11       5.974574901081e-12      -4.172634454160e-15 
   53       1.697449424998e-10       2.408756218381e-14      -4.923936627058e-14       0.000000000000e+00       4.911629156827e-11       5.756538575992e-12      -4.677132519040e-15 
