# Matter power spectrum P(k) at redshift z=0
# for k=1.0432e-05 to 0.626651 h/Mpc,
# number of wavenumbers equal to 560
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.043203729986e-05       5.897363993884e+01 
       2.330758683746e-05       1.106712818941e+02 
       3.622834181062e-05       1.708163771280e+02 
       4.922903729145e-05       2.290594952064e+02 
       6.234498207681e-05       2.874131497079e+02 
       7.561237326389e-05       3.464868688079e+02 
       8.906862087229e-05       4.063443988591e+02 
       1.027526868268e-04       4.661648137819e+02 
       1.167054426485e-04       5.269950083103e+02 
       1.309700502350e-04       5.888344369349e+02 
       1.455923701168e-04       6.520491104497e+02 
       1.606214015187e-04       7.167650881933e+02 
       1.761097583768e-04       7.832211126418e+02 
       1.921141850936e-04       8.516216545499e+02 
       2.086961151605e-04       9.222418759202e+02 
       2.259222747028e-04       9.953737303618e+02 
       2.438653313471e-04       1.071288194533e+03 
       2.626045863464e-04       1.150302968860e+03 
       2.822267043662e-04       1.232817802318e+03 
       3.028264703922e-04       1.319091920189e+03 
       3.245075565023e-04       1.409606303078e+03 
       3.473832723430e-04       1.504786133066e+03 
       3.715772616892e-04       1.605084328813e+03 
       3.972240931883e-04       1.711024160382e+03 
       4.244696763217e-04       1.823149583490e+03 
       4.534714142726e-04       1.942033490187e+03 
       4.843979851216e-04       2.068289177303e+03 
       5.174286241260e-04       2.202551037491e+03 
       5.527517668576e-04       2.345483191985e+03 
       5.905629115051e-04       2.497750147879e+03 
       6.310615760537e-04       2.660016749506e+03 
       6.744472702311e-04       2.832916766860e+03 
       7.209144795252e-04       3.017042854796e+03 
       7.706467710403e-04       3.212915450956e+03 
       8.238102719290e-04       3.420897943438e+03 
       8.805469226331e-04       3.641456970747e+03 
       9.409680395559e-04       3.874574198650e+03 
       1.005148798413e-03       4.120296652370e+03 
       1.073124236767e-03       4.378417748660e+03 
       1.144887254758e-03       4.648577080968e+03 
       1.220388876333e-03       4.930213133067e+03 
       1.299540758083e-03       5.222638003525e+03 
       1.382219657212e-03       5.525007013664e+03 
       1.468273353332e-03       5.836365926672e+03 
       1.557527401525e-03       6.155751374326e+03 
       1.649792087591e-03       6.482143486187e+03 
       1.744869043056e-03       6.814488903615e+03 
       1.842557121818e-03       7.151757106461e+03 
       1.942657302657e-03       7.492984308827e+03 
       2.044976530484e-03       7.837206519219e+03 
       2.149330524919e-03       8.183606172531e+03 
       2.255545661461e-03       8.531327261361e+03 
       2.363460071018e-03       8.879666643015e+03 
       2.472924115756e-03       9.227955364939e+03 
       2.583800392325e-03       9.575554854968e+03 
       2.695963395622e-03       9.921997565150e+03 
       2.809298953733e-03       1.026676683674e+04 
       2.923703521636e-03       1.060947674286e+04 
       3.039083400187e-03       1.094973311714e+04 
       3.155353928895e-03       1.128721052801e+04 
       3.272438686427e-03       1.162165691365e+04 
       3.390268721390e-03       1.195282803027e+04 
       3.508781827382e-03       1.228049164162e+04 
       3.627921870059e-03       1.260445476502e+04 
       3.747638169517e-03       1.292458619978e+04 
       3.867884938268e-03       1.324075402357e+04 
       3.988620773123e-03       1.355284727992e+04 
       4.109808198029e-03       1.386076503894e+04 
       4.231413254281e-03       1.416443176392e+04 
       4.353405134154e-03       1.446379352919e+04 
       4.475755854012e-03       1.475879251861e+04 
       4.598439962986e-03       1.504939161971e+04 
       4.721434283586e-03       1.533555054783e+04 
       4.844717680811e-03       1.561721821122e+04 
       4.968270856655e-03       1.589440459176e+04 
       5.092076167164e-03       1.616719424865e+04 
       5.216117459508e-03       1.643550011886e+04 
       5.340379926789e-03       1.669933602792e+04 
       5.464849978543e-03       1.695873841778e+04 
       5.589515125164e-03       1.721369830191e+04 
       5.714363874627e-03       1.746431490912e+04 
       5.839385640123e-03       1.771037866739e+04 
       5.964570657357e-03       1.795216064413e+04 
       6.089909910409e-03       1.818961688555e+04 
       6.215395065202e-03       1.842273905627e+04 
       6.341018409711e-03       1.865158590976e+04 
       6.466772800183e-03       1.887614954291e+04 
       6.592651612688e-03       1.909650481303e+04 
