# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.606350194090e-12       3.411359242587e-15       5.023141483873e-15       0.000000000000e+00       8.683017809183e-09       1.594479203616e-11      -1.698619146535e-12 
    3       2.778859288459e-12       3.775956587571e-15       2.357611511382e-15       0.000000000000e+00       5.352500006318e-09       1.242110996652e-11      -1.169962134002e-12 
    4       4.199737478844e-12       2.797056392235e-15      -2.920097877112e-15       0.000000000000e+00       3.720644026299e-09       9.962956328911e-12      -6.668188111410e-13 
    5       5.824336213929e-12       1.607334924202e-15      -9.024873480631e-15       0.000000000000e+00       2.776546972473e-09       8.155201946671e-12      -2.890725554260e-13 
    6       7.606082053061e-12       8.269462849786e-16      -1.387909165648e-14       0.000000000000e+00       2.169038703333e-09       6.818063277024e-12      -5.092782820122e-14 
    7       9.509678888620e-12       4.777549702824e-16      -1.586426313495e-14       0.000000000000e+00       1.750183710354e-09       5.857352767788e-12       6.645250209543e-14 
    8       1.150608039454e-11       3.476282055539e-16      -1.462188511829e-14       0.000000000000e+00       1.446881301687e-09       5.120026174869e-12       9.682656946600e-14 
    9       1.358796206928e-11       2.802405100787e-16      -1.091405746953e-14       0.000000000000e+00       1.218775245389e-09       4.470753708251e-12       7.675916379786e-14 
   10       1.573305942636e-11       2.305918449299e-16      -6.087815524723e-15       0.000000000000e+00       1.041967902006e-09       3.912673213268e-12       3.766071102170e-14 
   11       1.792313412581e-11       2.026426840395e-16      -1.553928378290e-15       0.000000000000e+00       8.783941757613e-10       3.995554632253e-12       1.922858045171e-15 
   12       2.016079743008e-11       1.980935201680e-16       1.638902611656e-15       0.000000000000e+00       7.676054667513e-10       3.666272144577e-12      -2.079859811443e-14 
   13       2.244841779555e-11       2.102342036272e-16       2.972331368020e-15       0.000000000000e+00       6.766516721202e-10       3.367416648800e-12      -2.799658719936e-14 
   14       2.475706707926e-11       2.350461528123e-16       2.524762564084e-15       0.000000000000e+00       6.009652526448e-10       3.033946698600e-12      -2.396698363117e-14 
   15       2.706474555805e-11       2.742038612694e-16       8.877701691887e-16       0.000000000000e+00       5.372521260229e-10       2.755064786878e-12      -1.473720095930e-14 
   16       2.943667278293e-11       3.301642435715e-16      -1.305196730322e-15       0.000000000000e+00       4.830767229991e-10       2.566298854417e-12      -6.017734540563e-15 
   17       3.178401719516e-11       4.031925980498e-16      -3.521487527887e-15       0.000000000000e+00       4.365990433030e-10       2.421341604821e-12      -1.180245351591e-15 
   18       3.414545195291e-11       4.924720129391e-16      -5.361759925519e-15       0.000000000000e+00       3.962545034136e-10       2.249144393325e-12      -1.040860772044e-15 
   19       3.652328931950e-11       5.980346731471e-16      -6.778854862210e-15       0.000000000000e+00       3.614045856944e-10       2.069391266453e-12      -4.251533610663e-15 
   20       3.889035362192e-11       7.198960897070e-16      -7.902702743074e-15       0.000000000000e+00       3.307078147007e-10       1.930158308127e-12      -8.424813551414e-15 
   21       4.124624870697e-11       8.583703649857e-16      -8.994761384337e-15       0.000000000000e+00       3.036830129559e-10       1.824382721384e-12      -1.188371823226e-14 
   22       4.359757260542e-11       1.013851983932e-15      -1.037688831592e-14       0.000000000000e+00       2.796844170510e-10       1.723941849027e-12      -1.324972179731e-14 
   23       4.593419052587e-11       1.187427779431e-15      -1.214127031537e-14       0.000000000000e+00       2.583825639411e-10       1.621491503214e-12      -1.265161321219e-14 
   24       4.824228273699e-11       1.380480173589e-15      -1.427938466105e-14       0.000000000000e+00       2.392855300709e-10       1.517766403338e-12      -1.088931249690e-14 
   25       5.052750193464e-11       1.594562819645e-15      -1.667176038346e-14       0.000000000000e+00       2.221693590484e-10       1.425863070251e-12      -8.864743856199e-15 
   26       5.279958182265e-11       1.831276268131e-15      -1.914663728118e-14       0.000000000000e+00       2.067250120924e-10       1.358886384596e-12      -7.510309301301e-15 
   27       5.505013995149e-11       2.091882835994e-15      -2.157977909742e-14       0.000000000000e+00       1.927675442375e-10       1.303934587682e-12      -7.018881600181e-15 
   28       5.726564244849e-11       2.377518033700e-15      -2.387413498392e-14       0.000000000000e+00       1.800565401294e-10       1.241110335065e-12      -7.292543928345e-15 
   29       5.944390024120e-11       2.689290666118e-15      -2.604743443687e-14       0.000000000000e+00       1.685272121573e-10       1.171928065204e-12      -8.052975864724e-15 
   30       6.158653719450e-11       3.028266712113e-15      -2.817048537763e-14       0.000000000000e+00       1.580558731462e-10       1.105717194396e-12      -8.880019669882e-15 
   31       6.369490636470e-11       3.395470698916e-15      -3.032842194503e-14       0.000000000000e+00       1.484290914935e-10       1.051268288999e-12      -9.337234230055e-15 
   32       6.576677299337e-11       3.791920887520e-15      -3.257177096487e-14       0.000000000000e+00       1.395973190415e-10       1.007141058303e-12      -9.368891904833e-15 
   33       6.779817927474e-11       4.218598639116e-15      -3.494905961712e-14       0.000000000000e+00       1.314983017116e-10       9.675599615073e-13      -9.051620638506e-15 
   34       6.978566992605e-11       4.676451819436e-15      -3.749416661590e-14       0.000000000000e+00       1.240189282906e-10       9.266539640271e-13      -8.500824182419e-15 
   35       7.173155410199e-11       5.166455051608e-15      -4.013561648841e-14       0.000000000000e+00       1.171210183416e-10       8.850577209775e-13      -7.892356522598e-15 
   36       7.364042912339e-11       5.689564619962e-15      -4.275368518222e-14       0.000000000000e+00       1.107493102100e-10       8.455822348290e-13      -7.453745818565e-15 
   37       7.551595291309e-11       6.246699894367e-15      -4.523347860865e-14       0.000000000000e+00       1.048209694721e-10       8.107500425690e-13      -7.392328079345e-15 
   38       7.735450394106e-11       6.838744445728e-15      -4.757109845516e-14       0.000000000000e+00       9.932073253925e-11       7.802156114551e-13      -7.656963598487e-15 
   39       7.914926260301e-11       7.466540203759e-15      -4.980250911336e-14       0.000000000000e+00       9.423119826785e-11       7.524647547148e-13      -8.096612104423e-15 
   40       8.089171550971e-11       8.130883335314e-15      -5.197624838861e-14       0.000000000000e+00       8.950388539244e-11       7.254558994906e-13      -8.520769747567e-15 
   41       8.257421483649e-11       8.832518921950e-15      -5.414024483139e-14       0.000000000000e+00       8.507613499562e-11       6.972504448342e-13      -8.752137751727e-15 
   42       8.419901944152e-11       9.572130123562e-15      -5.629498362184e-14       0.000000000000e+00       8.093495363327e-11       6.682429766059e-13      -8.811520514043e-15 
   43       8.577194414540e-11       1.035034043557e-14      -5.842658237683e-14       0.000000000000e+00       7.706938951043e-11       6.395924052607e-13      -8.788726953253e-15 
   44       8.729993964596e-11       1.116771260241e-14      -6.051946024873e-14       0.000000000000e+00       7.345137412747e-11       6.126232792504e-13      -8.793657645993e-15 
   45       8.878918468811e-11       1.202475911634e-14      -6.256121326777e-14       0.000000000000e+00       7.004575691174e-11       5.885177959458e-13      -8.928244714668e-15 
   46       9.023859811001e-11       1.292198492901e-14      -6.455917426757e-14       0.000000000000e+00       6.684719805092e-11       5.672642526140e-13      -9.189460231101e-15 
