# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.455065359875e-10       3.411359242587e-15       3.325590334117e-13       0.000000000000e+00       8.683017809183e-09       4.754937360766e-10      -1.698619146535e-12 
    3       1.378579304935e-10       3.775956587571e-15       3.538025462415e-13       0.000000000000e+00       5.352500006318e-09       3.365910745963e-10      -1.169962134002e-12 
    4       1.307489267613e-10       2.797056392235e-15       3.150498706467e-13       0.000000000000e+00       3.720644026299e-09       2.544049684902e-10      -6.668188111410e-13 
    5       1.255283352433e-10       1.607334924202e-15       2.567761445936e-13       0.000000000000e+00       2.776546972473e-09       2.005969771950e-10      -2.890725554260e-13 
    6       1.220181547961e-10       8.269462849786e-16       1.996601293796e-13       0.000000000000e+00       2.169038703333e-09       1.630512239746e-10      -5.092782820122e-14 
    7       1.198465313210e-10       4.777549702824e-16       1.542038889272e-13       0.000000000000e+00       1.750183710354e-09       1.357078555241e-10       6.645250209543e-14 
    8       1.186203420443e-10       3.476282055539e-16       1.233851538548e-13       0.000000000000e+00       1.446881301687e-09       1.150656096037e-10       9.682656946600e-14 
    9       1.180975919644e-10       2.802405100787e-16       1.061245265645e-13       0.000000000000e+00       1.218775245389e-09       9.896182732004e-11       7.675916379786e-14 
   10       1.180909993560e-10       2.305918449299e-16       9.952721098155e-14       0.000000000000e+00       1.041967902006e-09       8.611262901632e-11       3.766071102170e-14 
   11       1.184785599771e-10       2.026426840395e-16       1.003073060378e-13       0.000000000000e+00       8.783941757613e-10       7.606821235067e-11       1.922858045171e-15 
   12       1.192225873914e-10       1.980935201680e-16       1.056151434708e-13       0.000000000000e+00       7.676054667513e-10       6.737584506440e-11      -2.079859811443e-14 
   13       1.201921794094e-10       2.102342036272e-16       1.132829112537e-13       0.000000000000e+00       6.766516721202e-10       6.014419493712e-11      -2.799658719936e-14 
   14       1.213123327809e-10       2.350461528123e-16       1.220110723697e-13       0.000000000000e+00       6.009652526448e-10       5.382685508381e-11      -2.396698363117e-14 
   15       1.226147962706e-10       2.742038612694e-16       1.313428158667e-13       0.000000000000e+00       5.372521260229e-10       4.851788025687e-11      -1.473720095930e-14 
   16       1.241200592542e-10       3.301642435715e-16       1.411391416926e-13       0.000000000000e+00       4.830767229991e-10       4.404018920025e-11      -6.017734540563e-15 
   17       1.256734943273e-10       4.031925980498e-16       1.514369748141e-13       0.000000000000e+00       4.365990433030e-10       4.019497296675e-11      -1.180245351591e-15 
   18       1.273368944612e-10       4.924720129391e-16       1.623646975193e-13       0.000000000000e+00       3.962545034136e-10       3.674622400435e-11      -1.040860772044e-15 
   19       1.291299634416e-10       5.980346731471e-16       1.738504152342e-13       0.000000000000e+00       3.614045856944e-10       3.368487461442e-11      -4.251533610663e-15 
   20       1.309753272199e-10       7.198960897070e-16       1.856601653400e-13       0.000000000000e+00       3.307078147007e-10       3.100798933026e-11      -8.424813551414e-15 
   21       1.328875076764e-10       8.583703649857e-16       1.974392231215e-13       0.000000000000e+00       3.036830129559e-10       2.867449898410e-11      -1.188371823226e-14 
   22       1.348751736278e-10       1.013851983932e-15       2.087609553780e-13       0.000000000000e+00       2.796844170510e-10       2.658893741101e-11      -1.324972179731e-14 
   23       1.369272848496e-10       1.187427779431e-15       2.194017238416e-13       0.000000000000e+00       2.583825639411e-10       2.470580800257e-11      -1.265161321219e-14 
   24       1.390082447963e-10       1.380480173589e-15       2.292186167115e-13       0.000000000000e+00       2.392855300709e-10       2.297757362104e-11      -1.088931249690e-14 
   25       1.411381191839e-10       1.594562819645e-15       2.381867818303e-13       0.000000000000e+00       2.221693590484e-10       2.140997527026e-11      -8.864743856199e-15 
   26       1.433345797181e-10       1.831276268131e-15       2.463416300288e-13       0.000000000000e+00       2.067250120924e-10       2.000847636668e-11      -7.510309301301e-15 
   27       1.455847912355e-10       2.091882835994e-15       2.537359737486e-13       0.000000000000e+00       1.927675442375e-10       1.875443422722e-11      -7.018881600181e-15 
   28       1.478577858811e-10       2.377518033700e-15       2.604207807837e-13       0.000000000000e+00       1.800565401294e-10       1.761290697739e-11      -7.292543928345e-15 
   29       1.501607524907e-10       2.689290666118e-15       2.663270577236e-13       0.000000000000e+00       1.685272121573e-10       1.657269403305e-11      -8.052975864724e-15 
   30       1.525011211542e-10       3.028266712113e-15       2.713380268036e-13       0.000000000000e+00       1.580558731462e-10       1.561892896684e-11      -8.880019669882e-15 
   31       1.548751623110e-10       3.395470698916e-15       2.753245943103e-13       0.000000000000e+00       1.484290914935e-10       1.472930197044e-11      -9.337234230055e-15 
   32       1.572857230462e-10       3.791920887520e-15       2.781665803819e-13       0.000000000000e+00       1.395973190415e-10       1.390266073129e-11      -9.368891904833e-15 
