# Matter power spectrum P(k) at redshift z=0
# for k=1.04564e-05 to 0.628087 h/Mpc,
# number of wavenumbers equal to 560
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045636895265e-05       5.098361470537e+01 
       2.335681618987e-05       1.106797113659e+02 
       3.630274238463e-05       1.693504400156e+02 
       4.932908535178e-05       2.276200862005e+02 
       6.247136229259e-05       2.858453341285e+02 
       7.576598744737e-05       3.442943751000e+02 
       8.925059993160e-05       4.031971470366e+02 
       1.029644061282e-04       4.627659181647e+02 
       1.169485410416e-04       5.232058612578e+02 
       1.312464530540e-04       5.847214542040e+02 
       1.459043165280e-04       6.475209559899e+02 
       1.609714766400e-04       7.118198773376e+02 
       1.765009306452e-04       7.778439704424e+02 
       1.925498493967e-04       8.458319589344e+02 
       2.091801422696e-04       9.160381579142e+02 
       2.264590675412e-04       9.887350683406e+02 
       2.444598885775e-04       1.064215978773e+03 
       2.632625736552e-04       1.142797595496e+03 
       2.829545336210e-04       1.224822672966e+03 
       3.036313865307e-04       1.310662600540e+03 
       3.253977315240e-04       1.400719869613e+03 
       3.483679050758e-04       1.495430293734e+03 
       3.726666810316e-04       1.595264800021e+03 
       3.984298612381e-04       1.700730591316e+03 
       4.258046861501e-04       1.812371325626e+03 
       4.549499750935e-04       1.930766017430e+03 
       4.860358853027e-04       2.056526113771e+03 
       5.192431600667e-04       2.190290385704e+03 
       5.547617235458e-04       2.332716955403e+03 
       5.927884790865e-04       2.484472116762e+03 
       6.335241866980e-04       2.646215489811e+03 
       6.771693418265e-04       2.818581394735e+03 
       7.239190580493e-04       3.002156716315e+03 
       7.739570723338e-04       3.197455877547e+03 
       8.274491357913e-04       3.404894351336e+03 
       8.845362063803e-04       3.624762478371e+03 
       9.453279919916e-04       3.857201951396e+03 
       1.009897465284e-03       4.102187564806e+03 
       1.078276951968e-03       4.359516440446e+03 
       1.150456265750e-03       4.628806537772e+03 
       1.226383137619e-03       4.909505089633e+03 
       1.305965905817e-03       5.200906392244e+03 
       1.389078155550e-03       5.502156089595e+03 
       1.475564783862e-03       5.812321786045e+03 
       1.565248854582e-03       6.130427402238e+03 
       1.657938609905e-03       6.455443836058e+03 
       1.753434099244e-03       6.786337089314e+03 
       1.851533035311e-03       7.122092422517e+03 
       1.952035652143e-03       7.461733459711e+03 
       2.054748488306e-03       7.804336791333e+03 
       2.159487132669e-03       8.149040919535e+03 
       2.266078044455e-03       8.495052401838e+03 
       2.374359597428e-03       8.841647660747e+03 
       2.484182508303e-03       9.188172047352e+03 
       2.595409801036e-03       9.534037697510e+03 
       2.707916439847e-03       9.878720636183e+03 
       2.821588740709e-03       1.022175523221e+04 
       2.936323647808e-03       1.056272992495e+04 
       3.052027940302e-03       1.090128335438e+04 
       3.168617416861e-03       1.123709806122e+04 
       3.286016090969e-03       1.156989821721e+04 
       3.404155418780e-03       1.189944458390e+04 
       3.522973572901e-03       1.222552686388e+04 
       3.642414769352e-03       1.254796761162e+04 
       3.762428650643e-03       1.286661447008e+04 
       3.882969724964e-03       1.318133576638e+04 
       4.003996859591e-03       1.349202345121e+04 
       4.125472825426e-03       1.379858438171e+04 
       4.247363888961e-03       1.410094470090e+04 
       4.369639447665e-03       1.439904140996e+04 
       4.492271704789e-03       1.469282599666e+04 
       4.615235379660e-03       1.498225918543e+04 
       4.738507449800e-03       1.526730378343e+04 
       4.862066921443e-03       1.554790949717e+04 
       4.985894625324e-03       1.582417416293e+04 
       5.109973034924e-03       1.609600146191e+04 
       5.234286104614e-03       1.636336448577e+04 
       5.358819125432e-03       1.662634418302e+04 
       5.483558596480e-03       1.688500971177e+04 
       5.608492110130e-03       1.713926287261e+04 
       5.733608249478e-03       1.738914394808e+04 
       5.858896496621e-03       1.763461752252e+04 
       5.984347150538e-03       1.787573403374e+04 
       6.109951253479e-03       1.811256988521e+04 
       6.235700524902e-03       1.834507147917e+04 
       6.361587302113e-03       1.857342164424e+04 
       6.487604486862e-03       1.879751604184e+04 
       6.613745497244e-03       1.901740230282e+04 
       6.740004224315e-03       1.923318777985e+04 
       6.866374992918e-03       1.944488616450e+04 
       6.992852526270e-03       1.965252081484e+04 
       7.119431913900e-03       1.985607016598e+04 
       7.246108582595e-03       2.005598288357e+04 
       7.372878270037e-03       2.025159644938e+04 
       7.499737000855e-03       2.044328024266e+04 
       7.626681064836e-03       2.063106831965e+04 
       7.753706997096e-03       2.081501007683e+04 
       7.880811559997e-03       2.099517736299e+04 
       8.007991726648e-03       2.117156311435e+04 
       8.135244665829e-03       2.134421795435e+04 
       8.262567728210e-03       2.151317844449e+04 
       8.389958433725e-03       2.167848846139e+04 
