# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.526535467480e-16       3.411359242587e-15       4.396883717392e-16       0.000000000000e+00       8.683017809183e-09      -1.246969965182e-13      -1.698619146535e-12 
    3       4.782101056022e-16       3.775956587571e-15       8.780469037588e-16       0.000000000000e+00       5.352500006318e-09      -1.387643625600e-13      -1.169962134002e-12 
    4       6.176352128922e-16       2.797056392235e-15       8.599087968888e-16       0.000000000000e+00       3.720644026299e-09      -1.090655737212e-13      -6.668188111410e-13 
    5       6.819192880392e-16       1.607334924202e-15       5.796662806371e-16       0.000000000000e+00       2.776546972473e-09      -7.111584459468e-14      -2.890725554260e-13 
    6       7.590420597982e-16       8.269462849786e-16       3.011138957448e-16       0.000000000000e+00       2.169038703333e-09      -3.750964583775e-14      -5.092782820122e-14 
    7       9.036287615544e-16       4.777549702824e-16       1.348016396562e-16       0.000000000000e+00       1.750183710354e-09      -1.302684679966e-14       6.645250209543e-14 
    8       1.117886067059e-15       3.476282055539e-16       5.819367736728e-17       0.000000000000e+00       1.446881301687e-09       1.686123851233e-15       9.682656946600e-14 
    9       1.382862137534e-15       2.802405100787e-16       1.654858616064e-17       0.000000000000e+00       1.218775245389e-09       7.863069027678e-15       7.675916379786e-14 
   10       1.683055757877e-15       2.305918449299e-16      -1.968403259788e-17       0.000000000000e+00       1.041967902006e-09       7.805651363281e-15       3.766071102170e-14 
   11       2.013239779637e-15       2.026426840395e-16      -5.452129967974e-17       0.000000000000e+00       8.783941757613e-10       5.540241377244e-15       1.922858045171e-15 
   12       2.372146292112e-15       1.980935201680e-16      -8.508069252558e-17       0.000000000000e+00       7.676054667513e-10       6.521874799147e-16      -2.079859811443e-14 
   13       2.758107545928e-15       2.102342036272e-16      -1.113989901215e-16       0.000000000000e+00       6.766516721202e-10      -3.559659528658e-15      -2.799658719936e-14 
   14       3.168730753953e-15       2.350461528123e-16      -1.361992770984e-16       0.000000000000e+00       6.009652526448e-10      -6.226649211527e-15      -2.396698363117e-14 
   15       3.601303381681e-15       2.742038612694e-16      -1.612173865710e-16       0.000000000000e+00       5.372521260229e-10      -7.120760047998e-15      -1.473720095930e-14 
   16       4.054293705173e-15       3.301642435715e-16      -1.862240089061e-16       0.000000000000e+00       4.830767229991e-10      -6.661667073272e-15      -6.017734540563e-15 
   17       4.525961711529e-15       4.031925980498e-16      -2.110840126801e-16       0.000000000000e+00       4.365990433030e-10      -5.551001201307e-15      -1.180245351591e-15 
   18       5.015023157851e-15       4.924720129391e-16      -2.368238049051e-16       0.000000000000e+00       3.962545034136e-10      -4.465933003158e-15      -1.040860772044e-15 
   19       5.520286628015e-15       5.980346731471e-16      -2.640177255422e-16       0.000000000000e+00       3.614045856944e-10      -3.711956039120e-15      -4.251533610663e-15 
   20       6.040678603453e-15       7.198960897070e-16      -2.931031553594e-16       0.000000000000e+00       3.307078147007e-10      -3.455394822549e-15      -8.424813551414e-15 
   21       6.575333905749e-15       8.583703649857e-16      -3.244802101728e-16       0.000000000000e+00       3.036830129559e-10      -3.624877425341e-15      -1.188371823226e-14 
   22       7.123610707460e-15       1.013851983932e-15      -3.585127731891e-16       0.000000000000e+00       2.796844170510e-10      -4.021608819022e-15      -1.324972179731e-14 
   23       7.685010072325e-15       1.187427779431e-15      -3.952205634298e-16       0.000000000000e+00       2.583825639411e-10      -4.441600753634e-15      -1.265161321219e-14 
   24       8.259227248662e-15       1.380480173589e-15      -4.344402582112e-16       0.000000000000e+00       2.392855300709e-10      -4.676403171844e-15      -1.088931249690e-14 
   25       8.846054008960e-15       1.594562819645e-15      -4.758746909610e-16       0.000000000000e+00       2.221693590484e-10      -4.683776395819e-15      -8.864743856199e-15 
   26       9.445426572046e-15       1.831276268131e-15      -5.191637167849e-16       0.000000000000e+00       2.067250120924e-10      -4.494637707669e-15      -7.510309301301e-15 
   27       1.005727118622e-14       2.091882835994e-15      -5.641456240424e-16       0.000000000000e+00       1.927675442375e-10      -4.207503193372e-15      -7.018881600181e-15 
   28       1.068155233373e-14       2.377518033700e-15      -6.107060088752e-16       0.000000000000e+00       1.800565401294e-10      -3.944495552521e-15      -7.292543928345e-15 
   29       1.131803370372e-14       2.689290666118e-15      -6.587157711669e-16       0.000000000000e+00       1.685272121573e-10      -3.751251701686e-15      -8.052975864724e-15 
   30       1.196645587755e-14       3.028266712113e-15      -7.080287929442e-16       0.000000000000e+00       1.580558731462e-10      -3.652265545096e-15      -8.880019669882e-15 
   31       1.262658905363e-14       3.395470698916e-15      -7.584511659604e-16       0.000000000000e+00       1.484290914935e-10      -3.661525666127e-15      -9.337234230055e-15 
   32       1.329815788322e-14       3.791920887520e-15      -8.096370961360e-16       0.000000000000e+00       1.395973190415e-10      -3.739096704188e-15      -9.368891904833e-15 
   33       1.398088667767e-14       4.218598639116e-15      -8.611482988914e-16       0.000000000000e+00       1.314983017116e-10      -3.816326215457e-15      -9.051620638506e-15 
   34       1.467448604003e-14       4.676451819436e-15      -9.125133224643e-16       0.000000000000e+00       1.240189282906e-10      -3.826344442477e-15      -8.500824182419e-15 
   35       1.537854460709e-14       5.166455051608e-15      -9.633543688868e-16       0.000000000000e+00       1.171210183416e-10      -3.776047582437e-15      -7.892356522598e-15 
   36       1.609259287698e-14       5.689564619962e-15      -1.013302586719e-15       0.000000000000e+00       1.107493102100e-10      -3.699473323368e-15      -7.453745818565e-15 
   37       1.681612733446e-14       6.246699894367e-15      -1.061948264057e-15       0.000000000000e+00       1.048209694721e-10      -3.631948101113e-15      -7.392328079345e-15 
   38       1.754861121221e-14       6.838744445728e-15      -1.108785924433e-15       0.000000000000e+00       9.932073253925e-11      -3.584301311845e-15      -7.656963598487e-15 
   39       1.828946622016e-14       7.466540203759e-15      -1.153248895055e-15       0.000000000000e+00       9.423119826785e-11      -3.560469480278e-15      -8.096612104423e-15 
   40       1.903806650824e-14       8.130883335314e-15      -1.194721749672e-15       0.000000000000e+00       8.950388539244e-11      -3.564370638190e-15      -8.520769747567e-15 
   41       1.979378726481e-14       8.832518921950e-15      -1.232579724624e-15       0.000000000000e+00       8.507613499562e-11      -3.598173265877e-15      -8.752137751727e-15 
