# Matter power spectrum P(k) at redshift z=0
# for k=1.04315e-05 to 0.626614 h/Mpc,
# number of wavenumbers equal to 560
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.043150886029e-05       5.133431543136e+01 
       2.330640529333e-05       1.114646599716e+02 
       3.622650029471e-05       1.705610498202e+02 
       4.922652363057e-05       2.292518701392e+02 
       6.234177864651e-05       2.878958260191e+02 
       7.560845676279e-05       3.467624327606e+02 
       8.906396201249e-05       4.060826331282e+02 
       1.027472499354e-04       4.660695142107e+02 
       1.166991851737e-04       5.269289540225e+02 
       1.309629221480e-04       5.888660579597e+02 
       1.455843132013e-04       6.520896426032e+02 
       1.606123485354e-04       7.168157250991e+02 
       1.760996320913e-04       7.832705188491e+02 
       1.921028971543e-04       8.516931569162e+02 
       2.086835648119e-04       9.223383105654e+02 
       2.259083473213e-04       9.954787943798e+02 
       2.438498967854e-04       1.071408149884e+03 
       2.625874970776e-04       1.150443273946e+03 
       2.822077934222e-04       1.232927052771e+03 
       3.028055490997e-04       1.319230941029e+03 
       3.244844120331e-04       1.409757431701e+03 
       3.473576651123e-04       1.504942276076e+03 
       3.715489226600e-04       1.605256306709e+03 
       3.971927211766e-04       1.711206609619e+03 
       4.244349354350e-04       1.823336742848e+03 
       4.534329316712e-04       1.942225704941e+03 
       4.843553493486e-04       2.068485105357e+03 
       5.173813843167e-04       2.202754143859e+03 
       5.526994331952e-04       2.345691811808e+03 
       5.905049573325e-04       2.497965869797e+03 
       6.309974420485e-04       2.660238208405e+03 
       6.743763710006e-04       2.833146435145e+03 
       7.208362128383e-04       3.017281910992e+03 
       7.705605296876e-04       3.213164896922e+03 
       8.237154578872e-04       3.421218119410e+03 
       8.804429628409e-04       3.641740476302e+03 
       9.408544022471e-04       3.874883343919e+03 
       1.005025008685e-03       4.120631889361e+03 
       1.072989889970e-03       4.378793739465e+03 
       1.144742026436e-03       4.648996858969e+03 
       1.220232527809e-03       4.930697263215e+03 
       1.299373137339e-03       5.223196245176e+03 
       1.382040695263e-03       5.525645986185e+03 
       1.468083056839e-03       5.837112734463e+03 
       1.557325842702e-03       6.156621702768e+03 
       1.649579392583e-03       6.483140946382e+03 
       1.744645379920e-03       6.815631544430e+03 
       1.842322688985e-03       7.153072082860e+03 
       1.942412318540e-03       7.494478310388e+03 
       2.044721224576e-03       7.838918047763e+03 
       2.149065130522e-03       8.185520562725e+03 
       2.255270410019e-03       8.533483091595e+03 
       2.363175187890e-03       8.882072852945e+03 
       2.472629817240e-03       9.230626443621e+03 
       2.583496883706e-03       9.578547739646e+03 
       2.695650870034e-03       9.925305073284e+03 
       2.808977591637e-03       1.027042544519e+04 
       2.923373490762e-03       1.061349105099e+04 
       3.038744855794e-03       1.095413465959e+04 
       3.155007014261e-03       1.129203353657e+04 
       3.272083533468e-03       1.162690725962e+04 
       3.389905451365e-03       1.195851196943e+04 
       3.508410551635e-03       1.228663534350e+04 
       3.627542690764e-03       1.261109486863e+04 
       3.747251180401e-03       1.293173644876e+04 
       3.867490225313e-03       1.324842563158e+04 
       3.988218415222e-03       1.356105243881e+04 
       4.109398267602e-03       1.386952191037e+04 
       4.230995817841e-03       1.417375904971e+04 
       4.352980252834e-03       1.447369924752e+04 
       4.475323584041e-03       1.476929212259e+04 
       4.598000356129e-03       1.506050001199e+04 
       4.720987387539e-03       1.534728518680e+04 
       4.844263539566e-03       1.562958511787e+04 
       4.967809510823e-03       1.590751696327e+04 
       5.091607654273e-03       1.618097382203e+04 
       5.215641814274e-03       1.644992875580e+04 
       5.339897181355e-03       1.671445253889e+04 
       5.464360162701e-03       1.697463646464e+04 
       5.589018266553e-03       1.723037120033e+04 
       5.713859998914e-03       1.748169281308e+04 
       5.838874771167e-03       1.772857271234e+04 
       5.964052817353e-03       1.797106269599e+04 
       6.089385120027e-03       1.820922381968e+04 
       6.214863343703e-03       1.844303021337e+04 
       6.340479775063e-03       1.867263975964e+04 
       6.466227269158e-03       1.889795801686e+04 
       6.592099200954e-03       1.911901201607e+04 
       6.718089421627e-03       1.933594703065e+04 
       6.844192219108e-03       1.954876170063e+04 
       6.970402282399e-03       1.975747946192e+04 
       7.096714669287e-03       1.996209380780e+04 
       7.223124777073e-03       2.016301559901e+04 
       7.349628316016e-03       2.035961013421e+04 
       7.476221285211e-03       2.055224239796e+04 
       7.602899950647e-03       2.074094674906e+04 
       7.729660825229e-03       2.092577607140e+04 
       7.856500650570e-03       2.110679666534e+04 
       7.983416380370e-03       2.128400527495e+04 
       8.110405165237e-03       2.145745312302e+04 
       8.237464338802e-03       2.162717812834e+04 
       8.364591405011e-03       2.179322037407e+04 
       8.491784026480e-03       2.195559533619e+04 
       8.619040013809e-03       2.211438356469e+04 
       8.746357315773e-03       2.226959589963e+04 
       8.873734010315e-03       2.242133996644e+04 
       9.001168296245e-03       2.256952588189e+04 
       9.128658485615e-03       2.271427811227e+04 
       9.256202996680e-03       2.285562018687e+04 
       9.383800347418e-03       2.299355469851e+04 
       9.511449149536e-03       2.312821453526e+04 
       9.639148102949e-03       2.325951091150e+04 
       9.766895990667e-03       2.338760439578e+04 
       9.894691674067e-03       2.351240126453e+04 
       1.002253408852e-02       2.363404574605e+04 
       1.015042223935e-02       2.375254111566e+04 
       1.027835519806e-02       2.386792428122e+04 
       1.040633209886e-02       2.398025876638e+04 
       1.053435213544e-02       2.408942834856e+04 
       1.066241455798e-02       2.419567013723e+04 
       1.079051867037e-02       2.429890315863e+04 
       1.091866382758e-02       2.439921763968e+04 
       1.104684943331e-02       2.449659464683e+04 
       1.117507493777e-02       2.459111490360e+04 
       1.130333983551e-02       2.468284727442e+04 
       1.143164366361e-02       2.477170757115e+04 
       1.155998599980e-02       2.485780649357e+04 
       1.168836646082e-02       2.494112054532e+04 
       1.181678470085e-02       2.502174733186e+04 
       1.194524041011e-02       2.509961613810e+04 
       1.207373331345e-02       2.517497809316e+04 
       1.220226316914e-02       2.524760025352e+04 
       1.233082976771e-02       2.531774161211e+04 
       1.245943293085e-02       2.538526286653e+04 
       1.258807251042e-02       2.545024344615e+04 
       1.271674838753e-02       2.551277090735e+04 
       1.284546047165e-02       2.557276013622e+04 
       1.297420869982e-02       2.563033872234e+04 
       1.310299303593e-02       2.568555688323e+04 
       1.323181347000e-02       2.573835493731e+04 
       1.336067001758e-02       2.578880207740e+04 
       1.348956271916e-02       2.583702103960e+04 
       1.361849163962e-02       2.588281351376e+04 
       1.374745686776e-02       2.592638044853e+04 
       1.387645851583e-02       2.596773045218e+04 
       1.400549671914e-02       2.600688965130e+04 
       1.413457163568e-02       2.604382734282e+04 
       1.426368344579e-02       2.607860541189e+04 
       1.439283235185e-02       2.611127614649e+04 
       1.452201857801e-02       2.614185359244e+04 
       1.465124236998e-02       2.617043398886e+04 
       1.478050399477e-02       2.619679383664e+04 
       1.490980374055e-02       2.622123675114e+04 
       1.503914191649e-02       2.624365037951e+04 
       1.516851885262e-02       2.626409204032e+04 
       1.529793489974e-02       2.628264281058e+04 
       1.542739042934e-02       2.629922500297e+04 
       1.555688583354e-02       2.631393415822e+04 
       1.568642152506e-02       2.632683203255e+04 
       1.581599793720e-02       2.633773589087e+04 
       1.594561552387e-02       2.634690336109e+04 
       1.607527475962e-02       2.635429747536e+04 
       1.620497613966e-02       2.635984047601e+04 
       1.633472017995e-02       2.636378460952e+04 
       1.646450741732e-02       2.636585766523e+04 
       1.659433840952e-02       2.636621209031e+04 
       1.672421373539e-02       2.636495697813e+04 
       1.685413399496e-02       2.636212944952e+04 
       1.698409980968e-02       2.635751550867e+04 
       1.711411182252e-02       2.635137924080e+04 
       1.724417069823e-02       2.634363897811e+04 
       1.737427712352e-02       2.633436117229e+04 
       1.750443180729e-02       2.632345594902e+04 
       1.763463548089e-02       2.631110245751e+04 
       1.776488889837e-02       2.629732553226e+04 
       1.789519283678e-02       2.628118277138e+04 
       1.802554809644e-02       2.626504847472e+04 
       1.815595550127e-02       2.624689147042e+04 
       1.828641589913e-02       2.622724351912e+04 
       1.841693016213e-02       2.620616808154e+04 
       1.854749918703e-02       2.618377342561e+04 
       1.867812389562e-02       2.616002344361e+04 
       1.880880523506e-02       2.613492699217e+04 
       1.893954417839e-02       2.610860695381e+04 
       1.907034172487e-02       2.608094122394e+04 
       1.920119890050e-02       2.605208695657e+04 
       1.933211675843e-02       2.602185387524e+04 
       1.946309637948e-02       2.599040266087e+04 
       1.959413887265e-02       2.595706422462e+04 
       1.972524537560e-02       2.592321444701e+04 
       1.985641705523e-02       2.588905789299e+04 
       1.998765510823e-02       2.585210960911e+04 
       2.011896076165e-02       2.581470784771e+04 
       2.025033527351e-02       2.577665847452e+04 
       2.038177993342e-02       2.573723613898e+04 
       2.051329606322e-02       2.569739902561e+04 
       2.064488501761e-02       2.565480064005e+04 
       2.077654818491e-02       2.561322405385e+04 
       2.090828698770e-02       2.556912745552e+04 
       2.104010288355e-02       2.552499971053e+04 
       2.117199736584e-02       2.547944572211e+04 
       2.130397196444e-02       2.543272939458e+04 
       2.143602824659e-02       2.538528550857e+04 
       2.156816781772e-02       2.533622872286e+04 
       2.170039232223e-02       2.528755250603e+04 
       2.183270344447e-02       2.523724816248e+04 
       2.196510290959e-02       2.518533524879e+04 
       2.209759248447e-02       2.513321539127e+04 
       2.223017397874e-02       2.508135179640e+04 
       2.236284924571e-02       2.502670487101e+04 
       2.249562018344e-02       2.497266818829e+04 
       2.262848873579e-02       2.491804386302e+04 
       2.276145689350e-02       2.486108192104e+04 
       2.289452669534e-02       2.480436004878e+04 
       2.302770022926e-02       2.474659503636e+04 
       2.316097963357e-02       2.468936387675e+04 
       2.329436709820e-02       2.462950795761e+04 
       2.342786486599e-02       2.456967170914e+04 
       2.356147523395e-02       2.450961674083e+04 
       2.369520055467e-02       2.444913172199e+04 
       2.382904323771e-02       2.438745878005e+04 
       2.396300575101e-02       2.432431358695e+04 
       2.409709062243e-02       2.426134007210e+04 
       2.423130044126e-02       2.419865976380e+04 
       2.436563785981e-02       2.413453715145e+04 
       2.450010559505e-02       2.406966493210e+04 
       2.463470643030e-02       2.400359143814e+04 
       2.476944321701e-02       2.393857819142e+04 
       2.490431887652e-02       2.387153619997e+04 
       2.503933640195e-02       2.380452468690e+04 
       2.517449886011e-02       2.373767418044e+04 
       2.530980939351e-02       2.366914006631e+04 
       2.544527122242e-02       2.360092579635e+04 
       2.558088764695e-02       2.353243213936e+04 
       2.571666204932e-02       2.346304070593e+04 
       2.585259789606e-02       2.339317883158e+04 
       2.598869874043e-02       2.332220991931e+04 
       2.612496822479e-02       2.325187618967e+04 
       2.626141008315e-02       2.318084843182e+04 
       2.639802814375e-02       2.310904824966e+04 
       2.653482633179e-02       2.303706654631e+04 
       2.667180867218e-02       2.296463103679e+04 
       2.680897929245e-02       2.289206624400e+04 
       2.694634242572e-02       2.281917642909e+04 
       2.708390241383e-02       2.274593219559e+04 
       2.722166371052e-02       2.267206790435e+04 
       2.735963088478e-02       2.259826287626e+04 
       2.749780862426e-02       2.252389269403e+04 
       2.763620173891e-02       2.244939445155e+04 
       2.777481516462e-02       2.237450510934e+04 
       2.791365396712e-02       2.229931232183e+04 
       2.805272334595e-02       2.222391960168e+04 
       2.819202863860e-02       2.214829682189e+04 
       2.833157532483e-02       2.207225161798e+04 
       2.847136903114e-02       2.199657091175e+04 
       2.861141553539e-02       2.191969005115e+04 
       2.875172077165e-02       2.184353967410e+04 
       2.889229083520e-02       2.176643438858e+04 
       2.903313198777e-02       2.168921693596e+04 
       2.917425066292e-02       2.161206660552e+04 
       2.931565347172e-02       2.153456838902e+04 
       2.945734720864e-02       2.145691180267e+04 
       2.959933885760e-02       2.137927890769e+04 
       2.974163559839e-02       2.130133022407e+04 
       2.988424481331e-02       2.122325613209e+04 
       3.002717409404e-02       2.114501836553e+04 
       3.017043124888e-02       2.106670494622e+04 
       3.031402431026e-02       2.098859734626e+04 
       3.045796154258e-02       2.090967753415e+04 
       3.060225145038e-02       2.083122122114e+04 
       3.074690278690e-02       2.075245109931e+04 
       3.089192456299e-02       2.067365836634e+04 
       3.103732605643e-02       2.059463536938e+04 
       3.118311682167e-02       2.051556964815e+04 
       3.132930670002e-02       2.043646022429e+04 
       3.147590583029e-02       2.035712731662e+04 
       3.162292465996e-02       2.027770242161e+04 
       3.177037395682e-02       2.019832618954e+04 
       3.191826482121e-02       2.011865363338e+04 
       3.206660869881e-02       2.003916616050e+04 
       3.221541739407e-02       1.996003952445e+04 
       3.236470308429e-02       1.988061308948e+04 
       3.251447833436e-02       1.980052744582e+04 
       3.266475611228e-02       1.972094608149e+04 
       3.281554980543e-02       1.964126688221e+04 
       3.296687323765e-02       1.956167283346e+04 
       3.311874068724e-02       1.948199459850e+04 
       3.327116690583e-02       1.940233613651e+04 
       3.342416713829e-02       1.932256580105e+04 
       3.357775714363e-02       1.924290109535e+04 
       3.373195321710e-02       1.916320285989e+04 
       3.388677221338e-02       1.908362251379e+04 
       3.404223157108e-02       1.900406489029e+04 
       3.419834933865e-02       1.892428778868e+04 
       3.435514420157e-02       1.884460359070e+04 
       3.451263551126e-02       1.876512952569e+04 
       3.467084331546e-02       1.868556971446e+04 
       3.482978839052e-02       1.860597330425e+04 
       3.498949227540e-02       1.852640761973e+04 
       3.514997730782e-02       1.844677641138e+04 
       3.531126666245e-02       1.836733291906e+04 
       3.547338439148e-02       1.828774216609e+04 
       3.563635546762e-02       1.820845241734e+04 
       3.580020582970e-02       1.812903591490e+04 
       3.596496243128e-02       1.804963555012e+04 
       3.613065329211e-02       1.797049477214e+04 
       3.629730755308e-02       1.789124145478e+04 
       3.646495553458e-02       1.781191608243e+04 
       3.663362879879e-02       1.773274139825e+04 
       3.680336021604e-02       1.765357739815e+04 
       3.697418403568e-02       1.757451487115e+04 
       3.714613596173e-02       1.749549819398e+04 
       3.731925323382e-02       1.741639309745e+04 
       3.749357471377e-02       1.733741538035e+04 
       3.766914097824e-02       1.725848070605e+04 
       3.784599441819e-02       1.717954428475e+04 
       3.802417934550e-02       1.710067351489e+04 
       3.820374210746e-02       1.702185927355e+04 
       3.838473120993e-02       1.694315584891e+04 
       3.856719744981e-02       1.686420140060e+04 
       3.875119405779e-02       1.678557836136e+04 
       3.893677685229e-02       1.670672562451e+04 
       3.912400440560e-02       1.662807953257e+04 
       3.931293822354e-02       1.654953251697e+04 
       3.950364293979e-02       1.647074142724e+04 
       3.969618652649e-02       1.639202755580e+04 
       3.989064052263e-02       1.631349633033e+04 
       4.008708028214e-02       1.623482487415e+04 
       4.028558524371e-02       1.615597351503e+04 
       4.048623922458e-02       1.607753821833e+04 
       4.068913074096e-02       1.599884241502e+04 
       4.089435335797e-02       1.592003414711e+04 
       4.110200607235e-02       1.584130723353e+04 
       4.131219373167e-02       1.576251376273e+04 
       4.152502749425e-02       1.568379273501e+04 
       4.174062533462e-02       1.560497948466e+04 
       4.195911259984e-02       1.552596100593e+04 
       4.218062262302e-02       1.544695911655e+04 
       4.240529740096e-02       1.536788192537e+04 
       4.263328834424e-02       1.528865301235e+04 
       4.286475710889e-02       1.520939234302e+04 
       4.309987652053e-02       1.513000324823e+04 
       4.333883160326e-02       1.505049953992e+04 
       4.358182072776e-02       1.497071955345e+04 
       4.382905689520e-02       1.489073179678e+04 
       4.408076917642e-02       1.481067632391e+04 
       4.433720432894e-02       1.473033101630e+04 
       4.459862861848e-02       1.465015184032e+04 
       4.486532987604e-02       1.456930358774e+04 
