# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.455064759598e-10       3.411359240825e-15       3.325590329155e-13       0.000000000000e+00       8.683011774946e-09       4.754932341176e-10      -1.698619140086e-12 
    3       1.378578693564e-10       3.775956586390e-15       3.538025467068e-13       0.000000000000e+00       5.352493548520e-09       3.365905290362e-10      -1.169962127168e-12 
    4       1.307488898466e-10       2.797056391790e-15       3.150498712074e-13       0.000000000000e+00       3.720638341715e-09       2.544044524106e-10      -6.668188060768e-13 
    5       1.255282447161e-10       1.607334924282e-15       2.567761436662e-13       0.000000000000e+00       2.776542249611e-09       2.005964885664e-10      -2.890725539042e-13 
    6       1.220180155346e-10       8.269462853747e-16       1.996601301191e-13       0.000000000000e+00       2.169034841508e-09       1.630508720709e-10      -5.092782411262e-14 
    7       1.198464649343e-10       4.777549707964e-16       1.542038938092e-13       0.000000000000e+00       1.750180201069e-09       1.357077267367e-10       6.645251101253e-14 
    8       1.186203639707e-10       3.476282060294e-16       1.233851571381e-13       0.000000000000e+00       1.446878171254e-09       1.150656708919e-10       9.682657526225e-14 
    9       1.180976205401e-10       2.802405104303e-16       1.061245246687e-13       0.000000000000e+00       1.218772549950e-09       9.896198959932e-11       7.675916396097e-14 
   10       1.180910117831e-10       2.305918451464e-16       9.952720877000e-14       0.000000000000e+00       1.041965357217e-09       8.611284606914e-11       3.766071133423e-14 
   11       1.184785868205e-10       2.026426841539e-16       1.003073070832e-13       0.000000000000e+00       8.783939919000e-10       7.606846648627e-11       1.922860522861e-15 
   12       1.192226303806e-10       1.980935202265e-16       1.056151452485e-13       0.000000000000e+00       7.676053144141e-10       6.737611103313e-11      -2.079859601732e-14 
   13       1.201922173072e-10       2.102342036942e-16       1.132829116237e-13       0.000000000000e+00       6.766515658750e-10       6.014445477325e-11      -2.799658486674e-14 
   14       1.213123677538e-10       2.350461529399e-16       1.220110721481e-13       0.000000000000e+00       6.009651891423e-10       5.382712208175e-11      -2.396698168382e-14 
   15       1.226148419656e-10       2.742038614643e-16       1.313428158482e-13       0.000000000000e+00       5.372520871439e-10       4.851816574398e-11      -1.473719888597e-14 
   16       1.241201099737e-10       3.301642438130e-16       1.411391420140e-13       0.000000000000e+00       4.830767042924e-10       4.404047576600e-11      -6.017733756642e-15 
   17       1.256735303138e-10       4.031925982835e-16       1.514369757850e-13       0.000000000000e+00       4.365990318131e-10       4.019522903667e-11      -1.180244326992e-15 
   18       1.273369335572e-10       4.924720131212e-16       1.623647010566e-13       0.000000000000e+00       3.962544903427e-10       3.674647411534e-11      -1.040858584919e-15 
   19       1.291300193187e-10       5.980346732699e-16       1.738504202922e-13       0.000000000000e+00       3.614045672457e-10       3.368514183004e-11      -4.251531121611e-15 
   20       1.309753903376e-10       7.198960898021e-16       1.856601668286e-13       0.000000000000e+00       3.307077955047e-10       3.100826826499e-11      -8.424812935776e-15 
   21       1.328875669740e-10       8.583703650719e-16       1.974392192558e-13       0.000000000000e+00       3.036829973238e-10       2.867477812350e-11      -1.188371960472e-14 
   22       1.348752247917e-10       1.013851984001e-15       2.087609500243e-13       0.000000000000e+00       2.796844056856e-10       2.658920775154e-11      -1.324972240436e-14 
   23       1.369273294066e-10       1.187427779493e-15       2.194017208900e-13       0.000000000000e+00       2.583825553313e-10       2.470606739856e-11      -1.265161167027e-14 
   24       1.390082891417e-10       1.380480173681e-15       2.292186177910e-13       0.000000000000e+00       2.392855208627e-10       2.297782723330e-11      -1.088931000237e-14 
   25       1.411381669869e-10       1.594562819772e-15       2.381867859233e-13       0.000000000000e+00       2.221693449672e-10       2.141022438809e-11      -8.864741174639e-15 
   26       1.433346290456e-10       1.831276268257e-15       2.463416338358e-13       0.000000000000e+00       2.067249889788e-10       2.000871557882e-11      -7.510305964220e-15 
   27       1.455848364123e-10       2.091882836092e-15       2.537359758935e-13       0.000000000000e+00       1.927675114597e-10       1.875466020102e-11      -7.018877584875e-15 
   28       1.478578194501e-10       2.377518033771e-15       2.604207828025e-13       0.000000000000e+00       1.800565013578e-10       1.761312122733e-11      -7.292540124893e-15 
   29       1.501607732880e-10       2.689290666171e-15       2.663270604065e-13       0.000000000000e+00       1.685271710007e-10       1.657290010777e-11      -8.052973243968e-15 
   30       1.525011385707e-10       3.028266712158e-15       2.713380286961e-13       0.000000000000e+00       1.580558314420e-10       1.561913169980e-11      -8.880018972324e-15 
   31       1.548751947449e-10       3.395470698964e-15       2.753245921344e-13       0.000000000000e+00       1.484290491126e-10       1.472950680128e-11      -9.337235805098e-15 
   32       1.572857812638e-10       3.791920887577e-15       2.781665731089e-13       0.000000000000e+00       1.395972751949e-10       1.390287026138e-11      -9.368895327417e-15 
   33       1.597283412954e-10       4.218598639182e-15       2.797374791983e-13       0.000000000000e+00       1.314982552958e-10       1.313983352896e-11      -9.051624440692e-15 
   34       1.621918507644e-10       4.676451819504e-15       2.799270970488e-13       0.000000000000e+00       1.240188780249e-10       1.243640708367e-11      -8.500826054142e-15 
