# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                 
    2       1.484017894299e-10       5.424686977290e-15       4.245372026643e-13       0.000000000000e+00 
    3       1.400403975385e-10       8.217477379465e-15       5.168032733198e-13       0.000000000000e+00 
    4       1.319174792345e-10       8.929181806635e-15       5.273654678972e-13       0.000000000000e+00 
    5       1.255548443005e-10       8.089341378895e-15       4.948489697599e-13       0.000000000000e+00 
    6       1.208923359974e-10       6.550264910816e-15       4.428759785481e-13       0.000000000000e+00 
    7       1.176039318237e-10       4.953753553158e-15       3.865151266605e-13       0.000000000000e+00 
    8       1.153775005471e-10       3.610499810887e-15       3.338984298760e-13       0.000000000000e+00 
    9       1.139637085752e-10       2.601150800530e-15       2.890587678144e-13       0.000000000000e+00 
   10       1.131714104478e-10       1.895323045873e-15       2.535230565874e-13       0.000000000000e+00 
   11       1.128892784138e-10       1.426842823782e-15       2.271743509896e-13       0.000000000000e+00 
   12       1.130157654583e-10       1.129586001442e-15       2.089587944356e-13       0.000000000000e+00 
   13       1.134583277823e-10       9.510508240617e-16       1.974345138298e-13       0.000000000000e+00 
   14       1.141264131546e-10       8.544060573813e-16       1.911742545228e-13       0.000000000000e+00 
   15       1.150278699827e-10       8.149461355690e-16       1.889383227322e-13       0.000000000000e+00 
   16       1.161415840264e-10       8.157475484067e-16       1.896474004815e-13       0.000000000000e+00 
   17       1.173774189604e-10       8.452658288367e-16       1.924965402725e-13       0.000000000000e+00 
   18       1.187344026338e-10       8.959719045865e-16       1.970145645480e-13       0.000000000000e+00 
   19       1.202238820199e-10       9.652078848003e-16       2.029097778486e-13       0.000000000000e+00 
   20       1.217935767539e-10       1.050550942046e-15       2.097183634132e-13       0.000000000000e+00 
   21       1.234520284555e-10       1.152734373457e-15       2.171569249642e-13       0.000000000000e+00 
   22       1.251929954585e-10       1.273311824671e-15       2.248956285135e-13       0.000000000000e+00 
   23       1.270065026728e-10       1.414115241153e-15       2.326317745917e-13       0.000000000000e+00 
   24       1.288631101236e-10       1.576939304225e-15       2.400295343202e-13       0.000000000000e+00 
