# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                 
    2       1.562309105261e-10       1.794226080252e-14       8.208236921980e-13       0.000000000000e+00 
    3       1.482018499038e-10       4.560520386246e-14       1.270599655847e-12       0.000000000000e+00 
    4       1.389857126713e-10       8.143431510324e-14       1.577258556766e-12       0.000000000000e+00 
    5       1.305227859503e-10       1.203607178470e-13       1.754646691288e-12       0.000000000000e+00 
    6       1.230787829746e-10       1.571144347943e-13       1.828580445112e-12       0.000000000000e+00 
    7       1.165794118515e-10       1.873088012407e-13       1.826972214284e-12       0.000000000000e+00 
    8       1.108986307165e-10       2.079570671564e-13       1.774155733436e-12       0.000000000000e+00 
    9       1.059605267176e-10       2.176745257518e-13       1.689608399989e-12       0.000000000000e+00 
   10       1.016986969508e-10       2.165686095134e-13       1.587403111185e-12       0.000000000000e+00 
   11       9.802410692592e-11       2.059327368483e-13       1.476436086235e-12       0.000000000000e+00 
   12       9.491575359590e-11       1.878467114020e-13       1.361529167850e-12       0.000000000000e+00 
   13       9.229162532423e-11       1.647839828882e-13       1.245323566040e-12       0.000000000000e+00 
   14       9.009242750069e-11       1.392596232435e-13       1.129204249355e-12       0.000000000000e+00 
   15       8.831855904855e-11       1.135298915450e-13       1.013533938514e-12       0.000000000000e+00 
   16       8.689530881423e-11       8.939017580858e-14       8.983961578643e-13       0.000000000000e+00 
   17       8.580575943533e-11       6.808626015048e-14       7.843623712332e-13       0.000000000000e+00 
   18       8.499576205507e-11       5.030367524935e-14       6.721824862265e-13       0.000000000000e+00 
   19       8.444700823438e-11       3.632161771320e-14       5.637011638483e-13       0.000000000000e+00 
   20       8.409183432467e-11       2.592627712446e-14       4.601297720399e-13       0.000000000000e+00 
   21       8.392625519621e-11       1.877688037427e-14       3.635562488645e-13       0.000000000000e+00 
   22       8.392807704101e-11       1.422681297721e-14       2.757930295075e-13       0.000000000000e+00 
   23       8.407170333030e-11       1.173652825905e-14       1.988781379904e-13       0.000000000000e+00 
   24       8.430821514451e-11       1.064929461017e-14       1.343270871504e-13       0.000000000000e+00 
   25       8.462982182583e-11       1.050326443800e-14       8.302257451003e-14       0.000000000000e+00 
   26       8.502533670516e-11       1.083475090693e-14       4.506782733281e-14       0.000000000000e+00 
   27       8.548399778113e-11       1.137522357613e-14       2.029077816147e-14       0.000000000000e+00 
   28       8.598606430603e-11       1.190686515868e-14       7.945440963081e-15       0.000000000000e+00 
   29       8.653068753843e-11       1.235745795922e-14       7.274546376514e-15       0.000000000000e+00 
   30       8.711133562921e-11       1.269379328883e-14       1.691938068587e-14       0.000000000000e+00 
   31       8.771281834505e-11       1.289073049687e-14       3.494594019682e-14       0.000000000000e+00 
   32       8.833893849848e-11       1.297847332202e-14       5.989124240760e-14       0.000000000000e+00 
   33       8.899310625827e-11       1.301452790075e-14       9.001721109698e-14       0.000000000000e+00 
   34       8.967257124647e-11       1.305969344801e-14       1.232287956249e-13       0.000000000000e+00 
   35       9.037682798783e-11       1.313283866145e-14       1.578911808468e-13       0.000000000000e+00 
   36       9.110071262652e-11       1.324072281835e-14       1.922496735648e-13       0.000000000000e+00 
   37       9.183644075768e-11       1.338711957224e-14       2.244785653304e-13       0.000000000000e+00 
   38       9.259088117848e-11       1.356352195302e-14       2.536654795334e-13       0.000000000000e+00 
   39       9.337314010903e-11       1.375498215300e-14       2.791406998989e-13       0.000000000000e+00 
   40       9.418948726021e-11       1.394220867099e-14       3.002157642429e-13       0.000000000000e+00 
   41       9.504295141486e-11       1.410507237984e-14       3.162863411328e-13       0.000000000000e+00 
   42       9.593279591037e-11       1.423523115371e-14       3.271769605329e-13       0.000000000000e+00 
   43       9.685427931185e-11       1.432710123915e-14       3.329114293751e-13       0.000000000000e+00 
   44       9.779834325584e-11       1.437435824830e-14       3.336299107702e-13       0.000000000000e+00 
   45       9.875521828423e-11       1.437272228507e-14       3.295732098705e-13       0.000000000000e+00 
   46       9.972736594309e-11       1.432940486266e-14       3.210094472596e-13       0.000000000000e+00 
   47       1.007198001609e-10       1.425641504925e-14       3.083003208879e-13       0.000000000000e+00 
   48       1.017363366569e-10       1.416809549596e-14       2.919307871598e-13       0.000000000000e+00 
