# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ncdm[0]        13:(.)p_ncdm[0]          14:(.)rho_lambda         15:(.)rho_ur             16:(.)rho_crit           17:gr.fac. D             18:gr.fac. f          
       1.000000000000e+14       7.558501265826e-26       4.634785000235e-09       2.157546622128e+22       1.417360624252e+04       1.417360624252e-10       1.417360624252e+18       2.675957327032e-09       2.751560535470e+44       2.451390603497e+33       1.331842117096e+34       1.899441285023e+44       6.331470950076e+43       3.493499587214e-08       4.005606003904e+41       4.655007426654e+44       5.610867181254e-20       2.000000000000e+14 
       9.930486593843e+13       7.664690650110e-26       4.667526809499e-09       2.127655194303e+22       1.417360624252e+04       1.427282148622e-10       1.407508067778e+18       2.694689028322e-09       2.675846458098e+44       2.400623788821e+33       1.304260473502e+34       1.847174782955e+44       6.157249276517e+43       3.493499587214e-08       3.895384637160e+41       4.526916625845e+44       7.827848436568e-08       1.433565615564e+02 
       9.861456399050e+13       7.772371889053e-26       4.700268618762e-09       2.098177893083e+22       1.417360624252e+04       1.437273123662e-10       1.397723999779e+18       2.713551851520e-09       2.602215788102e+44       2.350908324129e+33       1.277250029041e+34       1.796346486564e+44       5.987821621879e+43       3.493499587214e-08       3.788196207173e+41       4.402350471024e+44       1.565569687313e-07       7.167828077820e+01 
       9.792906056653e+13       7.881565941723e-26       4.733010428026e-09       2.069108981009e+22       1.417360624252e+04       1.447334035528e-10       1.388007944170e+18       2.732546714480e-09       2.530611196824e+44       2.302222436600e+33       1.250798954525e+34       1.746916821064e+44       5.823056070214e+43       3.493499587214e-08       3.683957257301e+41       4.281211975294e+44       2.348354530969e-07       4.778552051880e+01 
       9.724832231036e+13       7.992294061638e-26       4.765752237290e-09       2.040442800111e+22       1.417360624252e+04       1.457465373777e-10       1.378359428173e+18       2.751674541482e-09       2.460976933110e+44       2.254544804314e+33       1.224895665743e+34       1.698847300643e+44       5.662824335475e+43       3.493499587214e-08       3.582586627356e+41       4.163406820525e+44       3.131139374625e-07       3.583914038910e+01 
       9.657231609767e+13       8.104577800910e-26       4.798494046554e-09       2.012173770805e+22       1.417360624252e+04       1.467667631393e-10       1.368777982297e+18       2.770936263272e-09       2.393258779894e+44       2.207854546917e+33       1.199528818382e+34       1.652100498490e+44       5.507001661632e+43       3.493499587214e-08       3.484005390419e+41       4.048843283916e+44       3.913924218281e-07       2.867131231128e+01 
       9.590100903443e+13       8.218439014435e-26       4.833054845221e-09       1.984296390811e+22       1.417360624252e+04       1.477941304813e-10       1.359263140315e+18       2.790332817115e-09       2.327404011992e+44       2.162131216471e+33       1.174687303066e+34       1.606640017662e+44       5.355466725541e+43       3.493499587214e-08       3.388136791385e+41       3.937432166585e+44       4.696709061937e-07       2.389276025940e+01 
       9.523436845525e+13       8.333899864148e-26       4.867615643889e-09       1.956805234078e+22       1.417360624252e+04       1.488286893946e-10       1.349814439240e+18       2.809865146834e-09       2.263361355047e+44       2.117354788506e+33       1.150360240487e+34       1.562430462743e+44       5.208101542478e+43       3.493499587214e-08       3.294906187201e+41       3.829086724113e+44       5.479493905592e-07       2.047950879377e+01 
       9.457236192179e+13       8.450982823340e-26       4.900357453153e-09       1.929694949729e+22       1.417360624252e+04       1.498704902204e-10       1.340431419305e+18       2.829534202862e-09       2.201080945604e+44       2.073505653244e+33       1.126536976640e+34       1.519437412284e+44       5.064791374280e+43       3.493499587214e-08       3.204240988754e+41       3.723722599010e+44       6.262278749248e-07       1.791957019455e+01 
       9.391495722125e+13       8.569710681025e-26       4.934918251820e-09       1.902960261022e+22       1.417360624252e+04       1.509195836519e-10       1.331113623937e+18       2.849340942282e-09       2.140514292293e+44       2.030564607016e+33       1.103207078158e+34       1.477627392002e+44       4.925424640007e+43       3.493499587214e-08       3.116070604344e+41       3.621257755030e+44       7.045063592904e-07       1.592850683960e+01 
