# Matter power spectrum P(k) at redshift z=0
# for k=1.04437e-05 to 8.47306 h/Mpc,
# number of wavenumbers equal to 612
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.044373177903e-05       5.248144226932e+01 
       2.330863537068e-05       1.136000880051e+02 
       3.621868663117e-05       1.735777686747e+02 
       4.920853451248e-05       2.330878591593e+02 
       6.231339980672e-05       2.925092915762e+02 
       7.556938842102e-05       3.521234639244e+02 
       8.901381464780e-05       4.121693337943e+02 
       1.026855387201e-04       4.728659008188e+02 
       1.166253229746e-04       5.344236910016e+02 
       1.308762109776e-04       5.970516594633e+02 
       1.454839339779e-04       6.609619364107e+02 
       1.604973489896e-04       7.263735051104e+02 
       1.759689126343e-04       7.935152970409e+02 
       1.919551945090e-04       8.626290120836e+02 
       2.085174331949e-04       9.339718082331e+02 
       2.257221369641e-04       1.007818934309e+03 
       2.436417296000e-04       1.084466377888e+03 
       2.623552393076e-04       1.164233525831e+03 
       2.819490251928e-04       1.247465818372e+03 
       3.025175308975e-04       1.334537369708e+03 
       3.241640483247e-04       1.425853453491e+03 
       3.470014655728e-04       1.521852755730e+03 
       3.711529618447e-04       1.623009196437e+03 
       3.967525979545e-04       1.729833114849e+03 
       4.239457341305e-04       1.842871504768e+03 
       4.528891876214e-04       1.962706920985e+03 
       4.837510224735e-04       2.089954633914e+03 
       5.167098452353e-04       2.225257504137e+03 
       5.519534672995e-04       2.369278067673e+03 
       5.896767928497e-04       2.522687309129e+03 
       6.300788082150e-04       2.686149756218e+03 
       6.733585917181e-04       2.860304735887e+03 
       7.197103392683e-04       3.045743966619e+03 
       7.693175119673e-04       3.242986271088e+03 
       8.223463515743e-04       3.452450559902e+03 
       8.789391602777e-04       3.674429206278e+03 
       9.392078736640e-04       3.909063915754e+03 
       1.003228533781e-03       4.156326953495e+03 
       1.071037259171e-03       4.416009973085e+03 
       1.142628192868e-03       4.687722234565e+03 
       1.217953696304e-03       4.970898998435e+03 
       1.296926784502e-03       5.264819582766e+03 
       1.379425523210e-03       5.568618725721e+03 
       1.465298890741e-03       5.881332133653e+03 
       1.554373487338e-03       6.201969463355e+03 
       1.646460465116e-03       6.529481387876e+03 
       1.741362135232e-03       6.862814692874e+03 
       1.838877851048e-03       7.200937295529e+03 
       1.938808927383e-03       7.542857750763e+03 
       2.040962504488e-03       7.887639616021e+03 
       2.145154381719e-03       8.234410895252e+03 
       2.251210923456e-03       8.582369407638e+03 
       2.358970181254e-03       8.930784735737e+03 
       2.468282389267e-03       9.278996805221e+03 
       2.579009983657e-03       9.626413743179e+03 
       2.691027279241e-03       9.972509781178e+03 
       2.804219914343e-03       1.031681654214e+04 
       2.918484151863e-03       1.065892353429e+04 
       3.033726103536e-03       1.099847001735e+04 
       3.149860926338e-03       1.133514026964e+04 
       3.266812025326e-03       1.166866085229e+04 
       3.384510285802e-03       1.199879528317e+04 
       3.502893349042e-03       1.232533942582e+04 
       3.621904939533e-03       1.264811783742e+04 
       3.741494247176e-03       1.296698401006e+04 
       3.861615364856e-03       1.328180846794e+04 
       3.982226779769e-03       1.359248954249e+04 
       4.103290915627e-03       1.389893496473e+04 
       4.224773722193e-03       1.420107421745e+04 
       4.346644308240e-03       1.449884925913e+04 
       4.468874613990e-03       1.479221394890e+04 
       4.591439119167e-03       1.508113297862e+04 
       4.714314583002e-03       1.536557828739e+04 
       4.837479812791e-03       1.564553085225e+04 
       4.960915457882e-03       1.592097995647e+04 
       5.084603826267e-03       1.619194574705e+04 
       5.208528721218e-03       1.645841135683e+04 
       5.332675295699e-03       1.672039503189e+04 
       5.457029922526e-03       1.697790560665e+04 
       5.581580078455e-03       1.723095369522e+04 
       5.706314240622e-03       1.747956943834e+04 
       5.831221793918e-03       1.772377343903e+04 
       5.956292948043e-03       1.796358944632e+04 
       6.081518663161e-03       1.819904448101e+04 
       6.206890583171e-03       1.843018140249e+04 
       6.332400975749e-03       1.865701718522e+04 
       6.458042678406e-03       1.887959275017e+04 
       6.583809049900e-03       1.909795030114e+04 
       6.709693926418e-03       1.931209873154e+04 
       6.835691582006e-03       1.952210424140e+04 
       6.961796692795e-03       1.972798717245e+04 
       7.088004304625e-03       1.992980053575e+04 
       7.214309803691e-03       2.012757158633e+04 
       7.340708889925e-03       2.032134183640e+04 
       7.467197552800e-03       2.051116242231e+04 
       7.593772049333e-03       2.069706302421e+04 
       7.720428884055e-03       2.087908410726e+04 
       7.847164790751e-03       2.105727788514e+04 
       7.973976715797e-03       2.123168273632e+04 
       8.100861802942e-03       2.140233789751e+04 
