# Matter power spectrum P(k) at redshift z=1
# for k=1.04437e-05 to 8.47306 h/Mpc,
# number of wavenumbers equal to 612
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.044373177903e-05       1.937150503195e+01 
       2.330863537068e-05       4.193113617713e+01 
       3.621868663117e-05       6.406970162694e+01 
       4.920853451248e-05       8.603579210256e+01 
       6.231339980672e-05       1.079693211587e+02 
       7.556938842102e-05       1.299742018152e+02 
       8.901381464780e-05       1.521386851314e+02 
       1.026855387201e-04       1.745436646064e+02 
       1.166253229746e-04       1.972669107527e+02 
       1.308762109776e-04       2.203856219041e+02 
       1.454839339779e-04       2.439781801949e+02 
       1.604973489896e-04       2.681134126045e+02 
       1.759689126343e-04       2.928977322261e+02 
       1.919551945090e-04       3.184104708780e+02 
       2.085174331949e-04       3.447466611997e+02 
       2.257221369641e-04       3.720080325001e+02 
       2.436417296000e-04       4.003039917510e+02 
       2.623552393076e-04       4.297526073136e+02 
       2.819490251928e-04       4.604815948163e+02 
       3.025175308975e-04       4.926292880915e+02 
       3.241640483247e-04       5.263455615768e+02 
       3.470014655728e-04       5.617926650214e+02 
       3.711529618447e-04       5.991459030899e+02 
       3.967525979545e-04       6.385940734413e+02 
       4.239457341305e-04       6.803395552489e+02 
       4.528891876214e-04       7.245979060104e+02 
       4.837510224735e-04       7.715968043420e+02 
       5.167098452353e-04       8.215741464564e+02 
       5.519534672995e-04       8.747751086496e+02 
       5.896767928497e-04       9.314479752975e+02 
       6.300788082150e-04       9.918386092100e+02 
       6.733585917181e-04       1.056183490342e+03 
       7.197103392683e-04       1.124701411289e+03 
       7.693175119673e-04       1.197584114256e+03 
       8.223463515743e-04       1.274986314507e+03 
       8.789391602777e-04       1.357015879122e+03 
       9.392078736640e-04       1.443724983749e+03 
       1.003228533781e-03       1.535103237231e+03 
       1.071037259171e-03       1.631073630530e+03 
       1.142628192868e-03       1.731491913502e+03 
       1.217953696304e-03       1.836149675589e+03 
       1.296926784502e-03       1.944780887848e+03 
       1.379425523210e-03       2.057065933815e+03 
       1.465298890741e-03       2.172648298477e+03 
       1.554373487338e-03       2.291161438457e+03 
       1.646460465116e-03       2.412216630066e+03 
       1.741362135232e-03       2.535423511134e+03 
       1.838877851048e-03       2.660399490768e+03 
       1.938808927383e-03       2.786777170731e+03 
       2.040962504488e-03       2.914209705881e+03 
       2.145154381719e-03       3.042374306171e+03 
       2.251210923456e-03       3.170974155911e+03 
       2.358970181254e-03       3.299739093373e+03 
       2.468282389267e-03       3.428425020559e+03 
       2.579009983657e-03       3.556813142049e+03 
       2.691027279241e-03       3.684709134065e+03 
       2.804219914343e-03       3.811939971894e+03 
       2.918484151863e-03       3.938354021334e+03 
       3.033726103536e-03       4.063818026603e+03 
       3.149860926338e-03       4.188215348053e+03 
       3.266812025326e-03       4.311444905796e+03 
       3.384510285802e-03       4.433419084260e+03 
       3.502893349042e-03       4.554062386536e+03 
       3.621904939533e-03       4.673309764324e+03 
       3.741494247176e-03       4.791106918950e+03 
       3.861615364856e-03       4.907405915094e+03 
       3.982226779769e-03       5.022169038051e+03 
       4.103290915627e-03       5.135362205427e+03 
       4.224773722193e-03       5.246959307222e+03 
       4.346644308240e-03       5.356939033355e+03 
       4.468874613990e-03       5.465284386237e+03 
       4.591439119167e-03       5.571982344596e+03 
       4.714314583002e-03       5.677023324392e+03 
       4.837479812791e-03       5.780402431843e+03 
       4.960915457882e-03       5.882114046298e+03 
       5.084603826267e-03       5.982159795680e+03 
       5.208528721218e-03       6.080539464073e+03 
       5.332675295699e-03       6.177256748490e+03 
       5.457029922526e-03       6.272317599960e+03 
       5.581580078455e-03       6.365726252141e+03 
       5.706314240622e-03       6.457493439826e+03 
       5.831221793918e-03       6.547627229604e+03 
       5.956292948043e-03       6.636136196555e+03 
       6.081518663161e-03       6.723029873701e+03 
       6.206890583171e-03       6.808330487315e+03 
       6.332400975749e-03       6.892034301030e+03 
       6.458042678406e-03       6.974158691782e+03 
       6.583809049900e-03       7.054722044354e+03 
       6.709693926418e-03       7.133726635447e+03 
       6.835691582006e-03       7.211196826581e+03 
       6.961796692795e-03       7.287139949711e+03 
       7.088004304625e-03       7.361575355506e+03 
       7.214309803691e-03       7.434512875581e+03 
       7.340708889925e-03       7.505967684817e+03 
       7.467197552800e-03       7.575958498543e+03 
       7.593772049333e-03       7.644496095791e+03 
       7.720428884055e-03       7.711595290467e+03 
       7.847164790751e-03       7.777275128643e+03 
       7.973976715797e-03       7.841549590176e+03 
       8.100861802942e-03       7.904433008593e+03 
       8.227817379383e-03       7.965940731101e+03 
