# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.495437887228e-10       7.309026172909e-15       4.815171199973e-13       0.000000000000e+00       8.628903610502e-09       4.854772125568e-10      -2.515854151608e-12 
    3       1.409365943207e-10       1.238791651651e-14       6.068719691967e-13       0.000000000000e+00       5.411291721119e-09       3.469573586124e-10      -2.211507031143e-12 
    4       1.324622774412e-10       1.446512635930e-14       6.277976520589e-13       0.000000000000e+00       3.776588552842e-09       2.639785050800e-10      -1.764116067069e-12 
    5       1.257504767410e-10       1.337853519882e-14       5.879551647007e-13       0.000000000000e+00       2.821984230406e-09       2.093815838907e-10      -1.309529286440e-12 
    6       1.208053913279e-10       1.032310747924e-14       5.173990841433e-13       0.000000000000e+00       2.205212283267e-09       1.709429029525e-10      -8.948468925703e-13 
    7       1.173297571952e-10       6.841600365875e-15       4.365335862025e-13       0.000000000000e+00       1.778233642878e-09       1.425663901572e-10      -5.443860557786e-13 
    8       1.150037074219e-10       4.042374146248e-15       3.576623511461e-13       0.000000000000e+00       1.468351550894e-09       1.208855287032e-10      -2.689334595334e-13 
    9       1.135829010686e-10       2.336357197399e-15       2.880590507285e-13       0.000000000000e+00       1.235838580740e-09       1.038809734705e-10      -7.009986708542e-14 
   10       1.128526891638e-10       1.571653533684e-15       2.317799681314e-13       0.000000000000e+00       1.056623420807e-09       9.029297741489e-11       5.745597583813e-14 
   11       1.126728149676e-10       1.345905907612e-15       1.905574141812e-13       0.000000000000e+00       8.886898865580e-10       7.950622630831e-11       1.233291887550e-13 
   12       1.129346479110e-10       1.288312421111e-15       1.640636562035e-13       0.000000000000e+00       7.765278493754e-10       7.028426674900e-11       1.421600855630e-13 
   13       1.135181529530e-10       1.200674797098e-15       1.505300362986e-13       0.000000000000e+00       6.844563326348e-10       6.274647515017e-11       1.277329346315e-13 
   14       1.143248537082e-10       1.054790798616e-15       1.474046706925e-13       0.000000000000e+00       6.078507021669e-10       5.620932691003e-11       9.279532789693e-14 
   15       1.153611556198e-10       9.105397339892e-16       1.516730192388e-13       0.000000000000e+00       5.433693949772e-10       5.074770640575e-11       4.959311332664e-14 
