# Matter power spectrum P(k) at redshift z=0
# for k=1.04437e-05 to 1.08871 h/Mpc,
# number of wavenumbers equal to 603
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.044373164702e-05       5.248151780982e+01 
       2.330863079174e-05       1.136002154754e+02 
       3.621867756780e-05       1.735779521311e+02 
       4.920852089118e-05       2.330880964391e+02 
       6.231338151706e-05       2.925095789050e+02 
       7.556936531419e-05       3.521238030728e+02 
       8.901378653462e-05       4.121697191927e+02 
       1.026855053684e-04       4.728663292576e+02 
       1.166252841059e-04       5.344241589380e+02 
       1.308761662632e-04       5.970521598742e+02 
       1.454838830341e-04       6.609624662447e+02 
       1.604972913723e-04       7.263740557857e+02 
       1.759688478325e-04       7.935158593200e+02 
       1.919551219372e-04       8.626295784202e+02 
       2.085173521843e-04       9.339723643662e+02 
       2.257220467534e-04       1.007819466966e+03 
       2.436416293239e-04       1.084466870123e+03 
       2.623551279844e-04       1.164233956137e+03 
       2.819489017107e-04       1.247466162607e+03 
       3.025173939994e-04       1.334537598114e+03 
       3.241638965918e-04       1.425853529790e+03 
       3.470012974069e-04       1.521852638469e+03 
       3.711527754502e-04       1.623008831912e+03 
       3.967523913204e-04       1.729832440313e+03 
       4.239455050124e-04       1.842870441484e+03 
       4.528889335270e-04       1.962705376330e+03 
       4.837507406505e-04       2.089952492281e+03 
       5.167095326656e-04       2.225254625576e+03 
       5.519531207021e-04       2.369274281254e+03 
       5.896764086937e-04       2.522682407214e+03 
       6.300783827469e-04       2.686143485466e+03 
       6.733581210050e-04       2.860296794912e+03 
       7.197098192591e-04       3.045733981784e+03 
       7.693169385710e-04       3.242973785918e+03 
       8.223457207545e-04       3.452435044113e+03 
       8.789384681578e-04       3.674410008066e+03 
       9.392071166369e-04       3.909040283315e+03 
       1.003227708614e-03       4.156298002205e+03 
       1.071036363096e-03       4.415974651347e+03 
       1.142627223650e-03       4.687679347543e+03 
       1.217952652281e-03       4.970847193172e+03 
       1.296925664591e-03       5.264757331515e+03 
       1.379424326888e-03       5.568544343506e+03 
       1.465297617994e-03       5.881243798789e+03 
       1.554372138595e-03       6.201865170018e+03 
       1.646459041173e-03       6.529359069677e+03 
       1.741360637172e-03       6.862672225953e+03 
       1.838876280163e-03       7.200772458582e+03 
       1.938807285105e-03       7.542668351602e+03 
       2.040960792329e-03       7.887423556076e+03 
       2.145152601220e-03       8.234166209079e+03 
       2.251209076149e-03       8.582094250933e+03 
       2.358968268635e-03       8.930477424698e+03 
       2.468280412775e-03       9.278656232063e+03 
       2.579007944657e-03       9.626039416350e+03 
       2.691025179021e-03       9.972100280619e+03 
       2.804217754108e-03       1.031637225896e+04 
       2.918481932731e-03       1.065844378715e+04 
       3.033723826546e-03       1.099795490092e+04 
       3.149858592448e-03       1.133459009072e+04 
       3.266809635419e-03       1.166807577013e+04 
       3.384507840689e-03       1.199817460262e+04 
       3.502890849470e-03       1.232468161839e+04 
       3.621902386186e-03       1.264742335733e+04 
       3.741491640682e-03       1.296624902390e+04 
       3.861612705792e-03       1.328103167466e+04 
       3.982224068664e-03       1.359166296499e+04 
       4.103288152968e-03       1.389805734304e+04 
       4.224770908425e-03       1.420014240937e+04 
       4.346641443774e-03       1.449785986956e+04 
       4.468871699204e-03       1.479116260144e+04 
       4.591436154409e-03       1.508001403605e+04 
       4.714311568592e-03       1.536439028067e+04 
       4.837476749025e-03       1.564427154749e+04 
