# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:gr.fac. D             16:gr.fac. f          
       1.000000000000e+14       7.558503632223e-26       4.634785000235e-09       2.157545946648e+22       1.417042934533e+04       1.417042934533e-10       1.417042934533e+18       2.675958164815e-09       2.751560535470e+44       2.463407224103e+33       1.342968617657e+34       3.404911261107e-08       1.903443976270e+44       4.655004511899e+44       5.370564074878e-18       2.000000000017e+00 
       9.930486593843e+13       7.664693049753e-26       4.667526809499e-09       2.127654528182e+22       1.417042934533e+04       1.426962235074e-10       1.407192586428e+18       2.694689871968e-09       2.675846458098e+44       2.412391552492e+33       1.315156550975e+34       3.404911261107e-08       1.851067333040e+44       4.526913791294e+44       5.446015129567e-18       2.000000000016e+00 
       9.861456399050e+13       7.772374322409e-26       4.700268618762e-09       2.098177236191e+22       1.417042934533e+04       1.436950970720e-10       1.397410711448e+18       2.713552701072e-09       2.602215788102e+44       2.362432384542e+33       1.287920455349e+34       3.404911261107e-08       1.800131926217e+44       4.402347714471e+44       5.522526196123e-18       2.000000000015e+00 
       9.792906056653e+13       7.881568409264e-26       4.733010428026e-09       2.069108333218e+22       1.417042934533e+04       1.447009627515e-10       1.387696833612e+18       2.732547569979e-09       2.530611196824e+44       2.313507840701e+33       1.261248402767e+34       3.404911261107e-08       1.750598097619e+44       4.281209294593e+44       5.600112166653e-18       2.000000000013e+00 
       9.724832231036e+13       7.992296563846e-26       4.765752237290e-09       2.040442161294e+22       1.417042934533e+04       1.457138694908e-10       1.378050480251e+18       2.751675402969e-09       2.460976933110e+44       2.265596494532e+33       1.235128712240e+34       3.404911261107e-08       1.702427280332e+44       4.163404213587e+44       5.678788142482e-18       2.000000000012e+00 
       9.657231609767e+13       8.104580338271e-26       4.800313035958e-09       2.012173140839e+22       1.417042934533e+04       1.467338665772e-10       1.368471181977e+18       2.770937130790e-09       2.393258779894e+44       2.218677363323e+33       1.209549944684e+34       3.404911261107e-08       1.655581968676e+44       4.048840748714e+44       5.758569437097e-18       2.000000000011e+00 
       9.590100903443e+13       8.218441587443e-26       4.833054845221e-09       1.984295769572e+22       1.417042934533e+04       1.477610036432e-10       1.358958472668e+18       2.790333690705e-09       2.327404011992e+44       2.172729898905e+33       1.184500897912e+34       3.404911261107e-08       1.610025689010e+44       3.937429701143e+44       5.839471579119e-18       2.000000000010e+00 
       9.523436845525e+13       8.333902473305e-26       4.867615643889e-09       1.956804621446e+22       1.417042934533e+04       1.487953306687e-10       1.349511889442e+18       2.809866026540e-09       2.263361355047e+44       2.127733978645e+33       1.159970601728e+34       3.404911261107e-08       1.565722971329e+44       3.829084326512e+44       5.921510315334e-18       2.000000000009e+00 
       9.457236192179e+13       8.450985469153e-26       4.900357453153e-09       1.929694345585e+22       1.417042934533e+04       1.498368979834e-10       1.340130972633e+18       2.829535088726e-09       2.201080945604e+44       2.083669896642e+33       1.135948313120e+34       3.404911261107e-08       1.522639321645e+44       3.723720267383e+44       6.004701613755e-18       2.000000000008e+00 
       9.391495722125e+13       8.569713364009e-26       4.934918251820e-09       1.902959665248e+22       1.417042934533e+04       1.508857562693e-10       1.330815265773e+18       2.849341834347e-09       2.140514292293e+44       2.040518355090e+33       1.112423511560e+34       3.404911261107e-08       1.480741195137e+44       3.621255487562e+44       6.089061666727e-18       2.000000000006e+00 
       9.326212236469e+13       8.690109267060e-26       4.969479050487e-09       1.876595376800e+22       1.417042934533e+04       1.519419565632e-10       1.321564315564e+18       2.869287227187e-09       2.081614238068e+44       1.998260455827e+33       1.089385894392e+34       3.404911261107e-08       1.439995970030e+44       3.521610208227e+44       6.174606894083e-18       2.000000000005e+00 
       9.261382558559e+13       8.812196612152e-26       5.004039849155e-09       1.850596348697e+22       1.417042934533e+04       1.530055502591e-10       1.312377671861e+18       2.889372237777e-09       2.024334923495e+44       1.956877692064e+33       1.066825372322e+34       3.404911261107e-08       1.400371922191e+44       3.424706845812e+44       6.261353946338e-18       2.000000000004e+00 
       9.197003533823e+13       8.935999162356e-26       5.040419637226e-09       1.824957520492e+22       1.417042934533e+04       1.540765891109e-10       1.303254887648e+18       2.909597843442e-09       1.968631751041e+44       1.916351940274e+33       1.044732065000e+34       3.404911261107e-08       1.361838200436e+44       3.330469951601e+44       6.349319707930e-18       2.000000000003e+00 
       9.133072029615e+13       9.061541014588e-26       5.074980435893e-09       1.799673901845e+22       1.417042934533e+04       1.551551252347e-10       1.294195519014e+18       2.929965028346e-09       1.914461350357e+44       1.876665452259e+33       1.023096296692e+34       3.404911261107e-08       1.324364802505e+44       3.238826152983e+44       6.438521300507e-18       2.000000000002e+00 
       9.069584935070e+13       9.188846604302e-26       5.109541234560e-09       1.774740571556e+22       1.417042934533e+04       1.562412111114e-10       1.285199125138e+18       2.950474783544e-09       1.861781544502e+44       1.837800847374e+33       1.001908592042e+34       3.404911261107e-08       1.287922551705e+44       3.149704096326e+44       6.528976086258e-18       2.000000000001e+00 
