# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.402032577401e-10       4.547949856559e-15       3.744474338067e-13       0.000000000000e+00       8.484154776508e-09       4.519331448028e-10      -1.953724528561e-12 
    3       1.327821084888e-10       6.103750218394e-15       4.264826527636e-13       0.000000000000e+00       5.206783857051e-09       3.213122775888e-10      -1.519720794819e-12 
    4       1.256497852856e-10       5.552371339163e-15       4.043652851795e-13       0.000000000000e+00       3.619245973710e-09       2.437376617322e-10      -1.033601270286e-12 
    5       1.202434660052e-10       3.904648303495e-15       3.490456014969e-13       0.000000000000e+00       2.701765499648e-09       1.926889806250e-10      -6.110058430498e-13 
    6       1.164851587065e-10       2.279081313251e-15       2.845719650459e-13       0.000000000000e+00       2.110756999991e-09       1.568388464133e-10      -2.865761256624e-13 
    7       1.140444277529e-10       1.232948790393e-15       2.252800946418e-13       0.000000000000e+00       1.703193770079e-09       1.305508558612e-10      -6.672335059170e-14 
    8       1.125815920516e-10       7.545231209620e-16       1.779398139374e-13       0.000000000000e+00       1.407790189359e-09       1.106146289465e-10       5.843718462471e-14 
    9       1.118564536663e-10       5.863459081170e-16       1.446629667264e-13       0.000000000000e+00       1.185351740521e-09       9.505851826175e-11       1.080656924354e-13 
   10       1.116718159347e-10       5.076510152149e-16       1.247392844153e-13       0.000000000000e+00       1.012901348986e-09       8.267829225369e-11       1.054582721878e-13 
   11       1.119153546866e-10       4.327583243007e-16       1.158658776613e-13       0.000000000000e+00       8.537779273538e-10       7.301174171201e-11       7.392584735680e-14 
   12       1.125125052709e-10       3.681978704380e-16       1.150279082993e-13       0.000000000000e+00       7.460211850469e-10       6.466738799377e-11       3.260565543241e-14 
   13       1.133537987105e-10       3.367004784734e-16       1.193108598106e-13       0.000000000000e+00       6.575680548808e-10       5.779780984215e-11      -4.466254676891e-15 
   14       1.143569318362e-10       3.393682721047e-16       1.263948907518e-13       0.000000000000e+00       5.839730921629e-10       5.179392166004e-11      -2.992235335117e-14 
   15       1.155443060437e-10       3.617170111364e-16       1.346581794174e-13       0.000000000000e+00       5.220272990256e-10       4.674223244206e-11      -4.122535163327e-14 
   16       1.169117707556e-10       3.931717351385e-16       1.431273735345e-13       0.000000000000e+00       4.693599388998e-10       4.245097633124e-11      -4.031396933820e-14 
   17       1.183479114151e-10       4.351466716405e-16       1.514283981382e-13       0.000000000000e+00       4.241804176672e-10       3.873795830810e-11      -3.144350589675e-14 
   18       1.198843216597e-10       4.959300725494e-16       1.596345557401e-13       0.000000000000e+00       3.849664206118e-10       3.541099928357e-11      -1.977230561451e-14 
