# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.402037416508e-10       4.548186839578e-15       3.744474296198e-13       2.369829744419e-19       8.484154776508e-09       4.519331448028e-10      -1.953724528561e-12 
    3       1.327830739501e-10       6.104224291665e-15       4.264826341052e-13       4.740728377192e-19       5.206783857051e-09       3.213122775888e-10      -1.519720794819e-12 
    4       1.256513892078e-10       5.553161697813e-15       4.043652315690e-13       7.903565239042e-19       3.619245973710e-09       2.437376617322e-10      -1.033601270286e-12 
    5       1.202458623285e-10       3.905834280706e-15       3.490454793729e-13       1.185969939027e-18       2.701765499648e-09       1.926889806250e-10      -6.110058430498e-13 
    6       1.164884978063e-10       2.280742410510e-15       2.845717249252e-13       1.661077451544e-18       2.110756999991e-09       1.568388464133e-10      -2.865761256624e-13 
    7       1.140488559343e-10       1.235164704893e-15       2.252796685380e-13       2.215868483838e-18       1.703193770079e-09       1.305508558612e-10      -6.672335059170e-14 
    8       1.125872511456e-10       7.573737695966e-16       1.779391130748e-13       2.850553676534e-18       1.407790189359e-09       1.106146289465e-10       5.843718462471e-14 
    9       1.118634807340e-10       5.899114475239e-16       1.446618795741e-13       3.565360748531e-18       1.185351740521e-09       9.505851826175e-11       1.080656924354e-13 
   10       1.116803430830e-10       5.120118573490e-16       1.247376750545e-13       4.360530183680e-18       1.012901348986e-09       8.267829225369e-11       1.054582721878e-13 
   11       1.119255089956e-10       4.379951470608e-16       1.158635844923e-13       5.236310878317e-18       8.537779273538e-10       7.301174171201e-11       7.392584735680e-14 
   12       1.125244088278e-10       3.743916229240e-16       1.150247430832e-13       6.192955882212e-18       7.460211850469e-10       6.466738799377e-11       3.260565543241e-14 
   13       1.133675687434e-10       3.439323805266e-16       1.193066070334e-13       7.230718359018e-18       6.575680548808e-10       5.779780984215e-11      -4.466254676891e-15 
   14       1.143726809359e-10       3.477198078699e-16       1.263893072917e-13       8.349847881335e-18       5.839730921629e-10       5.179392166004e-11      -2.992235335117e-14 
   15       1.155621424608e-10       3.712699164927e-16       1.346509944897e-13       9.550587160410e-18       5.220272990256e-10       4.674223244206e-11      -4.122535163327e-14 
   16       1.169317987555e-10       4.040079789609e-16       1.431182888856e-13       1.083316929197e-17       4.693599388998e-10       4.245097633124e-11      -4.031396933820e-14 
   17       1.183702316756e-10       4.473484309884e-16       1.514170884565e-13       1.219781557841e-17       4.241804176672e-10       3.873795830810e-11      -3.144350589675e-14 
   18       1.199090316991e-10       5.095797020591e-16       1.596206692678e-13       1.364473370353e-17       3.849664206118e-10       3.541099928357e-11      -1.977230561451e-14 
   19       1.215620222601e-10       5.945072202526e-16       1.679655340132e-13       1.517411809853e-17       3.510960954881e-10       3.246318036174e-11      -8.875091658349e-15 
   20       1.232664010969e-10       7.031096320434e-16       1.767193946051e-13       1.678614673963e-17       3.212642921895e-10       2.988201041410e-11      -1.932919552570e-15 
   21       1.250367237268e-10       8.336596700604e-16       1.860240608360e-13       1.848098536843e-17       2.950027395870e-10       2.763049845013e-11       3.933417244603e-16 
   22       1.268785378712e-10       9.831644848625e-16       1.959008518672e-13       2.025878391956e-17       2.716834026003e-10       2.562299021899e-11      -1.318934547404e-15 
   23       1.287794397500e-10       1.151781573402e-15       2.060606000019e-13       2.211968242103e-17       2.509857910464e-10       2.381493605124e-11      -5.675468508687e-15 
   24       1.307046054880e-10       1.340385388908e-15       2.160567269291e-13       2.406380736906e-17       2.324315477693e-10       2.215802266845e-11      -1.073707239505e-14 
   25       1.326758341732e-10       1.548852793541e-15       2.255602407475e-13       2.609127954876e-17       2.158027644779e-10       2.066024520540e-11      -1.503966714348e-14 
   26       1.347129067569e-10       1.776781336186e-15       2.342591626963e-13       2.820220965457e-17       2.007988627383e-10       1.932850410637e-11      -1.731632240562e-14 
   27       1.367991752228e-10       2.025041396438e-15       2.419366419102e-13       3.039670556831e-17       1.872399752296e-10       1.813305356866e-11      -1.741392003344e-14 
   28       1.388992755007e-10       2.295044488815e-15       2.484292793652e-13       3.267486940089e-17       1.748923804360e-10       1.702650450065e-11      -1.567513278198e-14 
   29       1.410217843375e-10       2.588631823948e-15       2.537345970321e-13       3.503680820861e-17       1.636930740915e-10       1.600427920923e-11      -1.278964833036e-14 
   30       1.431788758519e-10       2.907970960158e-15       2.579321140605e-13       3.748262577493e-17       1.535218499605e-10       1.506717241816e-11      -9.752462931207e-15 
   31       1.453720930030e-10       3.255206785669e-15       2.611269844638e-13       4.001242255125e-17       1.441713041430e-10       1.420825302052e-11      -7.604274408002e-15 
   32       1.476034132641e-10       3.631361287542e-15       2.633624551580e-13       4.262630751494e-17       1.355932412445e-10       1.342287575024e-11      -6.552919389237e-15 
   33       1.498655689795e-10       4.037008538839e-15       2.646776584643e-13       4.532439118661e-17       1.277271124959e-10       1.270079105862e-11      -6.523619100616e-15 
   34       1.521452525875e-10       4.472639169248e-15       2.650954604510e-13       4.810678390504e-17       1.204629620055e-10       1.202757540732e-11      -7.345323936122e-15 
   35       1.544495677076e-10       4.938992512795e-15       2.644976659446e-13       5.097359929245e-17       1.137636731115e-10       1.140167818591e-11      -8.629450374482e-15 
   36       1.567871952702e-10       5.436826971909e-15       2.627036327448e-13       5.392495269151e-17       1.075755510501e-10       1.082246455538e-11      -9.834925703962e-15 
   37       1.591613667375e-10       5.966863538207e-15       2.595302551578e-13       5.696095829059e-17       1.018181172452e-10       1.028658500817e-11      -1.043325296359e-14 
   38       1.615722918606e-10       6.529911507702e-15       2.548931652819e-13       6.008172091920e-17       9.647653321418e-11       9.792260006573e-12      -1.039612854921e-14 
   39       1.640143008555e-10       7.126778203227e-15       2.487377315698e-13       6.328734204162e-17       9.153388512500e-11       9.335869509609e-12      -9.867129631408e-15 
   40       1.664742936374e-10       7.758232109154e-15       2.410121463808e-13       6.657792223951e-17       8.694306879864e-11       8.910445404024e-12      -9.035170835175e-15 
   41       1.689376985879e-10       8.424988029400e-15       2.316810510053e-13       6.995355560399e-17       8.264320936413e-11       8.507960406715e-12      -8.108741600146e-15 
   42       1.714103725340e-10       9.127662813867e-15       2.207713818080e-13       7.341431018439e-17       7.862168013410e-11       8.127767484924e-12      -7.220998253005e-15 
   43       1.739026461593e-10       9.866800974099e-15       2.083417029564e-13       7.696024154731e-17       7.486783994988e-11       7.770434038132e-12      -6.499050939690e-15 
   44       1.764230363893e-10       1.064288245123e-14       1.944710784880e-13       8.059139788023e-17       7.135442253201e-11       7.435305840021e-12      -6.091319887454e-15 
   45       1.789775032359e-10       1.145634749862e-14       1.792286461154e-13       8.430781376777e-17       6.804728310791e-11       7.120939794849e-12      -6.120608097828e-15 
   46       1.815675349926e-10       1.230768815483e-14       1.625689666616e-13       8.810948973371e-17       6.494123228484e-11       6.826803309961e-12      -6.523926230117e-15 
   47       1.841910722058e-10       1.319737837563e-14       1.444072108037e-13       9.199640627079e-17       6.203266345943e-11       6.551904799775e-12      -7.166704199643e-15 
   48       1.868426877106e-10       1.412584644742e-14       1.246472172991e-13       9.596852883255e-17       5.930874423698e-11       6.294228423474e-12      -7.885096455614e-15 
   49       1.895133120396e-10       1.509347323911e-14       1.031807504501e-13       1.000258073020e-16       5.674673030106e-11       6.050660298837e-12      -8.484344507658e-15 
