# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.495425972543e-10       7.308949500902e-15       4.815082917406e-13       0.000000000000e+00       8.603244815121e-09       4.849539922894e-10      -2.515783956042e-12 
    3       1.409362226541e-10       1.238782919692e-14       6.068655640496e-13       0.000000000000e+00       5.391782020157e-09       3.465189254909e-10      -2.211460277986e-12 
    4       1.324625187954e-10       1.446505350609e-14       6.277930630149e-13       0.000000000000e+00       3.761685653175e-09       2.636092778852e-10      -1.764092870321e-12 
    5       1.257510650381e-10       1.337849378762e-14       5.879508966012e-13       0.000000000000e+00       2.810349454599e-09       2.090658347229e-10      -1.309522534581e-12 
    6       1.208060351554e-10       1.032310167551e-14       5.173953412691e-13       0.000000000000e+00       2.196000923925e-09       1.706692926544e-10      -8.948495473845e-13 
    7       1.173305177399e-10       6.841613356596e-15       4.365313616957e-13       0.000000000000e+00       1.770901631580e-09       1.423270272546e-10      -5.443927126671e-13 
    8       1.150046813568e-10       4.042385522574e-15       3.576618780369e-13       0.000000000000e+00       1.462492805028e-09       1.206747578130e-10      -2.689410761219e-13 
    9       1.135840671359e-10       2.336358851800e-15       2.880592924816e-13       0.000000000000e+00       1.231123739752e-09       1.036939062811e-10      -7.010721084714e-14 
   10       1.128539442175e-10       1.571648066265e-15       2.317796399531e-13       0.000000000000e+00       1.052796352214e-09       9.012543392836e-11       5.744932701464e-14 
   11       1.126740337558e-10       1.345897612904e-15       1.905559577278e-13       0.000000000000e+00       8.850732147074e-10       7.935165235739e-11       1.233251019062e-13 
