# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.495430887230e-10       7.309203303299e-15       4.815082865299e-13       2.538023654817e-19       8.603244815121e-09       4.849539922894e-10      -2.515783956042e-12 
    3       1.409372034135e-10       1.238833703460e-14       6.068655408728e-13       5.078373612974e-19       5.391782020157e-09       3.465189254909e-10      -2.211460277986e-12 
    4       1.324641486082e-10       1.446590041197e-14       6.277929965903e-13       8.469043584755e-19       3.761685653175e-09       2.636092778852e-10      -1.764092870321e-12 
    5       1.257535009122e-10       1.337976508385e-14       5.879507457621e-13       1.271291025119e-18       2.810349454599e-09       2.090658347229e-10      -1.309522534581e-12 
    6       1.208094307790e-10       1.032488302794e-14       5.173950457970e-13       1.781338327597e-18       2.196000923925e-09       1.706692926544e-10      -8.948495473845e-13 
    7       1.173350229942e-10       6.843990818397e-15       4.365308396334e-13       2.377429216622e-18       1.770901631580e-09       1.423270272546e-10      -5.443927126671e-13 
    8       1.150104419138e-10       4.045445565466e-15       3.576610235313e-13       3.059976090703e-18       1.462492805028e-09       1.206747578130e-10      -2.689410761219e-13 
    9       1.135912241496e-10       2.340188384034e-15       2.880579741865e-13       3.829407532814e-18       1.231123739752e-09       1.036939062811e-10      -7.010721084714e-14 
   10       1.128626341112e-10       1.576334436820e-15       2.317776999944e-13       4.686154843438e-18       1.052796352214e-09       9.012543392836e-11       5.744932701464e-14 
   11       1.126843881059e-10       1.351528601839e-15       1.905532112130e-13       5.630638899107e-18       8.850732147074e-10       7.935165235739e-11       1.233251019062e-13 
   12       1.129479323324e-10       1.294966360878e-15       1.640575345305e-13       6.663257850105e-18       7.733396251291e-10       7.014360470729e-11       1.421552990918e-13 
   13       1.135332907746e-10       1.208447587586e-15       1.505220194014e-13       7.784376134602e-18       6.816263429014e-10       6.261842565201e-11       1.277280134851e-13 
   14       1.143418947398e-10       1.063770714493e-15       1.473945155807e-13       8.994315230771e-18       6.053231066220e-10       5.609186146480e-11       9.279134941448e-14 
   15       1.153801337976e-10       9.208157930748e-16       1.516607350794e-13       1.029334649553e-17       5.411001387369e-10       5.063956662344e-11       4.959016953710e-14 
   16       1.166093887121e-10       8.410566779171e-16       1.602769323476e-13       1.168168635153e-17       4.864993758508e-10       4.601906562944e-11       7.230991461347e-15 
   17       1.179466474245e-10       8.419072239172e-16       1.707633627764e-13       1.315949398649e-17       4.396623700890e-10       4.203028345372e-11      -2.793057943330e-14 
   18       1.193954608206e-10       8.958625421060e-16       1.812535494857e-13       1.472687039439e-17       3.990108292322e-10       3.848708369877e-11      -5.233620542394e-14 
   19       1.209638921115e-10       9.702391079135e-16       1.907678900931e-13       1.638386732286e-17       3.639023205349e-10       3.536017743194e-11      -6.510503821062e-14 
   20       1.225964484750e-10       1.031557308501e-15       1.985631112658e-13       1.813047899992e-17       3.329804588277e-10       3.259715214021e-11      -6.707227730959e-14 
   21       1.243050061052e-10       1.082744225593e-15       2.047186841794e-13       1.996666744184e-17       3.057594063352e-10       3.015371093392e-11      -6.038755325907e-14 
   22       1.260890548841e-10       1.141912841897e-15       2.096872857725e-13       2.189235256649e-17       2.815887239489e-10       2.794820337396e-11      -4.841031896558e-14 
   23       1.279376781288e-10       1.228458873449e-15       2.139168621647e-13       2.390744227231e-17       2.601363353951e-10       2.594959128104e-11      -3.407867948172e-14 
   24       1.298187426998e-10       1.360981202240e-15       2.179278425722e-13       2.601182250525e-17       2.409063182754e-10       2.412445748430e-11      -2.047685077216e-14 
   25       1.317493529185e-10       1.539889198229e-15       2.222148019635e-13       2.820539232439e-17       2.236724284990e-10       2.248222816412e-11      -9.446593991516e-15 
   26       1.337421072407e-10       1.758166599112e-15       2.272228572063e-13       3.048805174637e-17       2.081226739214e-10       2.102535243625e-11      -2.330849970447e-15 
   27       1.357779597913e-10       2.009397397769e-15       2.329724523580e-13       3.285973247259e-17       1.940706793500e-10       1.972099884415e-11       6.625777142484e-16 
   28       1.378209651151e-10       2.287173181923e-15       2.392797586894e-13       3.532039013127e-17       1.812743873844e-10       1.851843506415e-11      -9.522066947672e-17 
   29       1.398808801659e-10       2.591009515051e-15       2.458407701097e-13       3.787003966533e-17       1.696684637892e-10       1.741312771430e-11      -3.801323421529e-15 
   30       1.419720995163e-10       2.922148804821e-15       2.522195541727e-13       4.050873556519e-17       1.591281984820e-10       1.640617192482e-11      -9.226699447817e-15 
   31       1.440986327392e-10       3.281213954202e-15       2.579020451853e-13       4.323657178123e-17       1.494385016644e-10       1.548935788767e-11      -1.492838454149e-14 
   32       1.462633586526e-10       3.666092746719e-15       2.625160506904e-13       4.605370534454e-17       1.405494074999e-10       1.465344504007e-11      -2.002851264304e-14 
   33       1.484595069859e-10       4.073160187734e-15       2.656829392502e-13       4.896035004900e-17       1.323981865020e-10       1.388106894989e-11      -2.369989149056e-14 
   34       1.506741309919e-10       4.499267453888e-15       2.670351971735e-13       5.195677019084e-17       1.248709006764e-10       1.315094314652e-11      -2.518425457224e-14 
   35       1.529138479501e-10       4.947006532436e-15       2.664913169043e-13       5.504326205718e-17       1.179290658774e-10       1.246360495642e-11      -2.459112259604e-14 
   36       1.551864486404e-10       5.421353606569e-15       2.640789884905e-13       5.822017390213e-17       1.115170012892e-10       1.182381114029e-11      -2.238947633149e-14 
   37       1.574943398037e-10       5.927475479958e-15       2.598702080601e-13       6.148789087973e-17       1.055512673155e-10       1.123340255514e-11      -1.915210284359e-14 
   38       1.598379950398e-10       6.467697307154e-15       2.539964530949e-13       6.484675111075e-17       1.000164765077e-10       1.069119169660e-11      -1.535844022478e-14 
   39       1.622124127864e-10       7.043579204215e-15       2.466441334365e-13       6.829710721983e-17       9.489509788991e-11       1.019248981211e-11      -1.154176505287e-14 
