# Matter power spectrum P(k) at redshift z=1
# for k=1.045e-05 to 8.48764 h/Mpc,
# number of wavenumbers equal to 612
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045004358465e-05       1.937906184148e+01 
       2.333031646003e-05       4.250169334995e+01 
       3.625588232309e-05       6.379261976693e+01 
       4.926151484748e-05       8.578611050931e+01 
       6.238256282054e-05       1.077199550384e+02 
       7.565526530539e-05       1.298690253650e+02 
       8.911707687974e-05       1.522345220615e+02 
       1.028070072767e-04       1.746168564165e+02 
       1.167659797859e-04       1.972283183240e+02 
       1.310372128073e-04       2.203868190503e+02 
       1.456666289547e-04       2.439814176748e+02 
       1.607032960497e-04       2.680819914275e+02 
       1.761999041630e-04       2.928667815519e+02 
       1.922132824965e-04       3.183805517591e+02 
       2.088049592348e-04       3.447101721942e+02 
       2.260417664219e-04       3.719882002499e+02 
       2.439964902501e-04       4.002841475451e+02 
       2.627485646742e-04       4.297403218806e+02 
       2.823848027128e-04       4.604792928643e+02 
       3.030001548299e-04       4.926371575488e+02 
       3.246984770434e-04       5.263731911832e+02 
       3.475932824573e-04       5.618390905316e+02 
       3.718084384017e-04       5.992041772613e+02 
       3.974787570252e-04       6.386757409331e+02 
       4.247504100439e-04       6.804465414595e+02 
       4.537810789379e-04       7.247320796167e+02 
       4.847397315668e-04       7.717591410559e+02 
       5.178058974855e-04       8.217670430314e+02 
       5.531683013105e-04       8.750002428500e+02 
       5.910227121702e-04       9.317056318378e+02 
       6.315688849627e-04       9.921291404404e+02 
       6.750065137884e-04       1.056505435969e+03 
       7.215301959429e-04       1.125052345794e+03 
       7.713235180257e-04       1.197960209178e+03 
       8.245525173319e-04       1.275383599930e+03 
       8.813589235833e-04       1.357427769997e+03 
       9.418537183337e-04       1.444147380605e+03 
       1.006111625261e-03       1.535532651060e+03 
       1.074167130425e-03       1.631505211763e+03 
       1.146012510269e-03       1.731927922246e+03 
       1.221598126720e-03       1.836592600722e+03 
       1.300834972303e-03       1.945238989631e+03 
       1.383599172303e-03       2.057557387542e+03 
       1.469737934874e-03       2.173186667173e+03 
       1.559076324033e-03       2.291775921393e+03 
       1.651424225675e-03       2.412938501839e+03 
       1.746582964833e-03       2.536286845368e+03 
       1.844351177716e-03       2.661443943922e+03 
       1.944529704896e-03       2.788042751355e+03 
       2.046925420592e-03       2.915735560827e+03 
       2.151354028418e-03       3.044208024713e+03 
       2.257641930146e-03       3.173157258969e+03 
       2.365627314046e-03       3.302309639316e+03 
       2.475160621195e-03       3.431427802665e+03 
       2.586104540896e-03       3.560282542189e+03 
       2.698333668320e-03       3.688679494316e+03 
       2.811733934794e-03       3.816445178626e+03 
       2.926201898116e-03       3.943427812575e+03 
       3.041643959153e-03       4.069488660213e+03 
       3.157975553037e-03       4.194517099374e+03 
       3.275120348689e-03       4.318393801480e+03 
       3.393009479076e-03       4.441045372673e+03 
       3.511580816066e-03       4.562392546376e+03 
       3.630778297517e-03       4.682364106772e+03 
       3.750551309848e-03       4.800906087674e+03 
       3.870854126296e-03       4.917964872551e+03 
       3.991645399134e-03       5.033517683379e+03 
       4.112887702883e-03       5.147497497943e+03 
       4.234547124897e-03       5.259916792921e+03 
       4.356592899374e-03       5.370723725779e+03 
       4.478997080815e-03       5.479910172223e+03 
       4.601734253050e-03       5.587472187861e+03 
       4.724781270161e-03       5.693370559266e+03 
       4.848117025885e-03       5.797627910699e+03 
       4.971722248393e-03       5.900218145853e+03 
       5.095579317586e-03       6.001141633216e+03 
       5.219672102396e-03       6.100423257295e+03 
       5.343985815788e-03       6.198043005280e+03 
       5.468506885453e-03       6.294019662435e+03 
       5.593222838389e-03       6.388338674970e+03 
       5.718122197776e-03       6.481006026754e+03 
       5.843194390744e-03       6.572071775540e+03 
       5.968429665788e-03       6.661483140572e+03 
       6.093819018741e-03       6.749295993442e+03 
       6.219354126332e-03       6.835590178740e+03 
       6.345027286494e-03       6.920393292972e+03 
       6.470831364649e-03       7.003403472143e+03 
       6.596759745336e-03       7.084876574307e+03 
       6.722806288582e-03       7.164781438193e+03 
       6.848965290503e-03       7.243163964442e+03 
       6.975231447686e-03       7.320030814944e+03 
       7.101599824952e-03       7.395392379230e+03 
       7.228065826131e-03       7.469239699280e+03 
       7.354625167555e-03       7.541624790102e+03 
       7.481273853967e-03       7.612289200835e+03 
       7.608008156622e-03       7.681704878701e+03 
       7.734824593334e-03       7.749768392074e+03 
       7.861719910302e-03       7.816294378230e+03 
       7.988691065514e-03       7.881475459102e+03 
       8.115735213591e-03       7.945226733855e+03 
       8.242849691924e-03       8.007620392893e+03 
       8.370032007988e-03       8.068665285919e+03 
       8.497279827711e-03       8.128315515124e+03 
       8.624590964808e-03       8.186648401110e+03 
