# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.495437887228e-10       7.309026172909e-15       4.815171199973e-13       0.000000000000e+00       8.603320161667e-09       4.849502476276e-10      -2.515798305510e-12 
    3       1.409365943207e-10       1.238791651651e-14       6.068719691967e-13       0.000000000000e+00       5.391846754010e-09       3.465160905919e-10      -2.211468924253e-12 
    4       1.324622774412e-10       1.446512635930e-14       6.277976520589e-13       0.000000000000e+00       3.761740360261e-09       2.636064683310e-10      -1.764096536570e-12 
    5       1.257504767410e-10       1.337853519882e-14       5.879551647007e-13       0.000000000000e+00       2.810397505396e-09       2.090630659320e-10      -1.309522410855e-12 
    6       1.208053913279e-10       1.032310747924e-14       5.173990841433e-13       0.000000000000e+00       2.196043575386e-09       1.706669525372e-10      -8.948478072780e-13 
    7       1.173297571952e-10       6.841600365875e-15       4.365335862025e-13       0.000000000000e+00       1.770939825641e-09       1.423251670251e-10      -5.443912783059e-13 
    8       1.150037074219e-10       4.042374146248e-15       3.576623511461e-13       0.000000000000e+00       1.462527082304e-09       1.206730388787e-10      -2.689406561096e-13 
    9       1.135829010686e-10       2.336357197399e-15       2.880590507285e-13       0.000000000000e+00       1.231155206700e-09       1.036922841009e-10      -7.010757392137e-14 
   10       1.128526891638e-10       1.571653533684e-15       2.317799681314e-13       0.000000000000e+00       1.052826134483e-09       9.012420104609e-11       5.744859075600e-14 
   11       1.126728149676e-10       1.345905907612e-15       1.905574141812e-13       0.000000000000e+00       8.850996213991e-10       7.935087741336e-11       1.233241518388e-13 
   12       1.129346479110e-10       1.288312421111e-15       1.640636562035e-13       0.000000000000e+00       7.733642046490e-10       7.014285093713e-11       1.421542110742e-13 
   13       1.135181529530e-10       1.200674797098e-15       1.505300362986e-13       0.000000000000e+00       6.816494009318e-10       6.261754926850e-11       1.277268304705e-13 
   14       1.143248537082e-10       1.054790798616e-15       1.474046706925e-13       0.000000000000e+00       6.053446376036e-10       5.609121122119e-11       9.279011281058e-14 
   15       1.153611556198e-10       9.105397339892e-16       1.516730192388e-13       0.000000000000e+00       5.411203912812e-10       5.063936613945e-11       4.958890755695e-14 
   16       1.165881727401e-10       8.293959318698e-16       1.602914710286e-13       0.000000000000e+00       4.865184777956e-10       4.601903827464e-11       7.229797556749e-15 
   17       1.179228768474e-10       8.287731532662e-16       1.707806936955e-13       0.000000000000e+00       4.396803929180e-10       4.203019280200e-11      -2.793143369829e-14 
   18       1.193693330908e-10       8.811664360651e-16       1.812740701291e-13       0.000000000000e+00       3.990278840194e-10       3.848720602266e-11      -5.233654340870e-14 
   19       1.209354735955e-10       9.538926645432e-16       1.907919251463e-13       0.000000000000e+00       3.639185037961e-10       3.536065221574e-11      -6.510493415459e-14 
   20       1.225654212299e-10       1.013472815460e-15       1.985909990422e-13       0.000000000000e+00       3.329958035364e-10       3.259774794081e-11      -6.707205671532e-14 
   21       1.242710988565e-10       1.062834165021e-15       2.047508485265e-13       0.000000000000e+00       3.057739209666e-10       3.015426906453e-11      -6.038739429959e-14 
   22       1.260522065621e-10       1.120089788731e-15       2.097242389490e-13       0.000000000000e+00       2.816024016198e-10       2.794878312605e-11      -4.841013571189e-14 
   23       1.278979535578e-10       1.204635700107e-15       2.139590307539e-13       0.000000000000e+00       2.601492023060e-10       2.595025111973e-11      -3.407847059497e-14 
   24       1.297762580459e-10       1.335071215415e-15       2.179755426773e-13       0.000000000000e+00       2.409184404425e-10       2.412517986780e-11      -2.047678576495e-14 
   25       1.317039916122e-10       1.511806345502e-15       2.222685094171e-13       0.000000000000e+00       2.236838694162e-10       2.248295362494e-11      -9.446745629339e-15 
   26       1.336934818386e-10       1.727825393374e-15       2.272832345961e-13       0.000000000000e+00       2.081334766798e-10       2.102600262891e-11      -2.331121590543e-15 
   27       1.357258783001e-10       1.976711991396e-15       2.330399216028e-13       0.000000000000e+00       1.940808861078e-10       1.972155167542e-11       6.622654261382e-16 
   28       1.377655512333e-10       2.252057272774e-15       2.393544106001e-13       0.000000000000e+00       1.812840416765e-10       1.851894452017e-11      -9.556711691200e-17 
   29       1.398222359196e-10       2.553377842921e-15       2.459228008266e-13       0.000000000000e+00       1.696776104242e-10       1.741365407334e-11      -3.801706220202e-15 
   30       1.419101734936e-10       2.881917844792e-15       2.523094506235e-13       0.000000000000e+00       1.591368790624e-10       1.640675594172e-11      -9.227108453276e-15 
   31       1.440332195399e-10       3.238301830198e-15       2.580005825663e-13       0.000000000000e+00       1.494467503234e-10       1.549001387833e-11      -1.492879883416e-14 
   32       1.461942637613e-10       3.620417547135e-15       2.626239879508e-13       0.000000000000e+00       1.405572546032e-10       1.465415696022e-11      -2.002891892582e-14 
   33       1.483866090516e-10       4.024639252651e-15       2.658009013989e-13       0.000000000000e+00       1.324056565024e-10       1.388178359366e-11      -2.370029228632e-14 
   34       1.505973845161e-10       4.447817450289e-15       2.671636674694e-13       0.000000000000e+00       1.248780103775e-10       1.315157695416e-11      -2.518466542483e-14 
   35       1.528332216771e-10       4.892544927481e-15       2.666307511832e-13       0.000000000000e+00       1.179358328433e-10       1.246410273799e-11      -2.459154511556e-14 
   36       1.551019062002e-10       5.363799236497e-15       2.642298489728e-13       0.000000000000e+00       1.115234452630e-10       1.182417196205e-11      -2.238988659234e-14 
   37       1.574058382541e-10       5.866748483120e-15       2.600329636506e-13       0.000000000000e+00       1.055574089824e-10       1.123367817398e-11      -1.915245596746e-14 
   38       1.597454874035e-10       6.403718094847e-15       2.541715743178e-13       0.000000000000e+00       1.000223368560e-10       1.069143458541e-11      -1.535870998016e-14 
   39       1.621158476909e-10       6.976268070949e-15       2.468320911885e-13       0.000000000000e+00       9.490069692022e-11       1.019273509590e-11      -1.154196032278e-14 
   40       1.645046236840e-10       7.586006474712e-15       2.382561857067e-13       0.000000000000e+00       9.014366771782e-11       9.728983595306e-12      -8.351400725849e-15 
   41       1.668978696009e-10       8.234293973612e-15       2.286722623305e-13       0.000000000000e+00       8.568815588935e-11       9.290431876147e-12      -6.389582957784e-15 
   42       1.693007833335e-10       8.921239585320e-15       2.180548508050e-13       0.000000000000e+00       8.152107347198e-11       8.876242966869e-12      -5.643981600425e-15 
   43       1.717225131099e-10       9.646379551539e-15       2.062926245631e-13       0.000000000000e+00       7.763139061504e-11       8.487159260240e-12      -5.882450055110e-15 
   44       1.741701542997e-10       1.040892638915e-14       1.932520677030e-13       0.000000000000e+00       7.399084724380e-11       8.122612879460e-12      -6.802526302044e-15 
   45       1.766484087570e-10       1.120805239160e-14       1.787876113417e-13       0.000000000000e+00       7.056405460214e-11       7.781147950205e-12      -8.072613111199e-15 
   46       1.791590526557e-10       1.204388707431e-14       1.627793040947e-13       0.000000000000e+00       6.734563394746e-11       7.462104290056e-12      -9.480850380084e-15 
   47       1.817008683272e-10       1.291678481396e-14       1.451037704625e-13       0.000000000000e+00       6.433184726456e-11       7.164244825371e-12      -1.082306155134e-14 
   48       1.842694545021e-10       1.382704580418e-14       1.256226519176e-13       0.000000000000e+00       6.150939512938e-11       6.885183940941e-12      -1.185907878849e-14 
   49       1.868569622404e-10       1.477491403792e-14       1.041817318668e-13       0.000000000000e+00       5.885470560892e-11       6.621305288559e-12      -1.231085517055e-14 
   50       1.894553091760e-10       1.576058618920e-14       8.065349474786e-14       0.000000000000e+00       5.634103631572e-11       6.368809023967e-12      -1.195067692824e-14 
   51       1.920674634467e-10       1.678424578151e-14       5.508045232072e-14       0.000000000000e+00       5.396370298122e-11       6.127379317642e-12      -1.089840777652e-14 
   52       1.946987661998e-10       1.784603480646e-14       2.756920912032e-14       0.000000000000e+00       5.172046971324e-11       5.897370275433e-12      -9.401665008736e-15 
   53       1.973536229766e-10       1.894604216586e-14      -1.748430225158e-15       0.000000000000e+00       4.960399908754e-11       5.678735165113e-12      -7.755067654859e-15 
   54       2.000354033283e-10       2.008430216707e-14      -3.271429207335e-14       0.000000000000e+00       4.760150872558e-11       5.470997374525e-12      -6.302588678064e-15 
   55       2.027464829213e-10       2.126081011596e-14      -6.518232708212e-14       0.000000000000e+00       4.569867317729e-11       5.273475155323e-12      -5.357006703751e-15 
   56       2.054886120693e-10       2.247557707945e-14      -9.914796609903e-14       0.000000000000e+00       4.389325141214e-11       5.086087766444e-12      -4.929440313768e-15 
   57       2.082624629224e-10       2.372858609150e-14      -1.346488515951e-13       0.000000000000e+00       4.218424315835e-11       4.908698724889e-12      -4.936744321539e-15 
   58       2.110674022320e-10       2.501977542696e-14      -1.717283590529e-13       0.000000000000e+00       4.056776605634e-11       4.740860828757e-12      -5.277664917357e-15 
   59       2.139013965186e-10       2.634903776295e-14      -2.104359733273e-13       0.000000000000e+00       3.903687763798e-11       4.581797003139e-12      -5.831961976620e-15 
   60       2.167609172395e-10       2.771621934033e-14      -2.508276650066e-13       0.000000000000e+00       3.758139730580e-11       4.430381146008e-12      -6.459531368061e-15 
