# Matter power spectrum P(k) at redshift z=1
# for k=1.045e-05 to 8.48764 h/Mpc,
# number of wavenumbers equal to 612
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045004358465e-05       1.935677049560e+01 
       2.333031646003e-05       4.191232582009e+01 
       3.625588232309e-05       6.404681838335e+01 
       4.926151484748e-05       8.600897841380e+01 
       6.238256282054e-05       1.079388078854e+02 
       7.565526530539e-05       1.299403031293e+02 
       8.911707687974e-05       1.521017979308e+02 
       1.028070072767e-04       1.745042713466e+02 
       1.167659797859e-04       1.972255847000e+02 
       1.310372128073e-04       2.203430330452e+02 
       1.456666289547e-04       2.439351020824e+02 
       1.607032960497e-04       2.680828246585e+02 
       1.761999041630e-04       2.928709308336e+02 
       1.922132824965e-04       3.183888892557e+02 
       2.088049592348e-04       3.447319026213e+02 
       2.260417664219e-04       3.720018861456e+02 
       2.439964902501e-04       4.003084449153e+02 
       2.627485646742e-04       4.297698603710e+02 
       2.823848027128e-04       4.605140719977e+02 
       3.030001548299e-04       4.926796458956e+02 
       3.246984770434e-04       5.264166932292e+02 
       3.475932824573e-04       5.618876962878e+02 
       3.718084384017e-04       5.992681782591e+02 
       3.974787570252e-04       6.387471285248e+02 
       4.247504100439e-04       6.805270741134e+02 
       4.537810789379e-04       7.248236559383e+02 
       4.847397315668e-04       7.718645483672e+02 
       5.178058974855e-04       8.218875300629e+02 
       5.531683013105e-04       8.751375257072e+02 
       5.910227121702e-04       9.318624159304e+02 
       6.315688849627e-04       9.923075094837e+02 
       6.750065137884e-04       1.056708603231e+03 
       7.215301959429e-04       1.125283739601e+03 
       7.713235180257e-04       1.198223933427e+03 
       8.245525173319e-04       1.275683371649e+03 
       8.813589235833e-04       1.357769764119e+03 
       9.418537183337e-04       1.444535742391e+03 
       1.006111625261e-03       1.535972207665e+03 
       1.074167130425e-03       1.632004454441e+03 
       1.146012510269e-03       1.732491643590e+03 
       1.221598126720e-03       1.837229815024e+03 
       1.300834972303e-03       1.945958275910e+03 
       1.383599172303e-03       2.058362929345e+03 
       1.469737934874e-03       2.174093927560e+03 
       1.559076324033e-03       2.292790323399e+03 
       1.651424225675e-03       2.414068668030e+03 
       1.746582964833e-03       2.537543048609e+03 
