# Matter power spectrum P(k) at redshift z=1
# for k=1.045e-05 to 8.48764 h/Mpc,
# number of wavenumbers equal to 612
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045004358465e-05       1.935677049560e+01 
       2.333031646003e-05       4.191232582009e+01 
       3.625588232309e-05       6.404681838335e+01 
       4.926151484748e-05       8.600897841380e+01 
       6.238256282054e-05       1.079388078854e+02 
       7.565526530539e-05       1.299403031293e+02 
       8.911707687974e-05       1.521017979308e+02 
       1.028070072767e-04       1.745042713466e+02 
       1.167659797859e-04       1.972255847000e+02 
       1.310372128073e-04       2.203430330452e+02 
       1.456666289547e-04       2.439351020824e+02 
       1.607032960497e-04       2.680704453425e+02 
       1.761999041630e-04       2.928561088159e+02 
       1.922132824965e-04       3.183713182075e+02 
       2.088049592348e-04       3.447112432792e+02 
       2.260417664219e-04       3.719777609193e+02 
       2.439964902501e-04       4.002804316549e+02 
       2.627485646742e-04       4.297374851428e+02 
       2.823848027128e-04       4.604768006969e+02 
       3.030001548299e-04       4.926368745000e+02 
       3.246984770434e-04       5.263677364744e+02 
       3.475932824573e-04       5.618317745209e+02 
       3.718084384017e-04       5.992044022081e+02 
       3.974787570252e-04       6.386744817121e+02 
       4.247504100439e-04       6.804443926409e+02 
       4.537810789379e-04       7.247296053970e+02 
       4.847397315668e-04       7.717575976783e+02 
       5.178058974855e-04       8.217659221548e+02 
       5.531683013105e-04       8.749992450809e+02 
       5.910227121702e-04       9.317051533856e+02 
       6.315688849627e-04       9.921286245591e+02 
       6.750065137884e-04       1.056505085271e+03 
       7.215301959429e-04       1.125052168757e+03 
       7.713235180257e-04       1.197960443311e+03 
       8.245525173319e-04       1.275383615719e+03 
       8.813589235833e-04       1.357428888098e+03 
       9.418537183337e-04       1.444148365053e+03 
       1.006111625261e-03       1.535532412060e+03 
       1.074167130425e-03       1.631505791102e+03 
       1.146012510269e-03       1.731927146470e+03 
       1.221598126720e-03       1.836592029968e+03 
       1.300834972303e-03       1.945239300495e+03 
       1.383599172303e-03       2.057554464553e+03 
       1.469737934874e-03       2.173187334001e+03 
       1.559076324033e-03       2.291776675264e+03 
       1.651424225675e-03       2.412938818116e+03 
       1.746582964833e-03       2.536287688409e+03 
