# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=4
# for k=1.045e-05 to 8.48764 h/Mpc,
# number of wavenumbers equal to 612
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_tot                  7:phi                    8:psi                
       1.045004358465e-05      -3.334118692214e-04      -2.500881230777e-04      -2.500881314190e-04      -3.334103926628e-04      -2.502103419112e-04       5.988858993237e-01       5.979865178053e-01 
       2.333031646003e-05      -1.661047979481e-03      -1.246511772074e-03      -1.246511979266e-03      -1.661011309751e-03      -1.247119933875e-03       5.988825528998e-01       5.979837906474e-01 
       3.625588232309e-05      -4.008084500979e-03      -3.010294611078e-03      -3.010295819093e-03      -4.007870769436e-03      -3.011758981792e-03       5.988766260922e-01       5.979789592576e-01 
       4.926151484748e-05      -7.390504585931e-03      -5.557290752103e-03      -5.557294867325e-03      -7.389776820642e-03      -5.559982602112e-03       5.988680681377e-01       5.979719813318e-01 
       6.238256282054e-05      -1.183309318509e-02      -8.911855988628e-03      -8.911866565611e-03      -1.183122380547e-02      -8.916148434620e-03       5.988568034041e-01       5.979627944709e-01 
       7.565526530539e-05      -1.736965711144e-02      -1.310728448296e-02      -1.310730734683e-02      -1.736561919607e-02      -1.311355307052e-02       5.988427234908e-01       5.979513081498e-01 
       8.911707687974e-05      -2.404334027016e-02      -1.818642801698e-02      -1.818647199764e-02      -2.403558012560e-02      -1.819505094042e-02       5.988256918404e-01       5.979374089736e-01 
       1.028070072767e-04      -3.190702682588e-02      -2.420251395191e-02      -2.420259176572e-02      -3.189331188898e-02      -2.421387177541e-02       5.988055376133e-01       5.979209540076e-01 
       1.167659797859e-04      -4.102382421940e-02      -3.122018429534e-02      -3.122031362557e-02      -4.100105813653e-02      -3.123465900657e-02       5.987820547798e-01       5.979017713827e-01 
       1.310372128073e-04      -5.146761155031e-02      -3.931678418332e-02      -3.931698901872e-02      -5.143160688875e-02      -3.933475735404e-02       5.987549967137e-01       5.978796550643e-01 
