# Matter power spectrum P(k) at redshift z=2
# for k=1.05328e-05 to 7.02536 h/Mpc,
# number of wavenumbers equal to 695
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.053275999661e-05       9.766906174590e+00 
       2.353367978878e-05       1.812744036093e+01 
       3.658113420873e-05       2.780190416385e+01 
       4.971088695145e-05       3.741170318910e+01 
       6.295930386358e-05       4.719186284272e+01 
       7.636368325188e-05       5.686886103782e+01 
       8.996259693745e-05       6.666999231091e+01 
       1.037962466700e-04       7.650328051160e+01 
       1.179068405510e-04       8.643923484428e+01 
       1.323389941499e-04       9.658207229080e+01 
       1.471401609971e-04       1.069325642082e+02 
       1.623610970701e-04       1.175265210866e+02 
       1.780563636773e-04       1.284256691382e+02 
       1.942848727279e-04       1.396691311221e+02 
       2.111104776259e-04       1.512562010845e+02 
       2.286026118135e-04       1.632721163070e+02 
       2.468369751047e-04       1.757485791487e+02 
       2.658962651699e-04       1.887523709753e+02 
       2.858709475261e-04       2.023455910892e+02 
       3.068600518077e-04       2.165684515264e+02 
       3.289719745091e-04       2.315025371728e+02 
       3.523252583612e-04       2.472207641268e+02 
       3.770493056339e-04       2.638039214151e+02 
       4.032849667053e-04       2.813298826191e+02 
       4.311849263080e-04       2.999065763508e+02 
       4.609137886795e-04       3.196174868351e+02 
       4.926477411136e-04       3.405759031445e+02 
       5.265736562465e-04       3.628841587354e+02 
       5.628874817112e-04       3.866527272276e+02 
       6.017917683896e-04       4.119960021306e+02 
       6.434922137203e-04       4.390213408055e+02 
       6.881931529088e-04       4.678343112297e+02 
       7.360920245471e-04       4.985316494590e+02 
       7.873729679868e-04       5.311924717669e+02 
       8.421998673975e-04       5.658823667482e+02 
       9.007093182056e-04       6.026416906364e+02 
       9.630041199809e-04       6.414859256109e+02 
       1.029147955289e-03       6.824019645628e+02 
       1.099161863790e-03       7.253456843229e+02 
       1.173022954524e-03       7.702448707376e+02 
       1.250665538385e-03       8.169975197800e+02 
       1.331984558723e-03       8.654800151009e+02 
       1.416840917448e-03       9.155425572289e+02 
       1.505068096713e-03       9.670299636070e+02 
       1.596479395556e-03       1.019773141447e+03 
       1.690875136461e-03       1.073604765493e+03 
       1.788049319934e-03       1.128350547170e+03 
       1.887795373344e-03       1.183844561663e+03 
       1.989910812467e-03       1.239925926913e+03 
       2.094200780843e-03       1.296445564399e+03 
       2.200480538617e-03       1.353264556358e+03 
       2.308577036999e-03       1.410251217021e+03 
       2.418329743136e-03       1.467292731576e+03 
       2.529590882590e-03       1.524285510181e+03 
       2.642225252598e-03       1.581130544353e+03 
       2.756109736919e-03       1.637752932157e+03 
       2.871132628056e-03       1.694075423041e+03 
       2.987192838671e-03       1.750026667429e+03 
       3.104199062840e-03       1.805560438259e+03 
       3.222068930369e-03       1.860621307834e+03 
       3.340728183486e-03       1.915166726584e+03 
       3.460109894698e-03       1.969158114013e+03 
       3.580153736781e-03       2.022572122987e+03 
       3.700805310288e-03       2.075366712292e+03 
       3.822015530103e-03       2.127526406979e+03 
       3.943740069986e-03       2.179030555710e+03 
       4.065938862426e-03       2.229866557767e+03 
       4.188575650197e-03       2.280010252815e+03 
       4.311617585486e-03       2.329463291754e+03 
       4.435034872377e-03       2.378198561488e+03 
       4.558800448460e-03       2.426226247317e+03 
