# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=2
# for k=1.05328e-05 to 7.02536 h/Mpc,
# number of wavenumbers equal to 695
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_tot                  7:phi                    8:psi                
       1.053275999661e-05      -1.631986972546e+00      -1.223990312233e+00      -1.223990312226e+00      -1.631986969658e+00      -1.224348497802e+00       5.921389536158e-01       5.915989123158e-01 
       2.353367978878e-05      -1.634128609543e+00      -1.225598447118e+00      -1.225598447326e+00      -1.634128539645e+00      -1.225957101213e+00       5.921447537204e-01       5.916053208922e-01 
       3.658113420873e-05      -1.637972994796e+00      -1.228491388651e+00      -1.228491389963e+00      -1.637972585396e+00      -1.228850878841e+00       5.921400156775e-01       5.916016729511e-01 
       4.971088695145e-05      -1.643505542991e+00      -1.232669093254e+00      -1.232669097970e+00      -1.643504138558e+00      -1.233029775397e+00       5.921335346790e-01       5.915967808984e-01 
       6.295930386358e-05      -1.650799164432e+00      -1.238202213817e+00      -1.238202226231e+00      -1.650795548918e+00      -1.238564447231e+00       5.921152763255e-01       5.915806061250e-01 
       7.636368325188e-05      -1.659840364911e+00      -1.245102973700e+00      -1.245103001007e+00      -1.659832539809e+00      -1.245467097297e+00       5.920996168476e-01       5.915675522162e-01 
       8.996259693745e-05      -1.670722104695e+00      -1.253470770889e+00      -1.253470824313e+00      -1.670707037986e+00      -1.253837120958e+00       5.920771822856e-01       5.915482712423e-01 
       1.037962466700e-04      -1.683490179971e+00      -1.263376028834e+00      -1.263376123267e+00      -1.683463589075e+00      -1.263744922693e+00       5.920541736607e-01       5.915289544427e-01 
       1.179068405510e-04      -1.698225033184e+00      -1.274927584942e+00      -1.274927741436e+00      -1.698180963052e+00      -1.275299319580e+00       5.920302209766e-01       5.915092834912e-01 
       1.323389941499e-04      -1.715034742600e+00      -1.288267729405e+00      -1.288267977147e+00      -1.714965135729e+00      -1.288642577889e+00       5.920008762301e-01       5.914848552886e-01 
       1.471401609971e-04      -1.734016631578e+00      -1.303544982600e+00      -1.303545360497e+00      -1.733910852096e+00      -1.303923180331e+00       5.919677228996e-01       5.914572858855e-01 
       1.623610970701e-04      -1.755283791633e+00      -1.320939726232e+00      -1.320940284193e+00      -1.755127983722e+00      -1.321321457670e+00       5.919307583045e-01       5.914266207368e-01 
       1.780563636773e-04      -1.778966905712e+00      -1.340670775101e+00      -1.340671577256e+00      -1.778743170600e+00      -1.341056157886e+00       5.918874643957e-01       5.913904016117e-01 
       1.942848727279e-04      -1.805197378591e+00      -1.362988544494e+00      -1.362989682493e+00      -1.804882716486e+00      -1.363377613191e+00       5.918367129786e-01       5.913475655213e-01 
       2.111104776259e-04      -1.834093510715e+00      -1.388167839078e+00      -1.388169417582e+00      -1.833658879521e+00      -1.388560499669e+00       5.917833416832e-01       5.913030030945e-01 
       2.286026118135e-04      -1.865802709953e+00      -1.416560627277e+00      -1.416562778927e+00      -1.865211282311e+00      -1.416956626986e+00       5.917219586061e-01       5.912514141589e-01 
       2.468369751047e-04      -1.900447927934e+00      -1.448555729651e+00      -1.448558647677e+00      -1.899653181329e+00      -1.448954629963e+00       5.916539181589e-01       5.911942274445e-01 
       2.658962651699e-04      -1.938146888428e+00      -1.484617423576e+00      -1.484621337246e+00      -1.937090558855e+00      -1.485018507944e+00       5.915768719774e-01       5.911291868083e-01 
       2.858709475261e-04      -1.978987785702e+00      -1.525285648413e+00      -1.525290834826e+00      -1.977597075933e+00      -1.525687838862e+00       5.914885759434e-01       5.910541473531e-01 
       3.068600518077e-04      -2.023004914856e+00      -1.571175885617e+00      -1.571182721639e+00      -2.021188946279e+00      -1.571577671678e+00       5.913917018009e-01       5.909718731052e-01 
       3.289719745091e-04      -2.070184028925e+00      -1.623024231200e+00      -1.623033187596e+00      -2.067829874205e+00      -1.623423515029e+00       5.912828574476e-01       5.908790792263e-01 
       3.523252583612e-04      -2.120413314010e+00      -1.681682421358e+00      -1.681694096605e+00      -2.117381132117e+00      -1.682076357359e+00       5.911606881134e-01       5.907745139363e-01 
       3.770493056339e-04      -2.173464109841e+00      -1.748145999986e+00      -1.748161150853e+00      -2.169581564360e+00      -1.748530789792e+00       5.910233167338e-01       5.906563925241e-01 
       4.032849667053e-04      -2.228932693042e+00      -1.823569292267e+00      -1.823588832701e+00      -2.223988766285e+00      -1.823939888491e+00       5.908708239086e-01       5.905248765330e-01 
       4.311849263080e-04      -2.286219286126e+00      -1.909312832087e+00      -1.909338151379e+00      -2.279955600184e+00      -1.909662850675e+00       5.906972166016e-01       5.903740351598e-01 
