# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.494068119624e-10       7.312232558196e-15       4.828593537804e-13       2.491642521990e-19       8.739473220068e-09       4.832960546047e-10      -2.513923434368e-12 
    3       1.408613789352e-10       1.237455840105e-14       6.075835937110e-13       4.985574536169e-19       5.369993280225e-09       3.444708687167e-10      -2.211514136672e-12 
    4       1.324293562245e-10       1.443835169790e-14       6.285880636249e-13       8.314297999789e-19       3.736313861639e-09       2.620054688290e-10      -1.763549019772e-12 
    5       1.257511279361e-10       1.334184180610e-14       5.885830294737e-13       1.248064420583e-18       2.788924958718e-09       2.077420069608e-10      -1.308222862581e-12 
    6       1.208312954389e-10       1.028418882366e-14       5.177054564690e-13       1.748796913941e-18       2.177994327215e-09       1.695742593357e-10      -8.930943065493e-13 
    7       1.173940224319e-10       6.808807802939e-15       4.365033716759e-13       2.334004219702e-18       1.756329070553e-09       1.414648328577e-10      -5.423702659205e-13 
    8       1.150865746185e-10       4.020866988562e-15       3.574000085411e-13       3.004092288137e-18       1.450267723005e-09       1.199972745246e-10      -2.668709053365e-13 
    9       1.136770143347e-10       2.326718879684e-15       2.877250228917e-13       3.759483034925e-18       1.219746719492e-09       1.031179379592e-10      -6.821363066649e-14 
   10       1.129578534980e-10       1.570916219866e-15       2.315039834501e-13       4.600601095818e-18       1.041616982350e-09       8.960726263163e-11       5.898779718167e-14 
   11       1.127785580930e-10       1.349890537761e-15       1.904062898394e-13       5.527860901641e-18       8.760501302060e-10       7.896574685229e-11       1.243922906537e-13 
   12       1.130605811087e-10       1.293773006180e-15       1.640902625554e-13       6.541654578824e-18       7.651789991490e-10       6.988689380451e-11       1.428516520494e-13 
   13       1.136506709992e-10       1.206220135456e-15       1.507260548431e-13       7.642341144881e-18       6.742092043232e-10       6.241278792274e-11       1.280420726714e-13 
   14       1.144580669633e-10       1.060578915941e-15       1.477057759149e-13       8.830237413384e-18       5.985504590903e-10       5.593612725375e-11       9.294564313157e-14 
   15       1.154937659040e-10       9.172783206818e-16       1.520085428850e-13       1.010561095125e-17       5.348926117551e-10       5.052040199630e-11       4.972321863830e-14 
   16       1.167407979994e-10       8.375322601476e-16       1.605508142693e-13       1.146867534562e-17       4.807896023481e-10       4.595466544458e-11       7.460635749462e-15 
   17       1.180724739047e-10       8.383334341061e-16       1.708931653800e-13       1.291958794138e-17       4.343947614971e-10       4.202582056072e-11      -2.752844158008e-14 
   18       1.195289890501e-10       8.918959012776e-16       1.812538205332e-13       1.445844889837e-17       3.941383118222e-10       3.850360871381e-11      -5.176329389783e-14 
   19       1.211184180904e-10       9.657656991298e-16       1.906704692130e-13       1.608530999065e-17       3.593796912955e-10       3.537291614032e-11      -6.436729354706e-14 
   20       1.227636582884e-10       1.026939122055e-15       1.983930972140e-13       1.780016646903e-17       3.287741219011e-10       3.261783972508e-11      -6.615653638562e-14 
   21       1.244799943251e-10       1.078811446876e-15       2.045046103779e-13       1.960298194860e-17       3.018386553377e-10       3.019845185594e-11      -5.929224390725e-14 
   22       1.262776001583e-10       1.139857764858e-15       2.094679147338e-13       2.149367868434e-17       2.779272440191e-10       2.802493200358e-11      -4.716151382686e-14 
   23       1.281411425786e-10       1.229058129303e-15       2.137591342971e-13       2.347216714672e-17       2.567098260529e-10       2.605559928087e-11      -3.274250777390e-14 
   24       1.300299744212e-10       1.364271063147e-15       2.179155131507e-13       2.553833625162e-17       2.376944462636e-10       2.424632149064e-11      -1.916159311124e-14 
   25       1.319634083934e-10       1.545430337170e-15       2.223511047082e-13       2.769208783352e-17       2.206564768870e-10       2.260795199530e-11      -8.269034492005e-15 
   26       1.339598880337e-10       1.765201740911e-15       2.274092339687e-13       2.993332469167e-17       2.052865707992e-10       2.114953295691e-11      -1.389768233566e-15 
   27       1.360030653849e-10       2.017420759074e-15       2.331315172069e-13       3.226198079316e-17       1.913996327246e-10       1.984584917276e-11       1.345621903678e-15 
