# Matter power spectrum P(k) at redshift z=1
# for k=1.04437e-05 to 8.47366 h/Mpc,
# number of wavenumbers equal to 612
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.044373177903e-05       2.196531669886e+01 
       2.330927604903e-05       4.158633375159e+01 
       3.621997333865e-05       6.372693460802e+01 
       4.921047778906e-05       8.603805654864e+01 
       6.231601551152e-05       1.079905057247e+02 
       7.557269794060e-05       1.300939041069e+02 
       8.901784518625e-05       1.522800587920e+02 
       1.026903236755e-04       1.746166527371e+02 
       1.166309024082e-04       1.973437415186e+02 
       1.308826321835e-04       2.204621794890e+02 
       1.454912521628e-04       2.440418405442e+02 
       1.605056280722e-04       2.682076415180e+02 
       1.759782261780e-04       2.929956653196e+02 
       1.919656267993e-04       3.184967135807e+02 
       2.085290804757e-04       3.448424453430e+02 
       2.257351088475e-04       3.721091862771e+02 
       2.436561506599e-04       4.004024376170e+02 
       2.623712508693e-04       4.298544742547e+02 
       2.819667873218e-04       4.605857979217e+02 
       3.025372245862e-04       4.927387262469e+02 
       3.241858778616e-04       5.264561912576e+02 
       3.470256610625e-04       5.619076015826e+02 
       3.711797818235e-04       5.992576297032e+02 
       3.967823320131e-04       6.387045701534e+02 
       4.239787054162e-04       6.804441195369e+02 
       4.529257550406e-04       7.246958600364e+02 
       4.837915823589e-04       7.716821426845e+02 
       5.167548321797e-04       8.216437982338e+02 
       5.520033538042e-04       8.748243628450e+02 
       5.897320873923e-04       9.314684296771e+02 
       6.301400513409e-04       9.918203681928e+02 
       6.734263498083e-04       1.056115767952e+03 
       7.197851957643e-04       1.124571248734e+03 
       7.694000560484e-04       1.197375807236e+03 
       8.224371645858e-04       1.274682253464e+03 
       8.790388005590e-04       1.356593047042e+03 
       9.393168607785e-04       1.443159950062e+03 
       1.003347333412e-03       1.534370148963e+03 
       1.071166270046e-03       1.630140657800e+03 
       1.142767736947e-03       1.730329708199e+03 
       1.218104013123e-03       1.834722920856e+03 
       1.297088030040e-03       1.943055365045e+03 
       1.379597773116e-03       2.055013484831e+03 
       1.465482147216e-03       2.170229702341e+03 
       1.554567688694e-03       2.288348579596e+03 
       1.646665496857e-03       2.408982340474e+03 
       1.741577841598e-03       2.531742589288e+03 
       1.839104046123e-03       2.656251444230e+03 
       1.939045405158e-03       2.782143903298e+03 
       2.041209047508e-03       2.909070085445e+03 
       2.145410768168e-03       3.036720330300e+03 
       2.251476932713e-03       3.164791426508e+03 
       2.359245598051e-03       3.293014999260e+03 
       2.468567006640e-03       3.421150434645e+03 
       2.579303604901e-03       3.548977683342e+03 
       2.691329719073e-03       3.676302787192e+03 
       2.804530999458e-03       3.802953244489e+03 
       2.918803721038e-03       3.928777765563e+03 
       3.034054007417e-03       4.053645687665e+03 
       3.150197027005e-03       4.177443258951e+03 
       3.267156195714e-03       4.300060132852e+03 
       3.384862409045e-03       4.421420069659e+03 
       3.503253317780e-03       4.541449740158e+03 
       3.622272655202e-03       4.660078375400e+03 
       3.741869619321e-03       4.777254193763e+03 
       3.861998310469e-03       4.892933355432e+03 
       3.982617222655e-03       5.007086195565e+03 
       4.103688785824e-03       5.119654095366e+03 
       4.225178955423e-03       5.230648378906e+03 
       4.347056845410e-03       5.340014305220e+03 
       4.469294400732e-03       5.447754335851e+03 
       4.591866105418e-03       5.553849674613e+03 
       4.714748722622e-03       5.658274882882e+03 
       4.837921063216e-03       5.761040182320e+03 
