# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=4
# for k=1.04437e-05 to 8.47366 h/Mpc,
# number of wavenumbers equal to 612
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ncdm[0]              7:d_tot                  8:phi                    9:psi                
       1.044373177903e-05      -1.605657267125e+00      -1.204242973246e+00      -1.204242973238e+00      -1.605657265967e+00      -1.213093569543e+00      -1.204632233129e+00       5.986678914591e-01       5.980644979756e-01 
       2.330927604903e-05      -1.606927844077e+00      -1.205196569380e+00      -1.205196569522e+00      -1.606927809480e+00      -1.214054067132e+00      -1.205586136371e+00       5.986773546169e-01       5.980743279086e-01 
       3.621997333865e-05      -1.609270507585e+00      -1.206957064357e+00      -1.206957065470e+00      -1.609270296705e+00      -1.215826909170e+00      -1.207347194470e+00       5.986698406392e-01       5.980674818609e-01 
       4.921047778906e-05      -1.612644349349e+00      -1.209497701046e+00      -1.209497705187e+00      -1.612643621463e+00      -1.218384467830e+00      -1.209888635055e+00       5.986594616087e-01       5.980580649836e-01 
       6.231601551152e-05      -1.617061098926e+00      -1.212832917296e+00      -1.212832928029e+00      -1.617059228805e+00      -1.221740346833e+00      -1.213224891073e+00       5.986494000041e-01       5.980492501707e-01 
       7.557269794060e-05      -1.622566061580e+00      -1.217004682903e+00      -1.217004705892e+00      -1.622562024399e+00      -1.225935454774e+00      -1.217397932133e+00       5.986365755457e-01       5.980379816343e-01 
       8.901784518625e-05      -1.629199821175e+00      -1.222053885152e+00      -1.222053929335e+00      -1.629192066374e+00      -1.231009202498e+00      -1.222448641254e+00       5.986214077488e-01       5.980246908863e-01 
       1.026903236755e-04      -1.637019029098e+00      -1.228036683441e+00      -1.228036761538e+00      -1.637005324334e+00      -1.237015801111e+00      -1.228433172533e+00       5.986026149393e-01       5.980081178512e-01 
       1.166309024082e-04      -1.646072732305e+00      -1.235006677227e+00      -1.235006806402e+00      -1.646050005330e+00      -1.244006427981e+00      -1.235405114130e+00       5.985835554941e-01       5.979916286107e-01 
       1.308826321835e-04      -1.656451530199e+00      -1.243054291997e+00      -1.243054496201e+00      -1.656415595945e+00      -1.252068210216e+00      -1.243454882305e+00       5.985593893764e-01       5.979704236697e-01 
       1.454912521628e-04      -1.668231277642e+00      -1.252263820687e+00      -1.252264132379e+00      -1.668176588185e+00      -1.261281345966e+00      -1.252666751088e+00       5.985320644117e-01       5.979464723444e-01 
       1.605056280722e-04      -1.681515399579e+00      -1.262747957391e+00      -1.262748418584e+00      -1.681434683515e+00      -1.271753208134e+00      -1.263153390217e+00       5.984993099695e-01       5.979175413273e-01 
       1.759782261780e-04      -1.696403713569e+00      -1.274624851192e+00      -1.274625525927e+00      -1.696287507660e+00      -1.283595307357e+00      -1.275032920999e+00       5.984631572041e-01       5.978856917181e-01 
       1.919656267993e-04      -1.713014708520e+00      -1.288038881748e+00      -1.288039821253e+00      -1.712851046723e+00      -1.296943282387e+00      -1.288449649873e+00       5.984238017117e-01       5.978511655814e-01 
       2.085290804757e-04      -1.731496063190e+00      -1.303170350206e+00      -1.303171653887e+00      -1.731269411131e+00      -1.311966459185e+00      -1.303583839931e+00       5.983774206491e-01       5.978101903898e-01 
       2.257351088475e-04      -1.751983592881e+00      -1.320209506003e+00      -1.320211282368e+00      -1.751674287085e+00      -1.328840614509e+00      -1.320625634792e+00       5.983261787248e-01       5.977649884647e-01 
       2.436561506599e-04      -1.774640418384e+00      -1.339389228722e+00      -1.339391643537e+00      -1.774223336405e+00      -1.347780521230e+00      -1.339807818740e+00       5.982688162490e-01       5.977143598665e-01 
       2.623712508693e-04      -1.799638864912e+00      -1.360979218456e+00      -1.360982452651e+00      -1.799082408678e+00      -1.369032417189e+00      -1.361399912731e+00       5.982043474144e-01       5.976573891302e-01 
       2.819667873218e-04      -1.827159465956e+00      -1.385293595139e+00      -1.385297891097e+00      -1.826423593730e+00      -1.392879879235e+00      -1.385715832609e+00       5.981315107573e-01       5.975928966223e-01 
       3.025372245862e-04      -1.857385878619e+00      -1.412696215273e+00      -1.412701881826e+00      -1.856420066992e+00      -1.419647501920e+00      -1.413119154619e+00       5.980495880028e-01       5.975202512677e-01 
       3.241858778616e-04      -1.890498977621e+00      -1.443609493658e+00      -1.443616924524e+00      -1.889239564463e+00      -1.449707007441e+00      -1.444031923231e+00       5.979582993575e-01       5.974392684893e-01 
       3.470256610625e-04      -1.926677503252e+00      -1.478533282294e+00      -1.478542980905e+00      -1.925044282775e+00      -1.483492142100e+00      -1.478953501369e+00       5.978546384943e-01       5.973470505774e-01 
       3.711797818235e-04      -1.966066790177e+00      -1.518039351794e+00      -1.518051957855e+00      -1.963959039319e+00      -1.521489372890e+00      -1.518455013592e+00       5.977389112741e-01       5.972440140391e-01 
       3.967823320131e-04      -2.008783401700e+00      -1.562804257368e+00      -1.562820550005e+00      -2.006074884578e+00      -1.564264037946e+00      -1.563212137186e+00       5.976077780741e-01       5.971269411485e-01 
       4.239787054162e-04      -2.054870454036e+00      -1.613606061199e+00      -1.613627223105e+00      -2.051402289988e+00      -1.612449654062e+00      -1.614001973896e+00       5.974604023294e-01       5.969951191212e-01 
       4.529257550406e-04      -2.104284890561e+00      -1.671356128250e+00      -1.671383346618e+00      -2.099860407668e+00      -1.666769601989e+00      -1.671734203762e+00       5.972936141158e-01       5.968455025696e-01 
       4.837915823589e-04      -2.156845734216e+00      -1.737104630282e+00      -1.737139544515e+00      -2.151220221561e+00      -1.728030208017e+00      -1.737457193849e+00       5.971057193523e-01       5.966765132836e-01 
       5.167548321797e-04      -2.212195284861e+00      -1.812069292362e+00      -1.812114313171e+00      -2.205065239837e+00      -1.797132129465e+00      -1.812386498672e+00       5.968929240221e-01       5.964844617216e-01 
       5.520033538042e-04      -2.269741096194e+00      -1.897649742132e+00      -1.897707549265e+00      -2.260736331651e+00      -1.875065456413e+00      -1.897918368682e+00       5.966519499135e-01       5.962661443748e-01 
       5.897320873923e-04      -2.328595319045e+00      -1.995443966005e+00      -1.995518137498e+00      -2.317266572503e+00      -1.962901012781e+00      -1.995646974882e+00       5.963800257284e-01       5.960188215955e-01 
       6.301400513409e-04      -2.387521551289e+00      -2.107269818875e+00      -2.107364667748e+00      -2.373331925217e+00      -2.061781003560e+00      -2.107385046886e+00       5.960735670914e-01       5.957388805159e-01 
