# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.494167016438e-10       7.333981569749e-15       4.829611973010e-13       2.488011594717e-19       8.648352107613e-09       4.835388035326e-10      -2.520606950419e-12 
    3       1.408588975151e-10       1.242359548726e-14       6.087195034779e-13       4.978317146847e-19       5.366032789161e-09       3.445535313978e-10      -2.216178844954e-12 
    4       1.324244310788e-10       1.449838228580e-14       6.298216671329e-13       8.302212041385e-19       3.733512811053e-09       2.619866920398e-10      -1.767380492847e-12 
    5       1.257432595330e-10       1.339814211970e-14       5.897601699582e-13       1.246253288815e-18       2.784756621021e-09       2.077088752805e-10      -1.311193234673e-12 
    6       1.208193835520e-10       1.032808296169e-14       5.187618389799e-13       1.746264179317e-18       2.172280468397e-09       1.695193801455e-10      -8.951237432936e-13 
    7       1.173793966606e-10       6.837619528221e-15       4.373703869932e-13       2.330631476102e-18       1.750431881703e-09       1.414067766397e-10      -5.436369082566e-13 
    8       1.150698807240e-10       4.037268908760e-15       3.580539943667e-13       2.999761804082e-18       1.446086280752e-09       1.199630350967e-10      -2.675672099208e-13 
    9       1.136586806414e-10       2.335404162605e-15       2.881698652046e-13       3.754077730825e-18       1.217873241003e-09       1.031170259886e-10      -6.849913184197e-14 
   10       1.129387010909e-10       1.576026068268e-15       2.317688296649e-13       4.594004484503e-18       1.041194914342e-09       8.963143846448e-11       5.898713648001e-14 
   11       1.127578947897e-10       1.353865378927e-15       1.905431235477e-13       5.519956993645e-18       8.757815457192e-10       7.897759716141e-11       1.245600816413e-13 
   12       1.130387261594e-10       1.297459853269e-15       1.641424743265e-13       6.532327755414e-18       7.649665693576e-10       6.989548469537e-11       1.430729461960e-13 
   13       1.136277732648e-10       1.209581602885e-15       1.507278455560e-13       7.631476003258e-18       6.740391933909e-10       6.241599677166e-11       1.282249546810e-13 
   14       1.144338734679e-10       1.063415059771e-15       1.476685797899e-13       8.817718589717e-18       5.984125464630e-10       5.593454403101e-11       9.304052778985e-14 
   15       1.154688154427e-10       9.196330528730e-16       1.519363915856e-13       1.009132292825e-17       5.347782446012e-10       5.051475246990e-11       4.972316387198e-14 
   16       1.167151691178e-10       8.396132088219e-16       1.604993237464e-13       1.145250225206e-17       4.806942137833e-10       4.594641912143e-11       7.388268452585e-15 
   17       1.180461429758e-10       8.402473597970e-16       1.708982055362e-13       1.290141335153e-17       4.343131221980e-10       4.201712880123e-11      -2.764464692253e-14 
   18       1.195022790370e-10       8.936927492253e-16       1.812495746555e-13       1.443815563526e-17       3.940675971601e-10       3.849670502584e-11      -5.189802765240e-14 
   19       1.210914647234e-10       9.674523052545e-16       1.906205692484e-13       1.606277996486e-17       3.593180140000e-10       3.536858043327e-11      -6.450299466965e-14 
   20       1.227362292016e-10       1.028443507420e-15       1.983377718579e-13       1.777528049736e-17       3.287196028014e-10       3.261482015985e-11      -6.628794837909e-14 
   21       1.244519287154e-10       1.079917150182e-15       2.044660138553e-13       1.957561965952e-17       3.017896912762e-10       3.019550487644e-11      -5.942572409329e-14 
   22       1.262489592220e-10       1.140236578353e-15       2.094180827173e-13       2.146371839840e-17       2.778827171200e-10       2.802166223900e-11      -4.731233714709e-14 
   23       1.281119917517e-10       1.228647421876e-15       2.136613308524e-13       2.343948585721e-17       2.566687221713e-10       2.605244854547e-11      -3.291374096082e-14 
   24       1.300002997783e-10       1.363381616438e-15       2.177461588614e-13       2.550280958027e-17       2.376558431553e-10       2.424440043054e-11      -1.933550869356e-14 
   25       1.319330847002e-10       1.544377851469e-15       2.221331114459e-13       2.765359010046e-17       2.206197373725e-10       2.260761939313e-11      -8.414148217689e-15 
   26       1.339286994187e-10       1.764158453571e-15       2.272142306370e-13       2.989172895396e-17       2.052514493971e-10       2.115002697524e-11      -1.467848724623e-15 
   27       1.359709078053e-10       2.016380493962e-15       2.330029568374e-13       3.221715898300e-17       1.913660657230e-10       1.984653395901e-11       1.352097294061e-15 
   28       1.380252926327e-10       2.294888082694e-15       2.393218329677e-13       3.462983668482e-17       1.787235652354e-10       1.865367719147e-11       4.787475006187e-16 
   29       1.401003732220e-10       2.599298725925e-15       2.458619126421e-13       3.712977708825e-17       1.672589793530e-10       1.756311385784e-11      -3.286891280731e-15 
   30       1.422079278224e-10       2.930931770765e-15       2.521783133262e-13       3.971703428039e-17       1.568487397945e-10       1.656717758696e-11      -8.743307045861e-15 
   31       1.443492770101e-10       3.290501517130e-15       2.577506732875e-13       4.239170131251e-17       1.472799457697e-10       1.564962141684e-11      -1.447587849058e-14 
   32       1.465271802763e-10       3.675954260888e-15       2.622159693406e-13       4.515393343213e-17       1.385030180909e-10       1.480512368789e-11      -1.960371896754e-14 
   33       1.487356687104e-10       4.083722148839e-15       2.652126951461e-13       4.800394189506e-17       1.304558096978e-10       1.402534035688e-11      -2.328539039145e-14 
   34       1.509626702610e-10       4.510720868796e-15       2.663941169649e-13       5.094198778487e-17       1.230255781857e-10       1.329741133050e-11      -2.475080948711e-14 
   35       1.532151070346e-10       4.959599408374e-15       2.656983763931e-13       5.396836367292e-17       1.161741668241e-10       1.261938774585e-11      -2.411940405367e-14 
   36       1.555009338833e-10       5.435393907136e-15       2.631752647088e-13       5.708341337304e-17       1.098464435352e-10       1.198926135907e-11      -2.187957255959e-14 
   37       1.578226516856e-10       5.943316507049e-15       2.589145680894e-13       6.028751707281e-17       1.039598621520e-10       1.140231563004e-11      -1.862338348751e-14 
   38       1.601804137320e-10       6.485648084671e-15       2.530328735377e-13       6.358100845197e-17       9.849914037274e-11       1.085748841291e-11      -1.483261131846e-14 
   39       1.625687080566e-10       7.063863640604e-15       2.456876512102e-13       6.696423543758e-17       9.344689889494e-11       1.035254146266e-11      -1.103728088913e-14 
   40       1.649746283568e-10       7.679463718697e-15       2.370845916342e-13       7.043758543958e-17       8.875486528378e-11       9.881997875208e-12      -7.882095118942e-15 
   41       1.673837678743e-10       8.333696491776e-15       2.274188695702e-13       7.400144726199e-17       8.436068034917e-11       9.439082858789e-12      -5.964312803362e-15 
   42       1.698018930130e-10       9.026616565582e-15       2.166688408804e-13       7.765607623213e-17       8.025137446187e-11       9.022980277813e-12      -5.266881387470e-15 
   43       1.722391458324e-10       9.757718835249e-15       2.047401572310e-13       8.140168915169e-17       7.641601977184e-11       8.633466174436e-12      -5.552691659464e-15 
   44       1.747038155943e-10       1.052617011843e-14       1.915203941034e-13       8.523850055797e-17       7.282668373077e-11       8.268765848940e-12      -6.513389400154e-15 
   45       1.772016357762e-10       1.133111641016e-14       1.768837561825e-13       8.916668596544e-17       6.944840076555e-11       7.926272340825e-12      -7.812020204751e-15 
   46       1.797340088548e-10       1.217276043118e-14       1.607099315255e-13       9.318625951033e-17       6.627583200886e-11       7.605259303445e-12      -9.236939147533e-15 
   47       1.822988289815e-10       1.305157284181e-14       1.428686648243e-13       9.729715898715e-17       6.330526286655e-11       7.304761687264e-12      -1.058613823699e-14 
   48       1.848906238492e-10       1.396799255112e-14       1.232133143905e-13       1.014992765358e-16       6.052354607834e-11       7.022722756657e-12      -1.162222111326e-14 
   49       1.875002805091e-10       1.492242591763e-14       1.015798991911e-13       1.057924561147e-16       5.790740035767e-11       6.755914977218e-12      -1.207055106038e-14 
   50       1.901186213580e-10       1.591520599381e-14       7.783266226433e-14       1.101764875886e-16       5.543041851996e-11       6.500899637794e-12      -1.170691918989e-14 
   51       1.927489125199e-10       1.694645907223e-14       5.201755213455e-14       1.146510929594e-16       5.308796162392e-11       6.257396337109e-12      -1.065289942239e-14 
   52       1.953972767811e-10       1.801620053324e-14       2.424875493629e-14       1.192159320307e-16       5.087780971955e-11       6.025691355048e-12      -9.157463002561e-15 
   53       1.980690493759e-10       1.912436901904e-14      -5.332974062738e-15       1.238706028442e-16       4.879271241811e-11       5.805649341551e-12      -7.516770031929e-15 
   54       2.007686849888e-10       2.027082375415e-14      -3.655907441928e-14       1.286146389946e-16       4.682005033147e-11       5.596683085552e-12      -6.076530194973e-15 
   55       2.034995156913e-10       2.145540033863e-14      -6.927386144292e-14       1.334475613624e-16       4.494568361682e-11       5.397995796968e-12      -5.150733521801e-15 
   56       2.062631673878e-10       2.267810049734e-14      -1.034712350939e-13       1.383690545180e-16       4.316739279915e-11       5.209447691336e-12      -4.748792507162e-15 
   57       2.090598355086e-10       2.393894477498e-14      -1.391897674852e-13       1.433788294357e-16       4.148418392201e-11       5.030851731323e-12      -4.784751233320e-15 
   58       2.118883247167e-10       2.523791780044e-14      -1.764741498486e-13       1.484765723601e-16       3.989222237547e-11       4.861700788259e-12      -5.154098485785e-15 
   59       2.147459501022e-10       2.657496788537e-14      -2.153755896212e-13       1.536619442408e-16       3.838465746941e-11       4.701148028460e-12      -5.732870169201e-15 
   60       2.176284383758e-10       2.795000662275e-14      -2.559522075317e-13       1.589345801663e-16       3.695144700685e-11       4.547987299563e-12      -6.376751723233e-15 
   61       2.205315977514e-10       2.936283728987e-14      -2.982576420474e-13       1.642941667509e-16       3.558214507951e-11       4.400984600018e-12      -6.951176984715e-15 
   62       2.234569891235e-10       3.081292218575e-14      -3.423029753911e-13       1.697406958731e-16       3.427539354655e-11       4.260003802317e-12      -7.431550157745e-15 
   63       2.264073583065e-10       3.229956212012e-14      -3.880869271539e-13       1.752742671465e-16       3.303125941804e-11       4.125099955566e-12      -7.824029339964e-15 
   64       2.293849378326e-10       3.382196039295e-14      -4.356069152696e-13       1.808950168637e-16       3.184837983536e-11       3.996182193108e-12      -8.136599365137e-15 
   65       2.323914042650e-10       3.537922013406e-14      -4.848590789304e-13       1.866031199033e-16       3.072388066535e-11       3.873005258458e-12      -8.379157712845e-15 
   66       2.354278355105e-10       3.697034164268e-14      -5.358383015009e-13       1.923987916376e-16       2.965329509434e-11       3.755161031236e-12      -8.563600418170e-15 
   67       2.384946681330e-10       3.859421972707e-14      -5.885382334337e-13       1.982822898408e-16       2.863048222233e-11       3.642070053091e-12      -8.703907981379e-15 
   68       2.415920716011e-10       4.024976157338e-14      -6.429492622382e-13       2.042539046605e-16       2.764926673885e-11       3.533150057835e-12      -8.814116212661e-15 
   69       2.447212545077e-10       4.193627403303e-14      -6.990518935144e-13       2.103139219099e-16       2.670892572299e-11       3.428380157992e-12      -8.901559284611e-15 
   70       2.478833475563e-10       4.365315039125e-14      -7.568220637450e-13       2.164626557309e-16       2.580967248066e-11       3.327836279364e-12      -8.972405585498e-15 
   71       2.510789785948e-10       4.539975719575e-14      -8.162330455153e-13       2.227004614449e-16       2.495099711346e-11       3.231520395397e-12      -9.033682889272e-15 
   72       2.543082405920e-10       4.717543467890e-14      -8.772554179225e-13       2.290277371552e-16       2.413162913029e-11       3.139356580067e-12      -9.093310171520e-15 
   73       2.575706596136e-10       4.897949717994e-14      -9.398570369858e-13       2.354449253498e-16       2.334950005886e-11       3.051187060780e-12      -9.160129425419e-15 
   74       2.608651627988e-10       5.081123356714e-14      -1.004003006056e-12       2.419525145034e-16       2.260170605723e-11       2.966768271261e-12      -9.243937477688e-15 
   75       2.641900463362e-10       5.266990765995e-14      -1.069655646226e-12       2.485510406799e-16       2.188447052533e-11       2.885766904445e-12      -9.355517804545e-15 
   76       2.675436407217e-10       5.455460484900e-14      -1.136773947152e-12       2.552409910645e-16       2.119408146844e-11       2.807844397830e-12      -9.503370171485e-15 
   77       2.709265173737e-10       5.646373873211e-14      -1.205311869307e-12       2.620224907088e-16       2.052998357538e-11       2.732936901098e-12      -9.683140725741e-15 
   78       2.743396280933e-10       5.839545486001e-14      -1.275219676943e-12       2.688955613076e-16       1.989218468808e-11       2.661019428034e-12      -9.886313278320e-15 
   79       2.777836260422e-10       6.034777386972e-14      -1.346444390611e-12       2.758602138002e-16       1.928031395259e-11       2.592019854016e-12      -1.010330516928e-14 
   80       2.812588480174e-10       6.231858875286e-14      -1.418929746922e-12       2.829164479614e-16       1.869360441872e-11       2.525816782287e-12      -1.032343136986e-14 
   81       2.847652967256e-10       6.430566212403e-14      -1.492616158302e-12       2.900642519932e-16       1.813087563964e-11       2.462237410223e-12      -1.053486858470e-14 
   82       2.883026230579e-10       6.630662348911e-14      -1.567440672745e-12       2.973036021159e-16       1.759051627152e-11       2.401055395609e-12      -1.072461935391e-14 
   83       2.918701083643e-10       6.831896651365e-14      -1.643336933571e-12       3.046344621593e-16       1.707046667312e-11       2.341988722907e-12      -1.087847615531e-14 
